Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13711.0,14219.0,14600.0,19757.0,26500.0,33442.0,40395.0,45607.0,46407.0,46879.0,52755.0,57804.0,62024.0,65673.0,68813.0,68956.0,69010.0,72181.0,74170.0,75523.0,76798.0,77787.0,77821.0,77823.0,79194.0,82449.0,86186.0,90334.0,90603.0,90711.0,90744.0,95336.0,99148.0,102368.0,106148.0,109520.0,109665.0,109760.0,113174.0,116737.0,119917.0,122464.0,124998.0,125211.0,125409.0,128437.0,131496.0,134579.0,137826.0,140557.0,140761.0,140765.0,144009.0,146740.0,148534.0,151705.0,152747.0,152845.0,152862.0,154144.0,155852.0,157645.0,159414.0,160922.0,161057.0,161057.0,162397.0,164189.0,166142.0,167593.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32706.0,35301.0,37061.0,38781.0,38983.0,38993.0,39841.0,40561.0,41474.0,42471.0,43309.0,43397.0,43397.0,45565.0,47956.0,50149.0,51909.0,53440.0,53449.0,53453.0,54714.0,56013.0,57230.0,58905.0,60158.0,60162.0,60203.0,61661.0,63461.0,64739.0,66158.0,67546.0,67559.0,67570.0,69194.0,70582.0,72132.0,73484.0,75410.0,75421.0,75423.0,76787.0,78029.0,79289.0,80652.0,80653.0,80653.0,80653.0,81524.0,82815.0,84113.0,85122.0,85888.0,85891.0,85894.0,86863.0,87704.0,88698.0,89621.0,90443.0,90446.0,90446.0,91097.0,91832.0,92352.0,93114.0,93455.0,93458.0,93458.0,93558.0,94182.0,94787.0,95016.0,95245.0,95245.0,95245.0,95762.0,96369.0,96945.0,97396.0,97959.0,97969.0,97969.0,98676.0,99613.0,100206.0,100806.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42114.0,42657.0,42666.0,42666.0,44258.0,46841.0,48978.0,50828.0,50829.0,50833.0,50835.0,52777.0,54302.0,55542.0,57063.0,58262.0,58269.0,58271.0,59465.0,60977.0,62373.0,63781.0,65322.0,65336.0,65338.0,66719.0,68315.0,69843.0,70951.0,71950.0,71959.0,71959.0,72895.0,74351.0,75637.0,76677.0,77253.0,77257.0,77257.0,78196.0,79802.0,80648.0,82007.0,82872.0,82877.0,82877.0,83834.0,84846.0,85789.0,86580.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104064.0,106043.0,107963.0,107991.0,108019.0,108059.0,109864.0,111983.0,114124.0,115796.0,117430.0,117578.0,117606.0,119663.0,121366.0,123176.0,124808.0,126802.0,126997.0,127054.0,129015.0,131068.0,132842.0,134275.0,135651.0,135892.0,135905.0,137338.0,138831.0,140651.0,141724.0,142828.0,142918.0,143023.0,144721.0,146128.0,147521.0,148736.0,149986.0,150663.0,150733.0,152320.0,153883.0,155489.0,156774.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66396.0,68189.0,70141.0,71758.0,71892.0,71894.0,74313.0,76823.0,79157.0,81317.0,83588.0,83759.0,83759.0,86278.0,88759.0,91192.0,92983.0,94824.0,94960.0,94961.0,97891.0,99928.0,101968.0,103855.0,104561.0,104585.0,104614.0,106264.0,108055.0,109520.0,111475.0,113009.0,113349.0,113349.0,115301.0,116967.0,118437.0,119878.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86139.0,116532.0,149896.0,181238.0,209161.0,210489.0,210489.0,244377.0,274229.0,298716.0,319419.0,338013.0,338692.0,338805.0,350198.0,359367.0,367210.0,375870.0,385479.0,389120.0,389136.0,402525.0,420860.0,441444.0,460401.0,478307.0,478609.0,478609.0,494737.0,510211.0,525892.0,547384.0,565190.0,566415.0,566415.0,582878.0,601325.0,618427.0,636761.0,653259.0,654366.0,654449.0,669560.0,683720.0,699279.0,715025.0,731548.0,731918.0,731946.0,748749.0,762797.0,775574.0,789428.0,789589.0,789781.0,789821.0,797686.0,807406.0,817125.0,824835.0,832424.0,833011.0,833129.0,842019.0,849129.0,857578.0,864164.0,871246.0,871645.0,871686.0,877514.0,882328.0,886277.0,893388.0,898373.0,898724.0,898754.0,904428.0,908380.0,913281.0,917280.0,921893.0,921950.0,921971.0,930157.0,938428.0,947156.0,955779.0,964316.0,965323.0,965379.0,975778.0,986870.0,997179.0,1006721.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35452.0,54071.0,55194.0,55201.0,82066.0,111664.0,144047.0,174581.0,201930.0,202945.0,202957.0,236025.0,268536.0,295860.0,321130.0,340271.0,340949.0,341025.0,355804.0,367597.0,374441.0,380077.0,384566.0,384652.0,384676.0,397133.0,412991.0,433244.0,455416.0,455993.0,456205.0,456226.0,480731.0,497319.0,512863.0,533784.0,551270.0,552073.0,552112.0,568494.0,585661.0,602688.0,620548.0,636544.0,637340.0,637431.0,653274.0,666936.0,681669.0,695597.0,710555.0,711014.0,711046.0,728086.0,741553.0,754611.0,767768.0,771259.0,771360.0,771417.0,778850.0,787963.0,797059.0,805019.0,812026.0,812446.0,812499.0,820667.0,828550.0,836704.0,842549.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70098.0,70393.0,70644.0,78140.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104173.0,107985.0,111273.0,114559.0,117216.0,117270.0,117328.0,120847.0,124858.0,128407.0,131279.0,133656.0,133735.0,133771.0,138407.0,143453.0,148447.0,154467.0,159598.0,159804.0,160018.0,165891.0,171661.0,176416.0,180678.0,184676.0,184902.0,185108.0,188865.0,192899.0,196984.0,201022.0,205019.0,205063.0,205122.0,208932.0,212259.0,215359.0,219986.0,219987.0,219987.0,219987.0,223019.0,226246.0,229371.0,232305.0,235232.0,235454.0,235481.0,237420.0,238979.0,240229.0,241224.0,242448.0,242526.0,242540.0,243531.0,244511.0,245241.0,246550.0,247428.0,247464.0,247465.0,248702.0,249635.0,250746.0,251584.0,252415.0,252416.0,252416.0,254301.0,256286.0,258383.0,260237.0,262149.0,262397.0,262416.0,264726.0,267205.0,269713.0,271695.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13200.0,19580.0,25416.0,25551.0,25678.0,32902.0,40469.0,49390.0,59243.0,67679.0,68041.0,68284.0,76237.0,83302.0,89966.0,95982.0,100628.0,100667.0,100676.0,105292.0,108835.0,111571.0,113868.0,115692.0,115775.0,115789.0,118859.0,122415.0,125777.0,129223.0,129225.0,129225.0,129225.0,134755.0,139927.0,144851.0,150630.0,155621.0,155702.0,155756.0,161428.0,167107.0,171866.0,176026.0,180166.0,180357.0,180442.0,184388.0,188398.0,192216.0,196210.0,200011.0,200089.0,200116.0,204166.0,207726.0,210787.0,214838.0,215752.0,215753.0,215754.0,218438.0,221439.0,224577.0,227491.0,229941.0,230079.0,230088.0,232233.0,234212.0,235706.0,236780.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152396.0,181080.0,203030.0,206270.0,207549.0,228812.0,245698.0,260121.0,271046.0,280983.0,282122.0,282514.0,291023.0,298761.0,306525.0,315746.0,322528.0,322876.0,323034.0,334460.0,347756.0,361044.0,373164.0,383878.0,384515.0,384731.0,396576.0,409696.0,422303.0,439643.0,454759.0,457972.0,458845.0,473922.0,490002.0,504636.0,518173.0,530838.0,533507.0,534666.0,546478.0,558710.0,571421.0,583442.0,597709.0,598312.0,598337.0,611121.0,621803.0,632828.0,644119.0,644315.0,644388.0,644390.0,650548.0,658080.0,666109.0,672887.0,678450.0,679694.0,679914.0,686234.0,692227.0,697991.0,701920.0,705621.0,706002.0,706042.0,709519.0,712041.0,714273.0,718576.0,721612.0,722127.0,722247.0,725496.0,728289.0,731644.0,733996.0,738565.0,738680.0,739126.0,745544.0,752423.0,758995.0,765825.0,772115.0,773614.0,773833.0,781557.0,789619.0,797613.0,804594.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87085.0,114548.0,144912.0,173101.0,194967.0,198099.0,199255.0,222213.0,242143.0,259738.0,274770.0,284960.0,286113.0,286544.0,297382.0,305984.0,311367.0,315941.0,320127.0,320325.0,320437.0,328503.0,339343.0,351320.0,363924.0,364609.0,364699.0,364711.0,383195.0,396896.0,410009.0,426174.0,439535.0,441267.0,441670.0,457632.0,473609.0,487932.0,501142.0,513098.0,514820.0,515445.0,528855.0,540991.0,553438.0,565219.0,577427.0,578175.0,578311.0,591364.0,602764.0,613814.0,624390.0,627654.0,627737.0,627916.0,633998.0,640936.0,648686.0,655352.0,660270.0,661012.0,661170.0,667592.0,673638.0,679537.0,683580.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82132.0,93261.0,94476.0,94496.0,109704.0,122760.0,134111.0,143169.0,150892.0,151323.0,151335.0,157665.0,163149.0,168064.0,172955.0,176714.0,177038.0,177038.0,186521.0,196490.0,205781.0,213818.0,221751.0,222109.0,222111.0,230254.0,238283.0,246009.0,255898.0,264887.0,265412.0,265416.0,275025.0,284378.0,292617.0,299926.0,307047.0,307360.0,307363.0,314930.0,322525.0,330420.0,337989.0,346632.0,346784.0,346846.0,355730.0,364328.0,372552.0,380336.0,380343.0,380359.0,380385.0,384612.0,389235.0,394473.0,397396.0,398922.0,398975.0,398975.0,402182.0,406449.0,411221.0,414831.0,418118.0,418344.0,418363.0,420268.0,422167.0,423917.0,426758.0,429009.0,429050.0,429050.0,431062.0,433177.0,435517.0,437307.0,440059.0,440059.0,440060.0,445090.0,450240.0,455401.0,460440.0,465798.0,466020.0,466020.0,472582.0,479156.0,485640.0,491323.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56456.0,69363.0,80334.0,91129.0,92221.0,92243.0,107828.0,121527.0,133757.0,143824.0,152273.0,152625.0,152638.0,159886.0,164969.0,169154.0,172678.0,175162.0,175326.0,175345.0,183959.0,193508.0,203136.0,215677.0,215742.0,215747.0,215765.0,225451.0,233614.0,241212.0,250780.0,259486.0,259806.0,259808.0,269014.0,277753.0,286273.0,293457.0,300459.0,300700.0,300703.0,308039.0,315280.0,322999.0,330608.0,338404.0,338536.0,338540.0,346533.0,355157.0,362799.0,369743.0,371549.0,371557.0,371558.0,375973.0,380690.0,386047.0,389511.0,391433.0,391501.0,391502.0,394764.0,399207.0,403682.0,407183.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1667.0,14340.0,26645.0,39886.0,43785.0,46415.0,61114.0,76151.0,92690.0,107711.0,120417.0,121864.0,122452.0,136530.0,149525.0,161123.0,170218.0,179168.0,179539.0,179703.0,186848.0,193280.0,199157.0,204935.0,211377.0,211656.0,211665.0,219249.0,228723.0,237666.0,245151.0,251785.0,252444.0,252692.0,261017.0,269914.0,279568.0,290464.0,300470.0,301995.0,302537.0,313533.0,323984.0,333064.0,341842.0,349994.0,350619.0,350809.0,359758.0,368895.0,377839.0,386234.0,395145.0,395275.0,395302.0,404558.0,412334.0,419415.0,427705.0,427731.0,427761.0,427790.0,433528.0,439892.0,445808.0,450925.0,455744.0,456037.0,456065.0,459295.0,463523.0,467502.0,470205.0,472746.0,472982.0,473002.0,475633.0,477812.0,479954.0,483046.0,485518.0,485662.0,485677.0,487292.0,489341.0,491250.0,492642.0,496362.0,496397.0,496409.0,500934.0,506491.0,511638.0,517091.0,523221.0,524104.0,524121.0,530654.0,537817.0,544852.0,550741.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13091.0,24936.0,37634.0,41396.0,43788.0,58214.0,72787.0,88775.0,103632.0,116264.0,117703.0,118358.0,132802.0,146832.0,160057.0,171038.0,182311.0,182646.0,182730.0,190846.0,196596.0,200915.0,204625.0,208416.0,208467.0,208486.0,214968.0,223230.0,231448.0,239921.0,239980.0,240000.0,240016.0,252530.0,262053.0,271277.0,281430.0,290864.0,291216.0,291258.0,301936.0,312583.0,321824.0,330506.0,338621.0,339054.0,339104.0,348119.0,357191.0,365898.0,374365.0,382377.0,382618.0,382638.0,392141.0,400302.0,407472.0,414467.0,417023.0,417054.0,417084.0,421764.0,427596.0,433755.0,438869.0,443600.0,443910.0,443920.0,447526.0,451935.0,455955.0,458732.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12097.0,71903.0,135232.0,197876.0,208199.0,210125.0,293816.0,385119.0,486840.0,577936.0,664903.0,678790.0,680531.0,784920.0,870525.0,944982.0,1006154.0,1062591.0,1067871.0,1068276.0,1105631.0,1136326.0,1164263.0,1192219.0,1216113.0,1219890.0,1220002.0,1276958.0,1339819.0,1403762.0,1465286.0,1524270.0,1529984.0,1530395.0,1583449.0,1635804.0,1686781.0,1750867.0,1807790.0,1822313.0,1823239.0,1883659.0,1947163.0,2005985.0,2065151.0,2119506.0,2135425.0,2136353.0,2197078.0,2259787.0,2325050.0,2395938.0,2470545.0,2480082.0,2480658.0,2544494.0,2600819.0,2654419.0,2710865.0,2711756.0,2712478.0,2712729.0,2743233.0,2778598.0,2815662.0,2845873.0,2874836.0,2882174.0,2882644.0,2917089.0,2946802.0,2979723.0,3005190.0,3027754.0,3032292.0,3032824.0,3048781.0,3062453.0,3072204.0,3095577.0,3110311.0,3113300.0,3113416.0,3130164.0,3143745.0,3160939.0,3171293.0,3193875.0,3194314.0,3194449.0,3224344.0,3256240.0,3289421.0,3323144.0,3358697.0,3368580.0,3368902.0,3414102.0,3459321.0,3503672.0,3544017.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7954.0,11647.0,63924.0,124018.0,184544.0,192976.0,194271.0,275017.0,365547.0,465471.0,554349.0,638156.0,649933.0,651118.0,757027.0,847732.0,930444.0,1001031.0,1061399.0,1068478.0,1068959.0,1108838.0,1137862.0,1159147.0,1177755.0,1197108.0,1198970.0,1199180.0,1248291.0,1308111.0,1371356.0,1443069.0,1446055.0,1446926.0,1447270.0,1529700.0,1585150.0,1638481.0,1701330.0,1760342.0,1770551.0,1771248.0,1831974.0,1891734.0,1949182.0,2006648.0,2060349.0,2069516.0,2070150.0,2132811.0,2196375.0,2257019.0,2320918.0,2384732.0,2393176.0,2393462.0,2460264.0,2515134.0,2568003.0,2618621.0,2633127.0,2633809.0,2634013.0,2663341.0,2697366.0,2734424.0,2763861.0,2788499.0,2793504.0,2793589.0,2820105.0,2857285.0,2890072.0,2914362.0
