Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61261.0,70096.0,70391.0,70642.0,78139.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104172.0,107985.0,111270.0,114556.0,117212.0,117266.0,117324.0,120841.0,124853.0,128400.0,131266.0,133644.0,133723.0,133759.0,138390.0,143442.0,148437.0,154444.0,159567.0,159773.0,159984.0,165857.0,171627.0,176392.0,180663.0,184679.0,184905.0,185111.0,189007.0,193117.0,197233.0,201302.0,205302.0,205344.0,205403.0,209232.0,212551.0,215645.0,220237.0,220238.0,220238.0,220238.0,223286.0,226531.0,229604.0,232017.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19540.0,25372.0,25507.0,25634.0,32855.0,40420.0,49338.0,59121.0,67555.0,67916.0,68158.0,76109.0,83172.0,89834.0,95849.0,100492.0,100531.0,100540.0,105156.0,108698.0,111424.0,113742.0,115539.0,115622.0,115636.0,118704.0,122242.0,125586.0,128993.0,128995.0,128995.0,128995.0,134502.0,139675.0,144515.0,149770.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46734.0,63168.0,67332.0,69959.0,93384.0,120853.0,152380.0,181067.0,203017.0,206257.0,207536.0,228808.0,245686.0,260109.0,271033.0,280967.0,282106.0,282498.0,291008.0,298747.0,306511.0,315735.0,322516.0,322864.0,323022.0,334454.0,347756.0,361048.0,373171.0,383886.0,384523.0,384739.0,396591.0,409696.0,422299.0,439647.0,454714.0,457919.0,458790.0,473843.0,489941.0,504591.0,518252.0,530902.0,533568.0,534725.0,547042.0,559784.0,572316.0,584444.0,598291.0,598893.0,598918.0,611696.0,622431.0,633503.0,644808.0,645004.0,645074.0,645076.0,651252.0,658770.0,666786.0,673099.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25093.0,42877.0,58490.0,62375.0,64688.0,87045.0,114488.0,144830.0,173004.0,194842.0,197976.0,199132.0,222068.0,241996.0,259582.0,274609.0,284773.0,285926.0,286357.0,297204.0,305789.0,311139.0,315710.0,319886.0,320084.0,320195.0,328259.0,339104.0,351069.0,363649.0,364329.0,364416.0,364428.0,382889.0,396488.0,409549.0,425065.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37232.0,38350.0,38409.0,48275.0,57720.0,70903.0,82120.0,93248.0,94463.0,94483.0,109689.0,122759.0,134091.0,143146.0,150867.0,151298.0,151310.0,157643.0,163125.0,168040.0,172930.0,176688.0,177012.0,177012.0,186494.0,196465.0,205758.0,213799.0,221732.0,222091.0,222093.0,230243.0,238278.0,246016.0,255889.0,264864.0,265389.0,265393.0,275007.0,284391.0,292744.0,300259.0,307735.0,308053.0,308056.0,315717.0,323390.0,331330.0,338950.0,347523.0,347675.0,347737.0,356633.0,365203.0,373348.0,381062.0,381069.0,381085.0,381111.0,385335.0,389958.0,395147.0,397693.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27654.0,36457.0,37303.0,37330.0,47199.0,56416.0,69317.0,80265.0,91054.0,92146.0,92168.0,107733.0,121414.0,133645.0,143709.0,152153.0,152505.0,152518.0,159761.0,164835.0,169004.0,172490.0,174935.0,175098.0,175117.0,183699.0,193225.0,202748.0,215154.0,215219.0,215224.0,215242.0,224843.0,232956.0,240453.0,249525.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39902.0,43803.0,46432.0,61131.0,76169.0,92707.0,107728.0,120431.0,121877.0,122464.0,136540.0,149534.0,161136.0,170229.0,179178.0,179549.0,179713.0,186861.0,193293.0,199169.0,204950.0,211390.0,211669.0,211678.0,219262.0,228739.0,237683.0,245173.0,251799.0,252454.0,252704.0,261017.0,269922.0,279585.0,290479.0,300458.0,301972.0,302514.0,313476.0,323878.0,332974.0,341749.0,350110.0,350719.0,350909.0,359897.0,369086.0,378064.0,386489.0,395410.0,395540.0,395567.0,404825.0,412617.0,419692.0,427839.0,427864.0,427892.0,427966.0,433648.0,439861.0,445689.0,450140.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1435.0,13090.0,24933.0,37623.0,41380.0,43727.0,58177.0,72733.0,88616.0,103456.0,116045.0,117485.0,118136.0,132564.0,146581.0,159797.0,170768.0,182037.0,182372.0,182456.0,190571.0,196309.0,200616.0,204317.0,208099.0,208150.0,208169.0,214646.0,222910.0,231101.0,239560.0,239619.0,239639.0,239669.0,252084.0,261510.0,270660.0,279915.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71908.0,135239.0,197888.0,208211.0,210138.0,293833.0,385141.0,486868.0,577972.0,664942.0,678831.0,680572.0,784974.0,870588.0,945047.0,1006221.0,1062655.0,1067935.0,1068340.0,1105696.0,1136396.0,1164334.0,1192292.0,1216201.0,1220008.0,1220120.0,1277098.0,1339998.0,1403966.0,1465510.0,1524508.0,1530222.0,1530633.0,1583699.0,1636092.0,1687074.0,1751171.0,1808068.0,1822558.0,1823482.0,1883849.0,1947344.0,2006177.0,2065387.0,2122183.0,2138116.0,2139052.0,2200383.0,2264537.0,2330303.0,2401542.0,2476421.0,2485979.0,2486555.0,2550425.0,2607026.0,2660769.0,2717301.0,2718191.0,2718907.0,2719158.0,2749652.0,2785242.0,2822400.0,2851806.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11644.0,63916.0,123993.0,184504.0,192935.0,194230.0,274966.0,365475.0,465350.0,554217.0,638009.0,649777.0,650961.0,756843.0,847513.0,930208.0,1000763.0,1061152.0,1068259.0,1068739.0,1108633.0,1137611.0,1158876.0,1177475.0,1196817.0,1198670.0,1198879.0,1247972.0,1307808.0,1371038.0,1442702.0,1445679.0,1446545.0,1446887.0,1529249.0,1584754.0,1638000.0,1698590.0
