Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128401.0,131266.0,133644.0,133723.0,133759.0,138392.0,143438.0,148431.0,154431.0,159553.0,159759.0,159970.0,165844.0,171615.0,176380.0,180652.0,184668.0,184894.0,185100.0,188996.0,193106.0,197222.0,201291.0,205291.0,205333.0,205392.0,209221.0,212540.0,215633.0,220224.0,220225.0,220225.0,220225.0,223252.0,226082.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19539.0,25371.0,25506.0,25633.0,32853.0,40418.0,49336.0,59119.0,67553.0,67914.0,68156.0,76106.0,83168.0,89830.0,95845.0,100488.0,100527.0,100536.0,105152.0,108692.0,111418.0,113735.0,115507.0,115590.0,115604.0,118672.0,122210.0,125551.0,128958.0,128960.0,128960.0,128960.0,134446.0,139192.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46734.0,63169.0,67333.0,69960.0,93384.0,120853.0,152380.0,181068.0,203017.0,206257.0,207536.0,228808.0,245687.0,260110.0,271034.0,280968.0,282107.0,282499.0,291009.0,298748.0,306512.0,315736.0,322519.0,322867.0,323025.0,334457.0,347759.0,361051.0,373174.0,383886.0,384522.0,384738.0,396584.0,409687.0,422275.0,439605.0,454659.0,457864.0,458735.0,473787.0,489877.0,504511.0,518165.0,530806.0,533472.0,534629.0,546937.0,559677.0,572205.0,584329.0,598162.0,598765.0,598790.0,611565.0,622297.0,633369.0,644654.0,644850.0,644923.0,644926.0,651058.0,658271.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25093.0,42874.0,58485.0,62370.0,64683.0,87035.0,114476.0,144817.0,172990.0,194827.0,197961.0,199117.0,222053.0,241979.0,259562.0,274590.0,284754.0,285908.0,286339.0,297186.0,305769.0,311119.0,315690.0,319865.0,320063.0,320174.0,328237.0,339080.0,351040.0,363608.0,364288.0,364375.0,364389.0,382669.0,395822.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37231.0,38349.0,38408.0,48276.0,57719.0,70905.0,82122.0,93250.0,94465.0,94485.0,109691.0,122761.0,134093.0,143148.0,150869.0,151300.0,151312.0,157645.0,163127.0,168042.0,172931.0,176689.0,177013.0,177013.0,186495.0,196466.0,205759.0,213800.0,221735.0,222094.0,222096.0,230247.0,238276.0,246006.0,255867.0,264841.0,265366.0,265370.0,274984.0,284363.0,292716.0,300229.0,307705.0,308023.0,308026.0,315687.0,323362.0,331266.0,338836.0,347409.0,347561.0,347622.0,356517.0,365086.0,373231.0,380824.0,380831.0,380847.0,380873.0,385054.0,389473.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27653.0,36454.0,37300.0,37327.0,47193.0,56411.0,69312.0,80258.0,91045.0,92137.0,92159.0,107723.0,121357.0,133585.0,143537.0,151980.0,152332.0,152345.0,159588.0,164661.0,168813.0,172257.0,174702.0,174866.0,174885.0,183463.0,192908.0,202364.0,214575.0,214640.0,214645.0,214663.0,224199.0,231960.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39902.0,43803.0,46432.0,61131.0,76169.0,92707.0,107728.0,120431.0,121877.0,122464.0,136540.0,149534.0,161136.0,170229.0,179178.0,179549.0,179713.0,186861.0,193293.0,199169.0,204950.0,211390.0,211669.0,211678.0,219262.0,228737.0,237673.0,245162.0,251787.0,252442.0,252692.0,260981.0,269878.0,279456.0,290334.0,300313.0,301827.0,302369.0,313331.0,323733.0,332825.0,341601.0,349962.0,350571.0,350761.0,359738.0,368924.0,377901.0,386325.0,395238.0,395368.0,395395.0,404652.0,412444.0,419514.0,427655.0,427680.0,427708.0,427782.0,433291.0,438962.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1434.0,13089.0,24929.0,37615.0,41369.0,43717.0,58138.0,72688.0,88568.0,103330.0,115861.0,117301.0,117951.0,132377.0,146394.0,159604.0,170575.0,181846.0,182181.0,182265.0,190370.0,196106.0,200412.0,204109.0,207883.0,207934.0,207953.0,214426.0,222690.0,230864.0,239312.0,239371.0,239391.0,239421.0,251673.0,260477.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71907.0,135237.0,197886.0,208209.0,210136.0,293830.0,385136.0,486862.0,577965.0,664935.0,678823.0,680564.0,784965.0,870579.0,945038.0,1006211.0,1062644.0,1067924.0,1068329.0,1105685.0,1136385.0,1164323.0,1192280.0,1216189.0,1219996.0,1220108.0,1277086.0,1339986.0,1403954.0,1465497.0,1524493.0,1530207.0,1530617.0,1583676.0,1636044.0,1686957.0,1751004.0,1807895.0,1822385.0,1823309.0,1883673.0,1947166.0,2006000.0,2065211.0,2122008.0,2137940.0,2138876.0,2200207.0,2264362.0,2330148.0,2401388.0,2476258.0,2485816.0,2486392.0,2550261.0,2606856.0,2660596.0,2717034.0,2717924.0,2718640.0,2718891.0,2749356.0,2783883.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11644.0,63911.0,123983.0,184485.0,192916.0,194211.0,274939.0,365439.0,465026.0,553874.0,637663.0,649429.0,650613.0,756492.0,847156.0,929849.0,1000398.0,1060778.0,1067885.0,1068365.0,1108259.0,1137236.0,1158490.0,1177090.0,1196431.0,1198285.0,1198494.0,1247589.0,1307422.0,1370634.0,1442245.0,1445222.0,1446088.0,1446430.0,1528713.0,1581573.0
