Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240599.0,414675.0,583376.0,611224.0,619860.0,841389.0,1083909.0,1356498.0,1607800.0,1837095.0,1866602.0,1871068.0,2136975.0,2357034.0,2545143.0,2700436.0,2842615.0,2852254.0,2853418.0,2961547.0,3055784.0,3141902.0,3227843.0,3305948.0,3315921.0,3316276.0,3453403.0,3612322.0,3770159.0,3914849.0,4051133.0,4060777.0,4061842.0,4198436.0,4337427.0,4473181.0,4644607.0,4795809.0,4820105.0,4822851.0,4980550.0,5146857.0,5297650.0,5445620.0,5581433.0,5604577.0,5607422.0,5751337.0,5898257.0,6051066.0,6207537.0,6373444.0,6386307.0,6387276.0,6538030.0,6671282.0,6797800.0,6932110.0,6933957.0,6935832.0,6936488.0,7015970.0,7108497.0,7202827.0,7279055.0,7349392.0,7360482.0,7361569.0,7439181.0,7513587.0,7592310.0,7653846.0,7711601.0,7719417.0,7720275.0,7763874.0,7802730.0,7833651.0,7889701.0,7929335.0,7935034.0,7935382.0,7978177.0,8016908.0,8060159.0,8090806.0,8141325.0,8142373.0,8143138.0,8218877.0,8299687.0,8380951.0,8462228.0,8545606.0,8562879.0,8563836.0,8666824.0,8773703.0,8877890.0,8973964.0,9072228.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44329.0,52664.0,55545.0,55755.0,55789.0,55789.0,55789.0,55799.0,55799.0,55799.0,55799.0,55799.0,55799.0,55820.0,55860.0,56033.0,56177.0,56295.0,56299.0,56299.0,56706.0,69118.0,223167.0,388977.0,550521.0,574646.0,581540.0,795519.0,1032997.0,1298449.0,1543935.0,1767025.0,1793154.0,1796988.0,2069380.0,2312814.0,2528811.0,2714867.0,2869607.0,2880590.0,2881765.0,3003686.0,3094200.0,3158956.0,3214143.0,3265059.0,3267802.0,3268223.0,3383680.0,3528227.0,3681352.0,3849775.0,3854944.0,3856286.0,3856745.0,4061408.0,4207849.0,4346055.0,4508661.0,4656592.0,4671410.0,4672767.0,4831347.0,4991045.0,5140423.0,5284297.0,5416857.0,5431187.0,5432938.0,5581281.0,5728011.0,5872804.0,6015912.0,6158942.0,6170800.0,6171485.0,6324253.0,6455693.0,6580417.0,6704356.0,6741014.0,6742214.0,6742870.0,6818139.0,6906034.0,6998930.0,7074953.0,7138202.0,7146317.0,7146758.0,7216558.0,7300934.0,7378377.0,7438074.0,7491636.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44704.0,45068.0,45489.0,45590.0,45590.0,46067.0,46536.0,46920.0,47330.0,47649.0,47684.0,47684.0,48112.0,48568.0,49050.0,49406.0,49772.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16843.0,18437.0,19741.0,19810.0,19810.0,20708.0,21614.0,22079.0,22494.0,22809.0,22809.0,22809.0,23356.0,23946.0,24760.0,25537.0,25543.0,25543.0,25543.0,26296.0,26939.0,27479.0,28005.0,28531.0,28537.0,28537.0,29366.0,30280.0,31105.0,31751.0,32332.0,32336.0,32336.0,32889.0,33579.0,34119.0,34649.0,35188.0,35201.0,35202.0,35832.0,36367.0,36918.0,37528.0,37717.0,37717.0,37717.0,38056.0,38470.0,38867.0,39185.0,39445.0,39456.0,39456.0,39773.0,40165.0,40512.0,40728.0,40915.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126408.0,131610.0,131730.0,131730.0,136779.0,142262.0,148246.0,153435.0,158437.0,158799.0,158843.0,164759.0,170825.0,176447.0,181696.0,186910.0,187295.0,187481.0,192995.0,198084.0,203024.0,207729.0,208022.0,208478.0,208673.0,211822.0,215295.0,219096.0,222158.0,224711.0,225224.0,225368.0,228649.0,231748.0,234815.0,237426.0,239951.0,240934.0,241068.0,242525.0,243515.0,244382.0,245955.0,247068.0,247612.0,247637.0,248592.0,249501.0,250398.0,251104.0,252492.0,252525.0,252561.0,255397.0,258762.0,261947.0,265106.0,267971.0,269199.0,269453.0,273324.0,277192.0,280785.0,284207.0,287787.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132746.0,137861.0,143229.0,148276.0,152750.0,153471.0,153525.0,159625.0,165044.0,170194.0,175245.0,180028.0,180579.0,180741.0,185825.0,189507.0,193591.0,198611.0,200483.0,200642.0,200772.0,203987.0,207529.0,211498.0,214475.0,217028.0,217581.0,217702.0,220505.0,223766.0,226678.0,228845.0,231144.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51208.0,52438.0,54082.0,55419.0,55519.0,55519.0,56786.0,58448.0,59982.0,62130.0,63226.0,63290.0,63290.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74256.0,75420.0,75506.0,75648.0,75649.0,76620.0,78008.0,78935.0,79870.0,80129.0,80130.0,80130.0,81054.0,81974.0,82985.0,83708.0,84402.0,84433.0,84433.0,85177.0,85930.0,86611.0,87589.0,87994.0,88055.0,88055.0,88661.0,89415.0,90000.0,90424.0,90867.0,90871.0,90871.0,91738.0,92551.0,93682.0,94618.0,95416.0,95497.0,95497.0,96656.0,97950.0,99106.0,100142.0,101132.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22718.0,22812.0,22812.0,25752.0,28582.0,31264.0,33741.0,35877.0,35922.0,35922.0,38030.0,40131.0,41343.0,42148.0,42911.0,42917.0,42917.0,43799.0,44834.0,45662.0,46537.0,46543.0,46546.0,46547.0,48103.0,49391.0,50623.0,52151.0,53241.0,53293.0,53293.0,54068.0,55796.0,57490.0,59316.0,60230.0,60282.0,60284.0,60932.0,62871.0,64377.0,65096.0,66534.0,66552.0,66555.0,68144.0,69787.0,71092.0,72158.0,72541.0,72541.0,72542.0,73449.0,74549.0,75416.0,75599.0,75812.0,75820.0,75820.0,76980.0,78174.0,79021.0,79526.0,80110.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79156.0,80875.0,80876.0,80888.0,83352.0,85901.0,88369.0,90630.0,93044.0,93044.0,93044.0,95226.0,97284.0,99017.0,100678.0,100678.0,100678.0,100678.0,102277.0,103792.0,105543.0,106733.0,108240.0,108371.0,108371.0,108787.0,110310.0,111702.0,112818.0,113837.0,113837.0,113837.0,114944.0,116305.0,117211.0,118260.0,119171.0,119171.0,119171.0,119962.0,121080.0,122171.0,123017.0,124102.0,124102.0,124102.0,125571.0,127097.0,128406.0,129725.0,131118.0,131307.0,131307.0,132833.0,134490.0,135984.0,137275.0,138719.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29700.0,32136.0,32504.0,32504.0,34943.0,37667.0,40529.0,42360.0,43592.0,43616.0,43621.0,45294.0,46980.0,48348.0,50243.0,51569.0,51570.0,51570.0,52636.0,53894.0,55334.0,56831.0,56832.0,56832.0,56832.0,59450.0,61496.0,63271.0,65187.0,66756.0,66762.0,66762.0,68693.0,71279.0,73475.0,75657.0,77459.0,77465.0,77465.0,79506.0,81965.0,84226.0,86421.0,88183.0,88187.0,88187.0,89502.0,91714.0,93932.0,95728.0,96511.0,96511.0,96511.0,97721.0,99161.0,100889.0,102022.0,102993.0,103057.0,103057.0,103909.0,105514.0,106667.0,107664.0,108319.0
