Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30305.0,39187.0,49267.0,58819.0,67653.0,68134.0,68134.0,79326.0,88168.0,96218.0,103136.0,109616.0,109660.0,109665.0,115877.0,121136.0,125792.0,130607.0,134567.0,134703.0,134703.0,142160.0,150173.0,157745.0,164107.0,169665.0,169717.0,169717.0,175715.0,181965.0,187662.0,194172.0,199854.0,200060.0,200060.0,206441.0,213106.0,218874.0,224492.0,229760.0,229862.0,229862.0,235699.0,241490.0,247591.0,253904.0,260620.0,261053.0,261053.0,266890.0,272412.0,277451.0,283038.0,283047.0,283047.0,283049.0,286959.0,291547.0,295887.0,299729.0,303237.0,303326.0,303326.0,307090.0,310528.0,313870.0,316730.0,319645.0,319725.0,319725.0,322320.0,324428.0,326356.0,329044.0,331223.0,331318.0,331319.0,333632.0,335896.0,338217.0,340372.0,342305.0,342320.0,342320.0,345900.0,349532.0,353062.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6434.0,8046.0,8549.0,8561.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8597.0,8601.0,8614.0,8643.0,8646.0,8646.0,8646.0,8650.0,8714.0,12391.0,16982.0,21495.0,21514.0,21515.0,28951.0,37514.0,47546.0,56795.0,65365.0,65722.0,65724.0,77779.0,87970.0,97560.0,106583.0,113996.0,114044.0,114047.0,121273.0,125487.0,128612.0,131080.0,133491.0,133569.0,133570.0,139199.0,146257.0,153367.0,159929.0,160031.0,160033.0,160036.0,169732.0,176532.0,182363.0,189187.0,194482.0,194654.0,194655.0,200999.0,207230.0,212827.0,218186.0,223302.0,223397.0,223400.0,229532.0,234955.0,240707.0,246391.0,252207.0,252468.0,252470.0,257929.0,262601.0,268391.0,273712.0,275265.0,275267.0,275272.0,278814.0,282682.0,286826.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225486.0,232526.0,232937.0,232937.0,240896.0,248726.0,256731.0,266728.0,275909.0,276608.0,276608.0,285616.0,294980.0,303319.0,311104.0,318685.0,319109.0,319109.0,326193.0,333169.0,340450.0,347507.0,354626.0,354915.0,354915.0,362003.0,368057.0,373447.0,379417.0,379434.0,379452.0,379452.0,383245.0,387843.0,392506.0,396210.0,399779.0,399942.0,399942.0,403273.0,407438.0,411132.0,414101.0,416914.0,417036.0,417036.0,419662.0,422431.0,424521.0,427531.0,429991.0,430405.0,430426.0,432877.0,435363.0,437906.0,439825.0,442465.0,442489.0,442489.0,446375.0,450681.0,454529.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54196.0,68605.0,82409.0,96203.0,98123.0,98131.0,114875.0,130193.0,142010.0,152101.0,161646.0,161944.0,161945.0,169526.0,175273.0,180288.0,184113.0,187704.0,187781.0,187781.0,194609.0,203832.0,211794.0,219944.0,220308.0,220324.0,220324.0,232661.0,240905.0,248909.0,258573.0,267088.0,267411.0,267414.0,276545.0,285719.0,294015.0,301593.0,309151.0,309459.0,309461.0,316842.0,323816.0,330720.0,337341.0,344006.0,344335.0,344339.0,351403.0,357820.0,363454.0,368926.0,370410.0,370417.0,370418.0,373804.0,377952.0,382247.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93494.0,96637.0,96761.0,110864.0,121562.0,129260.0,135959.0,142293.0,142679.0,142686.0,148293.0,153542.0,158603.0,163558.0,169031.0,169369.0,169369.0,175419.0,182079.0,188543.0,194270.0,199512.0,200292.0,200403.0,206361.0,212818.0,218931.0,225997.0,232708.0,234187.0,234202.0,241327.0,249476.0,256271.0,262936.0,268188.0,269115.0,269123.0,274920.0,281735.0,289235.0,296642.0,303400.0,303946.0,303946.0,309724.0,315663.0,321909.0,328406.0,328411.0,328419.0,328419.0,332353.0,337008.0,341436.0,344474.0,347325.0,347466.0,347466.0,350471.0,354363.0,358364.0,361730.0,364314.0,364494.0,364494.0,365068.0,365714.0,366269.0,367518.0,369133.0,369307.0,369307.0,372050.0,374980.0,376849.0,378526.0,379775.0,379775.0,379775.0,383143.0,386801.0,389880.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9653.0,17670.0,25548.0,28439.0,28756.0,40941.0,53206.0,65725.0,77831.0,88716.0,91679.0,91744.0,106000.0,119011.0,128666.0,137344.0,144059.0,144454.0,144465.0,151930.0,157537.0,161533.0,164524.0,166913.0,166951.0,166951.0,171527.0,177081.0,183466.0,189948.0,189960.0,189965.0,189966.0,198791.0,205119.0,211231.0,216677.0,222634.0,222904.0,222907.0,231371.0,239740.0,246897.0,253443.0,258288.0,258484.0,258486.0,264826.0,271825.0,279390.0,285874.0,291728.0,291959.0,291962.0,298028.0,303976.0,309120.0,315283.0,316803.0,316803.0,316804.0,320935.0,325344.0,329550.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28010.0,35136.0,42229.0,47632.0,48440.0,48883.0,54480.0,58340.0,61678.0,64668.0,67463.0,67536.0,67590.0,70584.0,73046.0,75182.0,77103.0,78659.0,78678.0,78679.0,80679.0,84523.0,88717.0,92182.0,95032.0,95188.0,95223.0,98703.0,102459.0,105745.0,109961.0,113063.0,113213.0,113344.0,116957.0,120836.0,123949.0,126405.0,129065.0,129198.0,129399.0,132629.0,135701.0,138909.0,142810.0,146831.0,146991.0,146995.0,150202.0,152651.0,155024.0,157577.0,157703.0,157829.0,157897.0,159402.0,161070.0,162589.0,164354.0,166334.0,166495.0,166542.0,167966.0,169551.0,171461.0,173120.0,174785.0,175143.0,175144.0,175970.0,176994.0,177790.0,178725.0,179294.0,179369.0,179375.0,179936.0,180385.0,180760.0,181269.0,182225.0,182359.0,182368.0,183433.0,184602.0,185761.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,617.0,4868.0,9319.0,13712.0,14220.0,14601.0,19758.0,26501.0,33443.0,40396.0,45608.0,46408.0,46880.0,52755.0,57804.0,62024.0,65672.0,68812.0,68955.0,69009.0,72179.0,74167.0,75520.0,76795.0,77784.0,77818.0,77820.0,79191.0,82446.0,86183.0,90331.0,90600.0,90708.0,90741.0,95333.0,99145.0,102364.0,106144.0,109516.0,109661.0,109756.0,113166.0,116729.0,119907.0,122454.0,124988.0,125201.0,125399.0,128427.0,131486.0,134569.0,137816.0,140547.0,140751.0,140755.0,143999.0,146730.0,148524.0,151689.0,152729.0,152827.0,152844.0,154125.0,155802.0,157458.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30328.0,32708.0,35303.0,37063.0,38783.0,38985.0,38995.0,39843.0,40563.0,41476.0,42473.0,43311.0,43399.0,43399.0,45567.0,47958.0,50151.0,51911.0,53442.0,53451.0,53455.0,54716.0,56015.0,57233.0,58908.0,60161.0,60165.0,60206.0,61664.0,63464.0,64742.0,66161.0,67549.0,67562.0,67573.0,69197.0,70585.0,72135.0,73487.0,75413.0,75424.0,75426.0,76789.0,78031.0,79291.0,80654.0,80655.0,80655.0,80655.0,81524.0,82812.0,84110.0,85117.0,85883.0,85886.0,85888.0,86858.0,87698.0,88692.0,89616.0,90438.0,90441.0,90441.0,91091.0,91826.0,92346.0,93108.0,93449.0,93452.0,93452.0,93552.0,94176.0,94781.0,95008.0,95237.0,95237.0,95237.0,95754.0,96361.0,96833.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57061.0,58260.0,58267.0,58269.0,59463.0,60975.0,62371.0,63779.0,65320.0,65334.0,65336.0,66717.0,68313.0,69841.0,70949.0,71948.0,71957.0,71957.0,72892.0,74348.0,75634.0,76671.0,77247.0,77251.0,77251.0,78190.0,79797.0,80641.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104064.0,106043.0,107963.0,107991.0,108019.0,108059.0,109864.0,111983.0,114124.0,115796.0,117430.0,117577.0,117605.0,119659.0,121357.0,123167.0,124796.0,126790.0,126985.0,127042.0,129003.0,131056.0,132830.0,134263.0,135639.0,135880.0,135893.0,137326.0,138818.0,140638.0,141711.0,142815.0,142905.0,143010.0,144708.0,146113.0,147426.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66396.0,68189.0,70141.0,71757.0,71891.0,71893.0,74312.0,76822.0,79156.0,81314.0,83585.0,83756.0,83756.0,86276.0,88757.0,91190.0,92981.0,94822.0,94958.0,94959.0,97889.0,99926.0,101965.0,103852.0,104558.0,104582.0,104611.0,106261.0,108052.0,109444.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86138.0,116531.0,149895.0,181237.0,209159.0,210487.0,210487.0,244375.0,274227.0,298714.0,319418.0,338012.0,338691.0,338804.0,350197.0,359366.0,367209.0,375869.0,385478.0,389119.0,389135.0,402525.0,420860.0,441444.0,460402.0,478308.0,478610.0,478610.0,494739.0,510213.0,525895.0,547387.0,565193.0,566418.0,566418.0,582881.0,601328.0,618430.0,636764.0,653262.0,654369.0,654452.0,669563.0,683726.0,699285.0,715030.0,731553.0,731923.0,731951.0,748754.0,762803.0,775577.0,789432.0,789593.0,789784.0,789824.0,797686.0,807404.0,817120.0,824825.0,832404.0,832991.0,833109.0,841988.0,849094.0,857527.0,864109.0,871184.0,871583.0,871624.0,877450.0,882262.0,886210.0,893313.0,898294.0,898645.0,898675.0,904337.0,908287.0,913183.0,917181.0,921795.0,921852.0,921873.0,930055.0,938318.0,946866.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18170.0,35451.0,54070.0,55193.0,55200.0,82066.0,111664.0,144047.0,174581.0,201928.0,202943.0,202955.0,236023.0,268534.0,295857.0,321127.0,340265.0,340943.0,341019.0,355797.0,367591.0,374435.0,380069.0,384558.0,384644.0,384668.0,397123.0,412979.0,433232.0,455404.0,455981.0,456193.0,456214.0,480718.0,497308.0,512848.0,533768.0,551254.0,552057.0,552096.0,568477.0,585643.0,602667.0,620524.0,636517.0,637313.0,637404.0,653246.0,666910.0,681642.0,695568.0,710523.0,710982.0,711014.0,728051.0,741516.0,754571.0,767727.0,771216.0,771317.0,771374.0,778798.0,787906.0,796858.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70097.0,70392.0,70643.0,78139.0,84498.0,90413.0,95568.0,99905.0,100104.0,100104.0,104171.0,107983.0,111269.0,114555.0,117212.0,117266.0,117324.0,120843.0,124854.0,128403.0,131275.0,133652.0,133731.0,133767.0,138402.0,143448.0,148442.0,154462.0,159593.0,159799.0,160013.0,165886.0,171657.0,176412.0,180674.0,184672.0,184898.0,185104.0,188862.0,192897.0,196982.0,201020.0,205017.0,205061.0,205120.0,208931.0,212258.0,215358.0,219985.0,219986.0,219986.0,219986.0,223017.0,226244.0,229368.0,232289.0,235213.0,235435.0,235461.0,237398.0,238953.0,240202.0,241195.0,242418.0,242496.0,242510.0,243500.0,244480.0,245210.0,246519.0,247396.0,247432.0,247433.0,248670.0,249602.0,250711.0,251549.0,252380.0,252381.0,252381.0,254266.0,256246.0,258143.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19574.0,25408.0,25543.0,25670.0,32894.0,40461.0,49382.0,59231.0,67667.0,68029.0,68272.0,76225.0,83290.0,89952.0,95968.0,100612.0,100651.0,100660.0,105276.0,108819.0,111555.0,113852.0,115675.0,115758.0,115772.0,118841.0,122397.0,125759.0,129205.0,129207.0,129207.0,129207.0,134737.0,139909.0,144833.0,150612.0,155604.0,155685.0,155739.0,161409.0,167087.0,171845.0,176004.0,180142.0,180333.0,180418.0,184364.0,188370.0,192187.0,196175.0,199974.0,200052.0,200079.0,204126.0,207684.0,210743.0,214793.0,215707.0,215708.0,215709.0,218392.0,221386.0,224215.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93392.0,120862.0,152394.0,181078.0,203028.0,206268.0,207547.0,228810.0,245695.0,260119.0,271044.0,280981.0,282120.0,282512.0,291021.0,298759.0,306523.0,315744.0,322526.0,322874.0,323032.0,334458.0,347754.0,361042.0,373161.0,383875.0,384512.0,384728.0,396574.0,409693.0,422300.0,439642.0,454757.0,457970.0,458843.0,473920.0,490011.0,504634.0,518171.0,530835.0,533504.0,534663.0,546475.0,558707.0,571417.0,583435.0,597700.0,598303.0,598328.0,611112.0,621795.0,632818.0,644108.0,644304.0,644377.0,644379.0,650534.0,658063.0,666087.0,672860.0,678403.0,679636.0,679856.0,686153.0,692144.0,697896.0,701820.0,705519.0,705900.0,705940.0,709416.0,711938.0,714166.0,718469.0,721501.0,722016.0,722136.0,725382.0,728173.0,731525.0,733869.0,738432.0,738547.0,738989.0,745358.0,752165.0,758493.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87084.0,114545.0,144906.0,173093.0,194958.0,198090.0,199246.0,222204.0,242136.0,259726.0,274757.0,284947.0,286100.0,286531.0,297369.0,305970.0,311353.0,315927.0,320113.0,320311.0,320423.0,328489.0,339329.0,351305.0,363908.0,364593.0,364683.0,364695.0,383177.0,396871.0,409984.0,426147.0,439508.0,441240.0,441643.0,457604.0,473577.0,487900.0,501110.0,513060.0,514782.0,515407.0,528817.0,540953.0,553343.0,565122.0,577329.0,578077.0,578213.0,591266.0,602665.0,613713.0,624289.0,627549.0,627632.0,627810.0,633826.0,640647.0,648098.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150892.0,151323.0,151335.0,157665.0,163148.0,168062.0,172953.0,176711.0,177035.0,177035.0,186518.0,196486.0,205776.0,213815.0,221748.0,222106.0,222108.0,230251.0,238280.0,246004.0,255893.0,264882.0,265407.0,265411.0,275020.0,284373.0,292612.0,299921.0,307042.0,307355.0,307358.0,314926.0,322521.0,330416.0,337985.0,346627.0,346779.0,346841.0,355726.0,364322.0,372546.0,380330.0,380337.0,380353.0,380379.0,384606.0,389229.0,394467.0,397391.0,398916.0,398969.0,398969.0,402175.0,406439.0,411209.0,414817.0,418099.0,418325.0,418344.0,420246.0,422143.0,423894.0,426734.0,428980.0,429021.0,429021.0,431032.0,433147.0,435485.0,437270.0,440021.0,440021.0,440022.0,445051.0,450148.0,455139.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107824.0,121523.0,133753.0,143820.0,152268.0,152620.0,152633.0,159881.0,164964.0,169148.0,172672.0,175156.0,175320.0,175339.0,183952.0,193500.0,203127.0,215669.0,215734.0,215739.0,215757.0,225443.0,233605.0,241202.0,250769.0,259475.0,259795.0,259797.0,269001.0,277740.0,286259.0,293441.0,300441.0,300682.0,300685.0,308020.0,315261.0,322980.0,330587.0,338381.0,338513.0,338517.0,346507.0,355130.0,362770.0,369712.0,371480.0,371488.0,371489.0,375903.0,380561.0,385748.0
