Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7468.0,7468.0,10861.0,14863.0,19672.0,23987.0,28202.0,28373.0,28373.0,33604.0,38439.0,41919.0,44121.0,46261.0,46370.0,46370.0,47945.0,49656.0,52029.0,54173.0,55683.0,55756.0,55756.0,57656.0,59565.0,61266.0,63047.0,65043.0,65153.0,65153.0,65660.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4139.0,6400.0,6907.0,6907.0,8128.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19406.0,37401.0,56772.0,58058.0,58096.0,85874.0,116165.0,149417.0,180645.0,208462.0,209791.0,209791.0,243558.0,273305.0,297697.0,318334.0,336851.0,337529.0,337642.0,349003.0,358135.0,365937.0,374572.0,384164.0,387817.0,387833.0,401114.0,419297.0,439677.0,458513.0,475991.0,476291.0,476291.0,480918.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18086.0,35257.0,53740.0,54864.0,54872.0,64207.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26379.0,26614.0,26730.0,33913.0,41746.0,50827.0,61186.0,70014.0,70310.0,70560.0,78055.0,84409.0,90303.0,95452.0,99788.0,99987.0,99987.0,104051.0,107857.0,111137.0,114421.0,117077.0,117131.0,117189.0,120705.0,124711.0,128249.0,131107.0,133458.0,133537.0,133564.0,134659.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13172.0,19526.0,25326.0,25461.0,25524.0,27435.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28267.0,46724.0,63160.0,67320.0,69947.0,93344.0,120712.0,152173.0,180882.0,202784.0,206021.0,207300.0,228547.0,245407.0,259804.0,270670.0,280600.0,281738.0,282130.0,290635.0,298364.0,306121.0,315343.0,322119.0,322467.0,322625.0,334049.0,347324.0,360588.0,372674.0,383316.0,383939.0,384155.0,386383.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4763.0,24848.0,42474.0,57654.0,61529.0,63821.0,69308.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7902.0,10258.0,11555.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11873.0,18935.0,28303.0,37191.0,38309.0,38369.0,48221.0,57597.0,70716.0,81840.0,92961.0,94174.0,94194.0,109288.0,122282.0,133601.0,142629.0,150345.0,150776.0,150788.0,157107.0,162586.0,167497.0,172357.0,176111.0,176435.0,176435.0,185906.0,195872.0,205149.0,213167.0,220935.0,221285.0,221287.0,223580.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2543.0,8026.0,10205.0,11350.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11440.0,11443.0,11457.0,11464.0,11476.0,11476.0,11476.0,11493.0,11762.0,18534.0,27604.0,36166.0,37012.0,37039.0,40572.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14324.0,26639.0,39877.0,43775.0,46396.0,61067.0,76070.0,92570.0,107557.0,120237.0,121681.0,122267.0,136332.0,149299.0,160901.0,169984.0,178923.0,179294.0,179458.0,186600.0,193022.0,198891.0,204667.0,211100.0,211379.0,211385.0,218946.0,228400.0,237105.0,244451.0,250640.0,251391.0,251636.0,253182.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1449.0,12938.0,24659.0,36991.0,40741.0,43032.0,46772.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12104.0,71904.0,135233.0,197853.0,208175.0,210099.0,293705.0,384751.0,486227.0,577248.0,664126.0,677967.0,679707.0,783979.0,869539.0,943915.0,1005022.0,1061414.0,1066676.0,1067081.0,1104415.0,1135051.0,1163035.0,1190956.0,1214833.0,1218631.0,1218743.0,1275579.0,1338445.0,1402314.0,1463767.0,1522572.0,1528154.0,1528566.0,1543638.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6923.0,7587.0,7592.0,7592.0,7602.0,7752.0,7810.0,7825.0,7836.0,7836.0,7836.0,7836.0,7846.0,7846.0,7846.0,7846.0,7846.0,7846.0,7848.0,7848.0,7851.0,7888.0,7902.0,7903.0,7903.0,7944.0,11627.0,63723.0,123725.0,183928.0,192313.0,193608.0,221225.0
