Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13708.0,14216.0,14597.0,19750.0,26491.0,33427.0,40379.0,45586.0,46386.0,46858.0,52726.0,57773.0,61994.0,65640.0,68762.0,68905.0,68959.0,72129.0,74105.0,75458.0,76734.0,77722.0,77756.0,77758.0,79127.0,82380.0,86117.0,90266.0,90528.0,90636.0,90669.0,95254.0,99023.0,100273.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26709.0,26715.0,26721.0,30332.0,32714.0,35309.0,37069.0,38789.0,38991.0,39001.0,39849.0,40569.0,41482.0,42480.0,43318.0,43406.0,43406.0,45574.0,47966.0,50161.0,51921.0,53452.0,53461.0,53465.0,54727.0,56027.0,57243.0,58920.0,60171.0,60175.0,60176.0,61629.0,63430.0,64708.0,66137.0,67531.0,67544.0,67555.0,69135.0,70560.0,72126.0,73490.0,75422.0,75433.0,75435.0,76798.0,78051.0,79318.0,80679.0,80680.0,80680.0,80680.0,81545.0,82822.0,83350.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8472.0,8518.0,8520.0,11642.0,14749.0,19183.0,22715.0,25742.0,25754.0,25761.0,29351.0,32044.0,35147.0,37420.0,39283.0,39295.0,39297.0,40186.0,41035.0,41476.0,42100.0,42643.0,42652.0,42652.0,44245.0,46827.0,48965.0,50812.0,50813.0,50817.0,50819.0,52760.0,54286.0,54970.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61301.0,63084.0,65079.0,65189.0,65189.0,67069.0,68799.0,70370.0,72495.0,74651.0,74853.0,74853.0,77138.0,79669.0,82019.0,84411.0,86989.0,87228.0,87228.0,89622.0,92052.0,94726.0,96961.0,99684.0,99788.0,99788.0,102257.0,104410.0,106403.0,108333.0,108361.0,108389.0,108429.0,110251.0,112404.0,113087.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32039.0,37443.0,42311.0,45964.0,48651.0,48813.0,48813.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59359.0,61487.0,61488.0,61488.0,61490.0,64437.0,66398.0,67124.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85904.0,116225.0,149501.0,180748.0,208593.0,209922.0,209922.0,243717.0,273486.0,297897.0,318547.0,337075.0,337754.0,337867.0,349232.0,358372.0,366188.0,374825.0,384428.0,388104.0,388120.0,401458.0,419745.0,440270.0,459214.0,477040.0,477342.0,477342.0,493393.0,508830.0,524468.0,545802.0,563544.0,564768.0,564768.0,581189.0,599574.0,616662.0,635015.0,651610.0,652717.0,652927.0,668208.0,682729.0,698354.0,714023.0,730443.0,730813.0,730840.0,747639.0,761694.0,774462.0,788170.0,788332.0,788523.0,788563.0,796372.0,806108.0,809174.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18113.0,35334.0,53900.0,55023.0,55030.0,81822.0,111331.0,143536.0,173957.0,201212.0,202228.0,202240.0,235213.0,267632.0,294874.0,320081.0,339180.0,339857.0,339933.0,354635.0,366344.0,373145.0,378738.0,383188.0,383274.0,383298.0,395702.0,411504.0,431670.0,453673.0,454250.0,454462.0,454484.0,478674.0,495209.0,501733.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128401.0,131266.0,133644.0,133723.0,133759.0,138390.0,143436.0,148429.0,154429.0,159551.0,159757.0,159968.0,165842.0,171613.0,176378.0,180650.0,184666.0,184892.0,185098.0,188994.0,193104.0,197220.0,201289.0,205289.0,205331.0,205390.0,209219.0,212538.0,215631.0,220222.0,220223.0,220223.0,220223.0,223270.0,226440.0,227140.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19539.0,25371.0,25506.0,25633.0,32853.0,40418.0,49336.0,59119.0,67553.0,67914.0,68156.0,76106.0,83168.0,89830.0,95845.0,100488.0,100527.0,100536.0,105152.0,108692.0,111418.0,113735.0,115508.0,115591.0,115605.0,118673.0,122211.0,125553.0,128960.0,128962.0,128962.0,128962.0,134460.0,139512.0,141160.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46734.0,63168.0,67332.0,69959.0,93383.0,120852.0,152379.0,181066.0,203015.0,206255.0,207534.0,228806.0,245685.0,260108.0,271032.0,280966.0,282105.0,282497.0,291007.0,298746.0,306510.0,315734.0,322515.0,322863.0,323021.0,334453.0,347755.0,361047.0,373170.0,383883.0,384520.0,384736.0,396585.0,409688.0,422279.0,439609.0,454664.0,457869.0,458740.0,473792.0,489881.0,504521.0,518175.0,530818.0,533484.0,534641.0,546954.0,559694.0,572223.0,584349.0,598184.0,598786.0,598811.0,611587.0,622320.0,633392.0,644676.0,644872.0,644942.0,644944.0,651118.0,658565.0,660818.0
