Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30306.0,39188.0,49269.0,58821.0,67656.0,68137.0,68137.0,79329.0,88171.0,96221.0,103139.0,109619.0,109663.0,109668.0,115880.0,121140.0,125796.0,130612.0,134573.0,134709.0,134709.0,142169.0,150182.0,157757.0,164120.0,169678.0,169729.0,169729.0,175729.0,181981.0,187684.0,194200.0,199884.0,200090.0,200090.0,206488.0,213169.0,218953.0,224600.0,230068.0,230170.0,230170.0,236176.0,242036.0,248171.0,254520.0,261265.0,261698.0,261698.0,267567.0,273112.0,278160.0,283760.0,283769.0,283769.0,283771.0,287699.0,292304.0,296663.0,300519.0,304039.0,304130.0,304130.0,307919.0,311380.0,314730.0,317602.0,320526.0,320606.0,320606.0,323225.0,325353.0,327305.0,329987.0,332154.0,332249.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12389.0,16979.0,21491.0,21510.0,21511.0,28945.0,37509.0,47541.0,56790.0,65361.0,65717.0,65719.0,77774.0,87965.0,97554.0,106577.0,113989.0,114037.0,114040.0,121269.0,125482.0,128606.0,131074.0,133485.0,133563.0,133564.0,139192.0,146249.0,153362.0,159907.0,160009.0,160011.0,160014.0,169709.0,176511.0,182344.0,189174.0,194467.0,194637.0,194638.0,200997.0,207243.0,212840.0,218208.0,223421.0,223516.0,223519.0,229870.0,235366.0,241146.0,246814.0,252466.0,252556.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13337.0,22447.0,30501.0,31630.0,31632.0,42805.0,57202.0,72077.0,86308.0,100187.0,102262.0,102263.0,118666.0,132763.0,143384.0,152453.0,160749.0,161131.0,161131.0,168609.0,175424.0,181191.0,186056.0,191177.0,191791.0,191792.0,199315.0,209509.0,217982.0,225509.0,232550.0,232961.0,232961.0,240923.0,248756.0,256765.0,266765.0,275949.0,276648.0,276648.0,285664.0,295052.0,303422.0,311225.0,318846.0,319270.0,319270.0,326540.0,333659.0,341022.0,348134.0,355287.0,355576.0,355576.0,362690.0,368769.0,374172.0,380153.0,380170.0,380188.0,380188.0,383997.0,388606.0,393283.0,397007.0,400585.0,400748.0,400748.0,404095.0,408282.0,412002.0,415005.0,417848.0,417970.0,417970.0,420604.0,423378.0,425470.0,428491.0,430955.0,431371.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12145.0,20927.0,28658.0,29857.0,29861.0,40696.0,54196.0,68605.0,82409.0,96204.0,98124.0,98132.0,114877.0,130195.0,142012.0,152103.0,161649.0,161947.0,161948.0,169532.0,175278.0,180293.0,184117.0,187709.0,187786.0,187786.0,194614.0,203842.0,211802.0,219951.0,220315.0,220331.0,220331.0,232664.0,240906.0,248914.0,258579.0,267079.0,267402.0,267405.0,276538.0,285733.0,294050.0,301643.0,309232.0,309541.0,309543.0,317062.0,324176.0,331132.0,337794.0,344473.0,344796.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82192.0,93500.0,96642.0,96766.0,110869.0,121567.0,129266.0,135968.0,142302.0,142688.0,142695.0,148303.0,153552.0,158615.0,163570.0,169042.0,169380.0,169380.0,175436.0,182100.0,188565.0,194298.0,199544.0,200324.0,200435.0,206395.0,212852.0,218965.0,226036.0,232747.0,234226.0,234241.0,241382.0,249563.0,256384.0,263115.0,268425.0,269353.0,269361.0,275333.0,282286.0,289889.0,297351.0,304132.0,304683.0,304683.0,310489.0,316471.0,322734.0,329298.0,329303.0,329310.0,329310.0,333244.0,337930.0,342374.0,345440.0,348298.0,348439.0,348439.0,351463.0,355400.0,359457.0,362873.0,365531.0,365717.0,365717.0,366300.0,366940.0,367495.0,368757.0,370355.0,370529.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40937.0,53189.0,65708.0,77816.0,88695.0,91657.0,91722.0,105979.0,118985.0,128640.0,137319.0,144035.0,144430.0,144441.0,151911.0,157519.0,161516.0,164502.0,166891.0,166929.0,166929.0,171506.0,177059.0,183442.0,189927.0,189939.0,189944.0,189945.0,198759.0,205087.0,211201.0,216651.0,222606.0,222876.0,222879.0,231358.0,239664.0,246850.0,253447.0,258287.0,258483.0,258485.0,264936.0,272061.0,279703.0,286196.0,291886.0,292115.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14573.0,15139.0,15656.0,21111.0,28009.0,35139.0,42233.0,47637.0,48445.0,48888.0,54485.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77109.0,78665.0,78684.0,78685.0,80688.0,84537.0,88732.0,92197.0,95047.0,95203.0,95238.0,98719.0,102476.0,105762.0,109981.0,113084.0,113233.0,113364.0,116983.0,120869.0,123996.0,126469.0,129229.0,129362.0,129563.0,132853.0,135968.0,139203.0,143136.0,147166.0,147326.0,147330.0,150544.0,153003.0,155387.0,157950.0,158077.0,158203.0,158270.0,159784.0,161460.0,162984.0,164766.0,166765.0,166932.0,166979.0,168408.0,170004.0,172036.0,173773.0,175502.0,175882.0,175883.0,176710.0,177742.0,178543.0,179480.0,180048.0,180100.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4868.0,9319.0,13711.0,14219.0,14600.0,19757.0,26500.0,33441.0,40394.0,45606.0,46406.0,46878.0,52748.0,57796.0,62017.0,65665.0,68804.0,68947.0,69001.0,72174.0,74162.0,75515.0,76791.0,77780.0,77814.0,77816.0,79187.0,82441.0,86179.0,90330.0,90599.0,90707.0,90740.0,95332.0,99145.0,102366.0,106146.0,109518.0,109662.0,109757.0,113167.0,116739.0,119931.0,122488.0,125096.0,125310.0,125508.0,128575.0,131693.0,134799.0,138072.0,140803.0,140865.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20136.0,23654.0,26707.0,26713.0,26719.0,30330.0,32711.0,35307.0,37067.0,38787.0,38989.0,38999.0,39847.0,40567.0,41480.0,42478.0,43316.0,43404.0,43404.0,45572.0,47964.0,50158.0,51918.0,53450.0,53459.0,53463.0,54724.0,56023.0,57240.0,58917.0,60170.0,60174.0,60215.0,61673.0,63475.0,64758.0,66189.0,67590.0,67603.0,67614.0,69196.0,70622.0,72186.0,73550.0,75482.0,75493.0,75495.0,76858.0,78112.0,79379.0,80745.0,80746.0,80746.0,80746.0,81611.0,82903.0,84200.0,85208.0,85972.0,85975.0,85977.0,86948.0,87793.0,88789.0,89728.0,90550.0,90553.0,90553.0,91202.0,91940.0,92462.0,93223.0,93552.0,93553.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35158.0,37432.0,39296.0,39308.0,39310.0,40199.0,41048.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46841.0,48979.0,50829.0,50830.0,50834.0,50836.0,52777.0,54303.0,55543.0,57065.0,58264.0,58271.0,58273.0,59467.0,60966.0,62368.0,63759.0,65307.0,65321.0,65323.0,66686.0,68316.0,69860.0,70974.0,71963.0,71966.0
