Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6928.0,7468.0,7468.0,10863.0,14865.0,19678.0,23994.0,28211.0,28382.0,28382.0,33616.0,38451.0,41932.0,44131.0,46276.0,46385.0,46385.0,47961.0,49674.0,52048.0,54195.0,55708.0,55781.0,55781.0,57684.0,59595.0,61297.0,63080.0,65076.0,65186.0,65186.0,67066.0,68796.0,70367.0,72495.0,74652.0,74854.0,74854.0,77142.0,79677.0,82028.0,84417.0,86997.0,87236.0,87236.0,89630.0,92061.0,94738.0,96973.0,99696.0,99800.0,99800.0,102269.0,104422.0,106415.0,108345.0,108373.0,108401.0,108441.0,110263.0,112419.0,114604.0,116295.0,117942.0,118089.0,118117.0,120199.0,121943.0,123777.0,125431.0,127442.0,127637.0,127694.0,129694.0,131787.0,133584.0,135024.0,136401.0,136633.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42314.0,45967.0,48654.0,48816.0,48816.0,50681.0,51764.0,52726.0,53506.0,54378.0,54431.0,54431.0,56019.0,57718.0,59363.0,61490.0,61491.0,61491.0,61493.0,64443.0,66405.0,68198.0,70154.0,71771.0,71905.0,71907.0,74331.0,76846.0,79186.0,81367.0,83700.0,83871.0,83871.0,86473.0,88995.0,91452.0,93259.0,95107.0,95242.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19414.0,37412.0,56786.0,58072.0,58110.0,85908.0,116230.0,149509.0,180760.0,208605.0,209933.0,209933.0,243728.0,273497.0,297908.0,318555.0,337083.0,337762.0,337875.0,349241.0,358382.0,366197.0,374834.0,384438.0,388114.0,388130.0,401470.0,419757.0,440284.0,459229.0,477055.0,477357.0,477357.0,493414.0,508857.0,524522.0,545981.0,563749.0,564974.0,564974.0,581406.0,599822.0,616924.0,635290.0,651903.0,653011.0,653094.0,668623.0,683229.0,698929.0,714704.0,731236.0,731606.0,731632.0,748438.0,762496.0,775263.0,789110.0,789272.0,789463.0,789503.0,797383.0,807125.0,816850.0,824563.0,832182.0,832771.0,832889.0,841758.0,848898.0,857362.0,863976.0,871098.0,871497.0,871538.0,877389.0,882223.0,886195.0,893313.0,898297.0,898641.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18123.0,35349.0,53919.0,55042.0,55049.0,81848.0,111366.0,143669.0,174110.0,201375.0,202390.0,202402.0,235385.0,267816.0,295059.0,320269.0,339374.0,340051.0,340127.0,354884.0,366654.0,373478.0,379090.0,383563.0,383649.0,383673.0,396079.0,411888.0,432081.0,454194.0,454771.0,454983.0,455004.0,479415.0,495968.0,511489.0,532376.0,549819.0,550622.0,550661.0,566988.0,584131.0,601146.0,619029.0,635120.0,635916.0,636007.0,652193.0,666243.0,681113.0,695074.0,710010.0,710464.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70099.0,70394.0,70645.0,78141.0,84500.0,90415.0,95570.0,99907.0,100106.0,100106.0,104173.0,107985.0,111270.0,114556.0,117212.0,117266.0,117324.0,120842.0,124854.0,128403.0,131269.0,133647.0,133726.0,133762.0,138398.0,143451.0,148449.0,154469.0,159600.0,159806.0,160020.0,165899.0,171682.0,176450.0,180730.0,184754.0,184980.0,185186.0,189082.0,193198.0,197317.0,201389.0,205394.0,205437.0,205496.0,209327.0,212669.0,215782.0,220428.0,220429.0,220429.0,220429.0,223486.0,226732.0,229874.0,232806.0,235758.0,235983.0,236009.0,237955.0,239515.0,240764.0,241762.0,243012.0,243091.0,243105.0,244095.0,244924.0,245655.0,246957.0,247818.0,247853.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13197.0,19572.0,25405.0,25540.0,25667.0,32890.0,40456.0,49377.0,59223.0,67659.0,68021.0,68264.0,76217.0,83282.0,89944.0,95960.0,100604.0,100643.0,100652.0,105268.0,108811.0,111542.0,113838.0,115659.0,115742.0,115756.0,118824.0,122381.0,125742.0,129187.0,129189.0,129189.0,129189.0,134719.0,139894.0,144820.0,150600.0,155593.0,155674.0,155728.0,161401.0,167089.0,171861.0,176037.0,180167.0,180358.0,180443.0,184500.0,188586.0,192434.0,196425.0,200166.0,200237.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63170.0,67334.0,69962.0,93389.0,120861.0,152389.0,181077.0,203026.0,206266.0,207545.0,228816.0,245693.0,260116.0,271042.0,280979.0,282118.0,282510.0,291019.0,298757.0,306520.0,315744.0,322527.0,322875.0,323033.0,334463.0,347766.0,361058.0,373182.0,383898.0,384535.0,384751.0,396605.0,409727.0,422335.0,439689.0,454808.0,458022.0,458895.0,473979.0,490089.0,504747.0,518423.0,531188.0,533855.0,535015.0,547353.0,560113.0,572985.0,585122.0,599369.0,599974.0,599999.0,612820.0,623558.0,634631.0,645943.0,646139.0,646209.0,646211.0,652400.0,659959.0,668019.0,674828.0,680326.0,681475.0,681695.0,688031.0,694038.0,699826.0,703796.0,707551.0,707937.0,707979.0,711457.0,713976.0,716193.0,720515.0,723517.0,724033.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58510.0,62395.0,64708.0,87074.0,114535.0,144888.0,173066.0,194923.0,198055.0,199211.0,222157.0,242074.0,259657.0,274687.0,284876.0,286029.0,286460.0,297311.0,305921.0,311304.0,315879.0,320058.0,320256.0,320368.0,328435.0,339284.0,351256.0,363847.0,364527.0,364614.0,364626.0,383117.0,396814.0,409927.0,426091.0,439448.0,441180.0,441583.0,457549.0,473484.0,487701.0,501014.0,513055.0,514777.0,515402.0,529220.0,541476.0,553785.0,565539.0,577546.0,578294.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37232.0,38350.0,38409.0,48277.0,57731.0,70913.0,82129.0,93258.0,94473.0,94493.0,109701.0,122757.0,134109.0,143167.0,150889.0,151320.0,151332.0,157662.0,163144.0,168058.0,172949.0,176707.0,177031.0,177031.0,186513.0,196483.0,205776.0,213817.0,221751.0,222109.0,222111.0,230259.0,238292.0,246029.0,255919.0,264904.0,265429.0,265433.0,275057.0,284451.0,292801.0,300319.0,307802.0,308120.0,308123.0,315788.0,323471.0,331458.0,339087.0,347759.0,347911.0,347973.0,356875.0,365499.0,373739.0,381534.0,381541.0,381557.0,381583.0,385845.0,390517.0,395755.0,398559.0,400095.0,400148.0,400148.0,403382.0,407679.0,412465.0,416101.0,419370.0,419605.0,419625.0,421527.0,423420.0,425165.0,427963.0,430174.0,430215.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27655.0,36464.0,37311.0,37338.0,47210.0,56442.0,69346.0,80314.0,91108.0,92200.0,92222.0,107802.0,121499.0,133728.0,143795.0,152243.0,152595.0,152608.0,159857.0,164940.0,169123.0,172647.0,175130.0,175294.0,175313.0,183923.0,193473.0,203100.0,215637.0,215702.0,215707.0,215725.0,225412.0,233577.0,241110.0,250676.0,259250.0,259570.0,259572.0,268796.0,277586.0,286115.0,293495.0,300753.0,300998.0,301001.0,308427.0,315767.0,323532.0,331165.0,338891.0,339023.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14342.0,26648.0,39903.0,43803.0,46433.0,61133.0,76171.0,92711.0,107732.0,120437.0,121883.0,122471.0,136548.0,149542.0,161140.0,170235.0,179184.0,179555.0,179719.0,186864.0,193296.0,199173.0,204952.0,211394.0,211673.0,211682.0,219267.0,228746.0,237691.0,245184.0,251811.0,252470.0,252718.0,261043.0,269948.0,279590.0,290489.0,300496.0,302021.0,302564.0,313569.0,324030.0,333146.0,341940.0,350306.0,350931.0,351121.0,360176.0,369370.0,378361.0,386801.0,395735.0,395865.0,395892.0,405167.0,412962.0,420037.0,428232.0,428257.0,428285.0,428313.0,434058.0,440428.0,446358.0,451489.0,456255.0,456549.0,456576.0,459827.0,464064.0,467992.0,470695.0,473161.0,473395.0,473415.0,476039.0,478206.0,480340.0,483365.0,485729.0,485873.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13093.0,24939.0,37634.0,41395.0,43786.0,58212.0,72785.0,88772.0,103630.0,116239.0,117677.0,118332.0,132774.0,146801.0,160024.0,171004.0,182275.0,182610.0,182694.0,190815.0,196558.0,200876.0,204578.0,208369.0,208420.0,208439.0,214920.0,223182.0,231387.0,239868.0,239927.0,239947.0,239963.0,252478.0,262001.0,271211.0,281374.0,290794.0,291144.0,291188.0,301863.0,312510.0,321744.0,330420.0,338681.0,339114.0,339164.0,348270.0,357401.0,366106.0,374480.0,382270.0,382507.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12097.0,71907.0,135238.0,197886.0,208209.0,210135.0,293832.0,385140.0,486865.0,577968.0,664938.0,678827.0,680568.0,784965.0,870574.0,945036.0,1006212.0,1062648.0,1067928.0,1068333.0,1105691.0,1136387.0,1164323.0,1192281.0,1216188.0,1219995.0,1220107.0,1277095.0,1339994.0,1403961.0,1465501.0,1524492.0,1530207.0,1530618.0,1583694.0,1636101.0,1687114.0,1751219.0,1808193.0,1822718.0,1823644.0,1884086.0,1947677.0,2006626.0,2065980.0,2122757.0,2138710.0,2139647.0,2201047.0,2265271.0,2331125.0,2402421.0,2477357.0,2486925.0,2487501.0,2551398.0,2608010.0,2661770.0,2718311.0,2719202.0,2719924.0,2720175.0,2750732.0,2786312.0,2823523.0,2853900.0,2883049.0,2890448.0,2890927.0,2925512.0,2955419.0,2988496.0,3014169.0,3036926.0,3041497.0,3042042.0,3058015.0,3071732.0,3081483.0,3104847.0,3119557.0,3122541.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11646.0,63920.0,124009.0,184534.0,192965.0,194260.0,275008.0,365541.0,465468.0,554348.0,638157.0,649932.0,651117.0,757024.0,847725.0,930435.0,1001022.0,1061400.0,1068507.0,1068988.0,1108885.0,1137872.0,1159161.0,1177766.0,1197112.0,1198972.0,1199182.0,1248291.0,1308140.0,1371388.0,1443096.0,1446080.0,1446951.0,1447294.0,1529739.0,1585225.0,1638581.0,1701462.0,1760512.0,1770719.0,1771416.0,1832136.0,1891987.0,1949591.0,2007317.0,2062805.0,2072035.0,2072675.0,2135995.0,2200981.0,2262157.0,2326374.0,2390453.0,2398900.0
