Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30306.0,39188.0,49268.0,58820.0,67654.0,68135.0,68135.0,79327.0,88169.0,96219.0,103137.0,109617.0,109661.0,109666.0,115878.0,121137.0,125793.0,130608.0,134568.0,134704.0,134704.0,142161.0,150174.0,157746.0,164108.0,169666.0,169718.0,169718.0,175716.0,181966.0,187663.0,194173.0,199855.0,200061.0,200061.0,206442.0,213107.0,218875.0,224492.0,229760.0,229862.0,229862.0,235699.0,241490.0,247591.0,253904.0,260620.0,261053.0,261053.0,266890.0,272412.0,277451.0,283038.0,283047.0,283047.0,283049.0,286958.0,291543.0,295880.0,299719.0,303227.0,303316.0,303316.0,307080.0,310518.0,313859.0,316717.0,319630.0,319710.0,319710.0,322303.0,324410.0,326338.0,329026.0,331204.0,331299.0,331300.0,333613.0,335861.0,338182.0,340337.0,342270.0,342285.0,342285.0,345845.0,349412.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6434.0,8046.0,8549.0,8561.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8597.0,8601.0,8614.0,8643.0,8646.0,8646.0,8646.0,8650.0,8714.0,12391.0,16982.0,21495.0,21514.0,21515.0,28950.0,37513.0,47545.0,56794.0,65364.0,65721.0,65723.0,77778.0,87969.0,97559.0,106582.0,113995.0,114043.0,114046.0,121272.0,125486.0,128611.0,131079.0,133490.0,133568.0,133569.0,139198.0,146256.0,153366.0,159928.0,160030.0,160032.0,160035.0,169731.0,176531.0,182362.0,189185.0,194480.0,194652.0,194653.0,200997.0,207228.0,212825.0,218182.0,223297.0,223392.0,223395.0,229525.0,234946.0,240696.0,246376.0,252191.0,252452.0,252454.0,257910.0,262527.0,268317.0,273638.0,275190.0,275192.0,275197.0,278723.0,282445.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225486.0,232526.0,232937.0,232937.0,240896.0,248726.0,256731.0,266728.0,275909.0,276608.0,276608.0,285616.0,294980.0,303319.0,311104.0,318685.0,319109.0,319109.0,326193.0,333169.0,340450.0,347507.0,354626.0,354915.0,354915.0,362001.0,368055.0,373445.0,379415.0,379432.0,379450.0,379450.0,383243.0,387840.0,392500.0,396204.0,399772.0,399935.0,399935.0,403266.0,407431.0,411125.0,414094.0,416907.0,417029.0,417029.0,419655.0,422424.0,424514.0,427524.0,429984.0,430398.0,430419.0,432870.0,435356.0,437899.0,439818.0,442458.0,442482.0,442482.0,446368.0,450450.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54196.0,68605.0,82409.0,96203.0,98123.0,98131.0,114875.0,130193.0,142010.0,152101.0,161646.0,161944.0,161945.0,169526.0,175273.0,180288.0,184113.0,187704.0,187781.0,187781.0,194609.0,203832.0,211794.0,219944.0,220308.0,220324.0,220324.0,232660.0,240899.0,248903.0,258567.0,267078.0,267401.0,267404.0,276535.0,285709.0,294001.0,301574.0,309128.0,309436.0,309438.0,316813.0,323783.0,330684.0,337305.0,343969.0,344298.0,344302.0,351366.0,357783.0,363417.0,368889.0,370373.0,370380.0,370381.0,373767.0,377682.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93494.0,96636.0,96760.0,110863.0,121561.0,129259.0,135958.0,142292.0,142678.0,142685.0,148293.0,153542.0,158603.0,163558.0,169031.0,169369.0,169369.0,175419.0,182079.0,188543.0,194270.0,199512.0,200292.0,200403.0,206361.0,212818.0,218931.0,225997.0,232708.0,234187.0,234202.0,241327.0,249476.0,256271.0,262936.0,268188.0,269115.0,269123.0,274920.0,281735.0,289235.0,296640.0,303398.0,303944.0,303944.0,309722.0,315661.0,321906.0,328403.0,328408.0,328416.0,328416.0,332337.0,336992.0,341417.0,344455.0,347306.0,347447.0,347447.0,350452.0,354344.0,358345.0,361711.0,364294.0,364474.0,364474.0,365048.0,365694.0,366249.0,367498.0,369113.0,369287.0,369287.0,372030.0,374960.0,376829.0,378506.0,379753.0,379753.0,379753.0,383110.0,386653.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40936.0,53201.0,65720.0,77826.0,88711.0,91673.0,91738.0,105994.0,119005.0,128660.0,137338.0,144053.0,144448.0,144459.0,151925.0,157532.0,161528.0,164515.0,166904.0,166942.0,166942.0,171518.0,177072.0,183457.0,189939.0,189951.0,189956.0,189957.0,198771.0,205099.0,211212.0,216658.0,222615.0,222885.0,222888.0,231352.0,239721.0,246878.0,253424.0,258269.0,258465.0,258467.0,264807.0,271806.0,279371.0,285855.0,291709.0,291940.0,291942.0,298008.0,303956.0,309100.0,315263.0,316763.0,316763.0,316764.0,320853.0,325142.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28010.0,35136.0,42229.0,47632.0,48440.0,48883.0,54480.0,58340.0,61678.0,64668.0,67463.0,67536.0,67590.0,70584.0,73046.0,75182.0,77103.0,78659.0,78678.0,78679.0,80679.0,84523.0,88717.0,92182.0,95032.0,95188.0,95223.0,98703.0,102459.0,105745.0,109961.0,113063.0,113213.0,113344.0,116957.0,120836.0,123949.0,126405.0,129065.0,129198.0,129399.0,132629.0,135701.0,138909.0,142810.0,146831.0,146991.0,146995.0,150202.0,152651.0,155024.0,157577.0,157703.0,157829.0,157896.0,159401.0,161068.0,162585.0,164350.0,166330.0,166491.0,166538.0,167962.0,169547.0,171458.0,173117.0,174782.0,175140.0,175141.0,175967.0,176991.0,177787.0,178722.0,179291.0,179366.0,179372.0,179933.0,180382.0,180757.0,181266.0,182198.0,182332.0,182341.0,183406.0,184466.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13711.0,14219.0,14600.0,19757.0,26500.0,33442.0,40395.0,45607.0,46407.0,46879.0,52753.0,57802.0,62022.0,65670.0,68810.0,68953.0,69007.0,72177.0,74165.0,75518.0,76793.0,77782.0,77816.0,77818.0,79189.0,82444.0,86181.0,90329.0,90598.0,90706.0,90739.0,95331.0,99143.0,102362.0,106142.0,109514.0,109659.0,109754.0,113163.0,116726.0,119904.0,122451.0,124985.0,125198.0,125396.0,128424.0,131483.0,134566.0,137813.0,140544.0,140748.0,140752.0,143996.0,146727.0,148521.0,151686.0,152726.0,152824.0,152841.0,154122.0,155649.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30328.0,32708.0,35303.0,37063.0,38783.0,38985.0,38995.0,39843.0,40563.0,41476.0,42473.0,43311.0,43399.0,43399.0,45567.0,47958.0,50151.0,51911.0,53442.0,53451.0,53455.0,54716.0,56015.0,57233.0,58908.0,60161.0,60165.0,60206.0,61664.0,63464.0,64742.0,66161.0,67549.0,67562.0,67573.0,69197.0,70585.0,72135.0,73487.0,75413.0,75424.0,75426.0,76789.0,78031.0,79291.0,80654.0,80655.0,80655.0,80655.0,81524.0,82812.0,84109.0,85115.0,85880.0,85883.0,85885.0,86855.0,87694.0,88688.0,89611.0,90433.0,90436.0,90436.0,91086.0,91821.0,92341.0,93103.0,93444.0,93447.0,93447.0,93547.0,94171.0,94776.0,94989.0,95218.0,95218.0,95218.0,95730.0,96292.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57061.0,58260.0,58267.0,58269.0,59463.0,60975.0,62371.0,63779.0,65320.0,65334.0,65336.0,66717.0,68313.0,69841.0,70949.0,71948.0,71957.0,71957.0,72892.0,74348.0,75634.0,76628.0,77204.0,77207.0,77207.0,78138.0,79743.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68783.0,70353.0,72477.0,74632.0,74834.0,74834.0,77119.0,79645.0,81995.0,84362.0,86866.0,87105.0,87105.0,89410.0,91807.0,94459.0,96672.0,99380.0,99484.0,99484.0,101934.0,104065.0,106044.0,107964.0,107992.0,108020.0,108060.0,109865.0,111983.0,114124.0,115796.0,117429.0,117576.0,117604.0,119658.0,121356.0,123166.0,124795.0,126789.0,126984.0,127041.0,129002.0,131055.0,132829.0,134262.0,135638.0,135879.0,135892.0,137325.0,138817.0,140637.0,141710.0,142814.0,142904.0,143012.0,144707.0,146007.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66397.0,68190.0,70142.0,71758.0,71892.0,71894.0,74313.0,76823.0,79157.0,81315.0,83586.0,83757.0,83757.0,86277.0,88758.0,91191.0,92982.0,94823.0,94959.0,94960.0,97890.0,99927.0,101966.0,103853.0,104559.0,104583.0,104613.0,106262.0,107963.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86138.0,116531.0,149893.0,181235.0,209157.0,210485.0,210485.0,244373.0,274225.0,298712.0,319416.0,338010.0,338689.0,338802.0,350195.0,359364.0,367207.0,375867.0,385476.0,389117.0,389133.0,402523.0,420858.0,441442.0,460400.0,478306.0,478608.0,478608.0,494737.0,510210.0,525892.0,547384.0,565190.0,566415.0,566415.0,582878.0,601325.0,618427.0,636760.0,653258.0,654365.0,654448.0,669559.0,683722.0,699281.0,715026.0,731548.0,731918.0,731946.0,748749.0,762798.0,775572.0,789427.0,789588.0,789779.0,789819.0,797679.0,807395.0,817106.0,824811.0,832390.0,832977.0,833095.0,841950.0,849056.0,857489.0,864071.0,871146.0,871545.0,871586.0,877412.0,882224.0,886172.0,893276.0,898257.0,898608.0,898638.0,904300.0,908250.0,913146.0,917145.0,921759.0,921816.0,921837.0,930019.0,938116.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18170.0,35451.0,54069.0,55192.0,55199.0,82065.0,111663.0,144045.0,174579.0,201926.0,202941.0,202953.0,236020.0,268531.0,295854.0,321124.0,340262.0,340940.0,341016.0,355794.0,367588.0,374432.0,380066.0,384554.0,384640.0,384664.0,397119.0,412975.0,433228.0,455400.0,455977.0,456189.0,456210.0,480714.0,497304.0,512848.0,533767.0,551253.0,552056.0,552095.0,568462.0,585628.0,602651.0,620508.0,636501.0,637297.0,637388.0,653229.0,666893.0,681625.0,695551.0,710506.0,710965.0,710997.0,728034.0,741499.0,754554.0,767703.0,771189.0,771290.0,771347.0,778765.0,787733.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70097.0,70392.0,70643.0,78139.0,84498.0,90413.0,95568.0,99905.0,100104.0,100104.0,104171.0,107983.0,111269.0,114555.0,117212.0,117266.0,117324.0,120843.0,124854.0,128403.0,131274.0,133651.0,133730.0,133766.0,138401.0,143447.0,148442.0,154462.0,159593.0,159799.0,160013.0,165886.0,171657.0,176412.0,180674.0,184672.0,184898.0,185104.0,188862.0,192897.0,196982.0,201020.0,205017.0,205061.0,205120.0,208928.0,212255.0,215355.0,219982.0,219983.0,219983.0,219983.0,223015.0,226241.0,229362.0,232278.0,235201.0,235423.0,235449.0,237386.0,238941.0,240190.0,241183.0,242406.0,242484.0,242498.0,243488.0,244468.0,245198.0,246507.0,247384.0,247420.0,247421.0,248658.0,249590.0,250699.0,251537.0,252368.0,252369.0,252369.0,254248.0,256083.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19574.0,25408.0,25543.0,25670.0,32894.0,40461.0,49382.0,59231.0,67666.0,68028.0,68271.0,76223.0,83288.0,89950.0,95966.0,100610.0,100649.0,100658.0,105274.0,108817.0,111553.0,113850.0,115673.0,115756.0,115770.0,118838.0,122394.0,125756.0,129202.0,129204.0,129204.0,129204.0,134733.0,139905.0,144830.0,150609.0,155601.0,155682.0,155736.0,161406.0,167084.0,171841.0,176000.0,180137.0,180328.0,180413.0,184359.0,188365.0,192182.0,196170.0,199969.0,200047.0,200074.0,204121.0,207679.0,210738.0,214788.0,215702.0,215703.0,215704.0,218384.0,221132.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93392.0,120862.0,152394.0,181078.0,203028.0,206268.0,207547.0,228810.0,245695.0,260119.0,271044.0,280981.0,282120.0,282512.0,291021.0,298759.0,306523.0,315744.0,322526.0,322874.0,323032.0,334458.0,347754.0,361042.0,373161.0,383875.0,384512.0,384728.0,396574.0,409693.0,422300.0,439642.0,454757.0,457970.0,458843.0,473920.0,490009.0,504631.0,518168.0,530832.0,533501.0,534660.0,546472.0,558704.0,571414.0,583434.0,597691.0,598294.0,598319.0,611103.0,621786.0,632809.0,644099.0,644295.0,644368.0,644370.0,650522.0,658050.0,666062.0,672835.0,678377.0,679584.0,679804.0,686101.0,692092.0,697844.0,701768.0,705467.0,705848.0,705888.0,709364.0,711886.0,714109.0,718411.0,721443.0,721958.0,722078.0,725323.0,728114.0,731466.0,733809.0,738369.0,738484.0,738926.0,745245.0,751817.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87084.0,114545.0,144903.0,173090.0,194953.0,198085.0,199241.0,222199.0,242131.0,259721.0,274751.0,284941.0,286094.0,286525.0,297363.0,305964.0,311347.0,315923.0,320109.0,320307.0,320419.0,328485.0,339325.0,351301.0,363904.0,364589.0,364679.0,364691.0,383173.0,396866.0,409979.0,426142.0,439502.0,441234.0,441637.0,457598.0,473571.0,487893.0,501103.0,513052.0,514774.0,515399.0,528809.0,540944.0,553268.0,565046.0,577253.0,578001.0,578137.0,591190.0,602589.0,613637.0,624204.0,627462.0,627545.0,627723.0,633722.0,640388.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150892.0,151323.0,151335.0,157665.0,163148.0,168062.0,172953.0,176711.0,177035.0,177035.0,186518.0,196486.0,205776.0,213815.0,221748.0,222106.0,222108.0,230251.0,238280.0,246005.0,255894.0,264883.0,265408.0,265412.0,275021.0,284374.0,292613.0,299922.0,307043.0,307356.0,307359.0,314927.0,322521.0,330416.0,337985.0,346627.0,346779.0,346841.0,355726.0,364322.0,372546.0,380330.0,380337.0,380353.0,380379.0,384606.0,389228.0,394466.0,397390.0,398915.0,398968.0,398968.0,402174.0,406437.0,411208.0,414816.0,418098.0,418324.0,418343.0,420245.0,422142.0,423893.0,426732.0,428974.0,429015.0,429015.0,431026.0,433141.0,435479.0,437264.0,440014.0,440014.0,440015.0,445044.0,450047.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107823.0,121522.0,133752.0,143819.0,152267.0,152619.0,152632.0,159880.0,164963.0,169147.0,172671.0,175155.0,175319.0,175338.0,183951.0,193499.0,203126.0,215668.0,215733.0,215738.0,215756.0,225442.0,233603.0,241200.0,250766.0,259471.0,259791.0,259793.0,268997.0,277735.0,286254.0,293436.0,300436.0,300677.0,300680.0,308015.0,315255.0,322974.0,330581.0,338375.0,338507.0,338511.0,346501.0,355124.0,362764.0,369706.0,371469.0,371477.0,371478.0,375891.0,380439.0
