Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32706.0,35301.0,37061.0,38781.0,38983.0,38993.0,39841.0,40561.0,41474.0,42471.0,43309.0,43397.0,43397.0,45565.0,47956.0,50149.0,51909.0,53440.0,53449.0,53453.0,54714.0,56013.0,57230.0,58905.0,60158.0,60162.0,60203.0,61661.0,63461.0,64739.0,66158.0,67546.0,67559.0,67570.0,69194.0,70582.0,72133.0,73485.0,75411.0,75422.0,75424.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81525.0,82816.0,84114.0,85123.0,85890.0,85893.0,85896.0,86865.0,87706.0,88700.0,89623.0,90445.0,90448.0,90448.0,91099.0,91834.0,92354.0,93116.0,93457.0,93460.0,93460.0,93560.0,94184.0,94789.0,95018.0,95247.0,95247.0,95247.0,95764.0,96371.0,96947.0,97398.0,97961.0,97971.0,97971.0,98678.0,99615.0,100208.0,100849.0,101632.0,101633.0,101634.0,102359.0,103102.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42114.0,42657.0,42666.0,42666.0,44258.0,46841.0,48978.0,50828.0,50829.0,50833.0,50835.0,52777.0,54302.0,55542.0,57063.0,58262.0,58269.0,58271.0,59465.0,60977.0,62373.0,63781.0,65322.0,65336.0,65338.0,66720.0,68316.0,69844.0,70952.0,71951.0,71960.0,71960.0,72896.0,74352.0,75638.0,76678.0,77254.0,77258.0,77258.0,78197.0,79803.0,80649.0,82008.0,82873.0,82878.0,82878.0,83835.0,84848.0,85791.0,86587.0,87392.0,87393.0,87393.0,87862.0,88558.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91807.0,94459.0,96672.0,99380.0,99484.0,99484.0,101934.0,104065.0,106044.0,107964.0,107992.0,108020.0,108060.0,109865.0,111984.0,114125.0,115797.0,117431.0,117579.0,117607.0,119665.0,121369.0,123180.0,124812.0,126807.0,127002.0,127059.0,129021.0,131076.0,132850.0,134285.0,135661.0,135902.0,135915.0,137348.0,138841.0,140661.0,141734.0,142838.0,142928.0,143033.0,144731.0,146138.0,147531.0,148746.0,149996.0,150673.0,150743.0,152330.0,153893.0,155502.0,156875.0,158448.0,158490.0,158494.0,160082.0,161605.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18578.0,22658.0,26779.0,26982.0,26982.0,32039.0,37443.0,42312.0,45965.0,48653.0,48815.0,48815.0,50679.0,51763.0,52725.0,53504.0,54376.0,54429.0,54429.0,56017.0,57716.0,59358.0,61486.0,61487.0,61487.0,61489.0,64440.0,66398.0,68191.0,70143.0,71760.0,71894.0,71896.0,74315.0,76826.0,79160.0,81320.0,83591.0,83762.0,83762.0,86281.0,88762.0,91195.0,92986.0,94827.0,94963.0,94964.0,97894.0,99931.0,101971.0,103858.0,104564.0,104588.0,104617.0,106267.0,108058.0,109523.0,111478.0,113012.0,113352.0,113352.0,115304.0,116970.0,118440.0,119962.0,121671.0,121672.0,121672.0,123683.0,125623.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86139.0,116532.0,149896.0,181238.0,209161.0,210489.0,210489.0,244378.0,274230.0,298717.0,319420.0,338014.0,338693.0,338806.0,350199.0,359368.0,367211.0,375872.0,385473.0,389115.0,389131.0,402519.0,420854.0,441438.0,460395.0,478302.0,478604.0,478604.0,494733.0,510207.0,525888.0,547380.0,565186.0,566411.0,566411.0,582873.0,601320.0,618422.0,636757.0,653255.0,654362.0,654445.0,669556.0,683716.0,699276.0,715021.0,731544.0,731914.0,731942.0,748745.0,762793.0,775570.0,789424.0,789585.0,789777.0,789817.0,797682.0,807403.0,817124.0,824838.0,832428.0,833015.0,833133.0,842024.0,849135.0,857585.0,864173.0,871262.0,871661.0,871703.0,877536.0,882355.0,886304.0,893415.0,898400.0,898751.0,898781.0,904455.0,908407.0,913308.0,917308.0,921921.0,921978.0,921999.0,930186.0,938458.0,947186.0,955808.0,964345.0,965352.0,965408.0,975807.0,986910.0,997219.0,1007037.0,1017298.0,1017444.0,1017503.0,1029459.0,1042042.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35452.0,54071.0,55194.0,55201.0,82066.0,111664.0,144047.0,174582.0,201931.0,202946.0,202958.0,236029.0,268542.0,295867.0,321137.0,340278.0,340956.0,341032.0,355811.0,367604.0,374448.0,380085.0,384566.0,384652.0,384676.0,397132.0,412990.0,433243.0,455417.0,455994.0,456206.0,456227.0,480734.0,497322.0,512866.0,533791.0,551279.0,552082.0,552121.0,568504.0,585671.0,602700.0,620561.0,636557.0,637353.0,637444.0,653287.0,666950.0,681683.0,695611.0,710569.0,711028.0,711060.0,728100.0,741568.0,754627.0,767784.0,771275.0,771376.0,771433.0,778867.0,787980.0,797075.0,805036.0,812043.0,812463.0,812516.0,820685.0,828573.0,836727.0,842694.0,848767.0,848850.0,848887.0,854732.0,860398.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41785.0,50894.0,61266.0,70100.0,70395.0,70646.0,78142.0,84501.0,90416.0,95571.0,99908.0,100107.0,100107.0,104175.0,107987.0,111275.0,114561.0,117218.0,117272.0,117330.0,120849.0,124860.0,128410.0,131282.0,133659.0,133738.0,133774.0,138410.0,143456.0,148450.0,154470.0,159601.0,159807.0,160021.0,165894.0,171665.0,176420.0,180682.0,184679.0,184905.0,185111.0,188868.0,192902.0,196987.0,201025.0,205022.0,205066.0,205125.0,208935.0,212262.0,215362.0,219989.0,219990.0,219990.0,219990.0,223022.0,226249.0,229374.0,232308.0,235236.0,235458.0,235485.0,237424.0,238983.0,240233.0,241228.0,242453.0,242532.0,242546.0,243540.0,244524.0,245254.0,246563.0,247441.0,247477.0,247478.0,248715.0,249648.0,250759.0,251597.0,252428.0,252429.0,252429.0,254314.0,256299.0,258396.0,260251.0,262163.0,262411.0,262430.0,264740.0,267219.0,269736.0,271949.0,274338.0,274467.0,274565.0,276844.0,280369.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13200.0,19580.0,25420.0,25555.0,25682.0,32907.0,40474.0,49399.0,59254.0,67690.0,68052.0,68295.0,76249.0,83314.0,89978.0,95994.0,100639.0,100678.0,100687.0,105303.0,108846.0,111582.0,113879.0,115703.0,115786.0,115800.0,118870.0,122426.0,125788.0,129234.0,129236.0,129236.0,129236.0,134766.0,139938.0,144862.0,150641.0,155632.0,155713.0,155767.0,161439.0,167118.0,171877.0,176040.0,180180.0,180371.0,180456.0,184402.0,188413.0,192232.0,196225.0,200026.0,200104.0,200131.0,204181.0,207741.0,210802.0,214853.0,215767.0,215768.0,215769.0,218453.0,221454.0,224592.0,227506.0,229956.0,230094.0,230103.0,232248.0,234227.0,235727.0,236925.0,238185.0,238235.0,238247.0,239254.0,240102.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152396.0,181080.0,203030.0,206270.0,207549.0,228812.0,245698.0,260121.0,271046.0,280983.0,282122.0,282514.0,291023.0,298761.0,306525.0,315746.0,322527.0,322875.0,323033.0,334458.0,347754.0,361042.0,373162.0,383876.0,384513.0,384729.0,396576.0,409696.0,422303.0,439644.0,454761.0,457974.0,458847.0,473927.0,490012.0,504650.0,518187.0,530852.0,533521.0,534680.0,546492.0,558724.0,571435.0,583456.0,597723.0,598326.0,598351.0,611134.0,621816.0,632841.0,644132.0,644328.0,644401.0,644403.0,650560.0,658092.0,666122.0,672904.0,678467.0,679711.0,679931.0,686252.0,692246.0,698010.0,701940.0,705644.0,706025.0,706065.0,709546.0,712071.0,714303.0,718606.0,721642.0,722157.0,722277.0,725529.0,728322.0,731677.0,734029.0,738598.0,738713.0,739180.0,745604.0,752486.0,759063.0,765904.0,772196.0,773696.0,773915.0,781655.0,789751.0,797866.0,805174.0,812410.0,812419.0,812426.0,821292.0,830565.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87085.0,114548.0,144912.0,173101.0,194967.0,198099.0,199255.0,222214.0,242144.0,259739.0,274771.0,284961.0,286114.0,286545.0,297383.0,305985.0,311369.0,315943.0,320129.0,320327.0,320439.0,328506.0,339346.0,351323.0,363927.0,364612.0,364702.0,364714.0,383206.0,396907.0,410020.0,426186.0,439547.0,441279.0,441682.0,457646.0,473637.0,487960.0,501172.0,513148.0,514870.0,515496.0,528906.0,541043.0,553490.0,565272.0,577480.0,578228.0,578364.0,591423.0,602826.0,613881.0,624463.0,627729.0,627812.0,627993.0,634079.0,641017.0,648767.0,655447.0,660365.0,661109.0,661267.0,667700.0,673772.0,679769.0,683942.0,687584.0,687588.0,687589.0,691375.0,694429.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82133.0,93262.0,94477.0,94497.0,109705.0,122761.0,134112.0,143170.0,150893.0,151324.0,151336.0,157666.0,163150.0,168065.0,172956.0,176715.0,177039.0,177039.0,186522.0,196491.0,205782.0,213819.0,221752.0,222110.0,222112.0,230255.0,238284.0,246011.0,255900.0,264889.0,265414.0,265418.0,275027.0,284380.0,292619.0,299928.0,307049.0,307362.0,307365.0,314932.0,322527.0,330422.0,337991.0,346634.0,346786.0,346848.0,355732.0,364330.0,372554.0,380338.0,380345.0,380361.0,380387.0,384614.0,389237.0,394475.0,397399.0,398925.0,398978.0,398978.0,402185.0,406452.0,411224.0,414834.0,418121.0,418347.0,418366.0,420273.0,422172.0,423922.0,426767.0,429018.0,429059.0,429059.0,431071.0,433186.0,435526.0,437316.0,440068.0,440068.0,440069.0,445099.0,450249.0,455410.0,460449.0,465807.0,466029.0,466029.0,472593.0,479167.0,485696.0,491620.0,497953.0,497995.0,497995.0,504962.0,512812.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56456.0,69364.0,80335.0,91130.0,92222.0,92244.0,107829.0,121528.0,133758.0,143825.0,152275.0,152627.0,152640.0,159888.0,164971.0,169157.0,172681.0,175165.0,175329.0,175348.0,183963.0,193512.0,203140.0,215681.0,215746.0,215751.0,215769.0,225455.0,233619.0,241218.0,250786.0,259492.0,259812.0,259814.0,269020.0,277759.0,286280.0,293464.0,300466.0,300707.0,300710.0,308046.0,315287.0,323006.0,330615.0,338411.0,338543.0,338547.0,346540.0,355164.0,362806.0,369750.0,371556.0,371564.0,371565.0,375980.0,380697.0,386054.0,389518.0,391440.0,391509.0,391510.0,394772.0,399215.0,403732.0,407324.0,410465.0,410494.0,410494.0,412273.0,414599.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1667.0,14339.0,26644.0,39885.0,43784.0,46414.0,61113.0,76150.0,92689.0,107710.0,120416.0,121863.0,122451.0,136529.0,149524.0,161122.0,170217.0,179167.0,179538.0,179702.0,186848.0,193280.0,199157.0,204935.0,211377.0,211656.0,211665.0,219249.0,228723.0,237666.0,245151.0,251785.0,252444.0,252692.0,261018.0,269915.0,279569.0,290466.0,300472.0,301997.0,302539.0,313535.0,323988.0,333068.0,341846.0,349998.0,350623.0,350814.0,359763.0,368900.0,377844.0,386238.0,395149.0,395279.0,395306.0,404564.0,412340.0,419425.0,427715.0,427741.0,427771.0,427800.0,433537.0,439900.0,445816.0,450940.0,455762.0,456055.0,456083.0,459313.0,463541.0,467525.0,470230.0,472777.0,473013.0,473033.0,475669.0,477844.0,479986.0,483078.0,485550.0,485694.0,485709.0,487323.0,489371.0,491280.0,492672.0,496392.0,496427.0,496439.0,500964.0,506522.0,511670.0,517123.0,523254.0,524137.0,524154.0,530689.0,537852.0,544913.0,551190.0,558281.0,558392.0,558392.0,565554.0,573525.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13090.0,24935.0,37633.0,41395.0,43787.0,58213.0,72786.0,88772.0,103629.0,116261.0,117700.0,118355.0,132799.0,146829.0,160054.0,171037.0,182310.0,182645.0,182729.0,190846.0,196596.0,200915.0,204625.0,208416.0,208467.0,208486.0,214969.0,223231.0,231449.0,239922.0,239981.0,240001.0,240017.0,252533.0,262056.0,271282.0,281436.0,290870.0,291222.0,291264.0,301942.0,312589.0,321830.0,330512.0,338628.0,339061.0,339111.0,348125.0,357197.0,365904.0,374371.0,382383.0,382624.0,382644.0,392148.0,400313.0,407483.0,414478.0,417036.0,417067.0,417097.0,421778.0,427608.0,433768.0,438882.0,443623.0,443933.0,443943.0,447550.0,451959.0,455995.0,458923.0,461809.0,461842.0,461842.0,464058.0,466312.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12097.0,71901.0,135230.0,197873.0,208196.0,210122.0,293812.0,385115.0,486836.0,577932.0,664898.0,678785.0,680526.0,784915.0,870520.0,944977.0,1006147.0,1062584.0,1067864.0,1068269.0,1105624.0,1136319.0,1164256.0,1192212.0,1216107.0,1219884.0,1219996.0,1276950.0,1339810.0,1403752.0,1465275.0,1524259.0,1529973.0,1530384.0,1583438.0,1635792.0,1686769.0,1750855.0,1807779.0,1822302.0,1823228.0,1883647.0,1947150.0,2005972.0,2065138.0,2119493.0,2135412.0,2136340.0,2197065.0,2259773.0,2325035.0,2395924.0,2470531.0,2480068.0,2480644.0,2544476.0,2600801.0,2654403.0,2710849.0,2711740.0,2712462.0,2712713.0,2743216.0,2778581.0,2815645.0,2845857.0,2874821.0,2882161.0,2882631.0,2917080.0,2946794.0,2979717.0,3005210.0,3027790.0,3032331.0,3032863.0,3048849.0,3062534.0,3072287.0,3095667.0,3110402.0,3113391.0,3113507.0,3130256.0,3143838.0,3161034.0,3171392.0,3193975.0,3194414.0,3194549.0,3224445.0,3256339.0,3289521.0,3323279.0,3358835.0,3368718.0,3369040.0,3414243.0,3459542.0,3504354.0,3546289.0,3591427.0,3591427.0,3591427.0,3650998.0,3709938.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7954.0,11647.0,63924.0,124018.0,184544.0,192976.0,194271.0,275017.0,365548.0,465473.0,554351.0,638158.0,649935.0,651120.0,757032.0,847738.0,930453.0,1001040.0,1061408.0,1068487.0,1068968.0,1108848.0,1137872.0,1159156.0,1177764.0,1197118.0,1198980.0,1199190.0,1248302.0,1308123.0,1371370.0,1443086.0,1446072.0,1446943.0,1447287.0,1529717.0,1585167.0,1638499.0,1701350.0,1760363.0,1770572.0,1771269.0,1831996.0,1891758.0,1949205.0,2006677.0,2060379.0,2069546.0,2070180.0,2132844.0,2196404.0,2257049.0,2320949.0,2384768.0,2393212.0,2393498.0,2460306.0,2515179.0,2568052.0,2618675.0,2633182.0,2633864.0,2634068.0,2663397.0,2697425.0,2734486.0,2763941.0,2788580.0,2793585.0,2793670.0,2820187.0,2857383.0,2890268.0,2915370.0,2938764.0,2938766.0,2938766.0,2956042.0,2972559.0
