Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17624.0,22450.0,22458.0,22458.0,30286.0,39151.0,49227.0,58811.0,67616.0,68097.0,68097.0,79289.0,88131.0,96181.0,103098.0,109575.0,109619.0,109624.0,115836.0,121096.0,125680.0,130496.0,134457.0,134593.0,134593.0,142052.0,150064.0,157624.0,163985.0,169536.0,169586.0,169586.0,175578.0,181769.0,187459.0,193954.0,199622.0,199827.0,199827.0,206212.0,212868.0,218634.0,224277.0,229698.0,229800.0,229800.0,235790.0,241637.0,247671.0,253994.0,260642.0,261074.0,261074.0,266818.0,272271.0,277032.0,282246.0,282255.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12372.0,16950.0,21462.0,21481.0,21482.0,28885.0,37379.0,47386.0,56626.0,65177.0,65533.0,65535.0,77573.0,87751.0,97340.0,106354.0,113722.0,113770.0,113773.0,121002.0,125211.0,128261.0,130703.0,132995.0,133073.0,133074.0,138530.0,145490.0,152453.0,158646.0,158747.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57233.0,72083.0,86316.0,100195.0,102270.0,102271.0,118677.0,132774.0,143395.0,152464.0,160761.0,161143.0,161143.0,168622.0,175435.0,181201.0,186066.0,191186.0,191799.0,191800.0,199322.0,209515.0,217987.0,225514.0,232551.0,232961.0,232961.0,240918.0,248747.0,256753.0,266749.0,275926.0,276624.0,276624.0,285630.0,295012.0,303378.0,311177.0,318797.0,319221.0,319221.0,326490.0,333607.0,340970.0,348078.0,355228.0,355517.0,355517.0,362628.0,368705.0,374102.0,380075.0,380092.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12143.0,20923.0,28653.0,29852.0,29856.0,40691.0,54193.0,68600.0,82402.0,96195.0,98113.0,98121.0,114867.0,130183.0,142000.0,152088.0,161632.0,161930.0,161931.0,169514.0,175260.0,180275.0,184098.0,187687.0,187764.0,187764.0,194587.0,203812.0,211768.0,219882.0,220246.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70063.0,82191.0,93499.0,96641.0,96765.0,110868.0,121566.0,129265.0,135966.0,142300.0,142686.0,142693.0,148301.0,153550.0,158612.0,163567.0,169039.0,169377.0,169377.0,175433.0,182096.0,188561.0,194291.0,199528.0,200309.0,200420.0,206360.0,212808.0,218919.0,225937.0,232632.0,234110.0,234125.0,241264.0,249430.0,256222.0,262919.0,268221.0,269149.0,269157.0,275103.0,282044.0,289643.0,297100.0,303875.0,304426.0,304426.0,310228.0,316193.0,322428.0,328879.0,328884.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9648.0,17664.0,25534.0,28425.0,28742.0,40871.0,53121.0,65621.0,77645.0,88520.0,91482.0,91547.0,105798.0,118801.0,128451.0,137109.0,143821.0,144215.0,144226.0,151666.0,157272.0,161264.0,164204.0,166586.0,166624.0,166624.0,171196.0,176735.0,183107.0,189549.0,189561.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80686.0,84534.0,88727.0,92190.0,95036.0,95191.0,95226.0,98700.0,102456.0,105738.0,109947.0,113042.0,113191.0,113321.0,116933.0,120811.0,123937.0,126400.0,129154.0,129287.0,129488.0,132771.0,135872.0,139102.0,143029.0,147054.0,147214.0,147218.0,150432.0,152890.0,155275.0,157800.0,157927.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19749.0,26490.0,33426.0,40377.0,45584.0,46384.0,46856.0,52724.0,57771.0,61992.0,65612.0,68734.0,68877.0,68931.0,72101.0,74077.0,75430.0,76706.0,77694.0,77728.0,77730.0,79099.0,82352.0,86087.0,90208.0,90470.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50162.0,51922.0,53452.0,53461.0,53465.0,54725.0,56023.0,57239.0,58916.0,60167.0,60171.0,60172.0,61625.0,63426.0,64704.0,66133.0,67527.0,67540.0,67551.0,69131.0,70556.0,72122.0,73486.0,75418.0,75429.0,75431.0,76794.0,78047.0,79314.0,80490.0,80490.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8472.0,8518.0,8520.0,11641.0,14748.0,19182.0,22713.0,25740.0,25752.0,25759.0,29349.0,32042.0,35145.0,37418.0,39281.0,39293.0,39295.0,40184.0,41033.0,41474.0,42098.0,42640.0,42649.0,42649.0,44243.0,46825.0,48962.0,50777.0,50778.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61300.0,63083.0,65079.0,65189.0,65189.0,67069.0,68798.0,70368.0,72493.0,74649.0,74851.0,74851.0,77136.0,79667.0,82017.0,84409.0,86987.0,87226.0,87226.0,89620.0,92050.0,94724.0,96959.0,99682.0,99786.0,99786.0,102255.0,104408.0,106401.0,108329.0,108344.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42310.0,45963.0,48650.0,48812.0,48812.0,50677.0,51760.0,52722.0,53501.0,54373.0,54426.0,54426.0,56014.0,57713.0,59356.0,61478.0,61479.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116224.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297896.0,318546.0,337074.0,337753.0,337866.0,349230.0,358370.0,366186.0,374824.0,384427.0,388103.0,388119.0,401457.0,419743.0,440268.0,459212.0,477027.0,477327.0,477327.0,493363.0,508796.0,524432.0,545765.0,563488.0,564710.0,564710.0,581130.0,599488.0,616575.0,634928.0,651523.0,652630.0,652840.0,668117.0,682638.0,698262.0,713931.0,730350.0,730720.0,730747.0,747545.0,761562.0,774250.0,787805.0,787964.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18112.0,35331.0,53893.0,55016.0,55023.0,81815.0,111323.0,143528.0,173944.0,201133.0,202149.0,202161.0,235132.0,267492.0,294734.0,319940.0,339038.0,339715.0,339791.0,354493.0,366193.0,372989.0,378580.0,383028.0,383114.0,383138.0,395540.0,411313.0,431372.0,453213.0,453787.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128400.0,131265.0,133640.0,133719.0,133755.0,138375.0,143419.0,148412.0,154412.0,159516.0,159722.0,159933.0,165771.0,171542.0,176306.0,180579.0,184571.0,184797.0,185003.0,188898.0,192972.0,197088.0,201157.0,205157.0,205199.0,205258.0,209086.0,212405.0,215498.0,220029.0,220030.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19539.0,25371.0,25506.0,25633.0,32853.0,40418.0,49336.0,59117.0,67528.0,67889.0,68131.0,76029.0,83040.0,89702.0,95716.0,100321.0,100360.0,100369.0,104985.0,108509.0,111235.0,113552.0,115323.0,115406.0,115420.0,118488.0,122025.0,125366.0,128718.0,128720.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46735.0,63171.0,67335.0,69962.0,93386.0,120856.0,152382.0,181070.0,203019.0,206259.0,207538.0,228810.0,245690.0,260113.0,271037.0,280971.0,282110.0,282502.0,291012.0,298751.0,306515.0,315741.0,322524.0,322872.0,323030.0,334462.0,347745.0,361034.0,373146.0,383853.0,384489.0,384705.0,396531.0,409622.0,422209.0,439534.0,454585.0,457790.0,458661.0,473711.0,489793.0,504421.0,518074.0,530621.0,533284.0,534441.0,546749.0,559487.0,572015.0,584135.0,597956.0,598559.0,598584.0,611348.0,622049.0,633103.0,644080.0,644276.0
