Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44138.0,46283.0,46392.0,46392.0,47968.0,49681.0,52055.0,54202.0,55712.0,55785.0,55785.0,57685.0,59595.0,61296.0,63077.0,65073.0,65183.0,65183.0,67063.0,68792.0,70362.0,72487.0,74643.0,74845.0,74845.0,77131.0,79662.0,82012.0,84404.0,86982.0,87221.0,87221.0,89614.0,92044.0,94710.0,96799.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4142.0,6410.0,6918.0,6918.0,10145.0,14039.0,18575.0,22655.0,26776.0,26979.0,26979.0,32036.0,37440.0,42308.0,45961.0,48648.0,48810.0,48810.0,50675.0,51758.0,52701.0,53418.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116223.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273486.0,297896.0,318547.0,337075.0,337754.0,337867.0,349232.0,358372.0,366184.0,374822.0,384423.0,388097.0,388113.0,401443.0,419722.0,440241.0,459176.0,476988.0,477288.0,477288.0,493324.0,508756.0,524392.0,545689.0,563348.0,564570.0,564570.0,580983.0,599338.0,616421.0,634772.0,651366.0,652473.0,652683.0,667956.0,682465.0,698006.0,713018.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18104.0,35319.0,53879.0,55002.0,55009.0,81801.0,111308.0,143511.0,173886.0,200979.0,201995.0,202007.0,234976.0,267335.0,294575.0,319781.0,338875.0,339550.0,339622.0,354319.0,366018.0,372810.0,378148.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33940.0,41781.0,50888.0,61258.0,70094.0,70389.0,70640.0,78137.0,84503.0,90410.0,95563.0,99903.0,100102.0,100102.0,104170.0,107981.0,111264.0,114548.0,117204.0,117258.0,117316.0,120832.0,124838.0,128378.0,131239.0,133611.0,133690.0,133726.0,138344.0,143388.0,148354.0,154299.0,159383.0,159589.0,159800.0,165627.0,171396.0,176160.0,180402.0,184387.0,184613.0,184819.0,188693.0,192667.0,196756.0,200396.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19536.0,25368.0,25503.0,25630.0,32846.0,40407.0,49215.0,58926.0,67278.0,67639.0,67881.0,75744.0,82596.0,89258.0,95218.0,99822.0,99861.0,99870.0,104476.0,107950.0,110635.0,112691.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6314.0,28223.0,46737.0,63173.0,67337.0,69964.0,93387.0,120858.0,152385.0,181073.0,203019.0,206259.0,207538.0,228809.0,245687.0,260110.0,271034.0,280968.0,282107.0,282499.0,291007.0,298742.0,306506.0,315731.0,322513.0,322861.0,323019.0,334447.0,347722.0,360996.0,373095.0,383798.0,384431.0,384647.0,396470.0,409558.0,422139.0,439452.0,454501.0,457705.0,458576.0,473606.0,489672.0,504246.0,517876.0,530401.0,533061.0,534218.0,546522.0,559187.0,571559.0,583026.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4841.0,25083.0,42868.0,58476.0,62357.0,64670.0,86996.0,114436.0,144766.0,172936.0,194766.0,197900.0,199056.0,221989.0,241915.0,259494.0,274520.0,284681.0,285834.0,286265.0,297107.0,305648.0,310990.0,315269.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11916.0,18978.0,28344.0,37230.0,38348.0,38407.0,48275.0,57718.0,70904.0,82121.0,93248.0,94463.0,94483.0,109689.0,122755.0,134086.0,143141.0,150863.0,151294.0,151306.0,157639.0,163121.0,168035.0,172924.0,176680.0,177004.0,177004.0,186476.0,196440.0,205723.0,213757.0,221685.0,222044.0,222046.0,230159.0,238186.0,245915.0,255770.0,264615.0,265140.0,265144.0,274757.0,284094.0,292445.0,299865.0,307340.0,307658.0,307661.0,315324.0,322917.0,330732.0,337924.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8069.0,10248.0,11393.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11483.0,11486.0,11500.0,11507.0,11519.0,11519.0,11519.0,11536.0,11805.0,18593.0,27645.0,36438.0,37284.0,37311.0,47175.0,56393.0,69294.0,80209.0,90967.0,92058.0,92080.0,107641.0,121268.0,133495.0,143411.0,151851.0,152203.0,152216.0,159451.0,164500.0,168576.0,171842.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14325.0,26646.0,39901.0,43802.0,46431.0,61129.0,76167.0,92705.0,107727.0,120429.0,121875.0,122462.0,136538.0,149531.0,161132.0,170225.0,179174.0,179545.0,179709.0,186857.0,193289.0,199165.0,204945.0,211383.0,211662.0,211668.0,219236.0,228700.0,237601.0,244961.0,251564.0,252312.0,252562.0,260807.0,269682.0,279251.0,290117.0,300072.0,301586.0,302128.0,313088.0,323483.0,332572.0,341336.0,349690.0,350299.0,350489.0,359370.0,368484.0,377203.0,385041.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13070.0,24903.0,37564.0,41318.0,43666.0,58065.0,72613.0,88491.0,103245.0,115757.0,117197.0,117847.0,132266.0,146282.0,159493.0,170462.0,181724.0,182059.0,182143.0,190136.0,195773.0,199833.0,203105.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71911.0,135243.0,197867.0,208190.0,210117.0,293810.0,385116.0,486841.0,577943.0,664912.0,678800.0,680541.0,784937.0,870552.0,945009.0,1006181.0,1062613.0,1067893.0,1068298.0,1105652.0,1136313.0,1164250.0,1192207.0,1216094.0,1219896.0,1220008.0,1276854.0,1339728.0,1403618.0,1465120.0,1524051.0,1529765.0,1530174.0,1583168.0,1635497.0,1686404.0,1750364.0,1807308.0,1821783.0,1822707.0,1883062.0,1946545.0,2005369.0,2064332.0,2121078.0,2136991.0,2137927.0,2199233.0,2263366.0,2329126.0,2396965.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7949.0,11638.0,63895.0,123955.0,184427.0,192856.0,194151.0,274852.0,365314.0,464841.0,553587.0,637384.0,649150.0,650334.0,756201.0,846856.0,929544.0,1000082.0,1060417.0,1067522.0,1068001.0,1107875.0,1136784.0,1158003.0,1175664.0
