Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54189.0,55702.0,55775.0,55775.0,57677.0,59588.0,61287.0,63070.0,65066.0,65176.0,65176.0,67055.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96670.0,99377.0,99481.0,99481.0,101931.0,104061.0,106040.0,107960.0,107988.0,108016.0,108056.0,109861.0,111978.0,114119.0,115791.0,117424.0,117571.0,117599.0,119653.0,121351.0,123161.0,124790.0,126784.0,126979.0,127036.0,128997.0,131050.0,132824.0,134257.0,135633.0,135874.0,135887.0,137320.0,138812.0,140513.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64437.0,66396.0,68189.0,70141.0,71757.0,71891.0,71893.0,74312.0,76822.0,79157.0,81315.0,83586.0,83757.0,83757.0,86277.0,88758.0,91191.0,92982.0,94823.0,94959.0,94960.0,97889.0,99925.0,101864.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19413.0,37410.0,56784.0,58070.0,58108.0,85904.0,116226.0,149504.0,180757.0,208602.0,209930.0,209930.0,243726.0,273492.0,297902.0,318548.0,337076.0,337755.0,337868.0,349234.0,358374.0,366187.0,374824.0,384420.0,388061.0,388077.0,401415.0,419693.0,440216.0,459158.0,476982.0,477284.0,477284.0,493338.0,508770.0,524425.0,545881.0,563645.0,564870.0,564870.0,581293.0,599697.0,616766.0,635063.0,651522.0,652629.0,652712.0,667795.0,681931.0,697442.0,713119.0,729595.0,729965.0,729993.0,746735.0,760718.0,773458.0,787267.0,787428.0,787619.0,787659.0,795475.0,805135.0,814810.0,822486.0,830055.0,830642.0,830760.0,839582.0,846668.0,855074.0,861639.0,868698.0,869097.0,869138.0,874956.0,879759.0,883696.0,890778.0,895751.0,896102.0,896132.0,901779.0,905711.0,910529.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18122.0,35348.0,53918.0,55041.0,55048.0,81846.0,111365.0,143668.0,174112.0,201377.0,202392.0,202404.0,235387.0,267816.0,295058.0,320266.0,339343.0,340020.0,340096.0,354845.0,366609.0,373426.0,379037.0,383510.0,383596.0,383620.0,396025.0,411832.0,432022.0,454134.0,454711.0,454923.0,454944.0,479349.0,495895.0,511408.0,532292.0,549732.0,550535.0,550574.0,566890.0,584017.0,601003.0,618818.0,634777.0,635573.0,635664.0,651476.0,665115.0,679805.0,693675.0,708583.0,709040.0,709072.0,726030.0,739418.0,752326.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70098.0,70393.0,70644.0,78140.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104172.0,107984.0,111270.0,114556.0,117213.0,117267.0,117325.0,120843.0,124854.0,128403.0,131274.0,133650.0,133729.0,133765.0,138400.0,143446.0,148441.0,154461.0,159592.0,159798.0,160012.0,165883.0,171654.0,176409.0,180671.0,184671.0,184897.0,185103.0,188861.0,192896.0,196981.0,201019.0,205016.0,205060.0,205119.0,208927.0,212254.0,215353.0,219976.0,219977.0,219977.0,219977.0,223005.0,226229.0,229349.0,232264.0,235184.0,235406.0,235432.0,237368.0,238922.0,240169.0,241162.0,242385.0,242463.0,242477.0,243466.0,244445.0,245175.0,246482.0,247358.0,247394.0,247395.0,248616.0,249542.0,250611.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19570.0,25403.0,25538.0,25665.0,32889.0,40455.0,49376.0,59223.0,67658.0,68020.0,68263.0,76216.0,83281.0,89943.0,95959.0,100603.0,100642.0,100651.0,105267.0,108810.0,111545.0,113841.0,115664.0,115747.0,115761.0,118829.0,122385.0,125747.0,129193.0,129195.0,129195.0,129195.0,134724.0,139899.0,144823.0,150602.0,155594.0,155675.0,155729.0,161396.0,167073.0,171830.0,175988.0,180125.0,180316.0,180401.0,184346.0,188352.0,192168.0,196155.0,199953.0,200031.0,200058.0,204037.0,207578.0,210467.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46731.0,63167.0,67331.0,69959.0,93386.0,120858.0,152386.0,181073.0,203022.0,206262.0,207541.0,228812.0,245689.0,260112.0,271037.0,280974.0,282113.0,282505.0,291014.0,298752.0,306516.0,315738.0,322520.0,322868.0,323026.0,334451.0,347747.0,361035.0,373153.0,383867.0,384504.0,384720.0,396565.0,409684.0,422290.0,439633.0,454748.0,457961.0,458834.0,473911.0,490000.0,504621.0,518157.0,530818.0,533485.0,534644.0,546456.0,558686.0,571393.0,583413.0,597669.0,598272.0,598297.0,611068.0,621747.0,632767.0,644036.0,644232.0,644302.0,644304.0,650453.0,657961.0,665968.0,672737.0,678216.0,679364.0,679584.0,685869.0,691827.0,697578.0,701502.0,705201.0,705582.0,705622.0,709097.0,711617.0,713839.0,718141.0,721173.0,721688.0,721808.0,725040.0,727815.0,731048.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42887.0,58509.0,62394.0,64708.0,87074.0,114535.0,144891.0,173068.0,194926.0,198058.0,199214.0,222168.0,242098.0,259689.0,274718.0,284908.0,286061.0,286492.0,297330.0,305933.0,311316.0,315893.0,320078.0,320276.0,320388.0,328453.0,339291.0,351262.0,363864.0,364549.0,364636.0,364648.0,383128.0,396821.0,409933.0,426092.0,439450.0,441182.0,441585.0,457544.0,473515.0,487834.0,501038.0,512970.0,514692.0,515317.0,528726.0,540859.0,552998.0,564629.0,576674.0,577422.0,577558.0,590539.0,601894.0,612546.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150891.0,151322.0,151334.0,157664.0,163146.0,168060.0,172951.0,176709.0,177033.0,177033.0,186515.0,196482.0,205772.0,213811.0,221744.0,222102.0,222104.0,230246.0,238276.0,246001.0,255890.0,264879.0,265404.0,265408.0,275017.0,284370.0,292608.0,299916.0,307035.0,307348.0,307351.0,314919.0,322513.0,330408.0,337977.0,346619.0,346771.0,346833.0,355717.0,364313.0,372535.0,380315.0,380322.0,380338.0,380364.0,384589.0,389209.0,394447.0,397371.0,398896.0,398949.0,398949.0,402155.0,406418.0,411189.0,414797.0,418079.0,418305.0,418324.0,420226.0,422120.0,423871.0,426707.0,428947.0,428988.0,428988.0,430984.0,433099.0,435376.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80330.0,91124.0,92216.0,92238.0,107822.0,121520.0,133749.0,143816.0,152264.0,152616.0,152629.0,159877.0,164959.0,169143.0,172667.0,175150.0,175314.0,175333.0,183944.0,193492.0,203118.0,215658.0,215723.0,215728.0,215746.0,225429.0,233589.0,241186.0,250752.0,259456.0,259776.0,259778.0,268982.0,277719.0,286237.0,293419.0,300416.0,300657.0,300660.0,307993.0,315233.0,322952.0,330558.0,338350.0,338482.0,338486.0,346453.0,355071.0,362335.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14341.0,26646.0,39898.0,43798.0,46428.0,61127.0,76165.0,92704.0,107725.0,120430.0,121877.0,122465.0,136542.0,149537.0,161135.0,170230.0,179179.0,179550.0,179714.0,186859.0,193291.0,199168.0,204946.0,211388.0,211667.0,211676.0,219257.0,228731.0,237674.0,245159.0,251782.0,252441.0,252690.0,261011.0,269909.0,279563.0,290458.0,300465.0,301990.0,302532.0,313496.0,323944.0,333015.0,341789.0,349873.0,350498.0,350688.0,359549.0,368685.0,377630.0,386024.0,394935.0,395065.0,395092.0,404368.0,412144.0,419204.0,427419.0,427444.0,427472.0,427500.0,433212.0,439556.0,445459.0,450564.0,455334.0,455626.0,455652.0,458873.0,463091.0,467057.0,469746.0,472203.0,472437.0,472457.0,475085.0,477254.0,479392.0,482481.0,484943.0,485087.0,485102.0,486711.0,488750.0,490556.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13092.0,24939.0,37635.0,41396.0,43787.0,58212.0,72785.0,88773.0,103631.0,116260.0,117699.0,118354.0,132711.0,146740.0,159962.0,170942.0,182213.0,182548.0,182632.0,190751.0,196495.0,200813.0,204516.0,208307.0,208358.0,208377.0,214858.0,223119.0,231332.0,239803.0,239862.0,239882.0,239898.0,252411.0,261932.0,271154.0,281312.0,290734.0,291084.0,291128.0,301777.0,312411.0,321618.0,330273.0,338326.0,338759.0,338809.0,347748.0,356805.0,365502.0,373956.0,381956.0,382197.0,382217.0,391716.0,399858.0,406606.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12097.0,71902.0,135232.0,197875.0,208198.0,210124.0,293817.0,385118.0,486839.0,577936.0,664902.0,678790.0,680531.0,784920.0,870526.0,944984.0,1006156.0,1062593.0,1067873.0,1068278.0,1105635.0,1136329.0,1164265.0,1192222.0,1216118.0,1219896.0,1220008.0,1276968.0,1339826.0,1403770.0,1465293.0,1524280.0,1529994.0,1530405.0,1583456.0,1635813.0,1686790.0,1750876.0,1807799.0,1822323.0,1823249.0,1883666.0,1947168.0,2005994.0,2065154.0,2119507.0,2135426.0,2136354.0,2197074.0,2259775.0,2325038.0,2395916.0,2470515.0,2480050.0,2480626.0,2544451.0,2600764.0,2654325.0,2710677.0,2711568.0,2712290.0,2712541.0,2742985.0,2778306.0,2815314.0,2845479.0,2874367.0,2881693.0,2882162.0,2916555.0,2946246.0,2979144.0,3004599.0,3027154.0,3031691.0,3032223.0,3048166.0,3061822.0,3071558.0,3094906.0,3109615.0,3112603.0,3112719.0,3129455.0,3143003.0,3159659.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7954.0,11647.0,63920.0,124013.0,184537.0,192969.0,194264.0,275007.0,365533.0,465458.0,554336.0,638141.0,649916.0,651101.0,757006.0,847709.0,930417.0,1001003.0,1061370.0,1068449.0,1068930.0,1108810.0,1137820.0,1159105.0,1177708.0,1197054.0,1198915.0,1199125.0,1248229.0,1308042.0,1371275.0,1442973.0,1445957.0,1446828.0,1447171.0,1529601.0,1585043.0,1638365.0,1701203.0,1760215.0,1770420.0,1771117.0,1831818.0,1891559.0,1948991.0,2006445.0,2060128.0,2069294.0,2069928.0,2132570.0,2196109.0,2256746.0,2320578.0,2384405.0,2392844.0,2393130.0,2459890.0,2514435.0,2565566.0
