Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22450.0,22458.0,22458.0,30307.0,39189.0,49270.0,58822.0,67657.0,68138.0,68138.0,79330.0,88172.0,96222.0,103140.0,109620.0,109664.0,109669.0,115881.0,121140.0,125796.0,130611.0,134571.0,134707.0,134707.0,142164.0,150176.0,157750.0,164113.0,169671.0,169723.0,169723.0,175721.0,181970.0,187666.0,194176.0,199857.0,200063.0,200063.0,206444.0,213109.0,218877.0,224494.0,229753.0,229855.0,229855.0,235690.0,241481.0,247580.0,253892.0,260609.0,261042.0,261042.0,266878.0,272399.0,277432.0,283004.0,283013.0,283013.0,283015.0,286917.0,291499.0,295837.0,299676.0,303184.0,303273.0,303273.0,307037.0,310475.0,313816.0,316674.0,319587.0,319667.0,319667.0,322260.0,324367.0,326294.0,328981.0,331158.0,331253.0,331254.0,333562.0,335787.0,337981.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12390.0,16980.0,21493.0,21512.0,21513.0,28947.0,37511.0,47543.0,56792.0,65363.0,65719.0,65721.0,77776.0,87967.0,97557.0,106580.0,113992.0,114040.0,114043.0,121269.0,125483.0,128608.0,131075.0,133486.0,133564.0,133565.0,139194.0,146251.0,153364.0,159909.0,160011.0,160013.0,160016.0,169709.0,176509.0,182335.0,189158.0,194450.0,194620.0,194621.0,200965.0,207195.0,212785.0,218132.0,223229.0,223324.0,223327.0,229456.0,234875.0,240622.0,246295.0,252110.0,252370.0,252372.0,257786.0,262366.0,267490.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13335.0,22445.0,30499.0,31628.0,31630.0,42802.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143378.0,152447.0,160743.0,161125.0,161125.0,168603.0,175417.0,181184.0,186047.0,191166.0,191779.0,191780.0,199300.0,209489.0,217961.0,225483.0,232523.0,232934.0,232934.0,240893.0,248723.0,256728.0,266725.0,275904.0,276603.0,276603.0,285611.0,294975.0,303314.0,311099.0,318680.0,319104.0,319104.0,326185.0,333161.0,340442.0,347498.0,354618.0,354907.0,354907.0,361993.0,368046.0,373435.0,379399.0,379416.0,379434.0,379434.0,383227.0,387818.0,392477.0,396181.0,399744.0,399907.0,399907.0,403239.0,407404.0,411097.0,414066.0,416877.0,416998.0,416998.0,419624.0,422389.0,424479.0,427489.0,429944.0,430358.0,430379.0,432827.0,435313.0,437782.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12146.0,20928.0,28658.0,29857.0,29861.0,40695.0,54195.0,68604.0,82407.0,96201.0,98121.0,98129.0,114873.0,130191.0,142008.0,152098.0,161643.0,161941.0,161942.0,169524.0,175270.0,180285.0,184110.0,187701.0,187778.0,187778.0,194606.0,203828.0,211785.0,219931.0,220295.0,220311.0,220311.0,232642.0,240880.0,248884.0,258548.0,267049.0,267372.0,267375.0,276500.0,285673.0,293964.0,301537.0,309090.0,309398.0,309400.0,316768.0,323736.0,330636.0,337253.0,343896.0,344224.0,344228.0,351285.0,357701.0,363120.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93495.0,96637.0,96761.0,110864.0,121562.0,129260.0,135960.0,142294.0,142680.0,142687.0,148295.0,153545.0,158608.0,163563.0,169036.0,169374.0,169374.0,175424.0,182085.0,188549.0,194276.0,199518.0,200298.0,200409.0,206366.0,212823.0,218936.0,226002.0,232713.0,234192.0,234207.0,241331.0,249480.0,256275.0,262940.0,268191.0,269118.0,269126.0,274923.0,281738.0,289237.0,296641.0,303399.0,303945.0,303945.0,309723.0,315661.0,321903.0,328394.0,328399.0,328406.0,328406.0,332323.0,336976.0,341401.0,344439.0,347290.0,347431.0,347431.0,350436.0,354327.0,358327.0,361667.0,364263.0,364443.0,364443.0,365029.0,365675.0,366228.0,367477.0,369092.0,369266.0,369266.0,372005.0,374930.0,376682.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40936.0,53189.0,65708.0,77814.0,88699.0,91661.0,91726.0,105983.0,118992.0,128648.0,137326.0,144041.0,144436.0,144447.0,151913.0,157520.0,161516.0,164502.0,166891.0,166929.0,166929.0,171505.0,177059.0,183444.0,189926.0,189938.0,189943.0,189944.0,198757.0,205085.0,211198.0,216644.0,222599.0,222869.0,222872.0,231334.0,239655.0,246812.0,253357.0,258201.0,258397.0,258399.0,264736.0,271734.0,279286.0,285773.0,291622.0,291853.0,291855.0,297920.0,303838.0,308783.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14573.0,15139.0,15656.0,21111.0,28009.0,35136.0,42230.0,47633.0,48441.0,48884.0,54481.0,58341.0,61679.0,64669.0,67464.0,67537.0,67591.0,70585.0,73047.0,75183.0,77104.0,78660.0,78679.0,78680.0,80680.0,84524.0,88718.0,92183.0,95033.0,95189.0,95224.0,98704.0,102460.0,105745.0,109961.0,113063.0,113213.0,113344.0,116957.0,120836.0,123949.0,126405.0,129066.0,129199.0,129400.0,132636.0,135706.0,138913.0,142811.0,146832.0,146992.0,146996.0,150202.0,152651.0,155020.0,157570.0,157696.0,157822.0,157889.0,159393.0,161060.0,162577.0,164342.0,166322.0,166483.0,166530.0,167954.0,169539.0,171450.0,173109.0,174774.0,175132.0,175133.0,175959.0,176984.0,177780.0,178715.0,179284.0,179359.0,179365.0,179926.0,180371.0,180726.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13710.0,14218.0,14599.0,19756.0,26499.0,33439.0,40392.0,45603.0,46403.0,46875.0,52746.0,57795.0,62015.0,65663.0,68803.0,68946.0,69000.0,72171.0,74158.0,75511.0,76786.0,77775.0,77809.0,77811.0,79182.0,82436.0,86173.0,90323.0,90592.0,90700.0,90733.0,95325.0,99138.0,102357.0,106137.0,109508.0,109652.0,109747.0,113154.0,116717.0,119895.0,122442.0,124976.0,125189.0,125387.0,128412.0,131473.0,134555.0,137802.0,140532.0,140736.0,140740.0,143984.0,146708.0,148200.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20135.0,23653.0,26706.0,26712.0,26718.0,30329.0,32709.0,35304.0,37064.0,38784.0,38986.0,38996.0,39844.0,40564.0,41477.0,42474.0,43312.0,43400.0,43400.0,45568.0,47959.0,50152.0,51912.0,53443.0,53452.0,53456.0,54717.0,56016.0,57233.0,58908.0,60161.0,60165.0,60206.0,61664.0,63464.0,64742.0,66161.0,67548.0,67561.0,67572.0,69196.0,70584.0,72134.0,73487.0,75413.0,75424.0,75426.0,76789.0,78031.0,79291.0,80654.0,80655.0,80655.0,80655.0,81519.0,82805.0,84101.0,85107.0,85872.0,85875.0,85877.0,86847.0,87686.0,88679.0,89601.0,90423.0,90426.0,90426.0,91075.0,91808.0,92328.0,93089.0,93430.0,93433.0,93433.0,93533.0,94155.0,94757.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57060.0,58259.0,58266.0,58268.0,59462.0,60972.0,62368.0,63776.0,65317.0,65331.0,65333.0,66714.0,68310.0,69838.0,70946.0,71945.0,71954.0,71954.0,72889.0,74339.0,75622.0
