Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44181.0,53490.0,56551.0,56962.0,56962.0,56962.0,56979.0,57000.0,57001.0,57001.0,57001.0,57001.0,57001.0,57001.0,70188.0,240532.0,414573.0,583192.0,611059.0,619690.0,841108.0,1083535.0,1355930.0,1607133.0,1836301.0,1865796.0,1870259.0,2135269.0,2354956.0,2542593.0,2697504.0,2839409.0,2849027.0,2850191.0,2958222.0,3052264.0,3138205.0,3223889.0,3301887.0,3311886.0,3312238.0,3449098.0,3607859.0,3765352.0,3909730.0,4045343.0,4055069.0,4056134.0,4192228.0,4330777.0,4465599.0,4635003.0,4783199.0,4806317.0,4807063.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24943.0,44294.0,52619.0,55485.0,55692.0,55726.0,55726.0,55726.0,55736.0,55736.0,55736.0,55736.0,55736.0,55736.0,55757.0,55797.0,55969.0,56113.0,56230.0,56234.0,56234.0,56634.0,69025.0,222791.0,388242.0,549099.0,573259.0,580100.0,793250.0,1029499.0,1292092.0,1534526.0,1753473.0,1778638.0,1779863.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11456.0,12812.0,12860.0,12868.0,14385.0,15643.0,16890.0,18239.0,19487.0,19568.0,19568.0,20359.0,21139.0,21841.0,22520.0,22893.0,22904.0,22904.0,23543.0,24357.0,25282.0,26010.0,26754.0,26759.0,26759.0,27295.0,27889.0,28402.0,29093.0,29673.0,29682.0,29682.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4758.0,5828.0,5848.0,5848.0,7045.0,8198.0,9753.0,11064.0,12304.0,12331.0,12331.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16035.0,16035.0,19618.0,24047.0,29754.0,36324.0,42675.0,43444.0,43449.0,50651.0,56065.0,60860.0,64991.0,69034.0,69189.0,69189.0,73102.0,76667.0,79893.0,82239.0,84785.0,84785.0,84785.0,88959.0,93718.0,98461.0,102827.0,106572.0,106578.0,106578.0,110862.0,116036.0,120651.0,126364.0,131543.0,131659.0,131659.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9493.0,12765.0,15422.0,15491.0,15491.0,19039.0,23369.0,28854.0,35182.0,41167.0,41725.0,41725.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7245.0,9637.0,9940.0,9974.0,12401.0,14950.0,17964.0,20716.0,23596.0,23712.0,23712.0,26354.0,28417.0,30568.0,32693.0,34749.0,34804.0,34804.0,36796.0,38706.0,40003.0,41122.0,43129.0,43321.0,43321.0,44798.0,46003.0,47013.0,47841.0,48847.0,48911.0,48913.0,50046.0,51060.0,52280.0,53826.0,55057.0,55058.0,55058.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9206.0,9463.0,9489.0,11778.0,14229.0,16946.0,19593.0,22194.0,22197.0,22197.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2516.0,3606.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9462.0,15282.0,19965.0,20439.0,20439.0,24036.0,26450.0,28680.0,30744.0,33241.0,33718.0,33718.0,35416.0,37244.0,38987.0,40810.0,41829.0,41882.0,41884.0,43797.0,46225.0,48522.0,50626.0,52155.0,52232.0,52232.0,53611.0,54797.0,55755.0,56904.0,58737.0,59036.0,59036.0,60986.0,62923.0,64759.0,66777.0,68690.0,68781.0,68781.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2647.0,3625.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3702.0,3709.0,3735.0,3735.0,3735.0,3744.0,4414.0,9393.0,14577.0,19012.0,19435.0,19436.0,22854.0,25264.0,27480.0,29526.0,31785.0,32128.0,32128.0
