Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50160.0,51920.0,53450.0,53459.0,53463.0,54723.0,56022.0,57238.0,58915.0,60166.0,60170.0,60171.0,61624.0,63425.0,64703.0,66132.0,67525.0,67538.0,67549.0,69129.0,70554.0,72120.0,73484.0,75395.0,75403.0,75405.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8471.0,8517.0,8519.0,11640.0,14747.0,19181.0,22712.0,25739.0,25751.0,25758.0,29348.0,32043.0,35146.0,37419.0,39281.0,39293.0,39295.0,40184.0,41033.0,41474.0,42098.0,42640.0,42648.0,42648.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57686.0,59596.0,61297.0,63078.0,65074.0,65184.0,65184.0,67064.0,68793.0,70363.0,72488.0,74644.0,74846.0,74846.0,77133.0,79664.0,82014.0,84406.0,86984.0,87223.0,87223.0,89617.0,92047.0,94721.0,96956.0,99679.0,99783.0,99783.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4142.0,6410.0,6918.0,6918.0,10145.0,14039.0,18575.0,22655.0,26776.0,26979.0,26979.0,32036.0,37440.0,42308.0,45961.0,48648.0,48810.0,48810.0,50675.0,51758.0,52720.0,53499.0,54371.0,54424.0,54424.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116223.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297895.0,318546.0,337074.0,337753.0,337866.0,349231.0,358371.0,366186.0,374824.0,384427.0,388101.0,388117.0,401447.0,419726.0,440245.0,459180.0,476993.0,477293.0,477293.0,493329.0,508761.0,524397.0,545694.0,563353.0,564575.0,564575.0,580988.0,599343.0,616426.0,634777.0,651371.0,652478.0,652688.0,667962.0,682484.0,698108.0,713751.0,730034.0,730404.0,730429.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18106.0,35323.0,53883.0,55006.0,55013.0,81806.0,111313.0,143517.0,173892.0,200986.0,202002.0,202014.0,234983.0,267342.0,294583.0,319789.0,338883.0,339558.0,339630.0,354330.0,366029.0,372825.0,378402.0,382821.0,382907.0,382931.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33940.0,41781.0,50888.0,61258.0,70094.0,70389.0,70640.0,78137.0,84503.0,90410.0,95563.0,99903.0,100102.0,100102.0,104170.0,107981.0,111264.0,114548.0,117204.0,117258.0,117316.0,120832.0,124839.0,128380.0,131241.0,133613.0,133692.0,133728.0,138346.0,143390.0,148356.0,154301.0,159385.0,159591.0,159802.0,165629.0,171399.0,176163.0,180417.0,184404.0,184630.0,184836.0,188710.0,192684.0,196773.0,200801.0,204721.0,204762.0,204789.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19536.0,25368.0,25503.0,25630.0,32846.0,40407.0,49269.0,58982.0,67347.0,67708.0,67950.0,75813.0,82664.0,89326.0,95301.0,99905.0,99944.0,99953.0,104560.0,108035.0,110720.0,113004.0,114729.0,114812.0,114825.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6314.0,28223.0,46737.0,63172.0,67336.0,69963.0,93387.0,120858.0,152384.0,181072.0,203019.0,206259.0,207538.0,228810.0,245690.0,260113.0,271037.0,280971.0,282110.0,282502.0,291010.0,298747.0,306511.0,315737.0,322520.0,322868.0,323026.0,334454.0,347729.0,361003.0,373102.0,383804.0,384437.0,384653.0,396476.0,409566.0,422148.0,439470.0,454519.0,457724.0,458595.0,473638.0,489701.0,504310.0,517956.0,530481.0,533144.0,534301.0,546608.0,559345.0,571719.0,583661.0,597076.0,597538.0,597559.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4842.0,25087.0,42873.0,58484.0,62365.0,64678.0,87006.0,114446.0,144776.0,172946.0,194777.0,197910.0,199066.0,222000.0,241926.0,259505.0,274532.0,284693.0,285847.0,286278.0,297124.0,305704.0,311051.0,315621.0,319708.0,319905.0,320006.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11916.0,18978.0,28344.0,37231.0,38349.0,38408.0,48276.0,57719.0,70905.0,82122.0,93249.0,94464.0,94484.0,109690.0,122756.0,134087.0,143142.0,150864.0,151295.0,151307.0,157640.0,163122.0,168036.0,172925.0,176682.0,177006.0,177006.0,186478.0,196442.0,205725.0,213761.0,221690.0,222049.0,222051.0,230163.0,238190.0,245919.0,255774.0,264619.0,265144.0,265148.0,274760.0,284097.0,292448.0,299868.0,307343.0,307661.0,307664.0,315327.0,322996.0,330906.0,338440.0,346896.0,347048.0,347103.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8069.0,10248.0,11393.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11483.0,11486.0,11500.0,11507.0,11519.0,11519.0,11519.0,11536.0,11805.0,18593.0,27647.0,36441.0,37287.0,37314.0,47179.0,56397.0,69298.0,80213.0,90972.0,92063.0,92085.0,107647.0,121274.0,133502.0,143420.0,151861.0,152213.0,152226.0,159463.0,164528.0,168625.0,172028.0,174434.0,174598.0,174615.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14325.0,26646.0,39901.0,43802.0,46431.0,61129.0,76167.0,92705.0,107726.0,120428.0,121874.0,122461.0,136537.0,149530.0,161131.0,170224.0,179173.0,179544.0,179708.0,186856.0,193288.0,199164.0,204944.0,211384.0,211663.0,211669.0,219237.0,228702.0,237610.0,244978.0,251587.0,252335.0,252585.0,260830.0,269711.0,279282.0,290160.0,300132.0,301646.0,302188.0,313148.0,323544.0,332637.0,341413.0,349767.0,350376.0,350566.0,359545.0,368724.0,377651.0,385952.0,394572.0,394702.0,394729.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13073.0,24906.0,37579.0,41331.0,43679.0,58079.0,72627.0,88505.0,103263.0,115776.0,117216.0,117866.0,132286.0,146302.0,159513.0,170482.0,181748.0,182083.0,182167.0,190275.0,196005.0,200273.0,203807.0,207336.0,207387.0,207396.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71911.0,135242.0,197867.0,208190.0,210117.0,293811.0,385116.0,486842.0,577945.0,664915.0,678803.0,680544.0,784941.0,870556.0,945013.0,1006185.0,1062617.0,1067897.0,1068302.0,1105657.0,1136356.0,1164294.0,1192251.0,1216153.0,1219958.0,1220070.0,1276916.0,1339790.0,1403680.0,1465181.0,1524113.0,1529827.0,1530236.0,1583228.0,1635558.0,1686468.0,1750434.0,1807379.0,1821856.0,1822780.0,1883137.0,1946623.0,2005448.0,2064412.0,2121195.0,2137123.0,2138059.0,2199368.0,2263499.0,2329261.0,2400415.0,2474855.0,2484351.0,2484926.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7950.0,11640.0,63899.0,123957.0,184430.0,192859.0,194154.0,274859.0,365326.0,464855.0,553604.0,637403.0,649169.0,650353.0,756225.0,846882.0,929570.0,1000108.0,1060444.0,1067549.0,1068028.0,1107911.0,1136841.0,1158069.0,1176629.0,1195800.0,1197619.0,1197821.0
