Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37409.0,56785.0,58071.0,58109.0,85904.0,116226.0,149501.0,180747.0,208589.0,209919.0,209919.0,243700.0,273447.0,297840.0,318476.0,336992.0,337670.0,337783.0,349144.0,358276.0,366078.0,374713.0,384305.0,387958.0,387974.0,401255.0,419533.0,440052.0,458968.0,476773.0,477073.0,477073.0,493097.0,508513.0,524125.0,545246.0,562796.0,564016.0,564016.0,579137.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18095.0,35306.0,53864.0,54987.0,54994.0,81774.0,111273.0,143284.0,173463.0,200403.0,201401.0,201413.0,232605.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33938.0,41779.0,50883.0,61250.0,70084.0,70379.0,70630.0,78130.0,84484.0,90386.0,95535.0,99871.0,100070.0,100070.0,104135.0,107941.0,111221.0,114505.0,117161.0,117215.0,117273.0,120789.0,124795.0,128333.0,131193.0,133560.0,133639.0,133675.0,138291.0,143335.0,148258.0,154145.0,159164.0,159357.0,159526.0,164689.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19536.0,25368.0,25503.0,25630.0,32845.0,40387.0,48909.0,58522.0,66803.0,67150.0,67347.0,74539.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28221.0,46734.0,63173.0,67336.0,69963.0,93388.0,120852.0,152376.0,181060.0,203010.0,206250.0,207529.0,228794.0,245653.0,260048.0,270914.0,280843.0,281981.0,282373.0,290880.0,298608.0,306366.0,315588.0,322368.0,322716.0,322874.0,334299.0,347574.0,360844.0,372944.0,383638.0,384271.0,384487.0,396297.0,409374.0,421951.0,439131.0,454148.0,457347.0,458192.0,471856.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4840.0,25077.0,42825.0,58347.0,62230.0,64543.0,86827.0,114134.0,144282.0,172190.0,193855.0,196986.0,198137.0,219325.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7937.0,10293.0,11590.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11665.0,11908.0,18970.0,28337.0,37223.0,38341.0,38400.0,48265.0,57705.0,70892.0,82110.0,93236.0,94451.0,94471.0,109674.0,122728.0,134047.0,143075.0,150789.0,151220.0,151232.0,157552.0,163032.0,167943.0,172831.0,176585.0,176909.0,176909.0,186380.0,196344.0,205622.0,213661.0,221522.0,221881.0,221883.0,229997.0,238017.0,245634.0,255439.0,263972.0,264495.0,264499.0,273444.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8061.0,10240.0,11385.0,11467.0,11467.0,11467.0,11467.0,11467.0,11467.0,11467.0,11467.0,11467.0,11467.0,11475.0,11478.0,11492.0,11499.0,11511.0,11511.0,11511.0,11528.0,11797.0,18573.0,27654.0,36417.0,37263.0,37290.0,47150.0,56309.0,69185.0,80033.0,90547.0,91636.0,91658.0,106049.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14327.0,26648.0,39901.0,43801.0,46429.0,61127.0,76165.0,92699.0,107720.0,120419.0,121863.0,122450.0,136531.0,149498.0,161100.0,170185.0,179123.0,179494.0,179658.0,186800.0,193224.0,199092.0,204869.0,211302.0,211581.0,211587.0,219148.0,228605.0,237501.0,244860.0,251448.0,252201.0,252451.0,260689.0,269501.0,278981.0,289588.0,299257.0,300758.0,301292.0,310489.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13063.0,24893.0,37492.0,41300.0,43644.0,58016.0,72525.0,88398.0,102925.0,115084.0,116517.0,117163.0,130204.0
