Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70061.0,82193.0,93501.0,96643.0,96767.0,110870.0,121568.0,129267.0,135969.0,142303.0,142689.0,142696.0,148304.0,153553.0,158616.0,163571.0,169043.0,169381.0,169381.0,175437.0,182101.0,188566.0,194299.0,199544.0,200324.0,200435.0,206394.0,212851.0,218964.0,226035.0,232744.0,234222.0,234237.0,241377.0,249555.0,256358.0,263089.0,268398.0,269326.0,269334.0,275282.0,282230.0,289829.0,297289.0,304066.0,304617.0,304617.0,310423.0,316405.0,322668.0,329231.0,329236.0,329243.0,329243.0,333179.0,337865.0,342309.0,345348.0,348205.0,348346.0,348346.0,351372.0,355220.0,359277.0,362688.0,365346.0,365532.0,365532.0,366096.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25546.0,28437.0,28754.0,40934.0,53185.0,65704.0,77811.0,88690.0,91652.0,91717.0,105973.0,118978.0,128632.0,137311.0,144025.0,144420.0,144431.0,151871.0,157478.0,161475.0,164442.0,166831.0,166869.0,166869.0,171445.0,176997.0,183378.0,189861.0,189873.0,189878.0,189879.0,198688.0,205016.0,211125.0,216563.0,222516.0,222786.0,222787.0,231263.0,239489.0,246669.0,253212.0,258048.0,258243.0,258245.0,264460.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14573.0,15139.0,15656.0,21111.0,28009.0,35139.0,42233.0,47637.0,48445.0,48888.0,54485.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77109.0,78665.0,78684.0,78685.0,80688.0,84537.0,88731.0,92196.0,95046.0,95202.0,95237.0,98718.0,102475.0,105761.0,109980.0,113083.0,113232.0,113363.0,116982.0,120868.0,123995.0,126468.0,129227.0,129360.0,129561.0,132849.0,135953.0,139186.0,143114.0,147139.0,147299.0,147303.0,150517.0,152975.0,155361.0,157923.0,158050.0,158176.0,158243.0,159757.0,161433.0,162957.0,164739.0,166738.0,166905.0,166952.0,168381.0,169977.0,172008.0,173742.0,175453.0,175833.0,175834.0,176615.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9317.0,13709.0,14217.0,14598.0,19755.0,26499.0,33437.0,40389.0,45601.0,46401.0,46873.0,52742.0,57790.0,62011.0,65659.0,68798.0,68941.0,68995.0,72167.0,74153.0,75506.0,76782.0,77771.0,77805.0,77807.0,79177.0,82431.0,86169.0,90319.0,90588.0,90696.0,90729.0,95322.0,99134.0,102355.0,106135.0,109507.0,109651.0,109746.0,113156.0,116728.0,119920.0,122471.0,125070.0,125285.0,125484.0,128298.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26709.0,26715.0,26721.0,30332.0,32713.0,35308.0,37068.0,38788.0,38990.0,39000.0,39848.0,40568.0,41481.0,42479.0,43317.0,43405.0,43405.0,45573.0,47965.0,50159.0,51919.0,53451.0,53460.0,53464.0,54725.0,56024.0,57241.0,58918.0,60171.0,60175.0,60216.0,61674.0,63477.0,64759.0,66190.0,67590.0,67603.0,67614.0,69196.0,70621.0,72185.0,73549.0,75481.0,75492.0,75494.0,76857.0,78111.0,79378.0,80741.0,80742.0,80742.0,80742.0,81607.0,82899.0,84196.0,85204.0,85968.0,85971.0,85973.0,86944.0,87789.0,88785.0,89724.0,90546.0,90549.0,90549.0,91148.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35157.0,37430.0,39293.0,39305.0,39307.0,40196.0,41045.0,41485.0,42109.0,42652.0,42661.0,42661.0,44253.0,46836.0,48974.0,50822.0,50823.0,50827.0,50829.0,52770.0,54296.0,55536.0,57058.0,58257.0,58264.0,58266.0,59459.0,60958.0,62360.0,63749.0,65296.0,65310.0,65312.0,66650.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6929.0,7469.0,7469.0,10864.0,14866.0,19679.0,23995.0,28212.0,28383.0,28383.0,33617.0,38453.0,41934.0,44133.0,46278.0,46387.0,46387.0,47963.0,49676.0,52050.0,54197.0,55710.0,55783.0,55783.0,57686.0,59597.0,61299.0,63082.0,65078.0,65188.0,65188.0,67068.0,68798.0,70369.0,72497.0,74654.0,74856.0,74856.0,77145.0,79679.0,82030.0,84420.0,87000.0,87239.0,87239.0,89633.0,92064.0,94738.0,96973.0,99696.0,99800.0,99800.0,102269.0,104422.0,106415.0,108345.0,108373.0,108401.0,108441.0,110263.0,112419.0,114604.0,116294.0,117941.0,118088.0,118116.0,120198.0,121942.0,123776.0,125430.0,127440.0,127635.0,127692.0,129591.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42313.0,45966.0,48653.0,48815.0,48815.0,50680.0,51763.0,52725.0,53505.0,54377.0,54430.0,54430.0,56018.0,57717.0,59362.0,61489.0,61490.0,61490.0,61492.0,64442.0,66404.0,68197.0,70153.0,71770.0,71904.0,71906.0,74329.0,76843.0,79183.0,81364.0,83696.0,83866.0,83866.0,86305.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19414.0,37412.0,56786.0,58072.0,58110.0,85908.0,116230.0,149508.0,180758.0,208603.0,209931.0,209931.0,243726.0,273495.0,297906.0,318553.0,337081.0,337760.0,337873.0,349238.0,358379.0,366194.0,374831.0,384435.0,388111.0,388127.0,401467.0,419754.0,440281.0,459226.0,477052.0,477354.0,477354.0,493409.0,508851.0,524515.0,545974.0,563741.0,564966.0,564966.0,581398.0,599813.0,616915.0,635280.0,651891.0,652998.0,653209.0,668606.0,683207.0,698901.0,714664.0,731185.0,731555.0,731582.0,748385.0,762438.0,775208.0,789052.0,789214.0,789405.0,789445.0,797324.0,807064.0,816790.0,824503.0,832112.0,832699.0,832817.0,841686.0,848825.0,857289.0,863902.0,871022.0,871421.0,871463.0,877210.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18123.0,35349.0,53919.0,55042.0,55049.0,81845.0,111363.0,143666.0,174106.0,201369.0,202384.0,202396.0,235375.0,267803.0,295046.0,320255.0,339357.0,340034.0,340110.0,354865.0,366635.0,373459.0,379070.0,383543.0,383629.0,383653.0,396059.0,411866.0,432033.0,454144.0,454721.0,454933.0,454954.0,479358.0,495910.0,511429.0,532308.0,549745.0,550548.0,550587.0,566911.0,584054.0,601068.0,618936.0,635021.0,635817.0,635909.0,651727.0
