Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13472.0,20177.0,26375.0,26611.0,26727.0,33939.0,41781.0,50890.0,61262.0,70097.0,70392.0,70643.0,78140.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104172.0,107984.0,111269.0,114555.0,117211.0,117265.0,117323.0,120841.0,124853.0,128403.0,131269.0,133647.0,133726.0,133762.0,138398.0,143450.0,148447.0,154468.0,159599.0,159805.0,160018.0,165897.0,171676.0,176445.0,180725.0,184749.0,184975.0,185181.0,189079.0,193191.0,197308.0,201377.0,205381.0,205424.0,205483.0,209313.0,212655.0,215768.0,220411.0,220412.0,220412.0,220412.0,223468.0,226714.0,229846.0,232764.0,235704.0,235929.0,235955.0,237891.0,239441.0,240676.0,241667.0,242914.0,242995.0,243009.0,243920.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13178.0,19543.0,25374.0,25509.0,25636.0,32858.0,40424.0,49344.0,59188.0,67624.0,67985.0,68227.0,76180.0,83245.0,89907.0,95922.0,100565.0,100604.0,100613.0,105230.0,108773.0,111504.0,113800.0,115621.0,115704.0,115718.0,118786.0,122344.0,125705.0,129150.0,129152.0,129152.0,129152.0,134682.0,139857.0,144774.0,150500.0,155454.0,155535.0,155589.0,161232.0,166889.0,171634.0,175754.0,179870.0,180061.0,180146.0,183902.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46734.0,63169.0,67333.0,69960.0,93387.0,120858.0,152387.0,181076.0,203026.0,206266.0,207545.0,228817.0,245695.0,260118.0,271044.0,280979.0,282118.0,282510.0,291020.0,298758.0,306522.0,315746.0,322527.0,322875.0,323033.0,334467.0,347769.0,361061.0,373185.0,383901.0,384538.0,384754.0,396608.0,409733.0,422338.0,439694.0,454810.0,458024.0,458897.0,473974.0,490074.0,504730.0,518404.0,531168.0,533836.0,534993.0,547322.0,560074.0,572649.0,584777.0,598624.0,599226.0,599251.0,612072.0,622810.0,633883.0,645194.0,645390.0,645460.0,645462.0,651646.0,659205.0,667252.0,674061.0,679557.0,680691.0,680911.0,687247.0,693229.0,699017.0,702976.0,706731.0,707091.0,707133.0,710437.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42886.0,58507.0,62392.0,64705.0,87069.0,114527.0,144879.0,173058.0,194915.0,198047.0,199203.0,222155.0,242083.0,259672.0,274700.0,284888.0,286041.0,286472.0,297327.0,305937.0,311317.0,315888.0,320065.0,320263.0,320375.0,328440.0,339289.0,351259.0,363848.0,364528.0,364615.0,364627.0,383116.0,396806.0,409914.0,426077.0,439432.0,441164.0,441567.0,457529.0,473347.0,487511.0,500797.0,512832.0,514553.0,515178.0,528206.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18980.0,28346.0,37235.0,38353.0,38412.0,48282.0,57736.0,70918.0,82136.0,93265.0,94480.0,94500.0,109706.0,122761.0,134113.0,143171.0,150892.0,151323.0,151335.0,157666.0,163148.0,168063.0,172953.0,176711.0,177035.0,177035.0,186519.0,196489.0,205781.0,213821.0,221753.0,222111.0,222113.0,230263.0,238297.0,246034.0,255923.0,264908.0,265433.0,265437.0,275060.0,284454.0,292801.0,300320.0,307802.0,308120.0,308123.0,315788.0,323463.0,331431.0,339053.0,347627.0,347779.0,347841.0,356744.0,365351.0,373497.0,381289.0,381296.0,381312.0,381338.0,385574.0,390269.0,395507.0,398259.0,399793.0,399846.0,399846.0,403080.0,407377.0,412099.0,415735.0,419002.0,419237.0,419257.0,421106.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27655.0,36464.0,37311.0,37338.0,47212.0,56446.0,69349.0,80315.0,91109.0,92201.0,92223.0,107796.0,121492.0,133718.0,143784.0,152230.0,152582.0,152595.0,159843.0,164923.0,169087.0,172583.0,175035.0,175199.0,175218.0,183827.0,193376.0,202902.0,215428.0,215493.0,215498.0,215516.0,225166.0,233347.0,240880.0,250444.0,259009.0,259329.0,259331.0,268550.0,277330.0,285658.0,293027.0,300241.0,300486.0,300489.0,307563.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14340.0,26646.0,39905.0,43806.0,46437.0,61137.0,76176.0,92714.0,107737.0,120439.0,121885.0,122473.0,136550.0,149544.0,161146.0,170239.0,179188.0,179559.0,179723.0,186868.0,193300.0,199177.0,204957.0,211399.0,211678.0,211687.0,219271.0,228750.0,237695.0,245188.0,251815.0,252473.0,252721.0,261037.0,269942.0,279607.0,290508.0,300514.0,302039.0,302582.0,313587.0,324039.0,333152.0,341942.0,350307.0,350931.0,351121.0,360123.0,369313.0,378296.0,386722.0,395644.0,395774.0,395801.0,405075.0,412868.0,419943.0,428138.0,428163.0,428191.0,428219.0,433963.0,440332.0,446260.0,451348.0,456106.0,456400.0,456427.0,459675.0,463902.0,467817.0,470518.0,472967.0,473201.0,473221.0,475564.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13092.0,24939.0,37634.0,41394.0,43784.0,58209.0,72782.0,88762.0,103616.0,116217.0,117656.0,118311.0,132750.0,146773.0,159996.0,170973.0,182243.0,182578.0,182662.0,190781.0,196520.0,200835.0,204537.0,208320.0,208371.0,208390.0,214870.0,223133.0,231337.0,239814.0,239873.0,239893.0,239909.0,252410.0,261933.0,271156.0,281296.0,290688.0,291038.0,291082.0,301728.0,312354.0,321580.0,330226.0,338272.0,338705.0,338755.0,347231.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12107.0,71908.0,135240.0,197888.0,208211.0,210138.0,293834.0,385144.0,486871.0,577973.0,664943.0,678831.0,680572.0,784972.0,870583.0,945045.0,1006221.0,1062658.0,1067938.0,1068343.0,1105701.0,1136399.0,1164335.0,1192293.0,1216201.0,1220008.0,1220120.0,1277098.0,1339999.0,1403966.0,1465510.0,1524505.0,1530220.0,1530631.0,1583703.0,1636113.0,1687124.0,1751167.0,1808143.0,1822668.0,1823594.0,1884032.0,1947624.0,2006568.0,2065920.0,2122693.0,2138646.0,2139582.0,2200957.0,2265118.0,2330928.0,2402193.0,2477085.0,2486652.0,2487228.0,2551120.0,2607730.0,2661488.0,2718029.0,2718920.0,2719641.0,2719892.0,2750449.0,2786028.0,2823238.0,2853612.0,2882746.0,2890145.0,2890623.0,2925198.0,2955102.0,2988165.0,3013836.0,3036590.0,3041153.0,3041701.0,3056963.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11646.0,63921.0,124007.0,184530.0,192961.0,194256.0,275003.0,365531.0,465455.0,554332.0,638138.0,649906.0,651091.0,756987.0,847669.0,930372.0,1000958.0,1061329.0,1068436.0,1068917.0,1108810.0,1137798.0,1159086.0,1177688.0,1197033.0,1198893.0,1199103.0,1248204.0,1308046.0,1371288.0,1442981.0,1445964.0,1446835.0,1447177.0,1529612.0,1585087.0,1638435.0,1701259.0,1760289.0,1770497.0,1771194.0,1831884.0,1891729.0,1949318.0,2006998.0,2062490.0,2071704.0,2072345.0,2132500.0
