Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30306.0,39188.0,49268.0,58820.0,67654.0,68135.0,68135.0,79327.0,88169.0,96219.0,103137.0,109617.0,109661.0,109666.0,115878.0,121137.0,125793.0,130606.0,134566.0,134702.0,134702.0,142159.0,150171.0,157743.0,164106.0,169664.0,169716.0,169716.0,175714.0,181963.0,187661.0,194171.0,199853.0,200059.0,200059.0,206440.0,213105.0,218873.0,224490.0,229758.0,229860.0,229860.0,235697.0,241488.0,247588.0,253901.0,260618.0,261051.0,261051.0,266887.0,272410.0,277448.0,283033.0,283042.0,283042.0,283044.0,286951.0,291533.0,295869.0,299708.0,303216.0,303305.0,303305.0,307069.0,310507.0,313848.0,316706.0,319619.0,319699.0,319699.0,322292.0,324399.0,326326.0,329013.0,331191.0,331286.0,331287.0,333595.0,335842.0,338163.0,340295.0,342228.0,342243.0,342243.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12390.0,16980.0,21493.0,21512.0,21513.0,28947.0,37510.0,47542.0,56791.0,65361.0,65717.0,65719.0,77774.0,87965.0,97555.0,106578.0,113991.0,114039.0,114042.0,121268.0,125482.0,128607.0,131074.0,133485.0,133563.0,133564.0,139193.0,146250.0,153360.0,159923.0,160025.0,160027.0,160030.0,169725.0,176525.0,182353.0,189176.0,194469.0,194639.0,194640.0,200984.0,207214.0,212811.0,218158.0,223268.0,223363.0,223366.0,229495.0,234916.0,240664.0,246342.0,252157.0,252418.0,252420.0,257844.0,262461.0,268248.0,273460.0,274986.0,274988.0,274991.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225486.0,232526.0,232937.0,232937.0,240896.0,248726.0,256731.0,266728.0,275909.0,276608.0,276608.0,285616.0,294980.0,303319.0,311104.0,318685.0,319109.0,319109.0,326190.0,333166.0,340447.0,347504.0,354625.0,354914.0,354914.0,362000.0,368054.0,373444.0,379414.0,379431.0,379449.0,379449.0,383241.0,387832.0,392491.0,396195.0,399762.0,399925.0,399925.0,403256.0,407421.0,411115.0,414084.0,416897.0,417019.0,417019.0,419645.0,422414.0,424504.0,427514.0,429974.0,430388.0,430409.0,432858.0,435344.0,437887.0,439806.0,442441.0,442465.0,442465.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54195.0,68604.0,82407.0,96201.0,98121.0,98129.0,114873.0,130191.0,142008.0,152099.0,161644.0,161942.0,161943.0,169525.0,175271.0,180286.0,184111.0,187702.0,187779.0,187779.0,194607.0,203830.0,211788.0,219935.0,220299.0,220315.0,220315.0,232648.0,240886.0,248890.0,258554.0,267062.0,267385.0,267388.0,276516.0,285689.0,293980.0,301553.0,309107.0,309415.0,309417.0,316786.0,323755.0,330655.0,337273.0,343933.0,344262.0,344266.0,351327.0,357744.0,363376.0,368848.0,370329.0,370336.0,370337.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93495.0,96637.0,96761.0,110864.0,121562.0,129260.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158605.0,163560.0,169033.0,169371.0,169371.0,175421.0,182082.0,188546.0,194273.0,199515.0,200295.0,200406.0,206364.0,212821.0,218934.0,226000.0,232711.0,234190.0,234205.0,241329.0,249478.0,256273.0,262938.0,268189.0,269116.0,269124.0,274921.0,281736.0,289236.0,296641.0,303399.0,303945.0,303945.0,309723.0,315661.0,321906.0,328401.0,328406.0,328413.0,328413.0,332330.0,336983.0,341408.0,344446.0,347297.0,347438.0,347438.0,350443.0,354335.0,358335.0,361676.0,364272.0,364452.0,364452.0,365038.0,365684.0,366239.0,367488.0,369103.0,369277.0,369277.0,372020.0,374949.0,376787.0,378430.0,379651.0,379651.0,379651.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40936.0,53201.0,65720.0,77826.0,88711.0,91673.0,91738.0,105995.0,119005.0,128660.0,137338.0,144053.0,144448.0,144459.0,151925.0,157532.0,161528.0,164514.0,166903.0,166941.0,166941.0,171517.0,177071.0,183456.0,189938.0,189950.0,189955.0,189956.0,198770.0,205098.0,211211.0,216657.0,222614.0,222884.0,222887.0,231349.0,239718.0,246875.0,253420.0,258264.0,258460.0,258462.0,264802.0,271801.0,279366.0,285850.0,291704.0,291935.0,291937.0,298003.0,303938.0,309074.0,315189.0,316674.0,316674.0,316675.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14573.0,15139.0,15656.0,21111.0,28009.0,35135.0,42228.0,47631.0,48439.0,48882.0,54479.0,58339.0,61677.0,64667.0,67462.0,67535.0,67589.0,70583.0,73045.0,75181.0,77102.0,78658.0,78677.0,78678.0,80678.0,84522.0,88716.0,92181.0,95031.0,95187.0,95222.0,98702.0,102458.0,105743.0,109959.0,113061.0,113211.0,113342.0,116955.0,120834.0,123947.0,126403.0,129064.0,129197.0,129398.0,132628.0,135700.0,138908.0,142809.0,146830.0,146990.0,146994.0,150200.0,152649.0,155021.0,157574.0,157700.0,157826.0,157893.0,159398.0,161065.0,162582.0,164347.0,166327.0,166488.0,166535.0,167959.0,169544.0,171455.0,173114.0,174779.0,175137.0,175138.0,175964.0,176988.0,177784.0,178719.0,179288.0,179363.0,179369.0,179930.0,180379.0,180754.0,181263.0,182195.0,182327.0,182331.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13710.0,14218.0,14599.0,19756.0,26499.0,33440.0,40392.0,45603.0,46403.0,46875.0,52748.0,57797.0,62017.0,65665.0,68805.0,68948.0,69002.0,72172.0,74160.0,75513.0,76788.0,77777.0,77811.0,77813.0,79184.0,82439.0,86176.0,90324.0,90593.0,90701.0,90734.0,95326.0,99139.0,102357.0,106137.0,109509.0,109654.0,109749.0,113156.0,116719.0,119897.0,122444.0,124978.0,125191.0,125389.0,128417.0,131476.0,134558.0,137805.0,140535.0,140739.0,140743.0,143987.0,146718.0,148512.0,151677.0,152715.0,152813.0,152819.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30328.0,32708.0,35303.0,37063.0,38783.0,38985.0,38995.0,39843.0,40563.0,41476.0,42473.0,43311.0,43399.0,43399.0,45567.0,47958.0,50151.0,51911.0,53442.0,53451.0,53455.0,54716.0,56015.0,57232.0,58907.0,60160.0,60164.0,60205.0,61663.0,63463.0,64741.0,66160.0,67547.0,67560.0,67571.0,69195.0,70583.0,72133.0,73485.0,75411.0,75422.0,75424.0,76787.0,78029.0,79289.0,80652.0,80653.0,80653.0,80653.0,81518.0,82805.0,84101.0,85107.0,85872.0,85875.0,85877.0,86847.0,87686.0,88679.0,89601.0,90423.0,90426.0,90426.0,91075.0,91809.0,92329.0,93091.0,93432.0,93435.0,93435.0,93535.0,94159.0,94764.0,94977.0,95204.0,95204.0,95204.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57061.0,58260.0,58267.0,58269.0,59463.0,60975.0,62371.0,63779.0,65320.0,65334.0,65336.0,66717.0,68313.0,69841.0,70949.0,71948.0,71957.0,71957.0,72892.0,74348.0,75634.0,76625.0,77199.0,77201.0,77201.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54189.0,55702.0,55775.0,55775.0,57677.0,59588.0,61287.0,63070.0,65066.0,65176.0,65176.0,67055.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104063.0,106042.0,107962.0,107990.0,108018.0,108058.0,109863.0,111980.0,114121.0,115793.0,117426.0,117573.0,117601.0,119655.0,121353.0,123163.0,124792.0,126786.0,126981.0,127038.0,128999.0,131052.0,132826.0,134259.0,135635.0,135876.0,135889.0,137322.0,138814.0,140634.0,141707.0,142810.0,142900.0,142925.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66397.0,68190.0,70142.0,71758.0,71892.0,71894.0,74313.0,76823.0,79158.0,81316.0,83587.0,83758.0,83758.0,86278.0,88759.0,91192.0,92983.0,94824.0,94960.0,94961.0,97891.0,99928.0,101967.0,103854.0,104557.0,104581.0,104595.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19413.0,37410.0,56784.0,58070.0,58108.0,85902.0,116224.0,149502.0,180755.0,208600.0,209928.0,209928.0,243724.0,273490.0,297900.0,318546.0,337074.0,337753.0,337866.0,349232.0,358372.0,366185.0,374822.0,384418.0,388059.0,388075.0,401413.0,419691.0,440214.0,459156.0,476980.0,477282.0,477282.0,493335.0,508769.0,524424.0,545880.0,563645.0,564870.0,564870.0,581293.0,599697.0,616766.0,635063.0,651522.0,652629.0,652712.0,667795.0,681931.0,697443.0,713121.0,729597.0,729967.0,729995.0,746738.0,760724.0,773466.0,787285.0,787446.0,787637.0,787677.0,795494.0,805154.0,814829.0,822505.0,830074.0,830661.0,830779.0,839601.0,846687.0,855093.0,861658.0,868717.0,869116.0,869157.0,874975.0,879778.0,883715.0,890797.0,895770.0,896121.0,896151.0,901798.0,905736.0,910608.0,914597.0,919196.0,919253.0,919274.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18122.0,35348.0,53918.0,55041.0,55048.0,81844.0,111363.0,143666.0,174110.0,201375.0,202390.0,202402.0,235385.0,267814.0,295056.0,320264.0,339341.0,340018.0,340094.0,354843.0,366607.0,373424.0,379035.0,383508.0,383594.0,383618.0,396023.0,411830.0,432020.0,454132.0,454709.0,454921.0,454942.0,479348.0,495894.0,511408.0,532292.0,549734.0,550537.0,550576.0,566894.0,584021.0,601007.0,618822.0,634781.0,635577.0,635668.0,651480.0,665119.0,679809.0,693679.0,708589.0,709047.0,709079.0,726050.0,739458.0,752476.0,765588.0,769062.0,769163.0,769216.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26376.0,26612.0,26728.0,33940.0,41782.0,50891.0,61263.0,70096.0,70391.0,70642.0,78138.0,84497.0,90412.0,95567.0,99904.0,100103.0,100103.0,104170.0,107982.0,111268.0,114554.0,117211.0,117265.0,117323.0,120842.0,124853.0,128402.0,131273.0,133650.0,133729.0,133765.0,138400.0,143446.0,148441.0,154461.0,159592.0,159798.0,160012.0,165884.0,171655.0,176410.0,180672.0,184670.0,184896.0,185102.0,188860.0,192895.0,196980.0,201018.0,205015.0,205059.0,205118.0,208926.0,212253.0,215352.0,219979.0,219980.0,219980.0,219980.0,223009.0,226234.0,229354.0,232270.0,235191.0,235413.0,235439.0,237376.0,238931.0,240179.0,241172.0,242395.0,242473.0,242487.0,243476.0,244456.0,245186.0,246494.0,247371.0,247407.0,247408.0,248644.0,249576.0,250687.0,251523.0,252334.0,252334.0,252334.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19573.0,25407.0,25542.0,25669.0,32893.0,40460.0,49381.0,59230.0,67665.0,68027.0,68270.0,76222.0,83287.0,89949.0,95965.0,100609.0,100648.0,100657.0,105273.0,108816.0,111552.0,113849.0,115672.0,115755.0,115769.0,118837.0,122393.0,125755.0,129201.0,129203.0,129203.0,129203.0,134732.0,139904.0,144828.0,150607.0,155599.0,155680.0,155734.0,161403.0,167081.0,171838.0,175996.0,180133.0,180324.0,180409.0,184355.0,188361.0,192178.0,196166.0,199965.0,200043.0,200070.0,204099.0,207657.0,210716.0,214736.0,215640.0,215641.0,215642.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152390.0,181078.0,203028.0,206268.0,207547.0,228818.0,245695.0,260119.0,271044.0,280981.0,282120.0,282512.0,291021.0,298759.0,306523.0,315744.0,322526.0,322874.0,323032.0,334458.0,347754.0,361042.0,373160.0,383874.0,384511.0,384727.0,396572.0,409691.0,422297.0,439641.0,454756.0,457969.0,458842.0,473919.0,490007.0,504628.0,518165.0,530827.0,533496.0,534655.0,546467.0,558699.0,571408.0,583428.0,597685.0,598288.0,598313.0,611085.0,621767.0,632790.0,644078.0,644274.0,644344.0,644346.0,650495.0,658008.0,666018.0,672791.0,678275.0,679423.0,679643.0,685939.0,691897.0,697648.0,701573.0,705272.0,705653.0,705693.0,709168.0,711688.0,713911.0,718213.0,721245.0,721760.0,721880.0,725125.0,727916.0,731268.0,733611.0,738151.0,738266.0,738702.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42887.0,58511.0,62396.0,64710.0,87083.0,114544.0,144901.0,173079.0,194939.0,198071.0,199227.0,222181.0,242113.0,259704.0,274734.0,284924.0,286077.0,286508.0,297346.0,305947.0,311330.0,315906.0,320091.0,320289.0,320401.0,328467.0,339307.0,351283.0,363886.0,364571.0,364658.0,364670.0,383151.0,396844.0,409956.0,426119.0,439479.0,441211.0,441614.0,457575.0,473546.0,487867.0,501072.0,513005.0,514727.0,515352.0,528762.0,540896.0,553144.0,564921.0,577059.0,577807.0,577943.0,590941.0,602338.0,613386.0,623874.0,627084.0,627167.0,627345.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150892.0,151323.0,151335.0,157665.0,163148.0,168062.0,172953.0,176711.0,177035.0,177035.0,186517.0,196485.0,205775.0,213814.0,221747.0,222105.0,222107.0,230249.0,238279.0,246004.0,255893.0,264882.0,265407.0,265411.0,275020.0,284373.0,292612.0,299921.0,307042.0,307355.0,307358.0,314926.0,322520.0,330415.0,337984.0,346626.0,346778.0,346840.0,355725.0,364321.0,372545.0,380329.0,380336.0,380352.0,380378.0,384603.0,389223.0,394461.0,397385.0,398910.0,398963.0,398963.0,402169.0,406432.0,411203.0,414811.0,418093.0,418319.0,418338.0,420240.0,422136.0,423887.0,426725.0,428966.0,429007.0,429007.0,431017.0,433132.0,435470.0,437255.0,440003.0,440003.0,440004.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107823.0,121521.0,133750.0,143817.0,152265.0,152617.0,152630.0,159878.0,164961.0,169145.0,172669.0,175152.0,175316.0,175335.0,183946.0,193494.0,203121.0,215662.0,215727.0,215732.0,215750.0,225435.0,233595.0,241192.0,250758.0,259463.0,259783.0,259785.0,268989.0,277726.0,286245.0,293427.0,300427.0,300668.0,300671.0,308006.0,315246.0,322965.0,330571.0,338364.0,338496.0,338500.0,346490.0,355112.0,362752.0,369694.0,371270.0,371278.0,371279.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1667.0,14340.0,26645.0,39897.0,43796.0,46426.0,61126.0,76163.0,92702.0,107723.0,120428.0,121875.0,122463.0,136540.0,149535.0,161133.0,170228.0,179177.0,179548.0,179712.0,186857.0,193289.0,199167.0,204945.0,211387.0,211666.0,211675.0,219259.0,228733.0,237676.0,245161.0,251784.0,252443.0,252692.0,261016.0,269914.0,279568.0,290464.0,300470.0,301995.0,302537.0,313532.0,323982.0,333053.0,341828.0,349975.0,350600.0,350790.0,359738.0,368875.0,377819.0,386212.0,395123.0,395253.0,395280.0,404536.0,412311.0,419393.0,427670.0,427696.0,427726.0,427754.0,433466.0,439811.0,445712.0,450818.0,455588.0,455880.0,455906.0,459127.0,463345.0,467311.0,470000.0,472457.0,472691.0,472711.0,475339.0,477508.0,479646.0,482735.0,485201.0,485345.0,485360.0,486971.0,489018.0,490926.0,492275.0,495827.0,495862.0,495874.0
