Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17621.0,22446.0,22454.0,22454.0,30282.0,39147.0,49223.0,58807.0,67612.0,68093.0,68093.0,79285.0,88127.0,96177.0,103095.0,109572.0,109616.0,109621.0,115833.0,121093.0,125677.0,130493.0,134454.0,134590.0,134590.0,142049.0,150062.0,157622.0,163985.0,169541.0,169591.0,169591.0,175586.0,181778.0,187468.0,193970.0,199605.0,199810.0,199810.0,206195.0,212851.0,218617.0,224260.0,229705.0,229807.0,229807.0,235797.0,241644.0,247766.0,254091.0,260771.0,261204.0,261204.0,267070.0,272548.0,277413.0,282777.0,282786.0,282786.0,282788.0,286372.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12372.0,16949.0,21458.0,21477.0,21478.0,28881.0,37375.0,47382.0,56623.0,65190.0,65546.0,65548.0,77593.0,87771.0,97360.0,106374.0,113773.0,113821.0,113824.0,121053.0,125263.0,128313.0,130755.0,133101.0,133179.0,133180.0,138804.0,145806.0,152777.0,159135.0,159237.0,159239.0,159242.0,168341.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57231.0,72081.0,86314.0,100193.0,102268.0,102269.0,118675.0,132772.0,143393.0,152462.0,160759.0,161141.0,161141.0,168620.0,175433.0,181199.0,186064.0,191184.0,191797.0,191798.0,199320.0,209513.0,217985.0,225512.0,232551.0,232961.0,232961.0,240923.0,248752.0,256758.0,266754.0,275931.0,276629.0,276629.0,285635.0,295017.0,303384.0,311183.0,318803.0,319227.0,319227.0,326497.0,333614.0,340977.0,348086.0,355237.0,355526.0,355526.0,362638.0,368716.0,374113.0,380088.0,380105.0,380122.0,380122.0,383546.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20924.0,28654.0,29853.0,29857.0,40691.0,54193.0,68600.0,82402.0,96195.0,98113.0,98121.0,114867.0,130183.0,142000.0,152088.0,161632.0,161930.0,161931.0,169514.0,175260.0,180275.0,184098.0,187687.0,187764.0,187764.0,194587.0,203812.0,211768.0,219905.0,220269.0,220285.0,220285.0,232048.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70063.0,82191.0,93499.0,96641.0,96765.0,110868.0,121566.0,129265.0,135966.0,142300.0,142686.0,142693.0,148301.0,153550.0,158612.0,163567.0,169039.0,169377.0,169377.0,175433.0,182096.0,188561.0,194291.0,199532.0,200313.0,200424.0,206366.0,212815.0,218926.0,225944.0,232639.0,234117.0,234132.0,241271.0,249437.0,256231.0,262928.0,268230.0,269158.0,269166.0,275112.0,282053.0,289652.0,297110.0,303885.0,304436.0,304436.0,310238.0,316203.0,322438.0,328988.0,328993.0,329000.0,329000.0,332672.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9650.0,17667.0,25537.0,28428.0,28745.0,40874.0,53124.0,65624.0,77648.0,88523.0,91485.0,91550.0,105801.0,118804.0,128454.0,137112.0,143824.0,144218.0,144229.0,151669.0,157275.0,161267.0,164207.0,166591.0,166629.0,166629.0,171201.0,176740.0,183113.0,189585.0,189597.0,189602.0,189603.0,197818.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80686.0,84535.0,88729.0,92194.0,95043.0,95198.0,95233.0,98712.0,102468.0,105750.0,109959.0,113054.0,113203.0,113333.0,116945.0,120823.0,123949.0,126413.0,129167.0,129300.0,129501.0,132784.0,135885.0,139115.0,143042.0,147067.0,147227.0,147231.0,150445.0,152903.0,155288.0,157816.0,157943.0,158069.0,158136.0,159521.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19749.0,26490.0,33426.0,40378.0,45585.0,46385.0,46857.0,52725.0,57772.0,61993.0,65639.0,68761.0,68904.0,68958.0,72128.0,74104.0,75457.0,76733.0,77721.0,77755.0,77757.0,79126.0,82379.0,86114.0,90250.0,90512.0,90620.0,90653.0,94869.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26709.0,26715.0,26721.0,30332.0,32714.0,35309.0,37069.0,38789.0,38991.0,39001.0,39849.0,40569.0,41482.0,42480.0,43318.0,43406.0,43406.0,45574.0,47966.0,50161.0,51921.0,53453.0,53462.0,53466.0,54727.0,56025.0,57241.0,58918.0,60169.0,60173.0,60174.0,61627.0,63428.0,64706.0,66135.0,67529.0,67542.0,67553.0,69133.0,70558.0,72124.0,73488.0,75420.0,75431.0,75433.0,76796.0,78049.0,79316.0,80677.0,80678.0,80678.0,80678.0,81434.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8471.0,8517.0,8519.0,11640.0,14747.0,19181.0,22712.0,25739.0,25751.0,25758.0,29348.0,32041.0,35144.0,37417.0,39280.0,39292.0,39294.0,40183.0,41032.0,41473.0,42097.0,42640.0,42649.0,42649.0,44243.0,46825.0,48962.0,50808.0,50809.0,50813.0,50815.0,52703.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61301.0,63084.0,65080.0,65190.0,65190.0,67070.0,68799.0,70369.0,72494.0,74650.0,74852.0,74852.0,77137.0,79668.0,82018.0,84410.0,86988.0,87227.0,87227.0,89621.0,92051.0,94725.0,96960.0,99683.0,99787.0,99787.0,102256.0,104409.0,106402.0,108331.0,108359.0,108387.0,108427.0,110146.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32039.0,37443.0,42311.0,45964.0,48651.0,48813.0,48813.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59359.0,61486.0,61487.0,61487.0,61489.0,64285.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85903.0,116223.0,149499.0,180746.0,208591.0,209920.0,209920.0,243715.0,273484.0,297895.0,318545.0,337073.0,337752.0,337865.0,349230.0,358370.0,366186.0,374823.0,384426.0,388102.0,388118.0,401456.0,419742.0,440267.0,459211.0,477036.0,477338.0,477338.0,493387.0,508819.0,524455.0,545788.0,563511.0,564733.0,564733.0,581153.0,599511.0,616598.0,634951.0,651545.0,652652.0,652862.0,668139.0,682660.0,698284.0,713953.0,730372.0,730742.0,730769.0,747567.0,761615.0,774321.0,787902.0,788064.0,788255.0,788295.0,795853.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18113.0,35332.0,53895.0,55018.0,55025.0,81815.0,111324.0,143529.0,173946.0,201135.0,202151.0,202163.0,235136.0,267496.0,294738.0,319944.0,339043.0,339720.0,339796.0,354498.0,366205.0,373006.0,378598.0,383048.0,383134.0,383158.0,395562.0,411358.0,431449.0,453361.0,453938.0,454150.0,454171.0,477698.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128400.0,131265.0,133640.0,133719.0,133755.0,138386.0,143430.0,148423.0,154423.0,159545.0,159751.0,159962.0,165836.0,171607.0,176372.0,180644.0,184659.0,184885.0,185091.0,188986.0,193060.0,197176.0,201245.0,205245.0,205287.0,205346.0,209174.0,212493.0,215586.0,220160.0,220161.0,220161.0,220161.0,222768.0
