Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17624.0,22448.0,22456.0,22456.0,30304.0,39188.0,49268.0,58821.0,67655.0,68136.0,68136.0,79328.0,88170.0,96220.0,103138.0,109618.0,109662.0,109667.0,115878.0,121136.0,125792.0,130608.0,134571.0,134707.0,134707.0,142164.0,150177.0,157749.0,164112.0,169671.0,169723.0,169723.0,175721.0,181970.0,187667.0,194179.0,199861.0,200067.0,200067.0,206450.0,213117.0,218887.0,224505.0,229773.0,229875.0,229875.0,235712.0,241502.0,247601.0,253913.0,260629.0,261062.0,261062.0,266901.0,272425.0,277463.0,283053.0,283062.0,283062.0,283064.0,286977.0,291571.0,295913.0,299770.0,303293.0,303382.0,303382.0,307156.0,310600.0,313943.0,316815.0,319742.0,319823.0,319823.0,322427.0,324545.0,326480.0,329176.0,331363.0,331458.0,331459.0,333787.0,336066.0,338394.0,340568.0,342503.0,342518.0,342518.0,346107.0,349822.0,353578.0,357108.0,360652.0,360815.0,360815.0,365349.0,370133.0,374633.0,378915.0,383081.0,383107.0,383107.0,387960.0,393709.0,398722.0,404174.0,404187.0,404402.0,404407.0,411370.0,419591.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.0,6441.0,8056.0,8559.0,8571.0,8605.0,8605.0,8605.0,8605.0,8605.0,8605.0,8605.0,8605.0,8605.0,8607.0,8611.0,8624.0,8653.0,8656.0,8656.0,8656.0,8660.0,8724.0,12402.0,16993.0,21504.0,21523.0,21524.0,28961.0,37526.0,47559.0,56820.0,65394.0,65751.0,65753.0,77808.0,87999.0,97591.0,106615.0,114029.0,114077.0,114080.0,121306.0,125521.0,128647.0,131115.0,133529.0,133607.0,133608.0,139239.0,146297.0,153409.0,159971.0,160073.0,160075.0,160078.0,169777.0,176577.0,182410.0,189238.0,194534.0,194706.0,194707.0,201052.0,207302.0,212905.0,218265.0,223385.0,223480.0,223483.0,229621.0,235049.0,240798.0,246485.0,252311.0,252573.0,252575.0,258031.0,262710.0,268502.0,273862.0,275421.0,275423.0,275428.0,278978.0,283044.0,287439.0,291131.0,294547.0,294594.0,294597.0,298210.0,301732.0,305068.0,307938.0,310542.0,310570.0,310572.0,313181.0,315654.0,317769.0,320603.0,320608.0,320661.0,320664.0,323943.0,326506.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13333.0,22444.0,30497.0,31626.0,31628.0,42801.0,57199.0,72074.0,86305.0,100184.0,102259.0,102260.0,118662.0,132759.0,143381.0,152450.0,160746.0,161128.0,161128.0,168606.0,175420.0,181187.0,186050.0,191169.0,191782.0,191783.0,199303.0,209492.0,217965.0,225488.0,232529.0,232940.0,232940.0,240898.0,248728.0,256733.0,266730.0,275912.0,276611.0,276611.0,285619.0,294984.0,303323.0,311108.0,318689.0,319113.0,319113.0,326197.0,333173.0,340454.0,347511.0,354630.0,354919.0,354919.0,362007.0,368061.0,373452.0,379422.0,379439.0,379457.0,379457.0,383249.0,387848.0,392513.0,396223.0,399795.0,399958.0,399958.0,403295.0,407468.0,411163.0,414132.0,416945.0,417067.0,417067.0,419694.0,422471.0,424563.0,427579.0,430041.0,430455.0,430476.0,432929.0,435416.0,437959.0,439879.0,442520.0,442544.0,442544.0,446430.0,450746.0,454822.0,458796.0,462881.0,463431.0,463431.0,468533.0,474093.0,479446.0,484143.0,489209.0,489239.0,489247.0,494239.0,499802.0,505199.0,511309.0,512358.0,513772.0,513776.0,522340.0,531189.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12146.0,20928.0,28658.0,29857.0,29861.0,40696.0,54197.0,68606.0,82412.0,96205.0,98125.0,98133.0,114877.0,130195.0,142012.0,152103.0,161648.0,161945.0,161946.0,169527.0,175275.0,180293.0,184121.0,187712.0,187789.0,187789.0,194617.0,203841.0,211803.0,219954.0,220318.0,220334.0,220334.0,232672.0,240917.0,248922.0,258586.0,267103.0,267426.0,267429.0,276560.0,285735.0,294032.0,301610.0,309171.0,309479.0,309481.0,316863.0,323838.0,330743.0,337364.0,344029.0,344358.0,344362.0,351431.0,357851.0,363488.0,368962.0,370447.0,370454.0,370455.0,373843.0,378021.0,382506.0,386162.0,389675.0,389843.0,389844.0,393249.0,397123.0,400751.0,403644.0,406124.0,406130.0,406131.0,408912.0,411823.0,414151.0,417866.0,418055.0,418357.0,418371.0,422199.0,425342.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57030.0,70061.0,82190.0,93494.0,96637.0,96761.0,110863.0,121561.0,129259.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158605.0,163560.0,169115.0,169453.0,169453.0,175502.0,182162.0,188626.0,194353.0,199598.0,200378.0,200489.0,206447.0,212903.0,219015.0,226081.0,232790.0,234269.0,234284.0,241409.0,249558.0,256355.0,263017.0,268269.0,269196.0,269204.0,275001.0,281817.0,289318.0,296724.0,303481.0,304027.0,304027.0,309806.0,315746.0,321992.0,328490.0,328495.0,328503.0,328503.0,332440.0,337094.0,341526.0,344567.0,347427.0,347568.0,347568.0,350578.0,354474.0,358480.0,361875.0,364462.0,364642.0,364642.0,365218.0,365863.0,366419.0,367669.0,369290.0,369464.0,369464.0,372211.0,375153.0,377024.0,378702.0,379954.0,379954.0,379954.0,383349.0,387016.0,390303.0,393593.0,396733.0,397067.0,397067.0,400908.0,405324.0,409859.0,414190.0,418503.0,418576.0,418576.0,423678.0,429245.0,434364.0,439156.0,439156.0,439271.0,439271.0,447144.0,455291.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9653.0,17670.0,25548.0,28439.0,28756.0,40942.0,53213.0,65732.0,77840.0,88727.0,91690.0,91755.0,106011.0,119025.0,128681.0,137358.0,144075.0,144470.0,144481.0,151950.0,157561.0,161559.0,164555.0,167013.0,167051.0,167051.0,171628.0,177187.0,183573.0,190057.0,190069.0,190074.0,190075.0,198916.0,205270.0,211389.0,216842.0,222798.0,223068.0,223071.0,231544.0,239961.0,247127.0,253687.0,258538.0,258734.0,258736.0,265081.0,272084.0,279652.0,286139.0,291996.0,292227.0,292230.0,298302.0,304268.0,309437.0,315611.0,317139.0,317139.0,317140.0,321310.0,325741.0,330147.0,333573.0,336336.0,336435.0,336435.0,339723.0,343825.0,347690.0,350958.0,353395.0,353418.0,353418.0,354833.0,356122.0,357341.0,358702.0,358704.0,358714.0,358714.0,361618.0,364816.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28011.0,35137.0,42230.0,47632.0,48440.0,48883.0,54480.0,58340.0,61678.0,64668.0,67463.0,67536.0,67590.0,70584.0,73046.0,75182.0,77103.0,78659.0,78678.0,78679.0,80679.0,84523.0,88717.0,92182.0,95032.0,95188.0,95223.0,98703.0,102460.0,105746.0,109963.0,113065.0,113215.0,113346.0,116958.0,120835.0,123948.0,126403.0,129064.0,129197.0,129398.0,132625.0,135697.0,138905.0,142805.0,146825.0,146985.0,146989.0,150197.0,152645.0,155018.0,157571.0,157697.0,157823.0,157891.0,159398.0,161068.0,162588.0,164356.0,166340.0,166501.0,166550.0,167983.0,169573.0,171486.0,173149.0,174817.0,175175.0,175176.0,176004.0,177034.0,177830.0,178766.0,179341.0,179417.0,179424.0,179985.0,180435.0,180810.0,181320.0,182276.0,182410.0,182419.0,183484.0,184676.0,185959.0,187407.0,189075.0,189338.0,189338.0,190845.0,192526.0,194229.0,195751.0,197320.0,197371.0,197371.0,199036.0,201307.0,203812.0,206394.0,206918.0,207559.0,207599.0,210872.0,214633.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13711.0,14219.0,14600.0,19758.0,26501.0,33443.0,40396.0,45607.0,46407.0,46879.0,52757.0,57807.0,62027.0,65676.0,68817.0,68960.0,69014.0,72185.0,74174.0,75527.0,76802.0,77791.0,77825.0,77827.0,79198.0,82453.0,86190.0,90338.0,90608.0,90716.0,90749.0,95342.0,99154.0,102372.0,106153.0,109530.0,109675.0,109770.0,113185.0,116750.0,119934.0,122481.0,125017.0,125230.0,125428.0,128456.0,131515.0,134599.0,137846.0,140577.0,140781.0,140785.0,144029.0,146760.0,148554.0,151726.0,152768.0,152866.0,152883.0,154165.0,155873.0,157666.0,159435.0,160969.0,161104.0,161105.0,162446.0,164239.0,166229.0,167838.0,169157.0,169181.0,169181.0,170158.0,171653.0,172726.0,173960.0,174009.0,174107.0,174110.0,175069.0,175914.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32706.0,35301.0,37061.0,38781.0,38983.0,38993.0,39841.0,40561.0,41474.0,42471.0,43309.0,43397.0,43397.0,45565.0,47956.0,50149.0,51909.0,53440.0,53449.0,53453.0,54714.0,56013.0,57230.0,58905.0,60158.0,60162.0,60203.0,61661.0,63461.0,64739.0,66158.0,67546.0,67559.0,67570.0,69194.0,70582.0,72133.0,73485.0,75411.0,75422.0,75424.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81525.0,82816.0,84114.0,85123.0,85890.0,85893.0,85895.0,86865.0,87706.0,88700.0,89624.0,90447.0,90450.0,90450.0,91101.0,91836.0,92357.0,93119.0,93460.0,93463.0,93463.0,93563.0,94187.0,94792.0,95021.0,95250.0,95250.0,95250.0,95767.0,96374.0,96950.0,97401.0,97964.0,97974.0,97974.0,98681.0,99618.0,100211.0,100852.0,101636.0,101637.0,101638.0,102364.0,103246.0,104299.0,105658.0,105659.0,105659.0,105659.0,107272.0,108587.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35158.0,37434.0,39298.0,39310.0,39312.0,40201.0,41050.0,41491.0,42116.0,42659.0,42668.0,42668.0,44260.0,46843.0,48980.0,50830.0,50831.0,50835.0,50837.0,52779.0,54304.0,55544.0,57065.0,58264.0,58271.0,58273.0,59467.0,60979.0,62375.0,63783.0,65324.0,65338.0,65340.0,66723.0,68319.0,69847.0,70955.0,71954.0,71963.0,71963.0,72900.0,74358.0,75644.0,76684.0,77260.0,77264.0,77264.0,78203.0,79809.0,80655.0,82014.0,82879.0,82884.0,82884.0,83842.0,84855.0,85799.0,86595.0,87401.0,87402.0,87402.0,87871.0,88572.0,89336.0,90342.0,90347.0,90348.0,90348.0,90759.0,91577.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63070.0,65066.0,65176.0,65176.0,67055.0,68781.0,70351.0,72475.0,74630.0,74832.0,74832.0,77117.0,79643.0,81993.0,84361.0,86865.0,87104.0,87104.0,89409.0,91807.0,94459.0,96672.0,99380.0,99484.0,99484.0,101934.0,104065.0,106044.0,107964.0,107992.0,108020.0,108060.0,109865.0,111984.0,114125.0,115797.0,117431.0,117579.0,117607.0,119665.0,121369.0,123180.0,124812.0,126807.0,127002.0,127059.0,129021.0,131078.0,132853.0,134288.0,135668.0,135909.0,135922.0,137357.0,138851.0,140671.0,141744.0,142848.0,142938.0,143043.0,144741.0,146148.0,147541.0,148756.0,150006.0,150683.0,150753.0,152340.0,153903.0,155512.0,156885.0,158458.0,158500.0,158504.0,160098.0,161714.0,163167.0,164669.0,164766.0,165460.0,165575.0,168676.0,171699.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18578.0,22658.0,26779.0,26982.0,26982.0,32039.0,37443.0,42312.0,45965.0,48653.0,48815.0,48815.0,50679.0,51763.0,52725.0,53504.0,54376.0,54429.0,54429.0,56017.0,57716.0,59358.0,61486.0,61487.0,61487.0,61489.0,64440.0,66398.0,68191.0,70143.0,71760.0,71894.0,71896.0,74315.0,76826.0,79161.0,81322.0,83593.0,83764.0,83764.0,86283.0,88764.0,91198.0,92989.0,94829.0,94965.0,94966.0,97896.0,99933.0,101973.0,103860.0,104566.0,104590.0,104619.0,106269.0,108060.0,109525.0,111480.0,113014.0,113354.0,113354.0,115306.0,116972.0,118442.0,119964.0,121673.0,121674.0,121674.0,123688.0,125706.0,127695.0,129627.0,129671.0,129979.0,130004.0,131753.0,133262.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86139.0,116532.0,149896.0,181239.0,209162.0,210490.0,210490.0,244380.0,274234.0,298721.0,319423.0,338016.0,338695.0,338808.0,350201.0,359370.0,367213.0,375874.0,385484.0,389126.0,389142.0,402530.0,420865.0,441449.0,460406.0,478313.0,478615.0,478615.0,494744.0,510218.0,525899.0,547391.0,565197.0,566422.0,566422.0,582883.0,601330.0,618431.0,636768.0,653266.0,654373.0,654456.0,669567.0,683728.0,699288.0,715033.0,731555.0,731925.0,731953.0,748758.0,762806.0,775584.0,789438.0,789599.0,789791.0,789831.0,797696.0,807418.0,817140.0,824854.0,832443.0,833030.0,833149.0,842039.0,849150.0,857600.0,864190.0,871281.0,871680.0,871722.0,877557.0,882379.0,886332.0,893451.0,898442.0,898793.0,898823.0,904504.0,908467.0,913368.0,917370.0,921983.0,922040.0,922061.0,930248.0,938519.0,947247.0,955869.0,964406.0,965413.0,965469.0,975869.0,986973.0,997282.0,1007100.0,1017374.0,1017520.0,1017579.0,1029549.0,1042271.0,1053811.0,1065282.0,1065403.0,1067783.0,1067867.0,1085002.0,1102705.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35453.0,54073.0,55196.0,55203.0,82070.0,111668.0,144052.0,174589.0,201941.0,202956.0,202968.0,236040.0,268555.0,295881.0,321151.0,340293.0,340971.0,341047.0,355826.0,367622.0,374469.0,380107.0,384597.0,384683.0,384707.0,397164.0,413022.0,433276.0,455451.0,456028.0,456240.0,456261.0,480769.0,497363.0,512916.0,533842.0,551333.0,552136.0,552175.0,568557.0,585724.0,602755.0,620619.0,636615.0,637411.0,637502.0,653346.0,667013.0,681749.0,695677.0,710636.0,711095.0,711127.0,728169.0,741638.0,754697.0,767856.0,771348.0,771449.0,771506.0,778940.0,788054.0,797151.0,805113.0,812120.0,812540.0,812593.0,820764.0,828654.0,836811.0,842784.0,848864.0,848947.0,848984.0,854833.0,860592.0,865460.0,872773.0,872832.0,873282.0,873307.0,880984.0,887316.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41785.0,50894.0,61266.0,70100.0,70396.0,70647.0,78143.0,84505.0,90420.0,95575.0,99912.0,100111.0,100111.0,104179.0,107991.0,111279.0,114565.0,117222.0,117276.0,117334.0,120853.0,124864.0,128414.0,131286.0,133663.0,133742.0,133778.0,138414.0,143460.0,148454.0,154474.0,159605.0,159811.0,160025.0,165898.0,171669.0,176424.0,180686.0,184683.0,184909.0,185115.0,188872.0,192906.0,196991.0,201029.0,205026.0,205070.0,205129.0,208939.0,212266.0,215366.0,219993.0,219994.0,219994.0,219994.0,223026.0,226253.0,229378.0,232312.0,235240.0,235462.0,235489.0,237428.0,238988.0,240238.0,241233.0,242458.0,242537.0,242551.0,243545.0,244531.0,245261.0,246571.0,247450.0,247487.0,247488.0,248726.0,249664.0,250775.0,251613.0,252444.0,252445.0,252445.0,254330.0,256315.0,258412.0,260267.0,262180.0,262428.0,262447.0,264757.0,267236.0,269753.0,271967.0,274357.0,274486.0,274584.0,276863.0,280648.0,285733.0,290978.0,291154.0,291536.0,291700.0,296235.0,300446.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13200.0,19580.0,25420.0,25555.0,25682.0,32908.0,40475.0,49409.0,59271.0,67707.0,68070.0,68313.0,76268.0,83337.0,90001.0,96017.0,100662.0,100701.0,100710.0,105326.0,108869.0,111605.0,113902.0,115727.0,115810.0,115824.0,118894.0,122450.0,125812.0,129258.0,129260.0,129260.0,129260.0,134794.0,139966.0,144890.0,150669.0,155660.0,155741.0,155795.0,161468.0,167147.0,171907.0,176071.0,180211.0,180402.0,180487.0,184433.0,188444.0,192263.0,196256.0,200056.0,200134.0,200161.0,204211.0,207771.0,210833.0,214885.0,215799.0,215800.0,215801.0,218485.0,221486.0,224625.0,227539.0,229989.0,230127.0,230136.0,232281.0,234260.0,235761.0,236963.0,238223.0,238273.0,238285.0,239292.0,240200.0,241123.0,242841.0,242855.0,242919.0,242925.0,244495.0,245660.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93395.0,120865.0,152397.0,181081.0,203031.0,206271.0,207550.0,228813.0,245700.0,260123.0,271049.0,280986.0,282125.0,282517.0,291026.0,298764.0,306528.0,315749.0,322530.0,322878.0,323036.0,334461.0,347757.0,361045.0,373165.0,383879.0,384516.0,384732.0,396579.0,409698.0,422304.0,439645.0,454761.0,457974.0,458847.0,473928.0,490013.0,504652.0,518188.0,530857.0,533526.0,534685.0,546497.0,558729.0,571439.0,583460.0,597727.0,598330.0,598355.0,611138.0,621820.0,632846.0,644137.0,644333.0,644406.0,644408.0,650567.0,658099.0,666130.0,672912.0,678475.0,679720.0,679940.0,686262.0,692258.0,698022.0,701954.0,705658.0,706039.0,706079.0,709563.0,712093.0,714337.0,718651.0,721695.0,722211.0,722331.0,725591.0,728388.0,731746.0,734101.0,738671.0,738786.0,739253.0,745677.0,752559.0,759136.0,765977.0,772270.0,773770.0,773989.0,781729.0,789824.0,797940.0,805249.0,812485.0,812494.0,812501.0,821379.0,831030.0,839598.0,847818.0,847822.0,850572.0,851193.0,864414.0,878374.0
