Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44202.0,53511.0,56573.0,56985.0,56985.0,56985.0,57002.0,57023.0,57024.0,57024.0,57024.0,57024.0,57024.0,57024.0,70211.0,240558.0,414606.0,583233.0,611106.0,619741.0,841173.0,1083623.0,1356091.0,1607309.0,1836527.0,1866034.0,1870499.0,2136323.0,2356318.0,2544303.0,2699528.0,2841627.0,2851265.0,2852429.0,2960539.0,3054706.0,3140732.0,3226505.0,3304550.0,3314575.0,3314927.0,3451853.0,3610677.0,3768234.0,3912650.0,4048587.0,4058339.0,4059404.0,4195630.0,4334392.0,4469848.0,4640649.0,4791273.0,4815474.0,4818172.0,4975535.0,5141480.0,5292205.0,5439808.0,5578855.0,5601891.0,5604881.0,5750100.0,5889862.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24956.0,44315.0,52643.0,55516.0,55723.0,55757.0,55757.0,55757.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55788.0,55828.0,56000.0,56144.0,56261.0,56265.0,56265.0,56665.0,69062.0,222911.0,388395.0,549638.0,573819.0,580667.0,794258.0,1031312.0,1295821.0,1540513.0,1762878.0,1788918.0,1792745.0,2064514.0,2307267.0,2522579.0,2707580.0,2861578.0,2872571.0,2873740.0,2994315.0,3078772.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21848.0,22528.0,22901.0,22912.0,22912.0,23551.0,24365.0,25290.0,26018.0,26762.0,26767.0,26767.0,27304.0,27897.0,28428.0,29119.0,29701.0,29711.0,29711.0,30460.0,31327.0,32117.0,32904.0,33479.0,33498.0,33498.0,34085.0,34702.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12332.0,12365.0,12372.0,13951.0,15417.0,16840.0,18427.0,19729.0,19798.0,19798.0,20696.0,21540.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19619.0,24049.0,29756.0,36326.0,42677.0,43446.0,43451.0,50654.0,56076.0,60873.0,65005.0,69048.0,69203.0,69203.0,73118.0,76686.0,79913.0,82259.0,84805.0,84805.0,84805.0,88979.0,93738.0,98483.0,102849.0,106594.0,106600.0,106600.0,110887.0,116065.0,120685.0,126401.0,131602.0,131720.0,131720.0,136784.0,142282.0,148280.0,153476.0,158731.0,159094.0,159137.0,165128.0,171171.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28857.0,35188.0,41253.0,41812.0,41812.0,49746.0,56552.0,62572.0,67353.0,71950.0,72102.0,72107.0,75650.0,78162.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23610.0,23726.0,23726.0,26372.0,28446.0,30605.0,32735.0,34793.0,34848.0,34848.0,36840.0,38750.0,40070.0,41203.0,43235.0,43427.0,43427.0,44906.0,46112.0,47122.0,47950.0,48958.0,49022.0,49024.0,50157.0,51174.0,52397.0,54030.0,55356.0,55452.0,55452.0,56710.0,58370.0,59903.0,62065.0,63159.0,63223.0,63223.0,64322.0,65400.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11782.0,14292.0,17112.0,19855.0,22690.0,22784.0,22784.0,25702.0,28528.0,31209.0,33664.0,35769.0,35814.0,35814.0,37651.0,39473.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2516.0,3607.0,3872.0,3872.0,3872.0,3872.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3876.0,9467.0,15288.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33265.0,33742.0,33742.0,35821.0,37663.0,39536.0,41475.0,42556.0,42609.0,42611.0,44526.0,46956.0,49293.0,51450.0,52979.0,53056.0,53056.0,54436.0,55622.0,56579.0,57728.0,59740.0,60039.0,60039.0,61998.0,63936.0,65773.0,67823.0,69840.0,69944.0,69944.0,72247.0,74540.0,76767.0,78875.0,80610.0,80611.0,80623.0,83098.0,85372.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2650.0,3635.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3719.0,3745.0,3745.0,3745.0,3754.0,4425.0,9410.0,14593.0,19055.0,19478.0,19479.0,22909.0,25314.0,27531.0,29579.0,32008.0,32376.0,32376.0,34763.0,37461.0,40118.0,41943.0,43175.0,43199.0,43204.0,44869.0,46388.0
