Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33939.0,41780.0,50887.0,61257.0,70093.0,70388.0,70639.0,78136.0,84502.0,90409.0,95562.0,99901.0,100100.0,100100.0,104164.0,107970.0,111250.0,114534.0,117190.0,117244.0,117302.0,120817.0,124823.0,128363.0,131224.0,133592.0,133671.0,133707.0,138326.0,143370.0,148316.0,154261.0,159329.0,159535.0,159746.0,165554.0,171322.0,175978.0,180162.0,183656.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19537.0,25369.0,25504.0,25631.0,32847.0,40407.0,49085.0,58794.0,67132.0,67492.0,67734.0,75580.0,82430.0,89019.0,94865.0,99061.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28222.0,46736.0,63173.0,67336.0,69963.0,93388.0,120860.0,152383.0,181070.0,203016.0,206256.0,207535.0,228807.0,245685.0,260108.0,271032.0,280966.0,282104.0,282496.0,291003.0,298734.0,306494.0,315717.0,322496.0,322844.0,323002.0,334427.0,347702.0,360975.0,373074.0,383771.0,384404.0,384620.0,396437.0,409523.0,422096.0,439397.0,454436.0,457636.0,458507.0,473480.0,489516.0,504085.0,517609.0,529468.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4841.0,25078.0,42863.0,58440.0,62321.0,64634.0,86963.0,114397.0,144708.0,172860.0,194689.0,197823.0,198979.0,221877.0,241801.0,259380.0,274080.0,283810.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11916.0,18978.0,28345.0,37231.0,38349.0,38408.0,48276.0,57719.0,70906.0,82124.0,93250.0,94465.0,94485.0,109690.0,122755.0,134086.0,143123.0,150843.0,151274.0,151286.0,157606.0,163086.0,167996.0,172884.0,176640.0,176964.0,176964.0,186435.0,196399.0,205677.0,213710.0,221637.0,221996.0,221998.0,230112.0,238139.0,245867.0,255719.0,264514.0,265039.0,265043.0,274649.0,283983.0,292182.0,299528.0,306331.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8069.0,10248.0,11393.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11483.0,11486.0,11500.0,11507.0,11519.0,11519.0,11519.0,11536.0,11805.0,18593.0,27646.0,36439.0,37285.0,37312.0,47175.0,56391.0,69288.0,80204.0,90921.0,92012.0,92034.0,107586.0,121205.0,133299.0,143057.0,151055.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14326.0,26648.0,39902.0,43803.0,46432.0,61130.0,76168.0,92706.0,107727.0,120429.0,121875.0,122462.0,136539.0,149532.0,161133.0,170224.0,179171.0,179542.0,179706.0,186849.0,193277.0,199147.0,204927.0,211364.0,211643.0,211649.0,219212.0,228675.0,237576.0,244936.0,251529.0,252282.0,252532.0,260774.0,269620.0,279190.0,290056.0,300011.0,301525.0,302067.0,312936.0,323313.0,332293.0,340841.0,348427.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13064.0,24893.0,37494.0,41302.0,43650.0,58025.0,72535.0,88413.0,103167.0,115675.0,117115.0,117765.0,132097.0,146112.0,159217.0,169993.0,180518.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71909.0,135239.0,197862.0,208185.0,210112.0,293814.0,385120.0,486834.0,577943.0,664911.0,678799.0,680540.0,784931.0,870546.0,945000.0,1006172.0,1062601.0,1067863.0,1068268.0,1105604.0,1136245.0,1164236.0,1192186.0,1216073.0,1219871.0,1219983.0,1276826.0,1339699.0,1403579.0,1465050.0,1523983.0,1529697.0,1530106.0,1583094.0,1635415.0,1686315.0,1750294.0,1807181.0,1821654.0,1822578.0,1882911.0,1946381.0,2005162.0,2063932.0,2117557.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7947.0,11635.0,63843.0,123884.0,184326.0,192755.0,194050.0,274746.0,365141.0,464252.0,552946.0,636717.0,648476.0,649660.0,755493.0,846126.0,928769.0,999089.0,1057031.0
