Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44138.0,46283.0,46392.0,46392.0,47968.0,49681.0,52055.0,54201.0,55711.0,55784.0,55784.0,57684.0,59594.0,61295.0,63076.0,65072.0,65182.0,65182.0,67062.0,68791.0,70361.0,72486.0,74642.0,74844.0,74844.0,77130.0,79661.0,82011.0,84403.0,86981.0,87220.0,87220.0,89613.0,92043.0,94555.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4141.0,6409.0,6917.0,6917.0,10145.0,14039.0,18574.0,22654.0,26775.0,26978.0,26978.0,32034.0,37436.0,42304.0,45957.0,48644.0,48806.0,48806.0,50671.0,51754.0,52638.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116223.0,149500.0,180747.0,208592.0,209921.0,209921.0,243714.0,273483.0,297893.0,318544.0,337072.0,337751.0,337864.0,349229.0,358369.0,366178.0,374813.0,384414.0,388086.0,388102.0,401432.0,419711.0,440231.0,459166.0,476976.0,477276.0,477276.0,493311.0,508743.0,524379.0,545676.0,563332.0,564554.0,564554.0,580966.0,599320.0,616407.0,634752.0,651346.0,652453.0,652663.0,667916.0,682413.0,697479.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18100.0,35315.0,53874.0,54997.0,55004.0,81795.0,111303.0,143504.0,173879.0,200972.0,201988.0,202000.0,234968.0,267324.0,294563.0,319769.0,338861.0,339536.0,339608.0,354297.0,365982.0,372540.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33940.0,41781.0,50888.0,61258.0,70094.0,70389.0,70640.0,78137.0,84503.0,90410.0,95563.0,99903.0,100102.0,100102.0,104169.0,107980.0,111262.0,114546.0,117202.0,117256.0,117314.0,120830.0,124836.0,128376.0,131237.0,133609.0,133688.0,133724.0,138342.0,143386.0,148341.0,154286.0,159370.0,159576.0,159787.0,165614.0,171383.0,176147.0,180382.0,184367.0,184593.0,184799.0,188673.0,192653.0,196337.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19536.0,25368.0,25503.0,25630.0,32846.0,40406.0,49191.0,58902.0,67254.0,67615.0,67857.0,75720.0,82572.0,89234.0,95176.0,99779.0,99818.0,99827.0,104431.0,107905.0,110317.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6314.0,28223.0,46737.0,63174.0,67338.0,69965.0,93389.0,120860.0,152386.0,181074.0,203020.0,206260.0,207539.0,228811.0,245690.0,260113.0,271037.0,280971.0,282110.0,282502.0,291010.0,298745.0,306509.0,315733.0,322512.0,322860.0,323018.0,334446.0,347721.0,360995.0,373094.0,383797.0,384430.0,384646.0,396470.0,409558.0,422139.0,439446.0,454494.0,457698.0,458569.0,473593.0,489661.0,504233.0,517811.0,530336.0,532960.0,534117.0,546421.0,559081.0,570870.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4841.0,25079.0,42864.0,58472.0,62354.0,64667.0,86996.0,114433.0,144755.0,172925.0,194754.0,197888.0,199044.0,221970.0,241895.0,259474.0,274500.0,284661.0,285814.0,286245.0,297086.0,305644.0,310585.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11916.0,18978.0,28344.0,37230.0,38348.0,38407.0,48275.0,57718.0,70905.0,82121.0,93248.0,94463.0,94483.0,109689.0,122754.0,134085.0,143140.0,150862.0,151293.0,151305.0,157638.0,163120.0,168034.0,172922.0,176678.0,177002.0,177002.0,186474.0,196438.0,205721.0,213754.0,221682.0,222041.0,222043.0,230157.0,238184.0,245913.0,255767.0,264612.0,265137.0,265141.0,274754.0,284091.0,292392.0,299808.0,307168.0,307486.0,307489.0,315142.0,322652.0,329747.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8069.0,10248.0,11393.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11483.0,11486.0,11500.0,11507.0,11519.0,11519.0,11519.0,11536.0,11805.0,18593.0,27646.0,36439.0,37285.0,37312.0,47176.0,56394.0,69295.0,80210.0,90967.0,92058.0,92080.0,107641.0,121264.0,133460.0,143367.0,151807.0,152159.0,152172.0,159406.0,164375.0,168227.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14325.0,26646.0,39901.0,43802.0,46431.0,61129.0,76167.0,92705.0,107727.0,120429.0,121875.0,122462.0,136538.0,149531.0,161132.0,170225.0,179174.0,179545.0,179709.0,186858.0,193290.0,199165.0,204945.0,211383.0,211662.0,211668.0,219236.0,228700.0,237601.0,244961.0,251558.0,252311.0,252561.0,260806.0,269681.0,279251.0,290117.0,300072.0,301586.0,302128.0,313088.0,323484.0,332573.0,341337.0,349664.0,350273.0,350463.0,359231.0,368247.0,376631.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13066.0,24898.0,37499.0,41307.0,43655.0,58054.0,72602.0,88480.0,103234.0,115745.0,117185.0,117835.0,132254.0,146270.0,159481.0,170450.0,181708.0,182043.0,182127.0,190001.0,195572.0,199440.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71911.0,135243.0,197867.0,208190.0,210117.0,293817.0,385123.0,486841.0,577944.0,664913.0,678801.0,680542.0,784937.0,870552.0,945008.0,1006180.0,1062611.0,1067891.0,1068296.0,1105651.0,1136311.0,1164243.0,1192196.0,1216091.0,1219893.0,1220005.0,1276848.0,1339722.0,1403610.0,1465108.0,1524038.0,1529752.0,1530161.0,1583155.0,1635482.0,1686390.0,1750349.0,1807292.0,1821767.0,1822691.0,1883046.0,1946526.0,2005349.0,2064310.0,2121039.0,2136952.0,2137888.0,2199129.0,2263124.0,2325410.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7949.0,11638.0,63894.0,123947.0,184419.0,192848.0,194143.0,274843.0,365305.0,464832.0,553578.0,637372.0,649138.0,650322.0,756187.0,846842.0,929527.0,1000064.0,1060398.0,1067502.0,1067981.0,1107804.0,1136659.0,1156884.0
