Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30306.0,39188.0,49268.0,58820.0,67654.0,68135.0,68135.0,79327.0,88169.0,96219.0,103137.0,109617.0,109661.0,109666.0,115878.0,121137.0,125793.0,130606.0,134566.0,134702.0,134702.0,142159.0,150171.0,157743.0,164106.0,169664.0,169716.0,169716.0,175714.0,181963.0,187661.0,194171.0,199853.0,200059.0,200059.0,206440.0,213105.0,218873.0,224490.0,229758.0,229860.0,229860.0,235697.0,241488.0,247588.0,253901.0,260618.0,261051.0,261051.0,266887.0,272410.0,277447.0,283023.0,283032.0,283032.0,283034.0,286941.0,291523.0,295859.0,299698.0,303206.0,303295.0,303295.0,307059.0,310497.0,313838.0,316696.0,319609.0,319689.0,319689.0,322282.0,324389.0,326316.0,329003.0,331181.0,331276.0,331277.0,333585.0,335832.0,338131.0,340248.0,342092.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12390.0,16980.0,21493.0,21512.0,21513.0,28947.0,37510.0,47542.0,56791.0,65361.0,65717.0,65719.0,77774.0,87965.0,97555.0,106578.0,113991.0,114039.0,114042.0,121268.0,125482.0,128607.0,131074.0,133485.0,133563.0,133564.0,139193.0,146250.0,153361.0,159906.0,160008.0,160010.0,160013.0,169708.0,176508.0,182336.0,189159.0,194452.0,194622.0,194623.0,200967.0,207197.0,212794.0,218141.0,223251.0,223346.0,223349.0,229478.0,234899.0,240647.0,246325.0,252140.0,252401.0,252403.0,257818.0,262435.0,268170.0,273339.0,274815.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225486.0,232526.0,232937.0,232937.0,240896.0,248726.0,256731.0,266728.0,275909.0,276608.0,276608.0,285616.0,294980.0,303319.0,311104.0,318685.0,319109.0,319109.0,326190.0,333166.0,340447.0,347504.0,354625.0,354914.0,354914.0,362000.0,368054.0,373444.0,379414.0,379431.0,379449.0,379449.0,383241.0,387832.0,392491.0,396195.0,399762.0,399925.0,399925.0,403256.0,407421.0,411115.0,414084.0,416897.0,417019.0,417019.0,419645.0,422414.0,424504.0,427514.0,429974.0,430388.0,430409.0,432858.0,435344.0,437887.0,439806.0,442408.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54195.0,68604.0,82407.0,96201.0,98121.0,98129.0,114873.0,130191.0,142008.0,152099.0,161644.0,161942.0,161943.0,169525.0,175271.0,180286.0,184111.0,187702.0,187779.0,187779.0,194607.0,203830.0,211788.0,219935.0,220299.0,220315.0,220315.0,232648.0,240886.0,248890.0,258554.0,267062.0,267385.0,267388.0,276516.0,285689.0,293980.0,301553.0,309107.0,309415.0,309417.0,316786.0,323755.0,330655.0,337273.0,343933.0,344262.0,344266.0,351327.0,357744.0,363375.0,368845.0,370303.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93495.0,96637.0,96761.0,110864.0,121562.0,129260.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158605.0,163560.0,169033.0,169371.0,169371.0,175421.0,182082.0,188546.0,194273.0,199515.0,200295.0,200406.0,206364.0,212821.0,218934.0,226000.0,232711.0,234190.0,234205.0,241329.0,249478.0,256273.0,262938.0,268189.0,269116.0,269124.0,274921.0,281736.0,289236.0,296641.0,303399.0,303945.0,303945.0,309723.0,315661.0,321906.0,328401.0,328406.0,328413.0,328413.0,332330.0,336983.0,341408.0,344446.0,347297.0,347438.0,347438.0,350443.0,354335.0,358335.0,361676.0,364272.0,364452.0,364452.0,365038.0,365684.0,366239.0,367488.0,369103.0,369277.0,369277.0,372020.0,374949.0,376787.0,378430.0,379615.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40936.0,53201.0,65720.0,77826.0,88711.0,91673.0,91738.0,105995.0,119005.0,128660.0,137338.0,144053.0,144448.0,144459.0,151925.0,157532.0,161528.0,164514.0,166903.0,166941.0,166941.0,171517.0,177071.0,183456.0,189938.0,189950.0,189955.0,189956.0,198770.0,205099.0,211212.0,216658.0,222615.0,222885.0,222888.0,231350.0,239719.0,246876.0,253421.0,258265.0,258461.0,258463.0,264803.0,271802.0,279367.0,285851.0,291705.0,291936.0,291938.0,298004.0,303939.0,309075.0,315190.0,316661.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14573.0,15139.0,15656.0,21111.0,28009.0,35135.0,42228.0,47631.0,48439.0,48882.0,54479.0,58339.0,61677.0,64667.0,67462.0,67535.0,67589.0,70583.0,73045.0,75181.0,77102.0,78658.0,78677.0,78678.0,80678.0,84522.0,88716.0,92181.0,95031.0,95187.0,95222.0,98702.0,102458.0,105743.0,109959.0,113061.0,113211.0,113342.0,116955.0,120834.0,123947.0,126403.0,129064.0,129197.0,129398.0,132634.0,135704.0,138912.0,142810.0,146831.0,146991.0,146995.0,150201.0,152650.0,155022.0,157575.0,157701.0,157827.0,157894.0,159398.0,161065.0,162582.0,164347.0,166327.0,166488.0,166535.0,167959.0,169544.0,171455.0,173114.0,174779.0,175137.0,175138.0,175964.0,176988.0,177784.0,178719.0,179288.0,179363.0,179369.0,179930.0,180379.0,180754.0,181263.0,182159.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13710.0,14218.0,14599.0,19756.0,26499.0,33440.0,40392.0,45603.0,46403.0,46875.0,52748.0,57797.0,62017.0,65665.0,68805.0,68948.0,69002.0,72173.0,74160.0,75513.0,76788.0,77777.0,77811.0,77813.0,79184.0,82439.0,86176.0,90324.0,90593.0,90701.0,90734.0,95326.0,99139.0,102357.0,106137.0,109509.0,109654.0,109749.0,113156.0,116719.0,119897.0,122444.0,124978.0,125191.0,125389.0,128417.0,131477.0,134559.0,137806.0,140536.0,140740.0,140744.0,143988.0,146718.0,148512.0,151675.0,152655.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30328.0,32708.0,35303.0,37063.0,38783.0,38985.0,38995.0,39843.0,40563.0,41476.0,42473.0,43311.0,43399.0,43399.0,45567.0,47958.0,50151.0,51911.0,53442.0,53451.0,53455.0,54716.0,56015.0,57232.0,58907.0,60160.0,60164.0,60205.0,61663.0,63463.0,64741.0,66160.0,67547.0,67560.0,67571.0,69195.0,70583.0,72133.0,73485.0,75411.0,75422.0,75424.0,76787.0,78029.0,79289.0,80652.0,80653.0,80653.0,80653.0,81518.0,82805.0,84101.0,85107.0,85872.0,85875.0,85877.0,86847.0,87686.0,88679.0,89601.0,90423.0,90426.0,90426.0,91075.0,91809.0,92329.0,93091.0,93432.0,93435.0,93435.0,93535.0,94159.0,94764.0,94977.0,95200.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57061.0,58260.0,58267.0,58269.0,59463.0,60975.0,62371.0,63779.0,65320.0,65334.0,65336.0,66717.0,68313.0,69841.0,70949.0,71948.0,71957.0,71957.0,72892.0,74348.0,75634.0,76625.0,77196.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54189.0,55702.0,55775.0,55775.0,57677.0,59588.0,61287.0,63070.0,65066.0,65176.0,65176.0,67055.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104063.0,106042.0,107962.0,107990.0,108018.0,108058.0,109863.0,111980.0,114121.0,115793.0,117426.0,117573.0,117601.0,119655.0,121353.0,123163.0,124792.0,126786.0,126981.0,127038.0,128999.0,131052.0,132826.0,134259.0,135635.0,135876.0,135889.0,137322.0,138814.0,140634.0,141706.0,142690.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66397.0,68190.0,70142.0,71758.0,71892.0,71894.0,74313.0,76823.0,79158.0,81316.0,83587.0,83758.0,83758.0,86278.0,88759.0,91192.0,92983.0,94824.0,94960.0,94961.0,97891.0,99928.0,101967.0,103854.0,104498.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19413.0,37410.0,56784.0,58070.0,58108.0,85902.0,116224.0,149502.0,180755.0,208600.0,209928.0,209928.0,243724.0,273490.0,297900.0,318546.0,337074.0,337753.0,337866.0,349232.0,358372.0,366185.0,374822.0,384418.0,388059.0,388075.0,401413.0,419691.0,440214.0,459156.0,476980.0,477282.0,477282.0,493335.0,508769.0,524424.0,545880.0,563645.0,564870.0,564870.0,581293.0,599697.0,616766.0,635063.0,651522.0,652629.0,652712.0,667795.0,681931.0,697443.0,713121.0,729597.0,729967.0,729995.0,746738.0,760724.0,773466.0,787285.0,787446.0,787637.0,787677.0,795494.0,805154.0,814829.0,822505.0,830074.0,830661.0,830779.0,839601.0,846687.0,855093.0,861658.0,868717.0,869116.0,869157.0,874975.0,879778.0,883715.0,890797.0,895770.0,896121.0,896151.0,901798.0,905736.0,910608.0,914592.0,919139.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18122.0,35348.0,53918.0,55041.0,55048.0,81844.0,111363.0,143666.0,174110.0,201375.0,202390.0,202402.0,235385.0,267814.0,295056.0,320264.0,339341.0,340018.0,340094.0,354843.0,366607.0,373424.0,379035.0,383508.0,383594.0,383618.0,396023.0,411830.0,432020.0,454132.0,454709.0,454921.0,454942.0,479348.0,495895.0,511409.0,532293.0,549735.0,550538.0,550577.0,566895.0,584022.0,601008.0,618823.0,634782.0,635578.0,635669.0,651481.0,665120.0,679810.0,693680.0,708590.0,709048.0,709080.0,726051.0,739459.0,752477.0,765586.0,768981.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26376.0,26612.0,26728.0,33940.0,41782.0,50891.0,61263.0,70096.0,70391.0,70642.0,78138.0,84497.0,90412.0,95567.0,99904.0,100103.0,100103.0,104170.0,107982.0,111268.0,114554.0,117211.0,117265.0,117323.0,120842.0,124853.0,128402.0,131273.0,133650.0,133729.0,133765.0,138400.0,143446.0,148441.0,154461.0,159592.0,159798.0,160012.0,165884.0,171655.0,176410.0,180672.0,184670.0,184896.0,185102.0,188860.0,192895.0,196980.0,201018.0,205015.0,205059.0,205118.0,208926.0,212253.0,215352.0,219979.0,219980.0,219980.0,219980.0,223008.0,226233.0,229353.0,232269.0,235190.0,235412.0,235438.0,237374.0,238928.0,240175.0,241168.0,242391.0,242469.0,242483.0,243472.0,244452.0,245182.0,246489.0,247365.0,247401.0,247402.0,248638.0,249570.0,250681.0,251517.0,252285.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19573.0,25407.0,25542.0,25669.0,32893.0,40460.0,49381.0,59230.0,67665.0,68027.0,68270.0,76222.0,83287.0,89949.0,95965.0,100609.0,100648.0,100657.0,105273.0,108816.0,111552.0,113849.0,115672.0,115755.0,115769.0,118837.0,122393.0,125755.0,129201.0,129203.0,129203.0,129203.0,134732.0,139904.0,144828.0,150607.0,155599.0,155680.0,155734.0,161403.0,167081.0,171838.0,175996.0,180133.0,180324.0,180409.0,184355.0,188361.0,192178.0,196166.0,199965.0,200043.0,200070.0,204099.0,207657.0,210716.0,214735.0,215624.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152390.0,181078.0,203028.0,206268.0,207547.0,228818.0,245695.0,260119.0,271044.0,280981.0,282120.0,282512.0,291021.0,298759.0,306523.0,315744.0,322526.0,322874.0,323032.0,334458.0,347754.0,361042.0,373160.0,383874.0,384511.0,384727.0,396572.0,409691.0,422297.0,439640.0,454754.0,457967.0,458840.0,473917.0,490005.0,504626.0,518162.0,530824.0,533493.0,534652.0,546464.0,558696.0,571405.0,583425.0,597681.0,598284.0,598309.0,611081.0,621764.0,632787.0,644075.0,644271.0,644341.0,644343.0,650492.0,658001.0,666011.0,672783.0,678265.0,679413.0,679633.0,685927.0,691885.0,697636.0,701561.0,705260.0,705641.0,705681.0,709156.0,711676.0,713898.0,718200.0,721232.0,721747.0,721867.0,725112.0,727900.0,731251.0,733594.0,738026.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42887.0,58511.0,62396.0,64710.0,87083.0,114544.0,144900.0,173078.0,194938.0,198070.0,199226.0,222180.0,242112.0,259703.0,274733.0,284923.0,286076.0,286507.0,297345.0,305946.0,311329.0,315905.0,320090.0,320288.0,320400.0,328466.0,339306.0,351282.0,363886.0,364571.0,364658.0,364670.0,383151.0,396844.0,409956.0,426118.0,439477.0,441209.0,441612.0,457573.0,473544.0,487865.0,501070.0,513002.0,514724.0,515349.0,528759.0,540893.0,553141.0,564918.0,577056.0,577804.0,577940.0,590938.0,602327.0,613375.0,623861.0,627008.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150892.0,151323.0,151335.0,157665.0,163148.0,168062.0,172953.0,176711.0,177035.0,177035.0,186517.0,196485.0,205775.0,213814.0,221747.0,222105.0,222107.0,230249.0,238279.0,246004.0,255893.0,264882.0,265407.0,265411.0,275020.0,284373.0,292611.0,299920.0,307041.0,307354.0,307357.0,314925.0,322519.0,330414.0,337983.0,346625.0,346777.0,346839.0,355724.0,364320.0,372544.0,380328.0,380335.0,380351.0,380377.0,384602.0,389222.0,394460.0,397384.0,398909.0,398962.0,398962.0,402168.0,406431.0,411202.0,414810.0,418092.0,418318.0,418337.0,420239.0,422135.0,423886.0,426724.0,428965.0,429006.0,429006.0,431016.0,433131.0,435469.0,437254.0,439933.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107823.0,121521.0,133750.0,143817.0,152265.0,152617.0,152630.0,159878.0,164961.0,169145.0,172669.0,175152.0,175316.0,175335.0,183946.0,193494.0,203121.0,215662.0,215727.0,215732.0,215750.0,225435.0,233595.0,241192.0,250758.0,259463.0,259783.0,259785.0,268989.0,277726.0,286244.0,293426.0,300426.0,300667.0,300670.0,308005.0,315245.0,322964.0,330570.0,338363.0,338495.0,338499.0,346489.0,355111.0,362748.0,369689.0,371120.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14341.0,26646.0,39898.0,43797.0,46427.0,61126.0,76163.0,92702.0,107723.0,120428.0,121875.0,122463.0,136540.0,149535.0,161133.0,170228.0,179177.0,179548.0,179712.0,186857.0,193289.0,199167.0,204945.0,211387.0,211666.0,211675.0,219259.0,228733.0,237676.0,245161.0,251784.0,252443.0,252692.0,261016.0,269914.0,279568.0,290464.0,300470.0,301995.0,302537.0,313532.0,323981.0,333052.0,341826.0,349973.0,350598.0,350788.0,359729.0,368865.0,377809.0,386202.0,395113.0,395243.0,395270.0,404526.0,412301.0,419383.0,427661.0,427686.0,427714.0,427742.0,433454.0,439799.0,445700.0,450806.0,455576.0,455868.0,455894.0,459115.0,463333.0,467299.0,469988.0,472445.0,472679.0,472699.0,475327.0,477496.0,479634.0,482723.0,485189.0,485333.0,485348.0,486959.0,489006.0,490914.0,492263.0,495680.0
