Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17624.0,22449.0,22457.0,22457.0,30305.0,39188.0,49268.0,58821.0,67655.0,68136.0,68136.0,79328.0,88170.0,96220.0,103138.0,109618.0,109662.0,109667.0,115878.0,121136.0,125792.0,130608.0,134569.0,134705.0,134705.0,142162.0,150175.0,157747.0,164110.0,169668.0,169720.0,169720.0,175718.0,181966.0,187663.0,194174.0,199856.0,200062.0,200062.0,206445.0,213111.0,218880.0,224498.0,229766.0,229868.0,229868.0,235704.0,241494.0,247596.0,253908.0,260624.0,261057.0,261057.0,266896.0,272420.0,277458.0,283048.0,283057.0,283057.0,283059.0,286972.0,291563.0,295904.0,299761.0,303284.0,303373.0,303373.0,307147.0,310590.0,313934.0,316805.0,319729.0,319810.0,319810.0,322413.0,324530.0,326463.0,329157.0,331343.0,331438.0,331439.0,333766.0,336043.0,338371.0,340545.0,342480.0,342495.0,342495.0,346084.0,349797.0,353553.0,357082.0,360625.0,360788.0,360788.0,365320.0,370103.0,374568.0,378850.0,383012.0,383038.0,383038.0,387887.0,393425.0,398008.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.0,6440.0,8055.0,8558.0,8570.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8604.0,8606.0,8610.0,8623.0,8652.0,8655.0,8655.0,8655.0,8659.0,8723.0,12401.0,16992.0,21504.0,21523.0,21524.0,28960.0,37524.0,47556.0,56816.0,65390.0,65747.0,65749.0,77804.0,87995.0,97585.0,106609.0,114023.0,114071.0,114074.0,121300.0,125515.0,128641.0,131109.0,133521.0,133599.0,133600.0,139231.0,146289.0,153400.0,159962.0,160064.0,160066.0,160069.0,169767.0,176565.0,182396.0,189223.0,194519.0,194691.0,194692.0,201037.0,207284.0,212886.0,218246.0,223365.0,223460.0,223463.0,229601.0,235029.0,240781.0,246466.0,252292.0,252554.0,252556.0,258012.0,262691.0,268482.0,273842.0,275399.0,275401.0,275406.0,278953.0,283015.0,287409.0,291100.0,294515.0,294562.0,294565.0,298177.0,301698.0,305021.0,307889.0,310492.0,310520.0,310522.0,313128.0,315548.0,317522.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13333.0,22444.0,30498.0,31627.0,31629.0,42802.0,57200.0,72075.0,86306.0,100184.0,102259.0,102260.0,118662.0,132759.0,143381.0,152450.0,160746.0,161128.0,161128.0,168606.0,175420.0,181187.0,186050.0,191169.0,191782.0,191783.0,199303.0,209492.0,217965.0,225488.0,232528.0,232939.0,232939.0,240897.0,248727.0,256732.0,266729.0,275911.0,276610.0,276610.0,285618.0,294983.0,303322.0,311107.0,318688.0,319112.0,319112.0,326196.0,333172.0,340453.0,347510.0,354629.0,354918.0,354918.0,362006.0,368060.0,373451.0,379421.0,379438.0,379456.0,379456.0,383249.0,387848.0,392513.0,396222.0,399794.0,399957.0,399957.0,403294.0,407465.0,411160.0,414130.0,416944.0,417066.0,417066.0,419693.0,422469.0,424560.0,427572.0,430032.0,430446.0,430467.0,432918.0,435404.0,437947.0,439867.0,442508.0,442532.0,442532.0,446418.0,450733.0,454809.0,458784.0,462868.0,463418.0,463418.0,468520.0,474080.0,479433.0,484129.0,489195.0,489225.0,489233.0,494225.0,499787.0,504933.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40695.0,54196.0,68605.0,82411.0,96204.0,98124.0,98132.0,114876.0,130194.0,142011.0,152102.0,161647.0,161944.0,161945.0,169526.0,175274.0,180292.0,184120.0,187711.0,187788.0,187788.0,194616.0,203840.0,211802.0,219952.0,220316.0,220332.0,220332.0,232670.0,240915.0,248920.0,258584.0,267101.0,267424.0,267427.0,276558.0,285732.0,294029.0,301607.0,309167.0,309475.0,309477.0,316859.0,323834.0,330739.0,337360.0,344025.0,344354.0,344358.0,351427.0,357847.0,363483.0,368956.0,370441.0,370448.0,370449.0,373837.0,378015.0,382500.0,386156.0,389669.0,389837.0,389838.0,393243.0,397117.0,400745.0,403638.0,406118.0,406124.0,406125.0,408906.0,411816.0,414106.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82189.0,93495.0,96638.0,96762.0,110865.0,121563.0,129261.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158605.0,163560.0,169047.0,169385.0,169385.0,175434.0,182094.0,188558.0,194285.0,199530.0,200310.0,200421.0,206379.0,212835.0,218947.0,226013.0,232723.0,234202.0,234217.0,241341.0,249490.0,256286.0,262948.0,268200.0,269127.0,269135.0,274932.0,281748.0,289249.0,296656.0,303413.0,303959.0,303959.0,309738.0,315678.0,321925.0,328422.0,328427.0,328435.0,328435.0,332372.0,337026.0,341458.0,344499.0,347359.0,347500.0,347500.0,350510.0,354405.0,358411.0,361806.0,364390.0,364570.0,364570.0,365145.0,365790.0,366346.0,367595.0,369211.0,369385.0,369385.0,372129.0,375069.0,376939.0,378617.0,379869.0,379869.0,379869.0,383264.0,386928.0,390215.0,393505.0,396644.0,396978.0,396978.0,400816.0,405227.0,409755.0,414077.0,418379.0,418452.0,418452.0,423553.0,429089.0,434043.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9653.0,17670.0,25548.0,28439.0,28756.0,40942.0,53210.0,65729.0,77836.0,88721.0,91684.0,91749.0,106005.0,119017.0,128672.0,137349.0,144064.0,144459.0,144470.0,151936.0,157546.0,161543.0,164539.0,166928.0,166966.0,166966.0,171543.0,177102.0,183488.0,189972.0,189984.0,189989.0,189990.0,198831.0,205170.0,211288.0,216740.0,222696.0,222966.0,222969.0,231441.0,239858.0,247023.0,253583.0,258435.0,258631.0,258633.0,264977.0,271979.0,279547.0,286034.0,291892.0,292123.0,292126.0,298198.0,304162.0,309331.0,315503.0,317031.0,317031.0,317032.0,321202.0,325630.0,330035.0,333461.0,336224.0,336323.0,336323.0,339611.0,343711.0,347576.0,350843.0,353276.0,353299.0,353299.0,354709.0,355974.0,357168.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28011.0,35137.0,42230.0,47633.0,48441.0,48884.0,54481.0,58341.0,61679.0,64669.0,67464.0,67537.0,67591.0,70585.0,73047.0,75183.0,77104.0,78660.0,78679.0,78680.0,80680.0,84524.0,88718.0,92183.0,95033.0,95189.0,95224.0,98704.0,102460.0,105746.0,109963.0,113065.0,113215.0,113346.0,116958.0,120836.0,123949.0,126405.0,129066.0,129199.0,129400.0,132629.0,135701.0,138909.0,142810.0,146831.0,146991.0,146995.0,150203.0,152651.0,155024.0,157578.0,157704.0,157830.0,157898.0,159405.0,161075.0,162595.0,164363.0,166347.0,166508.0,166557.0,167990.0,169579.0,171492.0,173154.0,174821.0,175179.0,175180.0,176008.0,177037.0,177833.0,178768.0,179337.0,179412.0,179418.0,179979.0,180428.0,180803.0,181313.0,182269.0,182403.0,182412.0,183477.0,184669.0,185952.0,187400.0,189068.0,189331.0,189331.0,190838.0,192519.0,194222.0,195742.0,197311.0,197362.0,197362.0,199022.0,201249.0,203373.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13711.0,14219.0,14600.0,19757.0,26500.0,33442.0,40395.0,45607.0,46407.0,46879.0,52755.0,57804.0,62024.0,65673.0,68814.0,68957.0,69011.0,72182.0,74171.0,75524.0,76799.0,77788.0,77822.0,77824.0,79195.0,82450.0,86187.0,90335.0,90605.0,90713.0,90746.0,95338.0,99150.0,102369.0,106150.0,109522.0,109667.0,109762.0,113176.0,116740.0,119924.0,122471.0,125007.0,125220.0,125418.0,128446.0,131505.0,134588.0,137835.0,140566.0,140770.0,140774.0,144018.0,146749.0,148543.0,151714.0,152756.0,152854.0,152871.0,154153.0,155861.0,157654.0,159423.0,160956.0,161091.0,161092.0,162432.0,164225.0,166215.0,167824.0,169143.0,169167.0,169167.0,170140.0,171631.0,172625.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32706.0,35301.0,37061.0,38781.0,38983.0,38993.0,39841.0,40561.0,41474.0,42471.0,43309.0,43397.0,43397.0,45565.0,47956.0,50149.0,51909.0,53440.0,53449.0,53453.0,54714.0,56013.0,57230.0,58905.0,60158.0,60162.0,60203.0,61661.0,63461.0,64739.0,66158.0,67546.0,67559.0,67570.0,69194.0,70582.0,72133.0,73485.0,75411.0,75422.0,75424.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81525.0,82816.0,84114.0,85123.0,85890.0,85893.0,85896.0,86865.0,87706.0,88700.0,89623.0,90445.0,90448.0,90448.0,91099.0,91834.0,92354.0,93116.0,93457.0,93460.0,93460.0,93560.0,94184.0,94789.0,95018.0,95247.0,95247.0,95247.0,95764.0,96371.0,96947.0,97398.0,97961.0,97971.0,97971.0,98678.0,99615.0,100208.0,100849.0,101632.0,101633.0,101634.0,102360.0,103238.0,104224.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42114.0,42657.0,42666.0,42666.0,44258.0,46841.0,48978.0,50828.0,50829.0,50833.0,50835.0,52777.0,54302.0,55542.0,57063.0,58262.0,58269.0,58271.0,59465.0,60977.0,62373.0,63781.0,65322.0,65336.0,65338.0,66720.0,68316.0,69844.0,70952.0,71951.0,71960.0,71960.0,72897.0,74354.0,75640.0,76680.0,77256.0,77260.0,77260.0,78199.0,79805.0,80651.0,82010.0,82875.0,82880.0,82880.0,83837.0,84850.0,85793.0,86589.0,87394.0,87395.0,87395.0,87864.0,88563.0,89324.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91807.0,94459.0,96672.0,99380.0,99484.0,99484.0,101934.0,104065.0,106044.0,107964.0,107992.0,108020.0,108060.0,109865.0,111984.0,114125.0,115797.0,117431.0,117579.0,117607.0,119665.0,121369.0,123180.0,124812.0,126807.0,127002.0,127059.0,129021.0,131077.0,132851.0,134286.0,135663.0,135904.0,135917.0,137350.0,138843.0,140663.0,141736.0,142840.0,142930.0,143035.0,144733.0,146140.0,147533.0,148748.0,149998.0,150675.0,150745.0,152332.0,153895.0,155504.0,156877.0,158450.0,158492.0,158496.0,160090.0,161706.0,163057.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18578.0,22658.0,26779.0,26982.0,26982.0,32039.0,37443.0,42312.0,45965.0,48653.0,48815.0,48815.0,50679.0,51763.0,52725.0,53504.0,54376.0,54429.0,54429.0,56017.0,57716.0,59358.0,61486.0,61487.0,61487.0,61489.0,64440.0,66398.0,68191.0,70143.0,71760.0,71894.0,71896.0,74315.0,76826.0,79160.0,81320.0,83591.0,83762.0,83762.0,86281.0,88762.0,91195.0,92986.0,94826.0,94962.0,94963.0,97893.0,99930.0,101970.0,103857.0,104563.0,104587.0,104616.0,106266.0,108057.0,109522.0,111477.0,113011.0,113351.0,113351.0,115303.0,116969.0,118439.0,119961.0,121670.0,121671.0,121671.0,123685.0,125702.0,127613.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86139.0,116532.0,149896.0,181239.0,209162.0,210490.0,210490.0,244380.0,274232.0,298719.0,319422.0,338016.0,338695.0,338808.0,350201.0,359370.0,367213.0,375874.0,385484.0,389126.0,389142.0,402530.0,420865.0,441449.0,460406.0,478313.0,478615.0,478615.0,494744.0,510218.0,525899.0,547391.0,565197.0,566422.0,566422.0,582883.0,601330.0,618432.0,636767.0,653265.0,654372.0,654455.0,669566.0,683727.0,699287.0,715032.0,731553.0,731923.0,731951.0,748755.0,762803.0,775580.0,789434.0,789595.0,789787.0,789827.0,797692.0,807413.0,817135.0,824849.0,832438.0,833025.0,833143.0,842034.0,849145.0,857594.0,864183.0,871272.0,871671.0,871713.0,877546.0,882366.0,886319.0,893430.0,898415.0,898766.0,898796.0,904470.0,908422.0,913323.0,917323.0,921936.0,921993.0,922014.0,930201.0,938473.0,947201.0,955823.0,964360.0,965367.0,965423.0,975822.0,986925.0,997234.0,1007052.0,1017324.0,1017470.0,1017529.0,1029499.0,1042222.0,1053583.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35452.0,54071.0,55194.0,55201.0,82066.0,111664.0,144047.0,174583.0,201932.0,202947.0,202959.0,236031.0,268544.0,295869.0,321139.0,340280.0,340958.0,341034.0,355813.0,367606.0,374450.0,380087.0,384577.0,384663.0,384687.0,397143.0,413001.0,433254.0,455428.0,456005.0,456217.0,456238.0,480745.0,497334.0,512878.0,533803.0,551291.0,552094.0,552133.0,568516.0,585683.0,602712.0,620574.0,636570.0,637366.0,637457.0,653300.0,666963.0,681698.0,695626.0,710584.0,711043.0,711075.0,728115.0,741583.0,754642.0,767799.0,771290.0,771391.0,771448.0,778882.0,787995.0,797091.0,805053.0,812060.0,812480.0,812533.0,820702.0,828590.0,836744.0,842711.0,848790.0,848873.0,848910.0,854758.0,860516.0,865330.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41785.0,50894.0,61266.0,70100.0,70395.0,70646.0,78142.0,84504.0,90419.0,95574.0,99911.0,100110.0,100110.0,104178.0,107990.0,111278.0,114564.0,117221.0,117275.0,117333.0,120852.0,124863.0,128413.0,131285.0,133662.0,133741.0,133777.0,138413.0,143459.0,148453.0,154473.0,159604.0,159810.0,160024.0,165897.0,171668.0,176423.0,180685.0,184682.0,184908.0,185114.0,188871.0,192905.0,196990.0,201028.0,205025.0,205069.0,205128.0,208938.0,212265.0,215365.0,219992.0,219993.0,219993.0,219993.0,223025.0,226252.0,229377.0,232311.0,235239.0,235461.0,235488.0,237427.0,238987.0,240237.0,241232.0,242457.0,242536.0,242550.0,243544.0,244529.0,245259.0,246568.0,247446.0,247482.0,247483.0,248720.0,249653.0,250764.0,251602.0,252433.0,252434.0,252434.0,254319.0,256304.0,258401.0,260256.0,262168.0,262416.0,262435.0,264745.0,267224.0,269741.0,271954.0,274343.0,274472.0,274570.0,276849.0,280633.0,285249.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13200.0,19580.0,25420.0,25555.0,25682.0,32907.0,40474.0,49403.0,59258.0,67694.0,68056.0,68299.0,76253.0,83321.0,89985.0,96001.0,100646.0,100685.0,100694.0,105310.0,108853.0,111589.0,113886.0,115710.0,115793.0,115807.0,118877.0,122433.0,125795.0,129241.0,129243.0,129243.0,129243.0,134773.0,139945.0,144869.0,150648.0,155639.0,155720.0,155774.0,161446.0,167125.0,171884.0,176047.0,180187.0,180378.0,180463.0,184409.0,188420.0,192239.0,196232.0,200033.0,200111.0,200138.0,204188.0,207748.0,210809.0,214860.0,215774.0,215775.0,215776.0,218460.0,221461.0,224599.0,227513.0,229963.0,230101.0,230110.0,232255.0,234234.0,235734.0,236932.0,238192.0,238242.0,238254.0,239261.0,240168.0,241016.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93393.0,120863.0,152396.0,181080.0,203030.0,206270.0,207549.0,228812.0,245698.0,260121.0,271046.0,280983.0,282122.0,282514.0,291023.0,298761.0,306525.0,315746.0,322527.0,322875.0,323033.0,334458.0,347754.0,361042.0,373162.0,383876.0,384513.0,384729.0,396576.0,409695.0,422301.0,439642.0,454759.0,457972.0,458845.0,473925.0,490010.0,504648.0,518185.0,530850.0,533519.0,534678.0,546490.0,558722.0,571433.0,583454.0,597721.0,598324.0,598349.0,611132.0,621814.0,632839.0,644130.0,644326.0,644399.0,644401.0,650558.0,658090.0,666120.0,672902.0,678465.0,679709.0,679929.0,686251.0,692246.0,698010.0,701942.0,705646.0,706027.0,706067.0,709549.0,712074.0,714313.0,718616.0,721652.0,722167.0,722287.0,725539.0,728332.0,731687.0,734039.0,738609.0,738724.0,739191.0,745615.0,752497.0,759074.0,765915.0,772208.0,773708.0,773927.0,781667.0,789763.0,797878.0,805186.0,812422.0,812431.0,812438.0,821305.0,830888.0,839097.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87085.0,114548.0,144913.0,173102.0,194969.0,198101.0,199257.0,222216.0,242146.0,259741.0,274773.0,284963.0,286116.0,286547.0,297385.0,305987.0,311371.0,315945.0,320131.0,320329.0,320441.0,328508.0,339348.0,351325.0,363929.0,364614.0,364704.0,364716.0,383208.0,396909.0,410022.0,426188.0,439549.0,441281.0,441684.0,457648.0,473639.0,487962.0,501174.0,513150.0,514872.0,515498.0,528908.0,541045.0,553492.0,565274.0,577482.0,578230.0,578366.0,591425.0,602828.0,613883.0,624465.0,627731.0,627814.0,627995.0,634081.0,641019.0,648769.0,655449.0,660367.0,661111.0,661269.0,667702.0,673774.0,679771.0,683945.0,687587.0,687591.0,687592.0,691378.0,694520.0,697282.0
