Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6928.0,7468.0,7468.0,10863.0,14865.0,19678.0,23994.0,28211.0,28382.0,28382.0,33616.0,38451.0,41932.0,44131.0,46276.0,46385.0,46385.0,47961.0,49674.0,52048.0,54195.0,55708.0,55781.0,55781.0,57684.0,59595.0,61297.0,63080.0,65076.0,65186.0,65186.0,67066.0,68796.0,70367.0,72495.0,74652.0,74854.0,74854.0,77143.0,79677.0,82028.0,84418.0,86998.0,87237.0,87237.0,89631.0,92062.0,94739.0,96974.0,99697.0,99801.0,99801.0,102270.0,104423.0,106416.0,108346.0,108374.0,108402.0,108442.0,110264.0,112420.0,114605.0,116296.0,117943.0,118090.0,118118.0,120200.0,121944.0,123778.0,125432.0,127442.0,127637.0,127694.0,129694.0,131785.0,133491.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42313.0,45966.0,48653.0,48815.0,48815.0,50680.0,51763.0,52725.0,53505.0,54377.0,54430.0,54430.0,56018.0,57717.0,59362.0,61489.0,61490.0,61490.0,61492.0,64442.0,66404.0,68197.0,70153.0,71770.0,71904.0,71906.0,74329.0,76844.0,79184.0,81365.0,83698.0,83869.0,83869.0,86471.0,88990.0,91348.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19414.0,37412.0,56786.0,58072.0,58110.0,85908.0,116230.0,149508.0,180759.0,208605.0,209933.0,209933.0,243728.0,273497.0,297908.0,318555.0,337083.0,337762.0,337875.0,349241.0,358382.0,366197.0,374834.0,384438.0,388114.0,388130.0,401470.0,419757.0,440284.0,459229.0,477055.0,477357.0,477357.0,493413.0,508856.0,524521.0,545981.0,563749.0,564974.0,564974.0,581406.0,599821.0,616923.0,635288.0,651902.0,653010.0,653093.0,668621.0,683226.0,698923.0,714688.0,731210.0,731580.0,731607.0,748413.0,762469.0,775239.0,789086.0,789248.0,789439.0,789479.0,797358.0,807100.0,816825.0,824538.0,832154.0,832743.0,832861.0,841730.0,848869.0,857333.0,863947.0,871069.0,871468.0,871509.0,877353.0,882190.0,886107.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18123.0,35349.0,53919.0,55042.0,55049.0,81848.0,111366.0,143669.0,174110.0,201374.0,202389.0,202401.0,235381.0,267810.0,295053.0,320262.0,339365.0,340042.0,340118.0,354875.0,366645.0,373469.0,379080.0,383553.0,383639.0,383663.0,396069.0,411878.0,432070.0,454183.0,454760.0,454972.0,454993.0,479401.0,495954.0,511474.0,532360.0,549803.0,550606.0,550645.0,566971.0,584114.0,601129.0,619012.0,635101.0,635897.0,635988.0,652155.0,666212.0,680941.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20178.0,26376.0,26612.0,26728.0,33940.0,41782.0,50891.0,61263.0,70098.0,70393.0,70644.0,78141.0,84500.0,90415.0,95570.0,99907.0,100106.0,100106.0,104173.0,107985.0,111270.0,114556.0,117212.0,117266.0,117324.0,120842.0,124854.0,128403.0,131269.0,133647.0,133726.0,133762.0,138398.0,143450.0,148447.0,154468.0,159599.0,159805.0,160018.0,165897.0,171679.0,176447.0,180727.0,184751.0,184977.0,185183.0,189079.0,193195.0,197314.0,201383.0,205387.0,205430.0,205489.0,209319.0,212661.0,215774.0,220417.0,220418.0,220418.0,220418.0,223475.0,226721.0,229863.0,232795.0,235747.0,235972.0,235998.0,237934.0,239484.0,240720.0,241711.0,242961.0,243040.0,243054.0,244044.0,244864.0,245552.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13193.0,19555.0,25387.0,25522.0,25649.0,32872.0,40438.0,49358.0,59204.0,67640.0,68001.0,68243.0,76196.0,83261.0,89923.0,95939.0,100582.0,100621.0,100630.0,105246.0,108789.0,111520.0,113816.0,115637.0,115720.0,115734.0,118802.0,122360.0,125721.0,129166.0,129168.0,129168.0,129168.0,134698.0,139873.0,144799.0,150578.0,155571.0,155652.0,155706.0,161351.0,167010.0,171756.0,175909.0,180038.0,180229.0,180314.0,184371.0,188431.0,192084.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63170.0,67334.0,69962.0,93389.0,120860.0,152388.0,181075.0,203024.0,206264.0,207543.0,228814.0,245692.0,260115.0,271041.0,280977.0,282116.0,282508.0,291017.0,298755.0,306519.0,315743.0,322525.0,322873.0,323031.0,334461.0,347764.0,361056.0,373181.0,383897.0,384534.0,384750.0,396604.0,409727.0,422335.0,439690.0,454806.0,458020.0,458893.0,473969.0,490072.0,504729.0,518405.0,531171.0,533838.0,534998.0,547334.0,560091.0,572960.0,585091.0,598937.0,599539.0,599564.0,612385.0,623123.0,634196.0,645508.0,645704.0,645774.0,645776.0,651961.0,659520.0,667575.0,674384.0,679882.0,681018.0,681238.0,687574.0,693556.0,699343.0,703302.0,707058.0,707419.0,707461.0,710931.0,713392.0,715472.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58509.0,62394.0,64707.0,87073.0,114529.0,144881.0,173059.0,194916.0,198048.0,199204.0,222157.0,242089.0,259679.0,274707.0,284895.0,286048.0,286479.0,297330.0,305939.0,311322.0,315897.0,320075.0,320273.0,320385.0,328450.0,339299.0,351270.0,363859.0,364539.0,364626.0,364638.0,383127.0,396817.0,409925.0,426089.0,439444.0,441176.0,441579.0,457543.0,473361.0,487572.0,500860.0,512897.0,514619.0,515244.0,529042.0,541147.0,553008.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18980.0,28346.0,37233.0,38351.0,38410.0,48279.0,57733.0,70915.0,82131.0,93260.0,94475.0,94495.0,109701.0,122757.0,134109.0,143167.0,150887.0,151318.0,151330.0,157660.0,163142.0,168056.0,172946.0,176704.0,177028.0,177028.0,186511.0,196481.0,205773.0,213815.0,221749.0,222107.0,222109.0,230259.0,238292.0,246029.0,255918.0,264902.0,265427.0,265431.0,275054.0,284447.0,292795.0,300315.0,307797.0,308115.0,308118.0,315783.0,323464.0,331448.0,339070.0,347671.0,347823.0,347885.0,356788.0,365410.0,373556.0,381351.0,381358.0,381374.0,381400.0,385662.0,390334.0,395572.0,398323.0,399859.0,399912.0,399912.0,403146.0,407443.0,412217.0,415853.0,419120.0,419355.0,419375.0,421277.0,423168.0,424811.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27655.0,36464.0,37311.0,37338.0,47211.0,56445.0,69348.0,80315.0,91108.0,92200.0,92222.0,107797.0,121494.0,133720.0,143787.0,152233.0,152585.0,152598.0,159846.0,164927.0,169110.0,172606.0,175086.0,175250.0,175269.0,183879.0,193428.0,202954.0,215491.0,215556.0,215561.0,215579.0,225252.0,233418.0,240950.0,250515.0,259080.0,259400.0,259402.0,268624.0,277414.0,285822.0,293199.0,300455.0,300700.0,300703.0,308101.0,315382.0,322575.0
