Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17624.0,22450.0,22458.0,22458.0,30286.0,39151.0,49227.0,58811.0,67616.0,68097.0,68097.0,79289.0,88131.0,96181.0,103098.0,109575.0,109619.0,109624.0,115836.0,121096.0,125680.0,130496.0,134457.0,134593.0,134593.0,142052.0,150064.0,157624.0,163985.0,169536.0,169586.0,169586.0,175578.0,181769.0,187459.0,193954.0,199622.0,199827.0,199827.0,206212.0,212868.0,218634.0,224277.0,229698.0,229800.0,229800.0,235790.0,241637.0,247671.0,253995.0,260643.0,261075.0,261075.0,266819.0,272272.0,277047.0,282314.0,282323.0,282323.0,282323.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12372.0,16950.0,21462.0,21481.0,21482.0,28885.0,37379.0,47386.0,56626.0,65177.0,65533.0,65535.0,77573.0,87751.0,97340.0,106354.0,113722.0,113770.0,113773.0,121002.0,125211.0,128261.0,130703.0,133003.0,133081.0,133082.0,138544.0,145504.0,152467.0,158734.0,158836.0,158838.0,158841.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57233.0,72083.0,86316.0,100195.0,102270.0,102271.0,118677.0,132774.0,143395.0,152464.0,160761.0,161143.0,161143.0,168622.0,175435.0,181201.0,186066.0,191186.0,191799.0,191800.0,199322.0,209515.0,217987.0,225514.0,232551.0,232961.0,232961.0,240918.0,248747.0,256753.0,266749.0,275926.0,276624.0,276624.0,285630.0,295012.0,303379.0,311178.0,318798.0,319222.0,319222.0,326492.0,333609.0,340972.0,348080.0,355230.0,355519.0,355519.0,362630.0,368708.0,374105.0,380078.0,380095.0,380112.0,380112.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12143.0,20923.0,28653.0,29852.0,29856.0,40691.0,54193.0,68600.0,82402.0,96195.0,98113.0,98121.0,114867.0,130183.0,142000.0,152088.0,161632.0,161930.0,161931.0,169514.0,175260.0,180275.0,184098.0,187687.0,187764.0,187764.0,194587.0,203812.0,211768.0,219894.0,220258.0,220274.0,220274.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70063.0,82191.0,93499.0,96641.0,96765.0,110868.0,121566.0,129265.0,135966.0,142300.0,142686.0,142693.0,148301.0,153550.0,158612.0,163567.0,169039.0,169377.0,169377.0,175433.0,182096.0,188561.0,194291.0,199528.0,200309.0,200420.0,206360.0,212808.0,218919.0,225937.0,232632.0,234110.0,234125.0,241264.0,249430.0,256222.0,262919.0,268221.0,269149.0,269157.0,275103.0,282044.0,289643.0,297100.0,303875.0,304426.0,304426.0,310228.0,316193.0,322428.0,328942.0,328947.0,328954.0,328954.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9648.0,17664.0,25534.0,28425.0,28742.0,40871.0,53121.0,65621.0,77645.0,88520.0,91482.0,91547.0,105798.0,118801.0,128451.0,137109.0,143821.0,144215.0,144226.0,151666.0,157272.0,161264.0,164204.0,166587.0,166625.0,166625.0,171197.0,176736.0,183108.0,189565.0,189577.0,189582.0,189583.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80686.0,84534.0,88727.0,92190.0,95036.0,95191.0,95226.0,98700.0,102456.0,105738.0,109947.0,113042.0,113191.0,113321.0,116933.0,120811.0,123937.0,126401.0,129155.0,129288.0,129489.0,132772.0,135873.0,139103.0,143030.0,147055.0,147215.0,147219.0,150433.0,152891.0,155276.0,157802.0,157929.0,158055.0,158122.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19749.0,26490.0,33426.0,40377.0,45584.0,46384.0,46856.0,52724.0,57771.0,61992.0,65638.0,68760.0,68903.0,68957.0,72127.0,74103.0,75456.0,76732.0,77720.0,77754.0,77756.0,79125.0,82378.0,86113.0,90244.0,90506.0,90614.0,90647.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50162.0,51922.0,53452.0,53461.0,53465.0,54725.0,56023.0,57239.0,58916.0,60167.0,60171.0,60172.0,61625.0,63426.0,64704.0,66133.0,67527.0,67540.0,67551.0,69131.0,70556.0,72122.0,73486.0,75418.0,75429.0,75431.0,76794.0,78047.0,79314.0,80666.0,80667.0,80667.0,80667.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8472.0,8518.0,8520.0,11641.0,14748.0,19182.0,22713.0,25740.0,25752.0,25759.0,29349.0,32042.0,35145.0,37418.0,39281.0,39293.0,39295.0,40184.0,41033.0,41474.0,42098.0,42640.0,42649.0,42649.0,44243.0,46825.0,48962.0,50808.0,50809.0,50811.0,50811.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61300.0,63083.0,65079.0,65189.0,65189.0,67069.0,68798.0,70368.0,72493.0,74649.0,74851.0,74851.0,77136.0,79667.0,82017.0,84409.0,86987.0,87226.0,87226.0,89620.0,92050.0,94724.0,96959.0,99682.0,99786.0,99786.0,102255.0,104408.0,106401.0,108329.0,108357.0,108385.0,108393.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32039.0,37443.0,42311.0,45964.0,48651.0,48813.0,48813.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59358.0,61480.0,61481.0,61481.0,61481.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116224.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297896.0,318546.0,337074.0,337753.0,337866.0,349231.0,358371.0,366187.0,374825.0,384428.0,388104.0,388120.0,401458.0,419744.0,440269.0,459213.0,477028.0,477330.0,477330.0,493366.0,508799.0,524435.0,545768.0,563491.0,564713.0,564713.0,581133.0,599491.0,616578.0,634931.0,651525.0,652632.0,652842.0,668119.0,682640.0,698264.0,713933.0,730352.0,730722.0,730749.0,747547.0,761567.0,774260.0,787815.0,787977.0,788168.0,788205.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18112.0,35331.0,53893.0,55016.0,55023.0,81815.0,111323.0,143528.0,173945.0,201134.0,202150.0,202162.0,235134.0,267494.0,294736.0,319942.0,339040.0,339717.0,339793.0,354495.0,366202.0,373003.0,378595.0,383044.0,383130.0,383154.0,395557.0,411338.0,431405.0,453306.0,453883.0,454095.0,454116.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128400.0,131265.0,133640.0,133719.0,133755.0,138375.0,143419.0,148412.0,154412.0,159516.0,159722.0,159933.0,165771.0,171542.0,176306.0,180579.0,184571.0,184797.0,185003.0,188898.0,192972.0,197088.0,201157.0,205157.0,205199.0,205258.0,209086.0,212405.0,215498.0,220039.0,220040.0,220040.0,220040.0
