Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22450.0,22458.0,22458.0,30307.0,39189.0,49270.0,58822.0,67657.0,68138.0,68138.0,79330.0,88172.0,96222.0,103140.0,109620.0,109664.0,109669.0,115881.0,121140.0,125796.0,130611.0,134571.0,134707.0,134707.0,142164.0,150176.0,157750.0,164113.0,169671.0,169723.0,169723.0,175721.0,181970.0,187666.0,194176.0,199857.0,200063.0,200063.0,206444.0,213109.0,218877.0,224494.0,229753.0,229855.0,229855.0,235690.0,241481.0,247581.0,253894.0,260611.0,261044.0,261044.0,266880.0,272403.0,277439.0,283015.0,283024.0,283024.0,283026.0,286928.0,291510.0,295848.0,299687.0,303195.0,303284.0,303284.0,307048.0,310486.0,313827.0,316685.0,319598.0,319678.0,319678.0,322271.0,324378.0,326305.0,328992.0,331170.0,331265.0,331266.0,333574.0,335810.0,338106.0,340126.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12390.0,16980.0,21493.0,21512.0,21513.0,28947.0,37511.0,47543.0,56792.0,65363.0,65719.0,65721.0,77776.0,87967.0,97557.0,106580.0,113992.0,114040.0,114043.0,121269.0,125483.0,128608.0,131075.0,133486.0,133564.0,133565.0,139194.0,146251.0,153364.0,159909.0,160011.0,160013.0,160016.0,169710.0,176510.0,182336.0,189159.0,194451.0,194621.0,194622.0,200966.0,207196.0,212786.0,218133.0,223242.0,223337.0,223340.0,229469.0,234888.0,240636.0,246309.0,252124.0,252384.0,252386.0,257801.0,262392.0,268103.0,272993.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217962.0,225485.0,232525.0,232936.0,232936.0,240895.0,248725.0,256730.0,266727.0,275906.0,276605.0,276605.0,285613.0,294977.0,303316.0,311101.0,318682.0,319106.0,319106.0,326187.0,333163.0,340444.0,347500.0,354620.0,354909.0,354909.0,361995.0,368048.0,373438.0,379406.0,379423.0,379441.0,379441.0,383234.0,387825.0,392484.0,396188.0,399754.0,399917.0,399917.0,403248.0,407413.0,411106.0,414075.0,416886.0,417007.0,417007.0,419633.0,422398.0,424488.0,427498.0,429953.0,430367.0,430388.0,432836.0,435322.0,437864.0,439710.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54195.0,68604.0,82407.0,96201.0,98121.0,98129.0,114873.0,130191.0,142008.0,152099.0,161644.0,161942.0,161943.0,169525.0,175271.0,180286.0,184111.0,187702.0,187779.0,187779.0,194607.0,203829.0,211786.0,219933.0,220297.0,220313.0,220313.0,232645.0,240883.0,248887.0,258551.0,267058.0,267381.0,267384.0,276512.0,285685.0,293976.0,301549.0,309102.0,309410.0,309412.0,316780.0,323748.0,330648.0,337265.0,343908.0,344236.0,344240.0,351297.0,357714.0,363344.0,368560.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93495.0,96637.0,96761.0,110864.0,121562.0,129260.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158607.0,163562.0,169035.0,169373.0,169373.0,175423.0,182084.0,188548.0,194275.0,199517.0,200297.0,200408.0,206365.0,212822.0,218935.0,226001.0,232712.0,234191.0,234206.0,241330.0,249479.0,256274.0,262939.0,268190.0,269117.0,269125.0,274922.0,281737.0,289237.0,296641.0,303399.0,303945.0,303945.0,309723.0,315661.0,321906.0,328401.0,328406.0,328413.0,328413.0,332330.0,336983.0,341408.0,344446.0,347297.0,347438.0,347438.0,350443.0,354335.0,358335.0,361676.0,364272.0,364452.0,364452.0,365038.0,365684.0,366239.0,367488.0,369103.0,369277.0,369277.0,372020.0,374945.0,376744.0,378275.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40936.0,53189.0,65708.0,77814.0,88699.0,91661.0,91726.0,105983.0,118992.0,128648.0,137326.0,144041.0,144436.0,144447.0,151913.0,157520.0,161516.0,164502.0,166891.0,166929.0,166929.0,171505.0,177059.0,183444.0,189926.0,189938.0,189943.0,189944.0,198757.0,205085.0,211198.0,216644.0,222601.0,222871.0,222874.0,231336.0,239705.0,246862.0,253407.0,258251.0,258447.0,258449.0,264788.0,271787.0,279352.0,285836.0,291690.0,291921.0,291923.0,297989.0,303916.0,308966.0,314843.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14573.0,15139.0,15656.0,21111.0,28009.0,35135.0,42228.0,47631.0,48439.0,48882.0,54479.0,58339.0,61677.0,64667.0,67462.0,67535.0,67589.0,70583.0,73045.0,75181.0,77102.0,78658.0,78677.0,78678.0,80678.0,84522.0,88716.0,92181.0,95031.0,95187.0,95222.0,98702.0,102458.0,105743.0,109959.0,113061.0,113211.0,113342.0,116955.0,120834.0,123947.0,126403.0,129064.0,129197.0,129398.0,132634.0,135704.0,138911.0,142809.0,146830.0,146990.0,146994.0,150200.0,152649.0,155021.0,157573.0,157699.0,157825.0,157892.0,159396.0,161063.0,162580.0,164345.0,166325.0,166486.0,166533.0,167957.0,169542.0,171453.0,173112.0,174777.0,175135.0,175136.0,175962.0,176986.0,177782.0,178717.0,179286.0,179361.0,179367.0,179928.0,180377.0,180752.0,181186.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9318.0,13710.0,14218.0,14599.0,19756.0,26499.0,33440.0,40392.0,45603.0,46403.0,46875.0,52746.0,57795.0,62015.0,65663.0,68803.0,68946.0,69000.0,72171.0,74158.0,75511.0,76786.0,77775.0,77809.0,77811.0,79182.0,82436.0,86173.0,90321.0,90590.0,90698.0,90731.0,95323.0,99136.0,102355.0,106135.0,109506.0,109650.0,109745.0,113152.0,116715.0,119893.0,122440.0,124974.0,125187.0,125385.0,128410.0,131470.0,134552.0,137799.0,140529.0,140733.0,140737.0,143981.0,146711.0,148505.0,151397.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20135.0,23653.0,26706.0,26712.0,26718.0,30329.0,32709.0,35304.0,37064.0,38784.0,38986.0,38996.0,39844.0,40564.0,41477.0,42474.0,43312.0,43400.0,43400.0,45568.0,47959.0,50152.0,51912.0,53443.0,53452.0,53456.0,54717.0,56016.0,57233.0,58908.0,60161.0,60165.0,60206.0,61664.0,63464.0,64742.0,66161.0,67548.0,67561.0,67572.0,69196.0,70584.0,72134.0,73486.0,75412.0,75423.0,75425.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81518.0,82804.0,84100.0,85106.0,85871.0,85874.0,85876.0,86846.0,87685.0,88678.0,89600.0,90422.0,90425.0,90425.0,91074.0,91807.0,92327.0,93088.0,93429.0,93432.0,93432.0,93532.0,94154.0,94759.0,94968.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52775.0,54300.0,55540.0,57061.0,58260.0,58267.0,58269.0,59463.0,60974.0,62370.0,63778.0,65319.0,65333.0,65335.0,66716.0,68312.0,69840.0,70948.0,71947.0,71956.0,71956.0,72891.0,74345.0,75631.0,76564.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54189.0,55702.0,55775.0,55775.0,57677.0,59588.0,61287.0,63070.0,65066.0,65176.0,65176.0,67055.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104063.0,106042.0,107962.0,107990.0,108018.0,108058.0,109863.0,111980.0,114121.0,115793.0,117426.0,117573.0,117601.0,119655.0,121353.0,123163.0,124792.0,126786.0,126981.0,127038.0,128999.0,131052.0,132826.0,134259.0,135635.0,135876.0,135889.0,137322.0,138814.0,140634.0,141634.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66397.0,68190.0,70142.0,71758.0,71892.0,71894.0,74313.0,76823.0,79158.0,81316.0,83587.0,83758.0,83758.0,86278.0,88759.0,91192.0,92983.0,94824.0,94960.0,94961.0,97891.0,99928.0,101967.0,103770.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19413.0,37410.0,56784.0,58070.0,58108.0,85902.0,116224.0,149502.0,180755.0,208600.0,209928.0,209928.0,243724.0,273490.0,297900.0,318546.0,337074.0,337753.0,337866.0,349232.0,358372.0,366185.0,374822.0,384418.0,388059.0,388075.0,401413.0,419691.0,440214.0,459156.0,476980.0,477282.0,477282.0,493335.0,508769.0,524424.0,545880.0,563644.0,564869.0,564869.0,581292.0,599696.0,616765.0,635062.0,651521.0,652628.0,652711.0,667794.0,681930.0,697442.0,713120.0,729596.0,729966.0,729994.0,746737.0,760722.0,773464.0,787282.0,787443.0,787634.0,787674.0,795490.0,805150.0,814825.0,822501.0,830070.0,830657.0,830775.0,839597.0,846683.0,855089.0,861654.0,868713.0,869112.0,869153.0,874971.0,879774.0,883711.0,890793.0,895766.0,896117.0,896147.0,901795.0,905734.0,910599.0,914465.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18122.0,35348.0,53918.0,55041.0,55048.0,81844.0,111363.0,143666.0,174110.0,201375.0,202390.0,202402.0,235385.0,267814.0,295056.0,320264.0,339341.0,340018.0,340094.0,354843.0,366607.0,373424.0,379035.0,383508.0,383594.0,383618.0,396023.0,411830.0,432020.0,454131.0,454708.0,454920.0,454941.0,479347.0,495893.0,511406.0,532290.0,549730.0,550533.0,550572.0,566889.0,584016.0,601002.0,618817.0,634776.0,635572.0,635663.0,651475.0,665114.0,679804.0,693674.0,708582.0,709040.0,709072.0,726043.0,739451.0,752459.0,765349.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26376.0,26612.0,26728.0,33940.0,41782.0,50891.0,61263.0,70097.0,70392.0,70643.0,78139.0,84498.0,90413.0,95568.0,99905.0,100104.0,100104.0,104171.0,107983.0,111269.0,114555.0,117212.0,117266.0,117324.0,120843.0,124854.0,128403.0,131274.0,133651.0,133730.0,133766.0,138401.0,143447.0,148442.0,154462.0,159593.0,159799.0,160013.0,165885.0,171656.0,176411.0,180673.0,184673.0,184899.0,185105.0,188863.0,192898.0,196983.0,201021.0,205018.0,205062.0,205121.0,208929.0,212256.0,215355.0,219980.0,219981.0,219981.0,219981.0,223009.0,226234.0,229354.0,232270.0,235191.0,235413.0,235439.0,237375.0,238929.0,240176.0,241169.0,242392.0,242470.0,242484.0,243473.0,244453.0,245183.0,246490.0,247366.0,247402.0,247403.0,248631.0,249563.0,250664.0,251461.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19570.0,25403.0,25538.0,25665.0,32889.0,40455.0,49376.0,59224.0,67659.0,68021.0,68264.0,76217.0,83282.0,89944.0,95960.0,100604.0,100643.0,100652.0,105268.0,108811.0,111546.0,113843.0,115666.0,115749.0,115763.0,118831.0,122387.0,125749.0,129195.0,129197.0,129197.0,129197.0,134726.0,139897.0,144821.0,150600.0,155592.0,155673.0,155727.0,161395.0,167072.0,171829.0,175987.0,180124.0,180315.0,180400.0,184345.0,188351.0,192168.0,196155.0,199954.0,200032.0,200059.0,204058.0,207616.0,210644.0,214391.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93387.0,120857.0,152385.0,181073.0,203023.0,206263.0,207542.0,228813.0,245690.0,260114.0,271039.0,280976.0,282115.0,282507.0,291016.0,298754.0,306518.0,315739.0,322521.0,322869.0,323027.0,334452.0,347748.0,361036.0,373154.0,383868.0,384505.0,384721.0,396566.0,409685.0,422291.0,439634.0,454748.0,457961.0,458834.0,473911.0,489999.0,504620.0,518156.0,530817.0,533484.0,534643.0,546455.0,558687.0,571396.0,583416.0,597672.0,598275.0,598300.0,611072.0,621753.0,632776.0,644060.0,644256.0,644326.0,644328.0,650477.0,657985.0,665994.0,672763.0,678242.0,679390.0,679610.0,685896.0,691854.0,697605.0,701530.0,705229.0,705610.0,705650.0,709125.0,711645.0,713867.0,718169.0,721201.0,721716.0,721836.0,725081.0,727869.0,731215.0,733425.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42887.0,58511.0,62396.0,64710.0,87077.0,114538.0,144894.0,173072.0,194932.0,198064.0,199220.0,222174.0,242105.0,259696.0,274725.0,284915.0,286068.0,286499.0,297337.0,305940.0,311323.0,315899.0,320084.0,320282.0,320394.0,328459.0,339298.0,351269.0,363871.0,364556.0,364643.0,364655.0,383135.0,396828.0,409940.0,426102.0,439461.0,441193.0,441596.0,457556.0,473527.0,487847.0,501051.0,512983.0,514705.0,515330.0,528739.0,540873.0,553100.0,564732.0,576777.0,577525.0,577661.0,590658.0,602047.0,613093.0,623206.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150892.0,151323.0,151335.0,157665.0,163147.0,168061.0,172952.0,176710.0,177034.0,177034.0,186516.0,196483.0,205773.0,213812.0,221745.0,222103.0,222105.0,230247.0,238277.0,246002.0,255891.0,264880.0,265405.0,265409.0,275018.0,284371.0,292609.0,299917.0,307036.0,307349.0,307352.0,314920.0,322514.0,330409.0,337978.0,346620.0,346772.0,346834.0,355718.0,364314.0,372538.0,380320.0,380327.0,380343.0,380369.0,384594.0,389214.0,394452.0,397376.0,398901.0,398954.0,398954.0,402160.0,406423.0,411194.0,414802.0,418084.0,418310.0,418329.0,420231.0,422125.0,423876.0,426713.0,428953.0,428994.0,428994.0,430990.0,433105.0,435487.0,437199.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107823.0,121521.0,133750.0,143817.0,152265.0,152617.0,152630.0,159878.0,164960.0,169144.0,172668.0,175151.0,175315.0,175334.0,183945.0,193493.0,203119.0,215659.0,215724.0,215729.0,215747.0,225431.0,233591.0,241188.0,250754.0,259458.0,259778.0,259780.0,268984.0,277721.0,286239.0,293421.0,300418.0,300659.0,300662.0,307995.0,315235.0,322954.0,330560.0,338352.0,338484.0,338488.0,346455.0,355075.0,362711.0,369418.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14341.0,26646.0,39898.0,43798.0,46428.0,61127.0,76165.0,92704.0,107725.0,120430.0,121877.0,122465.0,136542.0,149537.0,161135.0,170230.0,179179.0,179550.0,179714.0,186859.0,193291.0,199168.0,204946.0,211388.0,211667.0,211676.0,219258.0,228732.0,237675.0,245160.0,251783.0,252442.0,252691.0,261013.0,269911.0,279565.0,290461.0,300467.0,301992.0,302534.0,313529.0,323978.0,333049.0,341823.0,349970.0,350595.0,350785.0,359655.0,368791.0,377736.0,386130.0,395041.0,395171.0,395198.0,404454.0,412230.0,419311.0,427574.0,427599.0,427627.0,427655.0,433368.0,439712.0,445615.0,450720.0,455490.0,455782.0,455808.0,459029.0,463247.0,467213.0,469902.0,472359.0,472593.0,472613.0,475241.0,477410.0,479548.0,482637.0,485103.0,485247.0,485262.0,486871.0,488918.0,490837.0,492080.0
