Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70189.0,240548.0,414572.0,583239.0,611088.0,619722.0,841189.0,1083652.0,1356167.0,1607429.0,1836659.0,1866174.0,1870640.0,2136493.0,2356490.0,2544525.0,2699765.0,2841880.0,2851519.0,2852683.0,2960799.0,3055010.0,3141102.0,3227027.0,3305281.0,3315260.0,3315615.0,3452698.0,3611567.0,3769356.0,3914033.0,4050236.0,4059882.0,4060946.0,4197488.0,4336440.0,4472174.0,4643560.0,4794731.0,4819027.0,4821774.0,4979453.0,5145742.0,5296526.0,5444469.0,5580253.0,5603398.0,5606244.0,5750137.0,5897042.0,6049812.0,6206220.0,6372085.0,6384956.0,6385925.0,6536643.0,6669845.0,6796347.0,6930641.0,6932488.0,6934363.0,6935020.0,7014486.0,7106975.0,7201310.0,7277545.0,7347893.0,7358985.0,7360072.0,7437672.0,7512086.0,7590803.0,7652354.0,7710137.0,7717957.0,7718817.0,7762495.0,7801449.0,7832443.0,7888619.0,7928349.0,7934057.0,7934408.0,7977276.0,8016100.0,8059448.0,8090158.0,8140764.0,8141819.0,8142614.0,8218430.0,8299291.0,8380620.0,8462013.0,8545520.0,8562803.0,8563760.0,8666758.0,8773791.0,8878271.0,8974821.0,9077566.0,9078665.0,9078930.0,9203233.0,9338653.0,9463280.0,9589821.0,9597530.0,9623808.0,9627496.0,9802855.0,9991712.0,10171585.0,10337646.0,10482324.0,10523776.0,10532874.0,10688102.0,10826425.0,10934729.0,10989607.0,11031174.0,11045508.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44338.0,52674.0,55558.0,55768.0,55802.0,55802.0,55802.0,55813.0,55813.0,55813.0,55813.0,55813.0,55813.0,55834.0,55874.0,56047.0,56191.0,56309.0,56313.0,56313.0,56721.0,69135.0,223169.0,388953.0,550494.0,574622.0,581515.0,795479.0,1032941.0,1298416.0,1543991.0,1767043.0,1793189.0,1797023.0,2069417.0,2312900.0,2528869.0,2714922.0,2869631.0,2880614.0,2881790.0,3003706.0,3094236.0,3159000.0,3214189.0,3265259.0,3268007.0,3268429.0,3383873.0,3528433.0,3681559.0,3849977.0,3855152.0,3856497.0,3856958.0,4061651.0,4208142.0,4346387.0,4509021.0,4656977.0,4671798.0,4673153.0,4831774.0,4991632.0,5141099.0,5285024.0,5417620.0,5431954.0,5433708.0,5582112.0,5728911.0,5873730.0,6016894.0,6159974.0,6171838.0,6172525.0,6325329.0,6456810.0,6581702.0,6705673.0,6742407.0,6743607.0,6744266.0,6819594.0,6907535.0,7000492.0,7076571.0,7139915.0,7148037.0,7148480.0,7218348.0,7302873.0,7380660.0,7440591.0,7496230.0,7496633.0,7496802.0,7543443.0,7590649.0,7631550.0,7694580.0,7695928.0,7702166.0,7702752.0,7763534.0,7819941.0,7868019.0,7904010.0,7944549.0,7950291.0,7951257.0,8010582.0,8081657.0,8152923.0,8220936.0,8288410.0,8301177.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45073.0,45496.0,45597.0,45597.0,46076.0,46551.0,46935.0,47346.0,47666.0,47701.0,47701.0,48131.0,48591.0,49074.0,49444.0,49823.0,49904.0,49906.0,50373.0,50981.0,51644.0,52323.0,52323.0,52741.0,52741.0,54260.0,55787.0,57050.0,58048.0,59254.0,59583.0,59583.0,60814.0,61796.0,62529.0,62964.0,63228.0,63266.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43233.0,43682.0,44009.0,44504.0,44556.0,44556.0,45059.0,45553.0,45925.0,46360.0,46653.0,46684.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142274.0,148259.0,153451.0,158455.0,158817.0,158861.0,164778.0,170844.0,176467.0,181715.0,186929.0,187314.0,187500.0,193015.0,198103.0,203045.0,207751.0,208044.0,208500.0,208695.0,211844.0,215317.0,219118.0,222179.0,224732.0,225245.0,225389.0,228671.0,231771.0,234839.0,237451.0,239976.0,240960.0,241094.0,242553.0,243545.0,244412.0,245995.0,247110.0,247654.0,247679.0,248633.0,249546.0,250443.0,251152.0,252541.0,252574.0,252610.0,255447.0,258814.0,262001.0,265161.0,268027.0,269258.0,269512.0,273384.0,277252.0,280846.0,284269.0,287950.0,288224.0,288304.0,292919.0,298307.0,303019.0,307545.0,308066.0,309095.0,309299.0,316361.0,324168.0,330012.0,336518.0,342369.0,342618.0,342747.0,349200.0,351632.0,353551.0,356117.0,359147.0,359669.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72206.0,72211.0,75778.0,78315.0,80379.0,82134.0,83722.0,83725.0,83745.0,87321.0,91726.0,96112.0,101115.0,101147.0,101153.0,101159.0,107383.0,112576.0,117295.0,121298.0,127101.0,127307.0,127321.0,132764.0,137882.0,143251.0,148305.0,152781.0,153502.0,153556.0,159660.0,165080.0,170232.0,175283.0,180070.0,180621.0,180783.0,185868.0,189551.0,193638.0,198662.0,200536.0,200695.0,200825.0,204042.0,207586.0,211557.0,214538.0,217092.0,217645.0,217766.0,220570.0,223833.0,226747.0,228917.0,231255.0,231348.0,231457.0,233372.0,235095.0,236446.0,238336.0,238471.0,238766.0,238799.0,240615.0,242279.0,243346.0,244406.0,245816.0,245855.0,245886.0,248071.0,250422.0,252969.0,255370.0,257471.0,257817.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30608.0,32738.0,34797.0,34852.0,34852.0,36844.0,38755.0,40079.0,41220.0,43273.0,43469.0,43469.0,44951.0,46159.0,47172.0,48001.0,49007.0,49073.0,49075.0,50205.0,51225.0,52455.0,54097.0,55434.0,55534.0,55534.0,56801.0,58464.0,59998.0,62147.0,63242.0,63306.0,63306.0,64469.0,65771.0,67200.0,68693.0,70229.0,70335.0,70335.0,71692.0,73071.0,74281.0,75445.0,75531.0,75673.0,75674.0,76644.0,78031.0,78958.0,79893.0,80152.0,80153.0,80153.0,81077.0,81997.0,83005.0,83727.0,84425.0,84456.0,84456.0,85201.0,85956.0,86640.0,87620.0,88028.0,88088.0,88088.0,88697.0,89452.0,90078.0,90504.0,90947.0,90951.0,90951.0,91834.0,92647.0,93786.0,94725.0,95569.0,95651.0,95651.0,96811.0,98105.0,99298.0,100375.0,101474.0,101535.0,101541.0,102789.0,104204.0,105649.0,107172.0,107328.0,108121.0,108121.0,110142.0,112565.0,114623.0,116880.0,118700.0,119114.0,119115.0,121175.0,123087.0,123569.0,123574.0,123586.0,123586.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14326.0,17155.0,19901.0,22739.0,22833.0,22833.0,25775.0,28612.0,31301.0,33796.0,35933.0,35978.0,35978.0,38090.0,40194.0,41406.0,42211.0,42976.0,42982.0,42982.0,43864.0,44899.0,45727.0,46602.0,46609.0,46613.0,46614.0,48173.0,49461.0,50693.0,52223.0,53313.0,53366.0,53366.0,54142.0,55875.0,57573.0,59405.0,60318.0,60370.0,60372.0,61020.0,62960.0,64466.0,65186.0,66647.0,66667.0,66670.0,68262.0,69909.0,71229.0,72296.0,72682.0,72682.0,72683.0,73594.0,74694.0,75561.0,75746.0,75961.0,75969.0,75969.0,77136.0,78344.0,79203.0,79718.0,80314.0,80330.0,80333.0,81249.0,82218.0,82980.0,83721.0,83762.0,83915.0,83916.0,84761.0,85571.0,86213.0,86933.0,87492.0,87533.0,87536.0,88280.0,89482.0,89999.0,90757.0,91476.0,91571.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20017.0,20471.0,20471.0,24071.0,26490.0,28721.0,30786.0,33296.0,33773.0,33773.0,35881.0,37741.0,39634.0,41575.0,42657.0,42710.0,42712.0,44628.0,47060.0,49398.0,51684.0,53216.0,53293.0,53293.0,54675.0,55859.0,56828.0,57980.0,60001.0,60300.0,60300.0,62275.0,64225.0,66072.0,68126.0,70153.0,70257.0,70257.0,72592.0,74904.0,77112.0,79264.0,80986.0,80987.0,80999.0,83464.0,86012.0,88486.0,90750.0,93166.0,93166.0,93166.0,95361.0,97420.0,99154.0,100824.0,100824.0,100824.0,100824.0,102438.0,103969.0,105739.0,106945.0,108462.0,108593.0,108593.0,109012.0,110544.0,111941.0,113068.0,114095.0,114095.0,114095.0,115208.0,116582.0,117490.0,118549.0,119463.0,119463.0,119463.0,120256.0,121379.0,122478.0,123333.0,124445.0,124445.0,124445.0,125920.0,127449.0,128766.0,130102.0,131502.0,131691.0,131691.0,133224.0,134994.0,136578.0,137929.0,139565.0,139589.0,139589.0,141332.0,143320.0,145287.0,147106.0,147106.0,147153.0,147153.0,150174.0,153701.0,156876.0,160005.0,162290.0,162292.0,162292.0,165159.0,168018.0,170326.0,171631.0,172338.0,172357.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1743.0,2660.0,3657.0,3736.0,3736.0,3736.0,3736.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3744.0,3771.0,3771.0,3771.0,3780.0,4453.0,9456.0,14650.0,19136.0,19559.0,19560.0,23040.0,25474.0,27698.0,29789.0,32232.0,32600.0,32600.0,35070.0,37859.0,40726.0,42561.0,43796.0,43820.0,43825.0,45501.0,47191.0,48560.0,50457.0,51784.0,51785.0,51785.0,52857.0,54119.0,55563.0,57062.0,57063.0,57063.0,57063.0,59714.0,61774.0,63558.0,65480.0,67058.0,67064.0,67064.0,69006.0,71615.0,73822.0,76011.0,77823.0,77829.0,77829.0,79878.0,82350.0,84626.0,86838.0,88605.0,88610.0,88610.0,89941.0,92159.0,94399.0,96206.0,96996.0,96996.0,96996.0,98231.0,99685.0,101430.0,102573.0,103551.0,103615.0,103615.0,104481.0,106133.0,107443.0,108491.0,109200.0,109200.0,109200.0,110356.0,111790.0,112912.0,114141.0,114142.0,114151.0,114151.0,115256.0,116643.0,117738.0,118496.0,119130.0,119134.0,119136.0,120779.0,122382.0,123687.0,124787.0,125446.0,125460.0
