Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6928.0,7468.0,7468.0,10863.0,14865.0,19678.0,23994.0,28211.0,28382.0,28382.0,33616.0,38451.0,41932.0,44131.0,46276.0,46385.0,46385.0,47961.0,49674.0,52048.0,54195.0,55708.0,55781.0,55781.0,57684.0,59595.0,61297.0,63080.0,65076.0,65186.0,65186.0,67066.0,68796.0,70367.0,72495.0,74652.0,74854.0,74854.0,77142.0,79677.0,82028.0,84417.0,86996.0,87235.0,87235.0,89629.0,92060.0,94737.0,96972.0,99695.0,99799.0,99799.0,102269.0,104422.0,106415.0,108345.0,108373.0,108401.0,108441.0,110263.0,112419.0,114603.0,116294.0,117941.0,118088.0,118116.0,120198.0,121942.0,123776.0,125430.0,127441.0,127636.0,127693.0,129693.0,131786.0,133583.0,135023.0,136400.0,136641.0,136654.0,137990.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42314.0,45967.0,48655.0,48817.0,48817.0,50682.0,51765.0,52727.0,53507.0,54379.0,54432.0,54432.0,56020.0,57719.0,59364.0,61491.0,61492.0,61492.0,61494.0,64445.0,66407.0,68200.0,70156.0,71773.0,71907.0,71909.0,74333.0,76848.0,79188.0,81369.0,83702.0,83873.0,83873.0,86475.0,88997.0,91454.0,93261.0,95109.0,95245.0,95246.0,98049.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19414.0,37412.0,56786.0,58072.0,58110.0,85908.0,116230.0,149509.0,180761.0,208606.0,209934.0,209934.0,243729.0,273498.0,297909.0,318556.0,337084.0,337763.0,337876.0,349242.0,358383.0,366198.0,374835.0,384439.0,388116.0,388132.0,401472.0,419759.0,440286.0,459231.0,477057.0,477359.0,477359.0,493416.0,508858.0,524523.0,545982.0,563750.0,564975.0,564975.0,581407.0,599823.0,616925.0,635291.0,651904.0,653012.0,653095.0,668623.0,683228.0,698929.0,714704.0,731237.0,731607.0,731635.0,748446.0,762504.0,775271.0,789119.0,789281.0,789472.0,789512.0,797392.0,807134.0,816859.0,824572.0,832191.0,832780.0,832898.0,841767.0,848907.0,857371.0,863985.0,871107.0,871507.0,871548.0,877399.0,882233.0,886206.0,893325.0,898316.0,898667.0,898697.0,904267.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18123.0,35349.0,53919.0,55042.0,55049.0,81848.0,111367.0,143670.0,174112.0,201377.0,202392.0,202404.0,235387.0,267818.0,295061.0,320271.0,339376.0,340053.0,340129.0,354887.0,366659.0,373483.0,379095.0,383568.0,383654.0,383678.0,396084.0,411893.0,432086.0,454199.0,454776.0,454988.0,455009.0,479420.0,495974.0,511496.0,532383.0,549827.0,550630.0,550669.0,566996.0,584139.0,601154.0,619036.0,635127.0,635923.0,636014.0,652203.0,666253.0,681122.0,695085.0,710049.0,710506.0,710537.0,727254.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13473.0,20179.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70099.0,70394.0,70645.0,78142.0,84501.0,90416.0,95571.0,99908.0,100107.0,100107.0,104174.0,107986.0,111271.0,114557.0,117213.0,117267.0,117325.0,120843.0,124855.0,128404.0,131270.0,133648.0,133727.0,133763.0,138399.0,143452.0,148450.0,154470.0,159601.0,159807.0,160021.0,165900.0,171683.0,176451.0,180731.0,184755.0,184981.0,185187.0,189084.0,193200.0,197319.0,201391.0,205397.0,205440.0,205499.0,209330.0,212672.0,215785.0,220431.0,220432.0,220432.0,220432.0,223489.0,226735.0,229878.0,232810.0,235762.0,235987.0,236013.0,237959.0,239519.0,240768.0,241766.0,243016.0,243095.0,243109.0,244099.0,244956.0,245687.0,246995.0,247870.0,247906.0,247907.0,249084.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13197.0,19572.0,25405.0,25540.0,25667.0,32890.0,40456.0,49377.0,59223.0,67659.0,68021.0,68264.0,76217.0,83282.0,89944.0,95960.0,100604.0,100643.0,100652.0,105268.0,108811.0,111542.0,113838.0,115659.0,115742.0,115756.0,118824.0,122381.0,125742.0,129187.0,129189.0,129189.0,129189.0,134719.0,139894.0,144820.0,150600.0,155593.0,155674.0,155728.0,161401.0,167089.0,171861.0,176037.0,180201.0,180392.0,180477.0,184534.0,188620.0,192468.0,196494.0,200289.0,200367.0,200394.0,204222.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28223.0,46733.0,63169.0,67333.0,69961.0,93388.0,120860.0,152388.0,181076.0,203025.0,206265.0,207544.0,228815.0,245692.0,260115.0,271041.0,280978.0,282117.0,282509.0,291018.0,298756.0,306520.0,315744.0,322527.0,322875.0,323033.0,334463.0,347766.0,361058.0,373182.0,383898.0,384535.0,384751.0,396605.0,409727.0,422335.0,439688.0,454807.0,458021.0,458894.0,473978.0,490088.0,504745.0,518421.0,531184.0,533851.0,535011.0,547349.0,560110.0,572981.0,585119.0,599400.0,600005.0,600030.0,612858.0,623596.0,634669.0,645981.0,646177.0,646247.0,646249.0,652438.0,659997.0,668057.0,674866.0,680363.0,681512.0,681732.0,688068.0,694076.0,699869.0,703840.0,707595.0,707981.0,708023.0,711504.0,714024.0,716247.0,720574.0,723626.0,724143.0,724263.0,727323.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58510.0,62395.0,64708.0,87074.0,114535.0,144889.0,173067.0,194925.0,198057.0,199213.0,222166.0,242096.0,259687.0,274717.0,284906.0,286059.0,286490.0,297341.0,305951.0,311335.0,315910.0,320089.0,320287.0,320399.0,328466.0,339315.0,351288.0,363881.0,364561.0,364648.0,364660.0,383151.0,396848.0,409962.0,426126.0,439484.0,441216.0,441619.0,457585.0,473582.0,487935.0,501250.0,513292.0,515014.0,515639.0,529457.0,541715.0,554024.0,565790.0,577899.0,578648.0,578784.0,591425.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37232.0,38350.0,38409.0,48277.0,57731.0,70913.0,82128.0,93257.0,94472.0,94492.0,109700.0,122756.0,134108.0,143166.0,150888.0,151319.0,151331.0,157661.0,163143.0,168057.0,172948.0,176706.0,177030.0,177030.0,186513.0,196483.0,205776.0,213817.0,221751.0,222109.0,222111.0,230259.0,238292.0,246029.0,255919.0,264908.0,265433.0,265437.0,275061.0,284455.0,292806.0,300324.0,307807.0,308125.0,308128.0,315794.0,323477.0,331464.0,339093.0,347766.0,347918.0,347980.0,356882.0,365506.0,373746.0,381540.0,381547.0,381563.0,381589.0,385851.0,390523.0,395799.0,398737.0,400277.0,400330.0,400330.0,403564.0,407861.0,412647.0,416294.0,419602.0,419837.0,419857.0,421761.0,423655.0,425404.0,428240.0,430483.0,430524.0,430524.0,432489.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36465.0,37312.0,37339.0,47211.0,56443.0,69347.0,80314.0,91108.0,92200.0,92222.0,107802.0,121499.0,133728.0,143795.0,152243.0,152595.0,152608.0,159857.0,164940.0,169124.0,172648.0,175131.0,175295.0,175314.0,183925.0,193476.0,203104.0,215641.0,215706.0,215711.0,215729.0,225416.0,233581.0,241184.0,250750.0,259452.0,259772.0,259774.0,268998.0,277787.0,286361.0,293742.0,301038.0,301283.0,301286.0,308717.0,316058.0,323852.0,331523.0,339344.0,339476.0,339480.0,347228.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14342.0,26648.0,39903.0,43803.0,46433.0,61133.0,76171.0,92711.0,107732.0,120437.0,121884.0,122472.0,136549.0,149543.0,161141.0,170236.0,179185.0,179556.0,179720.0,186865.0,193297.0,199174.0,204953.0,211395.0,211674.0,211683.0,219267.0,228746.0,237692.0,245186.0,251810.0,252469.0,252718.0,261043.0,269947.0,279612.0,290509.0,300516.0,302041.0,302584.0,313589.0,324049.0,333122.0,341853.0,350125.0,350750.0,350940.0,359908.0,369102.0,378093.0,386535.0,395468.0,395598.0,395625.0,404902.0,412697.0,419772.0,427967.0,427992.0,428020.0,428048.0,433793.0,440163.0,446093.0,451226.0,455993.0,456287.0,456314.0,459565.0,463802.0,467730.0,470433.0,472899.0,473133.0,473153.0,475780.0,477952.0,480090.0,483168.0,485559.0,485703.0,485718.0,487221.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,518.0,1436.0,13093.0,24939.0,37635.0,41396.0,43787.0,58213.0,72786.0,88774.0,103632.0,116241.0,117680.0,118335.0,132777.0,146806.0,160028.0,171008.0,182279.0,182614.0,182698.0,190819.0,196563.0,200881.0,204583.0,208374.0,208425.0,208444.0,214925.0,223189.0,231394.0,239875.0,239934.0,239954.0,239970.0,252486.0,262010.0,271240.0,281403.0,290826.0,291176.0,291220.0,301895.0,312541.0,321739.0,330362.0,338544.0,338977.0,339027.0,348062.0,357187.0,365934.0,374423.0,382290.0,382531.0,382551.0,391458.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8008.0,8008.0,8008.0,12097.0,71907.0,135238.0,197885.0,208208.0,210134.0,293833.0,385141.0,486866.0,577969.0,664939.0,678828.0,680569.0,784964.0,870573.0,945035.0,1006210.0,1062646.0,1067926.0,1068331.0,1105689.0,1136385.0,1164322.0,1192280.0,1216187.0,1219994.0,1220106.0,1277092.0,1339990.0,1403957.0,1465497.0,1524489.0,1530204.0,1530615.0,1583689.0,1636096.0,1687108.0,1751213.0,1808187.0,1822712.0,1823638.0,1884081.0,1947674.0,2006623.0,2065978.0,2122755.0,2138708.0,2139645.0,2201046.0,2265270.0,2331124.0,2402424.0,2477365.0,2486936.0,2487512.0,2551452.0,2608060.0,2661820.0,2718362.0,2719253.0,2719975.0,2720226.0,2750786.0,2786367.0,2823578.0,2853955.0,2883106.0,2890506.0,2890985.0,2925573.0,2955480.0,2988556.0,3014229.0,3036986.0,3041557.0,3042102.0,3058106.0,3071823.0,3081585.0,3104980.0,3119707.0,3122696.0,3122812.0,3139087.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7954.0,11647.0,63921.0,124011.0,184536.0,192967.0,194262.0,275011.0,365544.0,465472.0,554352.0,638161.0,649936.0,651121.0,757027.0,847728.0,930438.0,1001025.0,1061403.0,1068510.0,1068991.0,1108887.0,1137901.0,1159190.0,1177795.0,1197142.0,1199003.0,1199213.0,1248321.0,1308170.0,1371419.0,1443128.0,1446112.0,1446983.0,1447326.0,1529771.0,1585257.0,1638616.0,1701497.0,1760547.0,1770754.0,1771451.0,1832192.0,1892044.0,1949651.0,2007378.0,2062866.0,2072096.0,2072736.0,2136062.0,2201047.0,2262225.0,2326517.0,2390656.0,2399124.0,2399410.0,2464360.0
