Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61300.0,63083.0,65079.0,65189.0,65189.0,67069.0,68798.0,70368.0,72493.0,74649.0,74851.0,74851.0,77136.0,79667.0,82017.0,84409.0,86987.0,87226.0,87226.0,89620.0,92050.0,94724.0,96959.0,99682.0,99786.0,99786.0,102255.0,104408.0,106401.0,108208.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2217.0,4143.0,6411.0,6919.0,6919.0,10147.0,14041.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42310.0,45963.0,48650.0,48812.0,48812.0,50677.0,51760.0,52722.0,53501.0,54373.0,54426.0,54426.0,56014.0,57713.0,59356.0,61379.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116224.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297896.0,318546.0,337074.0,337753.0,337866.0,349230.0,358370.0,366186.0,374824.0,384427.0,388103.0,388119.0,401457.0,419743.0,440268.0,459211.0,477026.0,477326.0,477326.0,493362.0,508795.0,524431.0,545764.0,563487.0,564709.0,564709.0,581129.0,599487.0,616574.0,634927.0,651522.0,652629.0,652839.0,668116.0,682638.0,698262.0,713931.0,730350.0,730720.0,730747.0,747545.0,761554.0,774231.0,787261.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18112.0,35331.0,53893.0,55016.0,55023.0,81815.0,111323.0,143528.0,173944.0,201133.0,202149.0,202161.0,235132.0,267502.0,294744.0,319950.0,339048.0,339725.0,339801.0,354503.0,366203.0,372999.0,378590.0,383038.0,383124.0,383148.0,395550.0,411315.0,431374.0,452566.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61262.0,70099.0,70394.0,70645.0,78142.0,84502.0,90417.0,95570.0,99908.0,100107.0,100107.0,104174.0,107987.0,111272.0,114558.0,117214.0,117268.0,117326.0,120843.0,124855.0,128400.0,131265.0,133640.0,133719.0,133755.0,138374.0,143418.0,148411.0,154411.0,159515.0,159721.0,159932.0,165770.0,171541.0,176305.0,180578.0,184570.0,184796.0,185002.0,188897.0,192971.0,197087.0,201155.0,205155.0,205197.0,205256.0,209084.0,212403.0,215465.0,219545.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19539.0,25371.0,25506.0,25633.0,32853.0,40418.0,49336.0,59117.0,67528.0,67889.0,68131.0,76029.0,83040.0,89702.0,95716.0,100321.0,100360.0,100369.0,104985.0,108509.0,111235.0,113552.0,115323.0,115406.0,115420.0,118488.0,122025.0,125348.0,128420.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46735.0,63171.0,67335.0,69962.0,93386.0,120856.0,152382.0,181070.0,203019.0,206259.0,207538.0,228810.0,245690.0,260113.0,271037.0,280971.0,282110.0,282502.0,291012.0,298751.0,306515.0,315741.0,322524.0,322872.0,323030.0,334462.0,347745.0,361034.0,373145.0,383852.0,384488.0,384704.0,396530.0,409621.0,422208.0,439533.0,454584.0,457789.0,458660.0,473710.0,489792.0,504420.0,518073.0,530620.0,533283.0,534440.0,546748.0,559486.0,572014.0,584133.0,597954.0,598557.0,598582.0,611346.0,622047.0,633101.0,643612.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25090.0,42868.0,58481.0,62365.0,64678.0,87030.0,114473.0,144813.0,172985.0,194820.0,197954.0,199110.0,222043.0,241969.0,259552.0,274580.0,284743.0,285897.0,286328.0,297175.0,305757.0,311104.0,315674.0,319847.0,320044.0,320155.0,328207.0,339000.0,350982.0,362947.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37231.0,38349.0,38408.0,48276.0,57719.0,70905.0,82122.0,93250.0,94465.0,94485.0,109691.0,122757.0,134089.0,143144.0,150866.0,151297.0,151309.0,157642.0,163124.0,168039.0,172928.0,176686.0,177010.0,177010.0,186494.0,196465.0,205758.0,213797.0,221732.0,222090.0,222092.0,230205.0,238231.0,245961.0,255818.0,264738.0,265263.0,265267.0,274882.0,284219.0,292572.0,299994.0,307470.0,307788.0,307791.0,315452.0,323127.0,331031.0,338601.0,347173.0,347325.0,347386.0,356280.0,364738.0,372805.0,380035.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27651.0,36451.0,37297.0,37324.0,47190.0,56408.0,69309.0,80226.0,90986.0,92077.0,92099.0,107662.0,121290.0,133518.0,143439.0,151882.0,152234.0,152247.0,159489.0,164562.0,168714.0,172141.0,174586.0,174750.0,174768.0,183289.0,192640.0,202063.0,213843.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39900.0,43801.0,46430.0,61129.0,76167.0,92705.0,107727.0,120429.0,121875.0,122462.0,136538.0,149532.0,161133.0,170226.0,179175.0,179546.0,179710.0,186858.0,193290.0,199166.0,204946.0,211386.0,211665.0,211674.0,219254.0,228728.0,237658.0,245100.0,251710.0,252405.0,252655.0,260911.0,269792.0,279370.0,290248.0,300227.0,301741.0,302283.0,313245.0,323647.0,332739.0,341515.0,349876.0,350485.0,350675.0,359652.0,368838.0,377815.0,386235.0,395146.0,395276.0,395303.0,404558.0,412184.0,419123.0,426578.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1434.0,13087.0,24925.0,37600.0,41352.0,43700.0,58106.0,72655.0,88534.0,103296.0,115827.0,117267.0,117917.0,132341.0,146358.0,159568.0,170539.0,181810.0,182145.0,182229.0,190334.0,196070.0,200376.0,204071.0,207844.0,207895.0,207914.0,214387.0,222480.0,230387.0,237991.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71910.0,135241.0,197866.0,208189.0,210116.0,293809.0,385114.0,486841.0,577944.0,664914.0,678802.0,680543.0,784941.0,870555.0,945014.0,1006187.0,1062619.0,1067898.0,1068303.0,1105658.0,1136358.0,1164296.0,1192253.0,1216160.0,1219967.0,1220079.0,1277051.0,1339951.0,1403910.0,1465430.0,1524382.0,1530096.0,1530505.0,1583500.0,1635832.0,1686740.0,1750761.0,1807670.0,1822148.0,1823072.0,1883434.0,1946921.0,2005753.0,2064725.0,2121510.0,2137438.0,2138374.0,2199699.0,2263841.0,2329617.0,2400843.0,2475566.0,2485124.0,2485700.0,2549538.0,2606111.0,2659801.0,2712145.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11644.0,63904.0,123972.0,184447.0,192876.0,194171.0,274889.0,365359.0,464902.0,553699.0,637481.0,649247.0,650431.0,756307.0,846965.0,929656.0,1000201.0,1060579.0,1067686.0,1068166.0,1108055.0,1136993.0,1158231.0,1176824.0,1196105.0,1197959.0,1198168.0,1247208.0,1306986.0,1370127.0,1437983.0
