Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17624.0,22450.0,22458.0,22458.0,30286.0,39151.0,49227.0,58811.0,67616.0,68097.0,68097.0,79289.0,88131.0,96181.0,103098.0,109575.0,109619.0,109624.0,115836.0,121096.0,125680.0,130496.0,134457.0,134593.0,134593.0,142052.0,150064.0,157624.0,163985.0,169536.0,169586.0,169586.0,175578.0,181769.0,187459.0,193954.0,199622.0,199827.0,199827.0,206212.0,212868.0,218634.0,224277.0,229698.0,229800.0,229800.0,235790.0,241637.0,247671.0,253994.0,260642.0,261074.0,261074.0,266818.0,272271.0,276979.0,282066.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12372.0,16950.0,21462.0,21481.0,21482.0,28885.0,37379.0,47386.0,56626.0,65177.0,65533.0,65535.0,77570.0,87748.0,97337.0,106350.0,113718.0,113766.0,113769.0,120998.0,125207.0,128257.0,130699.0,132991.0,133069.0,133070.0,138526.0,145486.0,152405.0,158467.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57233.0,72083.0,86316.0,100195.0,102270.0,102271.0,118677.0,132774.0,143395.0,152464.0,160761.0,161143.0,161143.0,168622.0,175435.0,181201.0,186066.0,191186.0,191799.0,191800.0,199322.0,209515.0,217987.0,225514.0,232549.0,232959.0,232959.0,240916.0,248745.0,256751.0,266747.0,275924.0,276622.0,276622.0,285628.0,295010.0,303376.0,311175.0,318795.0,319219.0,319219.0,326488.0,333605.0,340968.0,348076.0,355225.0,355514.0,355514.0,362625.0,368699.0,374096.0,379752.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12143.0,20923.0,28653.0,29852.0,29856.0,40691.0,54193.0,68600.0,82402.0,96195.0,98113.0,98121.0,114867.0,130183.0,142000.0,152088.0,161632.0,161930.0,161931.0,169514.0,175260.0,180275.0,184098.0,187687.0,187764.0,187764.0,194587.0,203786.0,211742.0,219462.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70063.0,82191.0,93499.0,96641.0,96765.0,110868.0,121566.0,129263.0,135964.0,142298.0,142684.0,142691.0,148299.0,153548.0,158610.0,163565.0,169037.0,169375.0,169375.0,175431.0,182094.0,188559.0,194289.0,199527.0,200308.0,200419.0,206359.0,212807.0,218918.0,225936.0,232631.0,234109.0,234124.0,241263.0,249429.0,256221.0,262918.0,268220.0,269148.0,269156.0,275101.0,282042.0,289641.0,297098.0,303873.0,304424.0,304424.0,310226.0,316191.0,322426.0,328665.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9648.0,17664.0,25537.0,28428.0,28745.0,40874.0,53124.0,65624.0,77648.0,88523.0,91485.0,91550.0,105801.0,118804.0,128452.0,137110.0,143822.0,144216.0,144227.0,151667.0,157273.0,161265.0,164205.0,166587.0,166625.0,166625.0,171197.0,176736.0,183108.0,189460.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77107.0,78663.0,78682.0,78683.0,80686.0,84534.0,88727.0,92190.0,95035.0,95190.0,95225.0,98699.0,102455.0,105737.0,109946.0,113041.0,113190.0,113320.0,116932.0,120810.0,123936.0,126399.0,129153.0,129286.0,129487.0,132770.0,135871.0,139101.0,143028.0,147053.0,147213.0,147217.0,150431.0,152889.0,155274.0,157545.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4865.0,9316.0,13707.0,14215.0,14596.0,19749.0,26490.0,33426.0,40377.0,45584.0,46384.0,46856.0,52724.0,57771.0,61992.0,65612.0,68734.0,68877.0,68931.0,72101.0,74077.0,75430.0,76706.0,77694.0,77728.0,77730.0,79099.0,82352.0,86087.0,89933.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50162.0,51922.0,53452.0,53461.0,53465.0,54725.0,56023.0,57239.0,58916.0,60167.0,60171.0,60172.0,61625.0,63426.0,64704.0,66133.0,67527.0,67540.0,67551.0,69131.0,70556.0,72122.0,73486.0,75418.0,75429.0,75431.0,76794.0,78047.0,79311.0,80419.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8472.0,8518.0,8520.0,11641.0,14748.0,19182.0,22713.0,25740.0,25752.0,25759.0,29349.0,32042.0,35145.0,37418.0,39281.0,39293.0,39295.0,40184.0,41033.0,41474.0,42098.0,42640.0,42649.0,42649.0,44243.0,46825.0,48962.0,50758.0
