Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70211.0,240560.0,414606.0,583235.0,611108.0,619743.0,841170.0,1083616.0,1356092.0,1607340.0,1836532.0,1866038.0,1870503.0,2136331.0,2356331.0,2544319.0,2699552.0,2841657.0,2851296.0,2852460.0,2960570.0,3054780.0,3140797.0,3226717.0,3304810.0,3314837.0,3315189.0,3452122.0,3610950.0,3768524.0,3912973.0,4049018.0,4058739.0,4059804.0,4196039.0,4334813.0,4470286.0,4641128.0,4791799.0,4816011.0,4818709.0,4976158.0,5142230.0,5293106.0,5441090.0,5580461.0,5603598.0,5606575.0,5752578.0,5902324.0,6055399.0,6211241.0,6367875.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24957.0,44318.0,52647.0,55520.0,55727.0,55761.0,55761.0,55761.0,55771.0,55771.0,55771.0,55771.0,55771.0,55771.0,55792.0,55832.0,56004.0,56148.0,56266.0,56270.0,56270.0,56673.0,69074.0,222950.0,388456.0,549785.0,573892.0,580740.0,794372.0,1031480.0,1296088.0,1540808.0,1763242.0,1789355.0,1793182.0,2065123.0,2307994.0,2523613.0,2708995.0,2863415.0,2874421.0,2875588.0,2997227.0,3087247.0,3151491.0,3205773.0,3253476.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23552.0,24366.0,25290.0,26019.0,26763.0,26768.0,26768.0,27305.0,27898.0,28429.0,29120.0,29702.0,29712.0,29712.0,30461.0,31328.0,32118.0,32905.0,33480.0,33499.0,33499.0,34086.0,34789.0,35333.0,35901.0,36429.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15418.0,16841.0,18433.0,19735.0,19804.0,19804.0,20703.0,21609.0,22074.0,22488.0,22791.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36327.0,42678.0,43447.0,43452.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88983.0,93742.0,98487.0,102853.0,106598.0,106604.0,106604.0,110891.0,116069.0,120689.0,126405.0,131606.0,131724.0,131724.0,136790.0,142288.0,148287.0,153483.0,158741.0,159104.0,159147.0,165142.0,171253.0,176912.0,182176.0,187312.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28858.0,35189.0,41254.0,41813.0,41813.0,49748.0,56554.0,62577.0,67358.0,71965.0,72117.0,72122.0,75674.0,78197.0,80252.0,82004.0,83582.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34790.0,34845.0,34845.0,36838.0,38749.0,40071.0,41208.0,43258.0,43450.0,43450.0,44930.0,46136.0,47148.0,47976.0,48983.0,49047.0,49049.0,50182.0,51199.0,52422.0,54055.0,55381.0,55477.0,55477.0,56740.0,58400.0,59933.0,62100.0,63196.0,63260.0,63260.0,64436.0,65769.0,67214.0,68457.0,69665.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11782.0,14292.0,17112.0,19855.0,22690.0,22784.0,22784.0,25698.0,28526.0,31207.0,33683.0,35818.0,35863.0,35863.0,37972.0,40072.0,41284.0,42068.0,42698.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35823.0,37665.0,39538.0,41477.0,42558.0,42611.0,42613.0,44528.0,46959.0,49297.0,51580.0,53110.0,53187.0,53187.0,54567.0,55752.0,56711.0,57861.0,59873.0,60172.0,60172.0,62131.0,64069.0,65905.0,67955.0,69972.0,70076.0,70076.0,72380.0,74673.0,76904.0,79072.0,80810.0,80811.0,80823.0,83319.0,85894.0,88385.0,90660.0,92908.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1741.0,2651.0,3636.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3720.0,3747.0,3747.0,3747.0,3756.0,4427.0,9414.0,14597.0,19060.0,19483.0,19484.0,22914.0,25319.0,27537.0,29585.0,32014.0,32382.0,32382.0,34769.0,37467.0,40126.0,41952.0,43183.0,43207.0,43212.0,44883.0,46569.0,47937.0,49823.0,50927.0
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17625.0,22452.0,22460.0,22460.0,30286.0,39150.0,49226.0,58810.0,67615.0,68096.0,68096.0,79289.0,88131.0,96181.0,103095.0,109572.0,109616.0,109621.0,115833.0,121093.0,125677.0,130492.0,134451.0,134586.0,134586.0,142043.0,150046.0,157554.0,163886.0,169430.0,169480.0,169480.0,175462.0,181647.0,187333.0,193819.0,199459.0,199664.0,199664.0,206035.0,212690.0,218416.0,223909.0,229293.0,229395.0,229395.0,235358.0,241177.0,247139.0,253194.0,259355.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8544.0,8556.0,8590.0,8590.0,8590.0,8590.0,8590.0,8590.0,8590.0,8590.0,8590.0,8592.0,8596.0,8609.0,8638.0,8641.0,8641.0,8641.0,8645.0,8709.0,12360.0,16830.0,21342.0,21361.0,21362.0,28762.0,37242.0,47250.0,56481.0,64963.0,65319.0,65321.0,77320.0,87498.0,97025.0,105822.0,113141.0,113189.0,113192.0,120367.0,124521.0,127533.0,129776.0,131883.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13340.0,22450.0,30504.0,31633.0,31635.0,42808.0,57235.0,72085.0,86318.0,100198.0,102273.0,102274.0,118680.0,132778.0,143399.0,152468.0,160765.0,161147.0,161147.0,168626.0,175439.0,181205.0,186069.0,191188.0,191801.0,191802.0,199321.0,209512.0,217977.0,225494.0,232527.0,232937.0,232937.0,240894.0,248723.0,256728.0,266716.0,275888.0,276586.0,276586.0,285586.0,294967.0,303330.0,311122.0,318735.0,319159.0,319159.0,326425.0,333535.0,340897.0,348006.0,354789.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12142.0,20922.0,28650.0,29849.0,29853.0,40687.0,54183.0,68590.0,82386.0,96178.0,98096.0,98104.0,114850.0,130166.0,141983.0,152071.0,161614.0,161912.0,161912.0,169493.0,175230.0,180244.0,184067.0,187371.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57030.0,70059.0,82187.0,93494.0,96636.0,96760.0,110861.0,121558.0,129255.0,135956.0,142290.0,142676.0,142683.0,148291.0,153541.0,158603.0,163558.0,169031.0,169369.0,169369.0,175422.0,182081.0,188545.0,194273.0,199508.0,200290.0,200401.0,206341.0,212789.0,218899.0,225912.0,232608.0,234086.0,234101.0,241238.0,249341.0,256133.0,262830.0,268129.0,269057.0,269065.0,274966.0,281900.0,289473.0,296793.0,303090.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9646.0,17659.0,25504.0,28395.0,28711.0,40838.0,53087.0,65583.0,77601.0,88472.0,91434.0,91499.0,105747.0,118749.0,128397.0,137054.0,143765.0,144159.0,144170.0,151564.0,157138.0,161107.0,163983.0,166191.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47637.0,48445.0,48888.0,54485.0,58344.0,61682.0,64672.0,67467.0,67540.0,67594.0,70588.0,73050.0,75187.0,77108.0,78664.0,78683.0,78684.0,80686.0,84532.0,88721.0,92181.0,95025.0,95178.0,95213.0,98687.0,102443.0,105725.0,109934.0,113026.0,113175.0,113305.0,116912.0,120790.0,123917.0,126380.0,129135.0,129268.0,129469.0,132746.0,135850.0,139067.0,142993.0,146847.0
