Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22450.0,22458.0,22458.0,30307.0,39189.0,49270.0,58822.0,67657.0,68138.0,68138.0,79330.0,88172.0,96222.0,103140.0,109620.0,109664.0,109669.0,115881.0,121141.0,125797.0,130613.0,134574.0,134710.0,134710.0,142170.0,150183.0,157758.0,164121.0,169679.0,169731.0,169731.0,175731.0,181983.0,187686.0,194202.0,199887.0,200093.0,200093.0,206491.0,213173.0,218962.0,224610.0,230078.0,230180.0,230180.0,236187.0,242047.0,248182.0,254532.0,261282.0,261715.0,261715.0,267588.0,273137.0,278185.0,283785.0,283794.0,283794.0,283796.0,287724.0,292329.0,296688.0,300546.0,304066.0,304157.0,304157.0,307946.0,311408.0,314764.0,317636.0,320560.0,320640.0,320640.0,323259.0,325387.0,327341.0,330034.0,332225.0,332320.0,332321.0,334648.0,336844.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12390.0,16980.0,21493.0,21512.0,21513.0,28947.0,37511.0,47543.0,56792.0,65363.0,65719.0,65721.0,77776.0,87967.0,97557.0,106580.0,113992.0,114040.0,114043.0,121272.0,125486.0,128611.0,131079.0,133490.0,133568.0,133569.0,139197.0,146254.0,153367.0,159912.0,160014.0,160016.0,160019.0,169714.0,176517.0,182350.0,189180.0,194475.0,194645.0,194646.0,201006.0,207254.0,212863.0,218233.0,223446.0,223541.0,223544.0,229895.0,235391.0,241174.0,246873.0,252732.0,252992.0,252994.0,258440.0,262869.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13337.0,22447.0,30501.0,31630.0,31632.0,42805.0,57202.0,72077.0,86308.0,100187.0,102262.0,102263.0,118666.0,132763.0,143384.0,152453.0,160749.0,161131.0,161131.0,168609.0,175424.0,181191.0,186056.0,191177.0,191790.0,191791.0,199314.0,209508.0,217981.0,225508.0,232549.0,232960.0,232960.0,240922.0,248755.0,256764.0,266764.0,275948.0,276647.0,276647.0,285662.0,295050.0,303420.0,311222.0,318842.0,319266.0,319266.0,326538.0,333657.0,341020.0,348134.0,355288.0,355577.0,355577.0,362693.0,368779.0,374182.0,380163.0,380180.0,380198.0,380198.0,384007.0,388615.0,393292.0,397017.0,400595.0,400758.0,400758.0,404105.0,408292.0,412012.0,415015.0,417859.0,417981.0,417981.0,420616.0,423390.0,425488.0,428509.0,430976.0,431396.0,431417.0,433866.0,436226.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12145.0,20927.0,28658.0,29857.0,29861.0,40696.0,54196.0,68605.0,82409.0,96204.0,98124.0,98132.0,114877.0,130195.0,142012.0,152103.0,161649.0,161947.0,161948.0,169532.0,175278.0,180293.0,184119.0,187711.0,187788.0,187788.0,194616.0,203842.0,211802.0,219952.0,220316.0,220332.0,220332.0,232665.0,240907.0,248915.0,258580.0,267080.0,267403.0,267406.0,276539.0,285734.0,294053.0,301646.0,309237.0,309546.0,309548.0,317068.0,324182.0,331169.0,337835.0,344518.0,344846.0,344850.0,351923.0,358068.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82192.0,93500.0,96642.0,96766.0,110869.0,121567.0,129266.0,135968.0,142302.0,142688.0,142695.0,148303.0,153553.0,158616.0,163571.0,169043.0,169381.0,169381.0,175437.0,182101.0,188566.0,194299.0,199545.0,200325.0,200436.0,206396.0,212853.0,218967.0,226038.0,232749.0,234228.0,234243.0,241386.0,249567.0,256389.0,263119.0,268429.0,269357.0,269365.0,275336.0,282292.0,289896.0,297362.0,304144.0,304695.0,304695.0,310503.0,316493.0,322770.0,329337.0,329342.0,329349.0,329349.0,333283.0,337969.0,342413.0,345479.0,348337.0,348478.0,348478.0,351501.0,355437.0,359494.0,362996.0,365655.0,365841.0,365841.0,366434.0,367082.0,367637.0,368901.0,370526.0,370700.0,370700.0,373462.0,376292.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40937.0,53190.0,65709.0,77817.0,88698.0,91660.0,91725.0,105982.0,118991.0,128647.0,137326.0,144042.0,144437.0,144448.0,151918.0,157528.0,161525.0,164511.0,166900.0,166938.0,166938.0,171515.0,177069.0,183452.0,189938.0,189950.0,189955.0,189956.0,198771.0,205099.0,211214.0,216665.0,222620.0,222890.0,222893.0,231374.0,239683.0,246871.0,253474.0,258374.0,258570.0,258572.0,265043.0,272178.0,279851.0,286391.0,292266.0,292495.0,292497.0,298598.0,304391.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35140.0,42234.0,47638.0,48446.0,48889.0,54486.0,58346.0,61684.0,64674.0,67469.0,67542.0,67596.0,70590.0,73052.0,75189.0,77110.0,78666.0,78685.0,78686.0,80689.0,84538.0,88733.0,92198.0,95048.0,95204.0,95239.0,98719.0,102476.0,105763.0,109982.0,113085.0,113235.0,113366.0,116985.0,120871.0,123998.0,126471.0,129231.0,129364.0,129565.0,132855.0,135970.0,139205.0,143138.0,147169.0,147329.0,147333.0,150547.0,153006.0,155390.0,157953.0,158080.0,158206.0,158273.0,159787.0,161463.0,162987.0,164769.0,166768.0,166936.0,166983.0,168412.0,170008.0,172040.0,173777.0,175506.0,175886.0,175887.0,176718.0,177750.0,178553.0,179490.0,180058.0,180133.0,180139.0,180709.0,181149.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4868.0,9319.0,13711.0,14219.0,14600.0,19757.0,26500.0,33441.0,40394.0,45606.0,46406.0,46878.0,52749.0,57798.0,62019.0,65667.0,68807.0,68950.0,69004.0,72177.0,74165.0,75518.0,76794.0,77783.0,77817.0,77819.0,79190.0,82446.0,86184.0,90335.0,90604.0,90712.0,90745.0,95337.0,99150.0,102372.0,106154.0,109526.0,109670.0,109765.0,113176.0,116748.0,119940.0,122499.0,125107.0,125321.0,125519.0,128587.0,131706.0,134814.0,138085.0,140819.0,141023.0,141027.0,144295.0,146947.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20136.0,23654.0,26707.0,26713.0,26719.0,30330.0,32711.0,35307.0,37067.0,38787.0,38989.0,38999.0,39847.0,40567.0,41480.0,42478.0,43316.0,43404.0,43404.0,45572.0,47964.0,50158.0,51918.0,53450.0,53459.0,53463.0,54724.0,56023.0,57240.0,58917.0,60170.0,60174.0,60215.0,61673.0,63475.0,64758.0,66189.0,67600.0,67613.0,67624.0,69248.0,70674.0,72238.0,73602.0,75534.0,75545.0,75547.0,76911.0,78165.0,79432.0,80798.0,80799.0,80799.0,80799.0,81664.0,82956.0,84253.0,85261.0,86026.0,86029.0,86031.0,87002.0,87847.0,88843.0,89782.0,90604.0,90607.0,90607.0,91255.0,91993.0,92515.0,93276.0,93615.0,93618.0,93618.0,93717.0,94340.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35158.0,37434.0,39298.0,39310.0,39312.0,40201.0,41050.0,41491.0,42115.0,42658.0,42667.0,42667.0,44259.0,46843.0,48981.0,50831.0,50832.0,50836.0,50838.0,52779.0,54305.0,55545.0,57067.0,58266.0,58273.0,58275.0,59469.0,60968.0,62370.0,63761.0,65309.0,65323.0,65325.0,66687.0,68317.0,69861.0,70975.0,71974.0,71983.0,71983.0,72918.0,74374.0
