Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17625.0,22450.0,22458.0,22458.0,30306.0,39189.0,49269.0,58823.0,67662.0,68143.0,68143.0,79335.0,88176.0,96226.0,103144.0,109624.0,109668.0,109673.0,115884.0,121142.0,125798.0,130614.0,134577.0,134713.0,134713.0,142170.0,150183.0,157756.0,164120.0,169679.0,169731.0,169731.0,175729.0,181978.0,187678.0,194191.0,199873.0,200079.0,200079.0,206462.0,213130.0,218901.0,224519.0,229787.0,229889.0,229889.0,235727.0,241519.0,247617.0,253928.0,260644.0,261077.0,261077.0,266917.0,272441.0,277479.0,283069.0,283078.0,283078.0,283080.0,286992.0,291586.0,295931.0,299788.0,303312.0,303401.0,303401.0,307176.0,310624.0,313968.0,316843.0,319774.0,319855.0,319855.0,322459.0,324582.0,326519.0,329220.0,331409.0,331505.0,331506.0,333836.0,336124.0,338462.0,340640.0,342581.0,342596.0,342596.0,346188.0,349909.0,353673.0,357205.0,360755.0,360918.0,360918.0,365457.0,370263.0,374765.0,379075.0,383268.0,383293.0,383293.0,388150.0,394073.0,399226.0,404782.0,404795.0,405010.0,405015.0,412132.0,421245.0,429219.0,436606.0,442757.0,443057.0,443057.0,449482.0,454916.0,458427.0,461627.0,465171.0,465574.0,465574.0,469649.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.0,6442.0,8057.0,8560.0,8572.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8608.0,8612.0,8625.0,8654.0,8657.0,8657.0,8657.0,8661.0,8725.0,12404.0,16996.0,21514.0,21533.0,21534.0,28972.0,37540.0,47580.0,56845.0,65421.0,65778.0,65780.0,77835.0,88028.0,97620.0,106645.0,114061.0,114109.0,114112.0,121338.0,125553.0,128680.0,131148.0,133562.0,133640.0,133641.0,139273.0,146331.0,153447.0,160012.0,160114.0,160116.0,160119.0,169821.0,176622.0,182458.0,189290.0,194589.0,194761.0,194762.0,201111.0,207363.0,212967.0,218328.0,223448.0,223543.0,223546.0,229686.0,235116.0,240866.0,246596.0,252423.0,252687.0,252689.0,258146.0,262826.0,268620.0,273983.0,275542.0,275544.0,275549.0,279099.0,283164.0,287564.0,291257.0,294681.0,294729.0,294732.0,298347.0,301892.0,305240.0,308133.0,310759.0,310787.0,310789.0,313400.0,315929.0,318074.0,320956.0,320962.0,321015.0,321018.0,324353.0,327080.0,329883.0,332173.0,333898.0,333961.0,333962.0,337057.0,340863.0,344228.0,347070.0,349996.0,350185.0,350189.0,354054.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22445.0,30498.0,31627.0,31629.0,42802.0,57198.0,72072.0,86303.0,100182.0,102257.0,102258.0,118661.0,132758.0,143380.0,152449.0,160745.0,161127.0,161127.0,168605.0,175419.0,181186.0,186049.0,191168.0,191781.0,191782.0,199302.0,209491.0,217964.0,225486.0,232526.0,232937.0,232937.0,240895.0,248725.0,256730.0,266726.0,275908.0,276607.0,276607.0,285615.0,294980.0,303319.0,311104.0,318686.0,319110.0,319110.0,326194.0,333170.0,340451.0,347508.0,354626.0,354915.0,354915.0,362004.0,368058.0,373448.0,379418.0,379435.0,379453.0,379453.0,383245.0,387844.0,392508.0,396219.0,399793.0,399956.0,399956.0,403294.0,407467.0,411163.0,414133.0,416945.0,417067.0,417067.0,419694.0,422471.0,424563.0,427582.0,430044.0,430458.0,430479.0,432932.0,435420.0,437963.0,439884.0,442525.0,442549.0,442549.0,446438.0,450756.0,454838.0,458816.0,462902.0,463452.0,463452.0,468555.0,474116.0,479469.0,484166.0,489233.0,489263.0,489271.0,494263.0,499827.0,505224.0,511334.0,512383.0,513762.0,513766.0,522383.0,531948.0,541335.0,549157.0,555744.0,556047.0,556047.0,563519.0,572027.0,579095.0,582607.0,584744.0,585231.0,585231.0,588558.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12147.0,20929.0,28659.0,29858.0,29862.0,40697.0,54198.0,68606.0,82414.0,96207.0,98127.0,98135.0,114883.0,130203.0,142021.0,152112.0,161657.0,161954.0,161955.0,169536.0,175288.0,180310.0,184139.0,187731.0,187808.0,187808.0,194641.0,203867.0,211831.0,219982.0,220346.0,220362.0,220362.0,232701.0,240946.0,248952.0,258616.0,267135.0,267458.0,267461.0,276594.0,285772.0,294071.0,301652.0,309217.0,309525.0,309527.0,316910.0,323885.0,330791.0,337413.0,344077.0,344406.0,344410.0,351482.0,357903.0,363544.0,369018.0,370503.0,370510.0,370511.0,373899.0,378077.0,382562.0,386218.0,389733.0,389901.0,389902.0,393309.0,397184.0,400813.0,403707.0,406188.0,406194.0,406195.0,408978.0,411893.0,414222.0,417940.0,418129.0,418431.0,418445.0,422301.0,425577.0,427975.0,430458.0,432750.0,432810.0,432812.0,436062.0,439702.0,443197.0,446152.0,448851.0,449061.0,449064.0,453972.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26912.0,30496.0,31182.0,44057.0,57032.0,70063.0,82227.0,93532.0,96676.0,96800.0,110902.0,121600.0,129298.0,135999.0,142333.0,142719.0,142726.0,148334.0,153584.0,158645.0,163600.0,169225.0,169563.0,169563.0,175613.0,182273.0,188736.0,194463.0,199708.0,200488.0,200599.0,206557.0,213014.0,219129.0,226198.0,232907.0,234386.0,234401.0,241527.0,249677.0,256476.0,263138.0,268390.0,269317.0,269325.0,275122.0,281938.0,289439.0,296844.0,303601.0,304147.0,304147.0,309926.0,315866.0,322111.0,328609.0,328614.0,328622.0,328622.0,332558.0,337212.0,341644.0,344683.0,347544.0,347685.0,347685.0,350693.0,354591.0,358599.0,361994.0,364578.0,364758.0,364758.0,365334.0,365980.0,366537.0,367787.0,369409.0,369583.0,369584.0,372332.0,375280.0,377164.0,378846.0,380101.0,380101.0,380101.0,383504.0,387178.0,390471.0,393766.0,396910.0,397245.0,397245.0,401089.0,405506.0,410042.0,414382.0,418698.0,418771.0,418771.0,423872.0,429441.0,434560.0,439371.0,439371.0,439486.0,439486.0,447382.0,456165.0,465153.0,473609.0,481074.0,481283.0,481284.0,488766.0,496160.0,502331.0,505690.0,509564.0,510102.0,510102.0,514448.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9657.0,17674.0,25555.0,28446.0,28763.0,40950.0,53229.0,65751.0,77893.0,88781.0,91745.0,91810.0,106067.0,119084.0,128740.0,137419.0,144136.0,144531.0,144542.0,152012.0,157624.0,161622.0,164619.0,167155.0,167193.0,167193.0,171770.0,177330.0,183716.0,190204.0,190216.0,190221.0,190222.0,199062.0,205422.0,211545.0,217007.0,222963.0,223233.0,223234.0,231713.0,240171.0,247339.0,253903.0,258757.0,258953.0,258955.0,265300.0,272306.0,279878.0,286368.0,292228.0,292459.0,292462.0,298536.0,304503.0,309672.0,315847.0,317375.0,317375.0,317376.0,321546.0,325979.0,330390.0,333816.0,336581.0,336680.0,336680.0,339969.0,344072.0,347939.0,351227.0,353680.0,353703.0,353703.0,355120.0,356409.0,357630.0,358994.0,358996.0,359006.0,359006.0,361917.0,365450.0,367575.0,369183.0,370229.0,370248.0,370250.0,373036.0,376571.0,379720.0,382458.0,384205.0,384436.0,384436.0,388305.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14573.0,15139.0,15656.0,21111.0,28010.0,35136.0,42229.0,47631.0,48439.0,48882.0,54479.0,58338.0,61676.0,64667.0,67462.0,67535.0,67589.0,70583.0,73044.0,75180.0,77101.0,78657.0,78676.0,78677.0,80677.0,84521.0,88715.0,92179.0,95029.0,95185.0,95220.0,98700.0,102457.0,105743.0,109960.0,113064.0,113215.0,113346.0,116958.0,120836.0,123949.0,126404.0,129065.0,129198.0,129399.0,132626.0,135698.0,138906.0,142806.0,146826.0,146986.0,146990.0,150198.0,152646.0,155019.0,157572.0,157698.0,157824.0,157892.0,159399.0,161069.0,162591.0,164359.0,166344.0,166505.0,166554.0,167987.0,169577.0,171490.0,173154.0,174822.0,175180.0,175181.0,176009.0,177039.0,177835.0,178771.0,179346.0,179422.0,179429.0,179993.0,180443.0,180819.0,181331.0,182291.0,182425.0,182434.0,183502.0,184696.0,185981.0,187431.0,189099.0,189362.0,189362.0,190870.0,192551.0,194254.0,195777.0,197346.0,197397.0,197397.0,199063.0,201334.0,203840.0,206422.0,206947.0,207605.0,207645.0,210948.0,215107.0,218743.0,222117.0,225041.0,225081.0,225083.0,227625.0,230939.0,233202.0,234487.0,235511.0,235648.0,235678.0,237013.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4867.0,9319.0,13713.0,14221.0,14602.0,19764.0,26509.0,33453.0,40408.0,45621.0,46421.0,46893.0,52772.0,57824.0,62045.0,65696.0,68836.0,68979.0,69033.0,72204.0,74193.0,75547.0,76822.0,77811.0,77846.0,77848.0,79219.0,82474.0,86211.0,90359.0,90629.0,90737.0,90770.0,95363.0,99175.0,102394.0,106175.0,109554.0,109699.0,109794.0,113210.0,116778.0,119962.0,122509.0,125045.0,125258.0,125456.0,128486.0,131547.0,134631.0,137878.0,140610.0,140815.0,140819.0,144063.0,146794.0,148589.0,151761.0,152828.0,152926.0,152943.0,154225.0,155936.0,157730.0,159500.0,161039.0,161174.0,161175.0,162518.0,164312.0,166303.0,167913.0,169234.0,169259.0,169259.0,170236.0,171731.0,172806.0,174040.0,174089.0,174187.0,174190.0,175152.0,176055.0,176738.0,177398.0,178191.0,178223.0,178226.0,179105.0,180612.0,181963.0,183185.0,184227.0,184352.0,184368.0,185705.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20136.0,23654.0,26708.0,26714.0,26720.0,30330.0,32709.0,35304.0,37064.0,38784.0,38986.0,38996.0,39844.0,40564.0,41478.0,42475.0,43314.0,43402.0,43402.0,45570.0,47961.0,50154.0,51914.0,53445.0,53454.0,53458.0,54719.0,56018.0,57234.0,58908.0,60161.0,60165.0,60206.0,61664.0,63464.0,64743.0,66162.0,67550.0,67563.0,67574.0,69198.0,70586.0,72137.0,73489.0,75415.0,75426.0,75428.0,76793.0,78035.0,79295.0,80658.0,80659.0,80659.0,80659.0,81530.0,82823.0,84121.0,85130.0,85897.0,85900.0,85902.0,86873.0,87714.0,88709.0,89633.0,90457.0,90460.0,90460.0,91111.0,91846.0,92368.0,93130.0,93471.0,93474.0,93475.0,93575.0,94200.0,94807.0,95036.0,95266.0,95266.0,95266.0,95783.0,96391.0,96968.0,97419.0,97982.0,97992.0,97992.0,98700.0,99638.0,100231.0,100872.0,101656.0,101657.0,101658.0,102384.0,103266.0,104319.0,105679.0,105680.0,105680.0,105680.0,107298.0,108645.0,110067.0,111376.0,112421.0,112791.0,113229.0,114086.0,114896.0,115612.0,115696.0,115773.0,115774.0,115777.0,115820.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6247.0,8475.0,8521.0,8523.0,11648.0,14761.0,19197.0,22730.0,25757.0,25769.0,25776.0,29367.0,32060.0,35166.0,37442.0,39306.0,39318.0,39320.0,40209.0,41058.0,41500.0,42125.0,42667.0,42676.0,42676.0,44268.0,46851.0,48989.0,50839.0,50840.0,50844.0,50846.0,52788.0,54313.0,55553.0,57074.0,58274.0,58281.0,58283.0,59477.0,60989.0,62387.0,63797.0,65338.0,65352.0,65354.0,66737.0,68333.0,69861.0,70969.0,71969.0,71978.0,71978.0,72916.0,74374.0,75661.0,76701.0,77280.0,77284.0,77284.0,78223.0,79830.0,80676.0,82035.0,82901.0,82906.0,82906.0,83864.0,84876.0,85820.0,86616.0,87421.0,87422.0,87422.0,87891.0,88592.0,89358.0,90365.0,90370.0,90371.0,90371.0,90782.0,91617.0,92431.0,92909.0,93304.0,93305.0,93305.0,93677.0,94332.0,94889.0,95422.0,95969.0,95975.0,95984.0,96596.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2497.0,4513.0,6929.0,7468.0,7468.0,10862.0,14864.0,19676.0,23992.0,28209.0,28380.0,28380.0,33613.0,38448.0,41929.0,44128.0,46273.0,46382.0,46382.0,47958.0,49671.0,52045.0,54193.0,55706.0,55779.0,55779.0,57681.0,59592.0,61291.0,63073.0,65069.0,65179.0,65179.0,67057.0,68783.0,70353.0,72477.0,74632.0,74834.0,74834.0,77119.0,79645.0,81995.0,84363.0,86867.0,87106.0,87106.0,89411.0,91809.0,94461.0,96674.0,99382.0,99486.0,99486.0,101936.0,104067.0,106046.0,107967.0,107995.0,108023.0,108063.0,109868.0,111985.0,114126.0,115798.0,117432.0,117580.0,117608.0,119666.0,121370.0,123181.0,124813.0,126808.0,127003.0,127060.0,129022.0,131079.0,132854.0,134290.0,135671.0,135912.0,135925.0,137361.0,138855.0,140676.0,141752.0,142856.0,142946.0,143052.0,144751.0,146160.0,147553.0,148770.0,150021.0,150698.0,150768.0,152355.0,153918.0,155527.0,156900.0,158473.0,158515.0,158519.0,160113.0,161729.0,163182.0,164684.0,164781.0,165475.0,165590.0,168693.0,171945.0,174924.0,177385.0,179886.0,180834.0,180974.0,183645.0,185910.0,187986.0,189700.0,191242.0,191914.0,191953.0,193517.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4147.0,6415.0,6923.0,6923.0,10153.0,14047.0,18582.0,22663.0,26784.0,26987.0,26987.0,32044.0,37448.0,42316.0,45970.0,48658.0,48820.0,48820.0,50684.0,51768.0,52732.0,53511.0,54385.0,54438.0,54438.0,56026.0,57725.0,59367.0,61495.0,61496.0,61496.0,61498.0,64450.0,66409.0,68203.0,70156.0,71773.0,71907.0,71909.0,74328.0,76840.0,79175.0,81337.0,83609.0,83780.0,83780.0,86301.0,88782.0,91216.0,93007.0,94847.0,94983.0,94984.0,97914.0,99951.0,101991.0,103878.0,104585.0,104609.0,104638.0,106288.0,108079.0,109543.0,111498.0,113032.0,113372.0,113372.0,115325.0,116992.0,118462.0,119984.0,121694.0,121695.0,121695.0,123709.0,125727.0,127716.0,129652.0,129696.0,130004.0,130029.0,131779.0,133393.0,135008.0,136373.0,137493.0,137713.0,137749.0,139343.0,140845.0,142192.0,143356.0,144676.0,144985.0,144993.0,146615.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3094.0,19414.0,37413.0,56787.0,58073.0,58111.0,85911.0,116232.0,149512.0,180767.0,208615.0,209943.0,209943.0,243741.0,273509.0,297919.0,318563.0,337090.0,337769.0,337882.0,349248.0,358388.0,366201.0,374839.0,384438.0,388081.0,388097.0,401434.0,419712.0,440236.0,459176.0,477002.0,477304.0,477304.0,493357.0,508790.0,524445.0,545900.0,563668.0,564893.0,564893.0,581313.0,599717.0,616787.0,635089.0,651548.0,652655.0,652738.0,667821.0,681958.0,697471.0,713149.0,729627.0,729997.0,730025.0,746771.0,760759.0,773506.0,787324.0,787485.0,787677.0,787718.0,795548.0,805222.0,814911.0,822596.0,830176.0,830763.0,830882.0,839739.0,846832.0,855255.0,861828.0,868903.0,869302.0,869344.0,875170.0,879984.0,883927.0,891024.0,896009.0,896360.0,896390.0,902059.0,906013.0,910892.0,914890.0,919493.0,919550.0,919571.0,927733.0,935982.0,944680.0,953272.0,961777.0,962786.0,962842.0,973204.0,984262.0,994535.0,1004309.0,1014537.0,1014683.0,1014742.0,1026678.0,1039358.0,1051128.0,1062552.0,1062673.0,1065053.0,1065137.0,1082300.0,1100326.0,1117871.0,1134138.0,1146302.0,1149166.0,1149224.0,1162454.0,1176959.0,1189093.0,1193201.0,1194821.0,1195792.0,1195794.0,1200566.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1457.0,2920.0,18127.0,35357.0,53930.0,55053.0,55060.0,81864.0,111385.0,143692.0,174147.0,201419.0,202434.0,202446.0,235436.0,267872.0,295121.0,320336.0,339420.0,340097.0,340173.0,354926.0,366693.0,373514.0,379131.0,383606.0,383692.0,383716.0,396125.0,411936.0,432133.0,454251.0,454828.0,455040.0,455061.0,479475.0,496032.0,511562.0,532457.0,549910.0,550713.0,550752.0,567090.0,584223.0,601226.0,619049.0,635012.0,635808.0,635899.0,651722.0,665372.0,680069.0,693943.0,708861.0,709319.0,709351.0,726332.0,739748.0,752773.0,765898.0,769380.0,769481.0,769538.0,776948.0,786027.0,795103.0,803041.0,810041.0,810461.0,810514.0,818665.0,826536.0,834681.0,840625.0,846689.0,846772.0,846809.0,852654.0,858409.0,863274.0,870575.0,870634.0,871085.0,871110.0,878814.0,885228.0,890791.0,894990.0,898506.0,898882.0,898896.0,904496.0,912262.0,920235.0,927903.0,935196.0,936126.0,936207.0,946549.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33942.0,41790.0,50900.0,61274.0,70108.0,70404.0,70655.0,78151.0,84513.0,90428.0,95583.0,99920.0,100119.0,100119.0,104187.0,107999.0,111287.0,114573.0,117230.0,117284.0,117342.0,120860.0,124871.0,128421.0,131294.0,133671.0,133750.0,133786.0,138422.0,143468.0,148463.0,154483.0,159615.0,159821.0,160035.0,165908.0,171679.0,176434.0,180696.0,184693.0,184919.0,185125.0,188882.0,192916.0,197001.0,201039.0,205036.0,205080.0,205139.0,208951.0,212278.0,215378.0,220009.0,220010.0,220010.0,220010.0,223042.0,226269.0,229394.0,232329.0,235257.0,235479.0,235506.0,237445.0,239005.0,240255.0,241250.0,242475.0,242554.0,242568.0,243562.0,244548.0,245278.0,246588.0,247467.0,247504.0,247505.0,248743.0,249681.0,250793.0,251634.0,252465.0,252466.0,252466.0,254352.0,256339.0,258437.0,260294.0,262209.0,262457.0,262476.0,264787.0,267266.0,269783.0,272000.0,274391.0,274520.0,274618.0,276897.0,280682.0,285831.0,291103.0,291279.0,291661.0,291825.0,296373.0,301054.0,305311.0,309717.0,313259.0,313953.0,314079.0,318385.0,322260.0,325344.0,327416.0,329221.0,329598.0,329673.0,331305.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13201.0,19581.0,25420.0,25555.0,25682.0,32911.0,40483.0,49424.0,59348.0,67786.0,68149.0,68392.0,76349.0,83419.0,90085.0,96101.0,100746.0,100785.0,100794.0,105410.0,108954.0,111691.0,113989.0,115814.0,115897.0,115911.0,118981.0,122537.0,125899.0,129345.0,129347.0,129347.0,129347.0,134880.0,140053.0,144976.0,150758.0,155750.0,155832.0,155886.0,161560.0,167241.0,172003.0,176168.0,180309.0,180500.0,180585.0,184532.0,188543.0,192362.0,196357.0,200158.0,200236.0,200263.0,204312.0,207872.0,210934.0,214988.0,215903.0,215904.0,215905.0,218590.0,221591.0,224730.0,227645.0,230095.0,230233.0,230242.0,232387.0,234365.0,235866.0,237069.0,238329.0,238379.0,238391.0,239398.0,240308.0,241240.0,242959.0,242973.0,243037.0,243043.0,244614.0,245853.0,247129.0,248257.0,249124.0,249158.0,249161.0,250723.0,252426.0,254081.0,255637.0,257307.0,257483.0,257504.0,259618.0
