Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85903.0,116224.0,149500.0,180747.0,208592.0,209921.0,209921.0,243716.0,273485.0,297896.0,318546.0,337074.0,337753.0,337866.0,349231.0,358371.0,366186.0,374823.0,384426.0,388102.0,388118.0,401456.0,419742.0,440268.0,459213.0,477038.0,477340.0,477340.0,493393.0,508832.0,524496.0,545956.0,563719.0,564943.0,564943.0,581364.0,599761.0,616849.0,635204.0,651800.0,652907.0,653117.0,668506.0,683107.0,698801.0,714549.0,731067.0,731437.0,731464.0,748264.0,762319.0,775087.0,788928.0,789090.0,789281.0,789321.0,797187.0,806928.0,816652.0,824364.0,831645.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18113.0,35337.0,53906.0,55029.0,55036.0,81827.0,111339.0,143546.0,173970.0,201229.0,202245.0,202257.0,235234.0,267655.0,294897.0,320106.0,339206.0,339883.0,339959.0,354713.0,366471.0,373289.0,378900.0,383364.0,383450.0,383474.0,395880.0,411684.0,431850.0,453955.0,454532.0,454744.0,454765.0,479158.0,495709.0,511224.0,531893.0,549017.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61261.0,70096.0,70391.0,70642.0,78139.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104172.0,107984.0,111269.0,114555.0,117211.0,117265.0,117323.0,120841.0,124853.0,128400.0,131266.0,133644.0,133723.0,133759.0,138390.0,143442.0,148437.0,154444.0,159572.0,159778.0,159989.0,165863.0,171633.0,176399.0,180670.0,184681.0,184907.0,185113.0,189009.0,193120.0,197237.0,201305.0,205309.0,205351.0,205410.0,209239.0,212558.0,215652.0,220250.0,220251.0,220251.0,220251.0,223300.0,226558.0,229665.0,232571.0,235078.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19540.0,25372.0,25507.0,25634.0,32855.0,40421.0,49338.0,59121.0,67555.0,67916.0,68158.0,76110.0,83173.0,89836.0,95851.0,100494.0,100533.0,100542.0,105158.0,108700.0,111427.0,113721.0,115542.0,115625.0,115639.0,118707.0,122245.0,125589.0,128996.0,128998.0,128998.0,128998.0,134505.0,139701.0,144582.0,150306.0,154928.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46734.0,63168.0,67332.0,69959.0,93385.0,120854.0,152382.0,181069.0,203019.0,206259.0,207538.0,228810.0,245688.0,260111.0,271035.0,280969.0,282108.0,282500.0,291010.0,298749.0,306513.0,315737.0,322518.0,322866.0,323024.0,334457.0,347759.0,361051.0,373174.0,383890.0,384527.0,384743.0,396596.0,409710.0,422313.0,439666.0,454761.0,457967.0,458838.0,473891.0,489989.0,504639.0,518300.0,530950.0,533616.0,534773.0,547092.0,559836.0,572369.0,584497.0,598344.0,598946.0,598971.0,611749.0,622486.0,633559.0,644865.0,645061.0,645131.0,645133.0,651312.0,658836.0,666853.0,673602.0,678882.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25093.0,42879.0,58495.0,62380.0,64693.0,87052.0,114496.0,144839.0,173012.0,194851.0,197985.0,199141.0,222077.0,242005.0,259593.0,274620.0,284784.0,285937.0,286368.0,297216.0,305801.0,311151.0,315722.0,319899.0,320097.0,320208.0,328272.0,339117.0,351082.0,363662.0,364342.0,364429.0,364441.0,382926.0,396529.0,409592.0,425657.0,438599.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37233.0,38351.0,38410.0,48276.0,57725.0,70907.0,82124.0,93253.0,94468.0,94488.0,109694.0,122764.0,134095.0,143150.0,150871.0,151302.0,151314.0,157647.0,163129.0,168045.0,172935.0,176693.0,177017.0,177017.0,186499.0,196470.0,205762.0,213803.0,221735.0,222094.0,222096.0,230245.0,238277.0,246015.0,255888.0,264871.0,265396.0,265400.0,275015.0,284399.0,292752.0,300267.0,307743.0,308061.0,308064.0,315725.0,323398.0,331365.0,338985.0,347558.0,347710.0,347772.0,356670.0,365242.0,373387.0,381104.0,381111.0,381127.0,381153.0,385381.0,390076.0,395297.0,398018.0,399328.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27654.0,36459.0,37305.0,37332.0,47201.0,56419.0,69319.0,80268.0,91054.0,92146.0,92168.0,107733.0,121414.0,133645.0,143709.0,152153.0,152505.0,152518.0,159761.0,164836.0,169008.0,172495.0,174942.0,175105.0,175124.0,183713.0,193242.0,202765.0,215178.0,215243.0,215248.0,215266.0,224896.0,233013.0,240529.0,249902.0,258198.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39902.0,43803.0,46432.0,61131.0,76171.0,92709.0,107730.0,120434.0,121880.0,122467.0,136543.0,149537.0,161139.0,170232.0,179181.0,179552.0,179716.0,186864.0,193296.0,199172.0,204952.0,211395.0,211674.0,211683.0,219267.0,228746.0,237691.0,245181.0,251808.0,252463.0,252713.0,261028.0,269932.0,279599.0,290497.0,300491.0,302006.0,302548.0,313513.0,323915.0,333013.0,341788.0,350149.0,350773.0,350963.0,359951.0,369141.0,378119.0,386544.0,395465.0,395595.0,395622.0,404880.0,412669.0,419744.0,427890.0,427915.0,427943.0,428017.0,433753.0,440113.0,446037.0,450962.0,455029.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1435.0,13090.0,24934.0,37624.0,41381.0,43728.0,58180.0,72737.0,88731.0,103572.0,116161.0,117601.0,118252.0,132684.0,146701.0,159918.0,170890.0,182159.0,182494.0,182578.0,190694.0,196432.0,200739.0,204440.0,208222.0,208273.0,208292.0,214769.0,223034.0,231226.0,239686.0,239745.0,239765.0,239795.0,252260.0,261776.0,270994.0,281023.0,289346.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71908.0,135239.0,197889.0,208212.0,210139.0,293833.0,385141.0,486868.0,577972.0,664942.0,678831.0,680572.0,784974.0,870590.0,945050.0,1006224.0,1062658.0,1067938.0,1068343.0,1105699.0,1136399.0,1164337.0,1192295.0,1216204.0,1220011.0,1220123.0,1277101.0,1340002.0,1403970.0,1465514.0,1524511.0,1530225.0,1530636.0,1583704.0,1636105.0,1687095.0,1751206.0,1808146.0,1822650.0,1823574.0,1883944.0,1947445.0,2006280.0,2065496.0,2122295.0,2138230.0,2139166.0,2200498.0,2264652.0,2330418.0,2401657.0,2476536.0,2486094.0,2486670.0,2550548.0,2607152.0,2660898.0,2717430.0,2718320.0,2719036.0,2719287.0,2749829.0,2785411.0,2822581.0,2852894.0,2880370.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11644.0,63917.0,123995.0,184510.0,192941.0,194236.0,274972.0,365485.0,465399.0,554266.0,638058.0,649827.0,651011.0,756896.0,847568.0,930263.0,1000819.0,1061208.0,1068315.0,1068795.0,1108687.0,1137669.0,1158935.0,1177535.0,1196878.0,1198731.0,1198940.0,1248034.0,1307871.0,1371103.0,1442771.0,1445748.0,1446614.0,1446956.0,1529332.0,1584843.0,1638100.0,1700873.0,1758189.0
