Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17622.0,22447.0,22455.0,22455.0,30283.0,39148.0,49225.0,58809.0,67614.0,68095.0,68095.0,79287.0,88129.0,96179.0,103097.0,109575.0,109619.0,109624.0,115836.0,121096.0,125681.0,130497.0,134458.0,134594.0,134594.0,142054.0,150067.0,157628.0,163991.0,169552.0,169602.0,169602.0,175602.0,181850.0,187543.0,194052.0,199735.0,199940.0,199940.0,206325.0,212992.0,218759.0,224403.0,229852.0,229954.0,229954.0,235947.0,241794.0,247919.0,254244.0,260984.0,261417.0,261417.0,267284.0,272802.0,277815.0,283403.0,283412.0,283412.0,283414.0,287342.0,291906.0,296138.0,299786.0,303043.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12377.0,16955.0,21465.0,21484.0,21485.0,28892.0,37434.0,47449.0,56690.0,65256.0,65612.0,65614.0,77660.0,87848.0,97437.0,106452.0,113854.0,113902.0,113905.0,121134.0,125345.0,128395.0,130840.0,133249.0,133327.0,133328.0,138954.0,145989.0,153067.0,159581.0,159683.0,159685.0,159688.0,169362.0,176090.0,181774.0,188039.0,192947.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57229.0,72079.0,86313.0,100192.0,102267.0,102268.0,118674.0,132771.0,143392.0,152461.0,160758.0,161140.0,161140.0,168619.0,175433.0,181200.0,186065.0,191185.0,191799.0,191800.0,199323.0,209516.0,217988.0,225515.0,232556.0,232967.0,232967.0,240929.0,248762.0,256770.0,266771.0,275952.0,276650.0,276650.0,285655.0,295038.0,303405.0,311203.0,318823.0,319247.0,319247.0,326517.0,333635.0,340998.0,348107.0,355257.0,355546.0,355546.0,362659.0,368739.0,374142.0,380121.0,380138.0,380156.0,380156.0,383960.0,388568.0,393238.0,396948.0,400170.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54196.0,68604.0,82409.0,96203.0,98122.0,98130.0,114877.0,130194.0,142011.0,152099.0,161646.0,161944.0,161945.0,169528.0,175273.0,180289.0,184113.0,187705.0,187782.0,187782.0,194609.0,203835.0,211794.0,219939.0,220303.0,220319.0,220319.0,232647.0,240888.0,248890.0,258535.0,266545.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70061.0,82192.0,93500.0,96642.0,96766.0,110870.0,121568.0,129267.0,135969.0,142303.0,142689.0,142696.0,148304.0,153553.0,158616.0,163571.0,169042.0,169380.0,169380.0,175436.0,182100.0,188565.0,194298.0,199543.0,200323.0,200434.0,206388.0,212844.0,218955.0,226024.0,232728.0,234206.0,234221.0,241359.0,249526.0,256320.0,263045.0,268347.0,269275.0,269283.0,275229.0,282170.0,289769.0,297228.0,304004.0,304555.0,304555.0,310360.0,316342.0,322598.0,329157.0,329162.0,329169.0,329169.0,333099.0,337775.0,342201.0,345236.0,347953.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9651.0,17669.0,25542.0,28433.0,28750.0,40899.0,53147.0,65664.0,77770.0,88646.0,91608.0,91673.0,105928.0,118932.0,128583.0,137262.0,143975.0,144369.0,144380.0,151820.0,157427.0,161421.0,164376.0,166759.0,166797.0,166797.0,171371.0,176923.0,183303.0,189781.0,189793.0,189798.0,189799.0,198591.0,204890.0,210939.0,216330.0,222013.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28010.0,35141.0,42233.0,47638.0,48446.0,48889.0,54486.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77108.0,78664.0,78683.0,78684.0,80687.0,84536.0,88730.0,92195.0,95043.0,95199.0,95234.0,98716.0,102474.0,105759.0,109977.0,113075.0,113224.0,113354.0,116966.0,120844.0,123970.0,126434.0,129189.0,129322.0,129523.0,132808.0,135912.0,139145.0,143073.0,147098.0,147258.0,147262.0,150476.0,152934.0,155320.0,157882.0,158009.0,158135.0,158202.0,159717.0,161392.0,162909.0,164572.0,166164.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9317.0,13708.0,14216.0,14597.0,19751.0,26494.0,33431.0,40384.0,45592.0,46392.0,46864.0,52733.0,57780.0,62001.0,65647.0,68786.0,68929.0,68983.0,72154.0,74135.0,75488.0,76764.0,77752.0,77786.0,77788.0,79157.0,82410.0,86147.0,90296.0,90558.0,90666.0,90699.0,95292.0,99093.0,102264.0,106004.0,108988.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20137.0,23655.0,26708.0,26714.0,26720.0,30331.0,32713.0,35308.0,37068.0,38788.0,38990.0,39000.0,39848.0,40568.0,41481.0,42479.0,43317.0,43405.0,43405.0,45573.0,47965.0,50160.0,51920.0,53452.0,53461.0,53465.0,54726.0,56026.0,57242.0,58919.0,60172.0,60176.0,60217.0,61670.0,63471.0,64749.0,66178.0,67578.0,67591.0,67602.0,69182.0,70607.0,72171.0,73535.0,75467.0,75478.0,75480.0,76843.0,78097.0,79364.0,80725.0,80726.0,80726.0,80726.0,81591.0,82883.0,84179.0,85187.0,85888.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6245.0,8473.0,8519.0,8521.0,11644.0,14754.0,19188.0,22720.0,25746.0,25758.0,25765.0,29355.0,32047.0,35150.0,37423.0,39286.0,39298.0,39300.0,40189.0,41038.0,41479.0,42103.0,42646.0,42655.0,42655.0,44248.0,46831.0,48969.0,50816.0,50817.0,50821.0,50823.0,52764.0,54290.0,55530.0,57047.0,58209.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7468.0,7468.0,10863.0,14865.0,19679.0,23995.0,28212.0,28383.0,28383.0,33617.0,38453.0,41934.0,44133.0,46278.0,46387.0,46387.0,47963.0,49676.0,52050.0,54197.0,55710.0,55783.0,55783.0,57686.0,59597.0,61299.0,63082.0,65077.0,65187.0,65187.0,67067.0,68797.0,70368.0,72496.0,74653.0,74855.0,74855.0,77140.0,79671.0,82021.0,84413.0,86991.0,87230.0,87230.0,89624.0,92054.0,94728.0,96963.0,99686.0,99790.0,99790.0,102259.0,104412.0,106405.0,108335.0,108363.0,108391.0,108431.0,110253.0,112409.0,114594.0,116282.0,117851.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18578.0,22658.0,26779.0,26982.0,26982.0,32040.0,37444.0,42312.0,45965.0,48652.0,48814.0,48814.0,50679.0,51762.0,52724.0,53505.0,54376.0,54429.0,54429.0,56017.0,57716.0,59361.0,61487.0,61488.0,61488.0,61490.0,64438.0,66400.0,68191.0,70147.0,71701.0
