Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9316.0,13707.0,14215.0,14596.0,19749.0,26489.0,33425.0,40376.0,45582.0,46382.0,46854.0,52720.0,57766.0,62027.0,65633.0,68755.0,68898.0,68952.0,72122.0,74098.0,75451.0,76727.0,77715.0,77749.0,77751.0,79119.0,82131.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6713.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26710.0,26716.0,26722.0,30333.0,32715.0,35310.0,37070.0,38790.0,38992.0,39002.0,39850.0,40570.0,41483.0,42481.0,43319.0,43407.0,43407.0,45575.0,47967.0,50161.0,51921.0,53451.0,53460.0,53464.0,54724.0,56022.0,57238.0,58915.0,60166.0,60170.0,60171.0,61624.0,63425.0,64703.0,66132.0,67526.0,67539.0,67550.0,69130.0,70555.0,72121.0,73485.0,75417.0,75428.0,75430.0,76789.0,77961.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3311.0,6244.0,8471.0,8517.0,8519.0,11640.0,14747.0,19181.0,22712.0,25739.0,25751.0,25758.0,29348.0,32041.0,35144.0,37417.0,39280.0,39292.0,39294.0,40183.0,41032.0,41473.0,42097.0,42639.0,42647.0,42647.0,44241.0,46672.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44137.0,46282.0,46391.0,46391.0,47967.0,49680.0,52054.0,54201.0,55713.0,55786.0,55786.0,57689.0,59600.0,61301.0,63082.0,65078.0,65188.0,65188.0,67068.0,68797.0,70367.0,72492.0,74648.0,74850.0,74850.0,77135.0,79666.0,82016.0,84408.0,86986.0,87225.0,87225.0,89619.0,92049.0,94723.0,96958.0,99681.0,99785.0,99785.0,102254.0,104328.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4142.0,6410.0,6918.0,6918.0,10146.0,14040.0,18576.0,22656.0,26777.0,26980.0,26980.0,32037.0,37441.0,42309.0,45962.0,48649.0,48811.0,48811.0,50676.0,51759.0,52721.0,53500.0,54372.0,54425.0,54425.0,56013.0,57629.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19410.0,37408.0,56784.0,58070.0,58108.0,85905.0,116224.0,149501.0,180748.0,208593.0,209922.0,209922.0,243717.0,273486.0,297896.0,318546.0,337074.0,337753.0,337866.0,349231.0,358371.0,366187.0,374825.0,384428.0,388104.0,388120.0,401458.0,419743.0,440261.0,459197.0,477010.0,477310.0,477310.0,493346.0,508779.0,524416.0,545730.0,563395.0,564617.0,564617.0,581036.0,599394.0,616479.0,634832.0,651426.0,652533.0,652743.0,668021.0,682543.0,698167.0,713836.0,730254.0,730624.0,730651.0,747436.0,760955.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2916.0,18112.0,35331.0,53893.0,55016.0,55023.0,81816.0,111324.0,143529.0,173916.0,201010.0,202026.0,202038.0,235008.0,267368.0,294609.0,319815.0,338913.0,339590.0,339666.0,354369.0,366069.0,372865.0,378456.0,382903.0,382989.0,383013.0,395412.0,410786.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33941.0,41782.0,50891.0,61261.0,70097.0,70392.0,70643.0,78140.0,84500.0,90415.0,95568.0,99906.0,100105.0,100105.0,104172.0,107985.0,111270.0,114556.0,117212.0,117266.0,117324.0,120840.0,124851.0,128394.0,131256.0,133628.0,133707.0,133743.0,138361.0,143405.0,148370.0,154317.0,159401.0,159607.0,159818.0,165656.0,171427.0,176191.0,180464.0,184455.0,184681.0,184887.0,188782.0,192755.0,196871.0,200939.0,204939.0,204981.0,205040.0,208832.0,211788.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13179.0,19538.0,25370.0,25505.0,25632.0,32849.0,40410.0,49275.0,58988.0,67353.0,67714.0,67956.0,75854.0,82706.0,89368.0,95377.0,99982.0,100021.0,100030.0,104646.0,108120.0,110846.0,113163.0,114933.0,115016.0,115030.0,118069.0,121325.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28224.0,46738.0,63174.0,67338.0,69965.0,93389.0,120860.0,152386.0,181074.0,203021.0,206261.0,207540.0,228812.0,245692.0,260115.0,271039.0,280973.0,282112.0,282504.0,291014.0,298752.0,306516.0,315742.0,322525.0,322873.0,323031.0,334463.0,347744.0,361020.0,373118.0,383821.0,384455.0,384671.0,396495.0,409585.0,422173.0,439498.0,454549.0,457754.0,458625.0,473674.0,489754.0,504369.0,518020.0,530547.0,533210.0,534367.0,546675.0,559413.0,571935.0,583921.0,597742.0,598345.0,598370.0,611114.0,621399.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4842.0,25088.0,42875.0,58487.0,62369.0,64682.0,87011.0,114453.0,144787.0,172957.0,194789.0,197923.0,199079.0,222012.0,241938.0,259521.0,274548.0,284711.0,285865.0,286296.0,297142.0,305724.0,311071.0,315641.0,319814.0,320011.0,320122.0,328170.0,338692.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37232.0,38350.0,38409.0,48277.0,57720.0,70906.0,82123.0,93250.0,94465.0,94485.0,109691.0,122757.0,134089.0,143144.0,150866.0,151297.0,151309.0,157642.0,163124.0,168038.0,172927.0,176685.0,177009.0,177009.0,186493.0,196463.0,205747.0,213783.0,221713.0,222071.0,222073.0,230185.0,238212.0,245942.0,255797.0,264643.0,265168.0,265172.0,274785.0,284122.0,292473.0,299895.0,307371.0,307689.0,307692.0,315354.0,323028.0,330931.0,338501.0,347035.0,347187.0,347248.0,356125.0,364208.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27650.0,36451.0,37297.0,37324.0,47190.0,56408.0,69309.0,80225.0,90984.0,92075.0,92097.0,107659.0,121286.0,133514.0,143434.0,151875.0,152227.0,152240.0,159480.0,164548.0,168694.0,172121.0,174543.0,174707.0,174725.0,183154.0,192104.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39900.0,43801.0,46430.0,61129.0,76167.0,92705.0,107726.0,120428.0,121874.0,122461.0,136537.0,149531.0,161132.0,170225.0,179174.0,179545.0,179709.0,186857.0,193289.0,199165.0,204945.0,211385.0,211664.0,211673.0,219253.0,228721.0,237637.0,245006.0,251616.0,252364.0,252614.0,260862.0,269743.0,279315.0,290193.0,300166.0,301680.0,302222.0,313184.0,323586.0,332678.0,341454.0,349811.0,350420.0,350610.0,359589.0,368772.0,377749.0,386169.0,394990.0,395120.0,395147.0,404104.0,411143.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1434.0,13087.0,24924.0,37599.0,41351.0,43699.0,58100.0,72650.0,88529.0,103287.0,115801.0,117241.0,117891.0,132314.0,146331.0,159540.0,170511.0,181778.0,182113.0,182197.0,190306.0,196038.0,200343.0,204036.0,207730.0,207781.0,207800.0,214081.0,221683.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71911.0,135242.0,197868.0,208191.0,210118.0,293811.0,385115.0,486842.0,577945.0,664915.0,678803.0,680544.0,784941.0,870556.0,945013.0,1006186.0,1062618.0,1067898.0,1068303.0,1105658.0,1136357.0,1164295.0,1192252.0,1216157.0,1219964.0,1220076.0,1277036.0,1339931.0,1403829.0,1465329.0,1524266.0,1529980.0,1530389.0,1583382.0,1635711.0,1686620.0,1750587.0,1807545.0,1822022.0,1822946.0,1883307.0,1946794.0,2005621.0,2064587.0,2121369.0,2137297.0,2138233.0,2199553.0,2263692.0,2329460.0,2400683.0,2475375.0,2484912.0,2485488.0,2549205.0,2602277.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5654.0,5655.0,5655.0,5655.0,5655.0,5655.0,5655.0,5655.0,5655.0,5655.0,6926.0,7590.0,7595.0,7595.0,7605.0,7755.0,7813.0,7828.0,7839.0,7839.0,7839.0,7839.0,7849.0,7849.0,7849.0,7849.0,7849.0,7849.0,7851.0,7851.0,7854.0,7891.0,7905.0,7906.0,7906.0,7952.0,11643.0,63906.0,123971.0,184445.0,192874.0,194169.0,274878.0,365346.0,464882.0,553633.0,637438.0,649204.0,650388.0,756262.0,846918.0,929605.0,1000147.0,1060524.0,1067630.0,1068110.0,1107998.0,1136932.0,1158168.0,1176761.0,1195984.0,1197833.0,1198042.0,1246997.0,1304032.0
