Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17625.0,22450.0,22458.0,22458.0,30306.0,39189.0,49269.0,58823.0,67661.0,68142.0,68142.0,79334.0,88175.0,96225.0,103143.0,109623.0,109667.0,109672.0,115883.0,121141.0,125797.0,130613.0,134576.0,134712.0,134712.0,142169.0,150182.0,157756.0,164120.0,169679.0,169731.0,169731.0,175729.0,181979.0,187679.0,194192.0,199874.0,200080.0,200080.0,206463.0,213131.0,218902.0,224520.0,229788.0,229890.0,229890.0,235728.0,241520.0,247618.0,253929.0,260645.0,261078.0,261078.0,266918.0,272442.0,277480.0,283070.0,283079.0,283079.0,283081.0,286993.0,291587.0,295932.0,299788.0,303312.0,303401.0,303401.0,307176.0,310621.0,313965.0,316839.0,319770.0,319851.0,319851.0,322455.0,324578.0,326515.0,329216.0,331405.0,331501.0,331502.0,333832.0,336121.0,338459.0,340637.0,342578.0,342593.0,342593.0,346185.0,349906.0,353670.0,357202.0,360752.0,360916.0,360916.0,365456.0,370270.0,374774.0,379084.0,383277.0,383302.0,383302.0,388159.0,394083.0,399243.0,404820.0,404833.0,405048.0,405053.0,412171.0,421295.0,429269.0,436677.0,442829.0,443129.0,443129.0,449554.0,455028.0,458539.0,461747.0,465293.0,465696.0,465696.0,470004.0,473816.0,477967.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.0,6442.0,8057.0,8560.0,8572.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0,8608.0,8612.0,8625.0,8654.0,8657.0,8657.0,8657.0,8661.0,8725.0,12404.0,16996.0,21514.0,21533.0,21534.0,28971.0,37539.0,47579.0,56844.0,65419.0,65776.0,65778.0,77833.0,88026.0,97618.0,106643.0,114059.0,114107.0,114110.0,121336.0,125551.0,128678.0,131147.0,133561.0,133639.0,133640.0,139272.0,146330.0,153447.0,160012.0,160114.0,160116.0,160119.0,169821.0,176624.0,182460.0,189292.0,194591.0,194763.0,194764.0,201113.0,207365.0,212971.0,218332.0,223452.0,223547.0,223550.0,229691.0,235121.0,240871.0,246602.0,252429.0,252693.0,252695.0,258152.0,262832.0,268627.0,273990.0,275550.0,275552.0,275557.0,279107.0,283172.0,287573.0,291266.0,294691.0,294738.0,294741.0,298357.0,301899.0,305248.0,308141.0,310767.0,310795.0,310797.0,313411.0,315940.0,318084.0,320971.0,320977.0,321031.0,321034.0,324371.0,327097.0,329900.0,332203.0,333928.0,333991.0,333992.0,337086.0,340904.0,344269.0,347115.0,350074.0,350263.0,350267.0,354483.0,358402.0,361956.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22445.0,30498.0,31627.0,31629.0,42802.0,57198.0,72072.0,86303.0,100182.0,102257.0,102258.0,118661.0,132758.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225485.0,232525.0,232936.0,232936.0,240894.0,248724.0,256729.0,266724.0,275906.0,276605.0,276605.0,285613.0,294978.0,303316.0,311101.0,318683.0,319107.0,319107.0,326191.0,333167.0,340448.0,347505.0,354623.0,354912.0,354912.0,362001.0,368055.0,373445.0,379415.0,379432.0,379450.0,379450.0,383242.0,387841.0,392505.0,396216.0,399790.0,399953.0,399953.0,403291.0,407464.0,411160.0,414129.0,416941.0,417063.0,417063.0,419690.0,422467.0,424559.0,427578.0,430040.0,430454.0,430475.0,432928.0,435416.0,437959.0,439880.0,442521.0,442545.0,442545.0,446434.0,450753.0,454835.0,458813.0,462901.0,463451.0,463451.0,468558.0,474124.0,479479.0,484176.0,489243.0,489273.0,489281.0,494274.0,499838.0,505235.0,511346.0,512395.0,513774.0,513778.0,522396.0,531961.0,541348.0,549173.0,555760.0,556063.0,556063.0,563538.0,572047.0,579115.0,582627.0,584764.0,585252.0,585252.0,588632.0,591757.0,595761.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12147.0,20929.0,28659.0,29858.0,29862.0,40697.0,54198.0,68606.0,82414.0,96207.0,98127.0,98135.0,114883.0,130203.0,142021.0,152111.0,161656.0,161953.0,161954.0,169535.0,175287.0,180309.0,184138.0,187730.0,187807.0,187807.0,194640.0,203866.0,211830.0,219981.0,220345.0,220361.0,220361.0,232700.0,240945.0,248951.0,258615.0,267134.0,267457.0,267460.0,276593.0,285772.0,294071.0,301652.0,309217.0,309525.0,309527.0,316910.0,323886.0,330792.0,337414.0,344078.0,344407.0,344411.0,351483.0,357904.0,363545.0,369019.0,370504.0,370511.0,370512.0,373900.0,378078.0,382563.0,386219.0,389734.0,389902.0,389903.0,393311.0,397186.0,400815.0,403709.0,406190.0,406196.0,406197.0,408980.0,411895.0,414224.0,417942.0,418131.0,418433.0,418447.0,422303.0,425579.0,427977.0,430460.0,432752.0,432812.0,432814.0,436065.0,439707.0,443202.0,446157.0,448861.0,449042.0,449045.0,454129.0,459548.0,464717.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26912.0,30496.0,31182.0,44057.0,57033.0,70064.0,82228.0,93534.0,96678.0,96802.0,110904.0,121602.0,129300.0,136010.0,142344.0,142730.0,142737.0,148345.0,153595.0,158656.0,163611.0,169236.0,169574.0,169574.0,175624.0,182284.0,188747.0,194474.0,199719.0,200499.0,200610.0,206568.0,213025.0,219140.0,226209.0,232918.0,234397.0,234412.0,241539.0,249689.0,256488.0,263141.0,268393.0,269320.0,269328.0,275125.0,281941.0,289442.0,296847.0,303604.0,304150.0,304150.0,309929.0,315869.0,322114.0,328612.0,328617.0,328625.0,328625.0,332562.0,337216.0,341649.0,344688.0,347549.0,347690.0,347690.0,350698.0,354596.0,358604.0,361999.0,364584.0,364764.0,364764.0,365342.0,365988.0,366545.0,367795.0,369417.0,369591.0,369592.0,372340.0,375288.0,377172.0,378855.0,380109.0,380109.0,380109.0,383511.0,387185.0,390478.0,393773.0,396917.0,397252.0,397252.0,401100.0,405519.0,410059.0,414399.0,418715.0,418788.0,418788.0,423889.0,429458.0,434577.0,439388.0,439388.0,439503.0,439503.0,447398.0,456181.0,465169.0,473625.0,481090.0,481299.0,481300.0,488795.0,496189.0,502386.0,505745.0,509619.0,510157.0,510157.0,514720.0,519815.0,524827.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9657.0,17674.0,25555.0,28446.0,28763.0,40950.0,53230.0,65752.0,77894.0,88783.0,91747.0,91812.0,106069.0,119086.0,128742.0,137429.0,144147.0,144542.0,144553.0,152023.0,157635.0,161634.0,164631.0,167167.0,167205.0,167205.0,171782.0,177342.0,183728.0,190217.0,190229.0,190234.0,190235.0,199076.0,205436.0,211559.0,217021.0,222977.0,223247.0,223248.0,231728.0,240186.0,247354.0,253918.0,258775.0,258971.0,258973.0,265318.0,272324.0,279897.0,286389.0,292249.0,292480.0,292483.0,298557.0,304524.0,309693.0,315868.0,317396.0,317396.0,317397.0,321567.0,326000.0,330411.0,333837.0,336602.0,336701.0,336701.0,339990.0,344093.0,347961.0,351249.0,353702.0,353725.0,353725.0,355142.0,356433.0,357660.0,359024.0,359026.0,359036.0,359036.0,361949.0,365482.0,367607.0,369215.0,370261.0,370280.0,370282.0,373068.0,376604.0,379757.0,382495.0,384245.0,384476.0,384476.0,388449.0,392740.0,396747.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14574.0,15140.0,15657.0,21112.0,28011.0,35137.0,42230.0,47632.0,48440.0,48883.0,54480.0,58339.0,61677.0,64668.0,67463.0,67536.0,67590.0,70584.0,73044.0,75180.0,77101.0,78657.0,78676.0,78677.0,80677.0,84521.0,88715.0,92179.0,95029.0,95185.0,95220.0,98700.0,102457.0,105743.0,109960.0,113064.0,113215.0,113346.0,116958.0,120837.0,123950.0,126405.0,129066.0,129199.0,129400.0,132627.0,135699.0,138907.0,142807.0,146827.0,146987.0,146991.0,150199.0,152647.0,155020.0,157573.0,157699.0,157825.0,157893.0,159400.0,161070.0,162592.0,164360.0,166345.0,166506.0,166555.0,167988.0,169579.0,171492.0,173156.0,174824.0,175182.0,175183.0,176011.0,177041.0,177837.0,178773.0,179348.0,179424.0,179431.0,179995.0,180445.0,180821.0,181332.0,182292.0,182434.0,182443.0,183511.0,184705.0,185990.0,187442.0,189110.0,189373.0,189373.0,190883.0,192565.0,194268.0,195791.0,197362.0,197413.0,197413.0,199079.0,201350.0,203856.0,206438.0,206963.0,207621.0,207661.0,210964.0,215123.0,218760.0,222134.0,225064.0,225104.0,225106.0,227649.0,230963.0,233225.0,234516.0,235537.0,235674.0,235704.0,237124.0,238759.0,240554.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4868.0,9320.0,13714.0,14222.0,14603.0,19765.0,26511.0,33455.0,40410.0,45623.0,46423.0,46895.0,52774.0,57826.0,62047.0,65698.0,68838.0,68981.0,69035.0,72206.0,74195.0,75549.0,76824.0,77813.0,77848.0,77850.0,79221.0,82476.0,86213.0,90361.0,90631.0,90739.0,90772.0,95365.0,99177.0,102396.0,106177.0,109556.0,109701.0,109796.0,113212.0,116782.0,119967.0,122514.0,125050.0,125263.0,125461.0,128491.0,131552.0,134636.0,137883.0,140615.0,140820.0,140824.0,144068.0,146799.0,148594.0,151761.0,152828.0,152926.0,152943.0,154225.0,155936.0,157729.0,159506.0,161045.0,161180.0,161181.0,162524.0,164319.0,166310.0,167920.0,169241.0,169266.0,169266.0,170243.0,171738.0,172813.0,174047.0,174096.0,174194.0,174197.0,175159.0,176062.0,176745.0,177405.0,178198.0,178230.0,178233.0,179112.0,180619.0,181970.0,183193.0,184235.0,184360.0,184376.0,185791.0,187960.0,189694.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15501.0,20136.0,23654.0,26709.0,26715.0,26721.0,30331.0,32710.0,35305.0,37065.0,38785.0,38987.0,38997.0,39845.0,40565.0,41479.0,42476.0,43315.0,43403.0,43403.0,45572.0,47963.0,50156.0,51916.0,53447.0,53456.0,53460.0,54721.0,56020.0,57236.0,58910.0,60163.0,60167.0,60208.0,61666.0,63466.0,64744.0,66163.0,67551.0,67564.0,67575.0,69199.0,70587.0,72138.0,73489.0,75415.0,75426.0,75428.0,76793.0,78035.0,79295.0,80658.0,80659.0,80659.0,80659.0,81530.0,82823.0,84121.0,85130.0,85897.0,85900.0,85902.0,86873.0,87714.0,88709.0,89634.0,90458.0,90461.0,90461.0,91112.0,91848.0,92371.0,93134.0,93475.0,93478.0,93479.0,93579.0,94204.0,94811.0,95040.0,95270.0,95270.0,95270.0,95788.0,96396.0,96973.0,97424.0,97987.0,97997.0,97997.0,98706.0,99644.0,100237.0,100878.0,101662.0,101663.0,101664.0,102390.0,103272.0,104325.0,105685.0,105686.0,105686.0,105686.0,107304.0,108651.0,110073.0,111382.0,112427.0,112797.0,113235.0,114092.0,114902.0,115618.0,115702.0,115779.0,115780.0,115783.0,115826.0,115908.0,116013.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6247.0,8475.0,8521.0,8523.0,11648.0,14761.0,19197.0,22730.0,25758.0,25770.0,25777.0,29368.0,32061.0,35167.0,37443.0,39307.0,39319.0,39321.0,40210.0,41059.0,41501.0,42126.0,42668.0,42677.0,42677.0,44270.0,46853.0,48991.0,50841.0,50842.0,50846.0,50848.0,52790.0,54315.0,55555.0,57076.0,58276.0,58283.0,58285.0,59479.0,60991.0,62389.0,63799.0,65340.0,65354.0,65356.0,66739.0,68335.0,69862.0,70970.0,71970.0,71979.0,71979.0,72917.0,74375.0,75662.0,76702.0,77281.0,77285.0,77285.0,78224.0,79831.0,80677.0,82036.0,82902.0,82907.0,82907.0,83865.0,84877.0,85821.0,86618.0,87423.0,87424.0,87424.0,87893.0,88594.0,89361.0,90368.0,90374.0,90375.0,90375.0,90786.0,91621.0,92435.0,92915.0,93310.0,93311.0,93311.0,93683.0,94338.0,94895.0,95429.0,95976.0,95982.0,95991.0,96606.0,97600.0,98246.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2497.0,4513.0,6929.0,7468.0,7468.0,10862.0,14864.0,19676.0,23992.0,28209.0,28380.0,28380.0,33613.0,38448.0,41929.0,44128.0,46273.0,46382.0,46382.0,47958.0,49671.0,52045.0,54193.0,55706.0,55779.0,55779.0,57681.0,59592.0,61291.0,63073.0,65069.0,65179.0,65179.0,67057.0,68783.0,70353.0,72477.0,74632.0,74834.0,74834.0,77119.0,79645.0,81995.0,84363.0,86867.0,87106.0,87106.0,89411.0,91809.0,94461.0,96674.0,99382.0,99486.0,99486.0,101936.0,104067.0,106046.0,107967.0,107995.0,108023.0,108063.0,109868.0,111985.0,114126.0,115798.0,117432.0,117580.0,117608.0,119666.0,121370.0,123181.0,124813.0,126808.0,127003.0,127060.0,129022.0,131079.0,132854.0,134290.0,135671.0,135912.0,135925.0,137361.0,138855.0,140676.0,141752.0,142856.0,142946.0,143052.0,144751.0,146160.0,147553.0,148770.0,150021.0,150698.0,150768.0,152356.0,153918.0,155527.0,156900.0,158473.0,158515.0,158519.0,160113.0,161729.0,163182.0,164684.0,164781.0,165475.0,165590.0,168693.0,171945.0,174924.0,177385.0,179886.0,180834.0,180974.0,183645.0,185910.0,187986.0,189700.0,191242.0,191914.0,191953.0,193653.0,195092.0,196482.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4147.0,6415.0,6923.0,6923.0,10153.0,14047.0,18582.0,22663.0,26784.0,26987.0,26987.0,32044.0,37448.0,42316.0,45970.0,48658.0,48820.0,48820.0,50684.0,51768.0,52732.0,53511.0,54385.0,54438.0,54438.0,56026.0,57725.0,59367.0,61495.0,61496.0,61496.0,61498.0,64450.0,66409.0,68203.0,70156.0,71773.0,71907.0,71909.0,74328.0,76840.0,79175.0,81338.0,83610.0,83781.0,83781.0,86302.0,88783.0,91217.0,93008.0,94848.0,94984.0,94985.0,97915.0,99952.0,101992.0,103879.0,104586.0,104610.0,104639.0,106289.0,108080.0,109544.0,111499.0,113033.0,113373.0,113373.0,115326.0,116993.0,118464.0,119986.0,121696.0,121697.0,121697.0,123711.0,125729.0,127718.0,129654.0,129698.0,130006.0,130031.0,131781.0,133395.0,135010.0,136375.0,137495.0,137715.0,137751.0,139345.0,140847.0,142194.0,143358.0,144679.0,144988.0,144996.0,146704.0,148206.0,149593.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3094.0,19414.0,37413.0,56787.0,58073.0,58111.0,85911.0,116232.0,149511.0,180766.0,208614.0,209942.0,209942.0,243740.0,273509.0,297918.0,318562.0,337089.0,337768.0,337881.0,349247.0,358387.0,366200.0,374838.0,384437.0,388080.0,388096.0,401434.0,419712.0,440236.0,459176.0,477003.0,477305.0,477305.0,493357.0,508790.0,524445.0,545900.0,563668.0,564893.0,564893.0,581313.0,599717.0,616787.0,635089.0,651548.0,652655.0,652738.0,667821.0,681958.0,697471.0,713148.0,729626.0,729996.0,730024.0,746768.0,760756.0,773503.0,787321.0,787483.0,787675.0,787716.0,795546.0,805220.0,814909.0,822594.0,830174.0,830761.0,830880.0,839737.0,846830.0,855253.0,861827.0,868902.0,869301.0,869343.0,875169.0,879983.0,883926.0,891024.0,896010.0,896361.0,896391.0,902060.0,906014.0,910893.0,914891.0,919494.0,919551.0,919572.0,927734.0,935986.0,944684.0,953283.0,961789.0,962799.0,962855.0,973222.0,984293.0,994570.0,1004344.0,1014575.0,1014721.0,1014780.0,1026717.0,1039397.0,1051167.0,1062591.0,1062712.0,1065092.0,1065176.0,1082339.0,1100365.0,1117910.0,1134177.0,1146341.0,1149205.0,1149263.0,1162493.0,1176998.0,1189134.0,1193250.0,1194874.0,1195845.0,1195847.0,1200716.0,1206502.0,1213138.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1457.0,2920.0,18127.0,35357.0,53930.0,55053.0,55060.0,81864.0,111385.0,143694.0,174149.0,201420.0,202435.0,202447.0,235437.0,267874.0,295124.0,320339.0,339423.0,340100.0,340176.0,354929.0,366697.0,373518.0,379135.0,383610.0,383696.0,383720.0,396131.0,411944.0,432143.0,454261.0,454839.0,455051.0,455072.0,479486.0,496044.0,511575.0,532473.0,549926.0,550729.0,550768.0,567107.0,584244.0,601256.0,619081.0,635049.0,635845.0,635936.0,651759.0,665411.0,680110.0,693984.0,708903.0,709361.0,709393.0,726375.0,739791.0,752816.0,765941.0,769425.0,769526.0,769583.0,776994.0,786075.0,795153.0,803091.0,810091.0,810511.0,810564.0,818716.0,826587.0,834732.0,840677.0,846742.0,846825.0,846862.0,852707.0,858463.0,863328.0,870630.0,870689.0,871140.0,871165.0,878870.0,885284.0,890847.0,895046.0,898562.0,898938.0,898952.0,904552.0,912319.0,920295.0,927967.0,935264.0,936194.0,936275.0,946821.0,957851.0,967539.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33942.0,41790.0,50900.0,61274.0,70108.0,70404.0,70655.0,78151.0,84513.0,90428.0,95583.0,99920.0,100119.0,100119.0,104187.0,107999.0,111287.0,114573.0,117230.0,117284.0,117342.0,120860.0,124871.0,128421.0,131294.0,133671.0,133750.0,133786.0,138422.0,143468.0,148463.0,154483.0,159615.0,159821.0,160035.0,165908.0,171679.0,176434.0,180696.0,184693.0,184919.0,185125.0,188882.0,192917.0,197003.0,201041.0,205038.0,205082.0,205141.0,208953.0,212280.0,215380.0,220011.0,220012.0,220012.0,220012.0,223044.0,226271.0,229396.0,232331.0,235259.0,235481.0,235508.0,237447.0,239007.0,240257.0,241252.0,242477.0,242556.0,242570.0,243564.0,244550.0,245280.0,246590.0,247469.0,247506.0,247507.0,248745.0,249683.0,250795.0,251636.0,252467.0,252468.0,252468.0,254354.0,256341.0,258439.0,260296.0,262211.0,262459.0,262478.0,264789.0,267268.0,269785.0,272003.0,274394.0,274523.0,274621.0,276900.0,280685.0,285834.0,291131.0,291307.0,291689.0,291853.0,296401.0,301082.0,305338.0,309744.0,313290.0,313984.0,314110.0,318416.0,322291.0,325375.0,327447.0,329252.0,329629.0,329704.0,331406.0,333075.0,334915.0
