Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6928.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28214.0,28385.0,28385.0,33619.0,38455.0,41936.0,44139.0,46284.0,46393.0,46393.0,47968.0,49680.0,52053.0,54199.0,55709.0,55782.0,55782.0,57682.0,59592.0,61293.0,63074.0,65070.0,65180.0,65180.0,67060.0,68789.0,70359.0,72484.0,74640.0,74842.0,74842.0,77128.0,79661.0,82010.0,84402.0,86981.0,87213.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4141.0,6409.0,6917.0,6917.0,10145.0,14039.0,18574.0,22654.0,26775.0,26978.0,26978.0,32034.0,37436.0,42305.0,45957.0,48643.0,48804.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19409.0,37407.0,56782.0,58068.0,58106.0,85900.0,116222.0,149500.0,180748.0,208592.0,209922.0,209922.0,243714.0,273480.0,297890.0,318538.0,337064.0,337743.0,337856.0,349218.0,358351.0,366155.0,374790.0,384386.0,388040.0,388056.0,401338.0,419617.0,440137.0,459056.0,476862.0,477162.0,477162.0,493186.0,508603.0,524236.0,545426.0,563073.0,564295.0,564295.0,580672.0,599004.0,616082.0,634424.0,650790.0,651856.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18099.0,35313.0,53871.0,54994.0,55001.0,81783.0,111284.0,143470.0,173746.0,200836.0,201852.0,201864.0,234816.0,267131.0,294370.0,319569.0,338505.0,339172.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26377.0,26613.0,26729.0,33939.0,41780.0,50887.0,61257.0,70093.0,70388.0,70639.0,78136.0,84502.0,90409.0,95562.0,99902.0,100101.0,100101.0,104165.0,107971.0,111251.0,114535.0,117191.0,117245.0,117303.0,120818.0,124824.0,128364.0,131225.0,133593.0,133672.0,133708.0,138327.0,143371.0,148317.0,154262.0,159330.0,159536.0,159747.0,165556.0,171325.0,176047.0,180232.0,184102.0,184328.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13178.0,19537.0,25369.0,25504.0,25631.0,32847.0,40407.0,49085.0,58794.0,67132.0,67492.0,67734.0,75580.0,82432.0,89045.0,94891.0,99406.0,99444.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28222.0,46736.0,63173.0,67336.0,69963.0,93388.0,120860.0,152383.0,181070.0,203016.0,206256.0,207535.0,228807.0,245685.0,260108.0,271032.0,280966.0,282105.0,282497.0,291004.0,298735.0,306495.0,315718.0,322497.0,322845.0,323003.0,334428.0,347703.0,360977.0,373076.0,383775.0,384408.0,384624.0,396445.0,409532.0,422111.0,439419.0,454463.0,457663.0,458534.0,473508.0,489571.0,504143.0,517671.0,529990.0,532344.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4841.0,25078.0,42863.0,58440.0,62321.0,64634.0,86963.0,114397.0,144708.0,172860.0,194689.0,197823.0,198979.0,221874.0,241798.0,259378.0,274136.0,284149.0,285217.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11916.0,18978.0,28345.0,37231.0,38349.0,38408.0,48276.0,57719.0,70906.0,82124.0,93250.0,94465.0,94485.0,109690.0,122755.0,134086.0,143122.0,150842.0,151273.0,151285.0,157605.0,163085.0,167995.0,172883.0,176639.0,176963.0,176963.0,186434.0,196398.0,205676.0,213709.0,221636.0,221995.0,221997.0,230111.0,238138.0,245866.0,255718.0,264563.0,265088.0,265092.0,274699.0,284033.0,292276.0,299643.0,306883.0,307201.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2556.0,8069.0,10248.0,11393.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11475.0,11483.0,11486.0,11500.0,11507.0,11519.0,11519.0,11519.0,11536.0,11805.0,18593.0,27646.0,36439.0,37285.0,37312.0,47175.0,56391.0,69288.0,80204.0,90921.0,92012.0,92034.0,107586.0,121205.0,133300.0,143103.0,151348.0,151679.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14326.0,26648.0,39902.0,43803.0,46432.0,61130.0,76168.0,92706.0,107727.0,120429.0,121875.0,122462.0,136539.0,149532.0,161133.0,170224.0,179173.0,179544.0,179708.0,186851.0,193279.0,199149.0,204929.0,211366.0,211645.0,211651.0,219214.0,228677.0,237578.0,244938.0,251531.0,252284.0,252534.0,260776.0,269622.0,279192.0,290058.0,300013.0,301527.0,302069.0,312938.0,323315.0,332370.0,340920.0,348969.0,349540.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1430.0,13064.0,24893.0,37493.0,41301.0,43649.0,58024.0,72534.0,88412.0,103166.0,115674.0,117114.0,117764.0,132097.0,146112.0,159287.0,170064.0,181056.0,181352.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71909.0,135239.0,197862.0,208185.0,210112.0,293814.0,385121.0,486835.0,577944.0,664912.0,678800.0,680541.0,784932.0,870548.0,945003.0,1006175.0,1062605.0,1067869.0,1068274.0,1105610.0,1136251.0,1164242.0,1192193.0,1216080.0,1219881.0,1219993.0,1276836.0,1339709.0,1403589.0,1465060.0,1523993.0,1529707.0,1530116.0,1583104.0,1635425.0,1686327.0,1750309.0,1807208.0,1821682.0,1822606.0,1882940.0,1946409.0,2005225.0,2064117.0,2120331.0,2135870.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6924.0,7588.0,7593.0,7593.0,7603.0,7753.0,7811.0,7826.0,7837.0,7837.0,7837.0,7837.0,7847.0,7847.0,7847.0,7847.0,7847.0,7847.0,7849.0,7849.0,7852.0,7889.0,7903.0,7904.0,7904.0,7947.0,11635.0,63842.0,123883.0,184327.0,192756.0,194051.0,274748.0,365144.0,464554.0,553286.0,637074.0,648833.0,650017.0,755849.0,846485.0,929155.0,999525.0,1059355.0,1066256.0
