Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17622.0,22447.0,22455.0,22455.0,30282.0,39147.0,49224.0,58776.0,67611.0,68092.0,68092.0,79284.0,88126.0,96176.0,103094.0,109573.0,109617.0,109622.0,115834.0,121094.0,125750.0,130566.0,134527.0,134663.0,134663.0,142123.0,150136.0,157697.0,164060.0,169619.0,169670.0,169670.0,175670.0,181919.0,187622.0,194135.0,199819.0,200025.0,200025.0,206421.0,213098.0,218882.0,224527.0,229988.0,230090.0,230090.0,236085.0,241932.0,248059.0,254384.0,261124.0,261557.0,261557.0,267425.0,272970.0,278016.0,283616.0,283625.0,283625.0,283627.0,287556.0,292161.0,296518.0,300295.0,303791.0,303881.0,303881.0,307642.0,311088.0,314418.0,317237.0,320095.0,320175.0,320175.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12386.0,16973.0,21484.0,21503.0,21504.0,28914.0,37453.0,47478.0,56723.0,65290.0,65646.0,65648.0,77697.0,87885.0,97474.0,106495.0,113904.0,113952.0,113955.0,121184.0,125396.0,128519.0,130965.0,133376.0,133454.0,133455.0,139082.0,146138.0,153239.0,159783.0,159885.0,159887.0,159890.0,169584.0,176384.0,182214.0,188964.0,194248.0,194418.0,194419.0,200772.0,207014.0,212469.0,217627.0,222632.0,222727.0,222729.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57229.0,72079.0,86310.0,100189.0,102264.0,102265.0,118670.0,132767.0,143388.0,152457.0,160753.0,161135.0,161135.0,168613.0,175427.0,181194.0,186059.0,191179.0,191793.0,191794.0,199317.0,209511.0,217983.0,225510.0,232551.0,232962.0,232962.0,240924.0,248757.0,256765.0,266765.0,275947.0,276646.0,276646.0,285662.0,295050.0,303422.0,311225.0,318844.0,319268.0,319268.0,326538.0,333656.0,341019.0,348128.0,355279.0,355568.0,355568.0,362681.0,368760.0,374164.0,380143.0,380160.0,380178.0,380178.0,383983.0,388591.0,393263.0,396981.0,400558.0,400721.0,400721.0,404066.0,408251.0,411971.0,414968.0,417806.0,417928.0,417928.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54195.0,68605.0,82408.0,96201.0,98121.0,98129.0,114874.0,130191.0,142008.0,152098.0,161644.0,161942.0,161943.0,169526.0,175271.0,180286.0,184110.0,187701.0,187778.0,187778.0,194605.0,203833.0,211792.0,219939.0,220303.0,220319.0,220319.0,232649.0,240890.0,248896.0,258559.0,267058.0,267381.0,267384.0,276515.0,285707.0,294022.0,301612.0,309165.0,309474.0,309476.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82192.0,93500.0,96642.0,96766.0,110870.0,121568.0,129267.0,135969.0,142303.0,142689.0,142696.0,148304.0,153553.0,158616.0,163571.0,169042.0,169380.0,169380.0,175436.0,182100.0,188565.0,194298.0,199543.0,200323.0,200434.0,206392.0,212848.0,218961.0,226031.0,232740.0,234219.0,234234.0,241374.0,249550.0,256353.0,263084.0,268390.0,269318.0,269326.0,275272.0,282214.0,289813.0,297273.0,304050.0,304601.0,304601.0,310407.0,316389.0,322652.0,329215.0,329220.0,329227.0,329227.0,333164.0,337850.0,342295.0,345334.0,348191.0,348332.0,348332.0,351357.0,355205.0,359247.0,362625.0,365264.0,365434.0,365434.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25546.0,28437.0,28754.0,40934.0,53185.0,65704.0,77811.0,88689.0,91651.0,91716.0,105972.0,118976.0,128630.0,137309.0,144022.0,144417.0,144428.0,151869.0,157476.0,161473.0,164440.0,166826.0,166864.0,166864.0,171438.0,176990.0,183371.0,189853.0,189865.0,189870.0,189871.0,198679.0,205007.0,211115.0,216551.0,222504.0,222774.0,222775.0,231244.0,239469.0,246640.0,253077.0,257839.0,258034.0,258036.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14573.0,15139.0,15656.0,21111.0,28009.0,35139.0,42233.0,47637.0,48445.0,48888.0,54485.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77109.0,78665.0,78684.0,78685.0,80688.0,84537.0,88731.0,92196.0,95046.0,95202.0,95237.0,98718.0,102475.0,105761.0,109980.0,113082.0,113231.0,113362.0,116981.0,120867.0,123994.0,126466.0,129224.0,129357.0,129558.0,132843.0,135947.0,139180.0,143108.0,147133.0,147293.0,147297.0,150511.0,152969.0,155355.0,157917.0,158044.0,158170.0,158237.0,159751.0,161427.0,162949.0,164731.0,166730.0,166897.0,166944.0,168373.0,169969.0,172000.0,173724.0,175429.0,175809.0,175809.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9317.0,13709.0,14217.0,14598.0,19755.0,26499.0,33437.0,40389.0,45599.0,46399.0,46871.0,52740.0,57788.0,62009.0,65657.0,68796.0,68939.0,68993.0,72165.0,74151.0,75504.0,76780.0,77769.0,77803.0,77805.0,79175.0,82429.0,86167.0,90317.0,90586.0,90694.0,90727.0,95320.0,99131.0,102352.0,106132.0,109504.0,109648.0,109743.0,113153.0,116724.0,119916.0,122438.0,124989.0,125204.0,125237.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26709.0,26715.0,26721.0,30332.0,32713.0,35308.0,37068.0,38788.0,38990.0,39000.0,39848.0,40568.0,41481.0,42479.0,43317.0,43405.0,43405.0,45573.0,47965.0,50159.0,51919.0,53451.0,53460.0,53464.0,54725.0,56024.0,57241.0,58918.0,60171.0,60175.0,60216.0,61670.0,63473.0,64755.0,66186.0,67586.0,67599.0,67610.0,69192.0,70617.0,72181.0,73545.0,75477.0,75488.0,75490.0,76853.0,78107.0,79374.0,80737.0,80738.0,80738.0,80738.0,81603.0,82895.0,84192.0,85200.0,85964.0,85967.0,85969.0,86940.0,87785.0,88781.0,89719.0,90521.0,90522.0,90522.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35157.0,37430.0,39293.0,39305.0,39307.0,40196.0,41045.0,41485.0,42109.0,42652.0,42661.0,42661.0,44253.0,46836.0,48974.0,50822.0,50823.0,50827.0,50829.0,52770.0,54296.0,55536.0,57058.0,58257.0,58264.0,58266.0,59459.0,60958.0,62360.0,63749.0,65294.0,65306.0,65307.0
