Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17622.0,22447.0,22455.0,22455.0,30282.0,39147.0,49224.0,58777.0,67612.0,68093.0,68093.0,79285.0,88127.0,96177.0,103095.0,109574.0,109618.0,109623.0,115835.0,121095.0,125680.0,130496.0,134457.0,134593.0,134593.0,142053.0,150066.0,157627.0,163990.0,169549.0,169600.0,169600.0,175600.0,181849.0,187552.0,194065.0,199749.0,199955.0,199955.0,206351.0,213028.0,218809.0,224453.0,229901.0,230003.0,230003.0,235996.0,241843.0,247970.0,254295.0,261035.0,261468.0,261468.0,267336.0,272878.0,277922.0,283522.0,283531.0,283531.0,283533.0,287462.0,292068.0,296422.0,300208.0,303692.0,303782.0,303782.0,307506.0,310918.0,314241.0,316865.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12385.0,16971.0,21481.0,21500.0,21501.0,28911.0,37450.0,47474.0,56719.0,65286.0,65642.0,65644.0,77693.0,87881.0,97470.0,106490.0,113893.0,113941.0,113944.0,121173.0,125385.0,128437.0,130883.0,133294.0,133372.0,133373.0,139000.0,146056.0,153155.0,159699.0,159801.0,159803.0,159806.0,169500.0,176298.0,182127.0,188876.0,194126.0,194296.0,194297.0,200647.0,206830.0,212270.0,217143.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13338.0,22448.0,30502.0,31631.0,31633.0,42806.0,57229.0,72079.0,86310.0,100189.0,102264.0,102265.0,118670.0,132767.0,143388.0,152457.0,160753.0,161135.0,161135.0,168614.0,175428.0,181195.0,186060.0,191180.0,191794.0,191795.0,199318.0,209512.0,217984.0,225511.0,232552.0,232963.0,232963.0,240925.0,248758.0,256766.0,266767.0,275949.0,276648.0,276648.0,285664.0,295051.0,303424.0,311226.0,318845.0,319269.0,319269.0,326539.0,333657.0,341020.0,348129.0,355279.0,355568.0,355568.0,362681.0,368760.0,374164.0,380144.0,380161.0,380179.0,380179.0,383983.0,388591.0,393262.0,396977.0,400552.0,400715.0,400715.0,404054.0,408237.0,411932.0,414699.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12144.0,20926.0,28657.0,29856.0,29860.0,40695.0,54196.0,68604.0,82407.0,96200.0,98120.0,98128.0,114873.0,130190.0,142007.0,152097.0,161644.0,161942.0,161943.0,169526.0,175271.0,180286.0,184110.0,187701.0,187778.0,187778.0,194605.0,203832.0,211791.0,219937.0,220301.0,220317.0,220317.0,232647.0,240888.0,248894.0,258553.0,267051.0,267373.0,267376.0,276506.0,285697.0,293968.0,301137.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70061.0,82193.0,93501.0,96643.0,96767.0,110871.0,121569.0,129268.0,135970.0,142304.0,142690.0,142697.0,148305.0,153554.0,158617.0,163572.0,169043.0,169381.0,169381.0,175437.0,182101.0,188566.0,194299.0,199544.0,200324.0,200435.0,206393.0,212849.0,218962.0,226032.0,232741.0,234220.0,234235.0,241375.0,249551.0,256354.0,263084.0,268387.0,269315.0,269323.0,275269.0,282210.0,289809.0,297268.0,304044.0,304595.0,304595.0,310401.0,316383.0,322646.0,329209.0,329214.0,329221.0,329221.0,333158.0,337843.0,342288.0,345327.0,348184.0,348325.0,348325.0,351344.0,355190.0,359164.0,362251.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25546.0,28437.0,28754.0,40934.0,53184.0,65703.0,77810.0,88688.0,91650.0,91715.0,105971.0,118976.0,128628.0,137307.0,144020.0,144414.0,144425.0,151866.0,157473.0,161470.0,164437.0,166823.0,166861.0,166861.0,171435.0,176987.0,183368.0,189850.0,189862.0,189867.0,189868.0,198676.0,205004.0,211112.0,216548.0,222501.0,222771.0,222772.0,231199.0,239419.0,246559.0,252709.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14573.0,15139.0,15656.0,21111.0,28009.0,35139.0,42231.0,47635.0,48443.0,48886.0,54483.0,58343.0,61681.0,64671.0,67466.0,67539.0,67593.0,70587.0,73049.0,75186.0,77107.0,78663.0,78682.0,78683.0,80686.0,84535.0,88729.0,92194.0,95043.0,95199.0,95234.0,98715.0,102473.0,105759.0,109978.0,113081.0,113230.0,113361.0,116980.0,120866.0,123993.0,126460.0,129215.0,129348.0,129549.0,132834.0,135938.0,139171.0,143099.0,147124.0,147284.0,147288.0,150502.0,152960.0,155346.0,157908.0,158035.0,158161.0,158228.0,159742.0,161418.0,162935.0,164622.0,166530.0,166697.0,166744.0,168173.0,169765.0,171795.0,173281.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4866.0,9317.0,13708.0,14216.0,14597.0,19752.0,26496.0,33434.0,40386.0,45596.0,46396.0,46868.0,52737.0,57785.0,62006.0,65654.0,68793.0,68936.0,68990.0,72161.0,74147.0,75500.0,76776.0,77765.0,77799.0,77801.0,79171.0,82425.0,86163.0,90312.0,90581.0,90689.0,90722.0,95315.0,99126.0,102340.0,106117.0,109358.0,109502.0,109597.0,113007.0,116578.0,119748.0,122132.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15502.0,20138.0,23656.0,26709.0,26715.0,26721.0,30332.0,32713.0,35308.0,37068.0,38788.0,38990.0,39000.0,39848.0,40568.0,41481.0,42479.0,43317.0,43405.0,43405.0,45573.0,47965.0,50159.0,51919.0,53451.0,53460.0,53464.0,54725.0,56024.0,57241.0,58918.0,60171.0,60175.0,60216.0,61670.0,63473.0,64755.0,66186.0,67586.0,67599.0,67610.0,69192.0,70617.0,72181.0,73545.0,75477.0,75488.0,75490.0,76853.0,78107.0,79374.0,80737.0,80738.0,80738.0,80738.0,81603.0,82895.0,84192.0,85200.0,85964.0,85967.0,85969.0,86940.0,87785.0,88781.0,89696.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35157.0,37430.0,39293.0,39305.0,39307.0,40196.0,41045.0,41485.0,42109.0,42652.0,42661.0,42661.0,44253.0,46836.0,48974.0,50822.0,50823.0,50827.0,50829.0,52770.0,54296.0,55536.0,57058.0,58257.0,58264.0,58266.0,59458.0,60948.0,62350.0,63724.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4512.0,6929.0,7469.0,7469.0,10864.0,14866.0,19680.0,23996.0,28213.0,28384.0,28384.0,33618.0,38454.0,41935.0,44134.0,46279.0,46388.0,46388.0,47964.0,49677.0,52051.0,54198.0,55711.0,55784.0,55784.0,57687.0,59598.0,61300.0,63083.0,65078.0,65188.0,65188.0,67068.0,68798.0,70369.0,72497.0,74654.0,74856.0,74856.0,77145.0,79679.0,82029.0,84419.0,86997.0,87236.0,87236.0,89630.0,92060.0,94734.0,96969.0,99692.0,99796.0,99796.0,102265.0,104418.0,106411.0,108341.0,108369.0,108397.0,108437.0,110259.0,112415.0,114600.0,116290.0,117937.0,118084.0,118112.0,120193.0,121937.0,123769.0,125286.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42313.0,45966.0,48653.0,48815.0,48815.0,50680.0,51763.0,52725.0,53505.0,54377.0,54430.0,54430.0,56018.0,57717.0,59362.0,61488.0,61489.0,61489.0,61491.0,64440.0,66402.0,68195.0,70151.0,71768.0,71902.0,71904.0,74326.0,76840.0,79179.0,81222.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19414.0,37412.0,56788.0,58074.0,58112.0,85908.0,116230.0,149507.0,180754.0,208598.0,209926.0,209926.0,243721.0,273490.0,297901.0,318551.0,337079.0,337758.0,337871.0,349236.0,358376.0,366191.0,374828.0,384432.0,388108.0,388124.0,401464.0,419751.0,440278.0,459223.0,477049.0,477351.0,477351.0,493404.0,508844.0,524508.0,545967.0,563735.0,564960.0,564960.0,581392.0,599806.0,616906.0,635268.0,651866.0,652973.0,653183.0,668571.0,683172.0,698866.0,714629.0,731150.0,731520.0,731547.0,748348.0,762401.0,775170.0,789014.0,789176.0,789367.0,789407.0,797284.0,807026.0,816752.0,824465.0,832074.0,832661.0,832779.0,841648.0,848786.0,857250.0,863655.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18120.0,35345.0,53915.0,55038.0,55045.0,81841.0,111358.0,143660.0,174089.0,201351.0,202366.0,202378.0,235356.0,267783.0,295026.0,320236.0,339339.0,340016.0,340092.0,354847.0,366605.0,373428.0,379039.0,383505.0,383591.0,383615.0,396021.0,411828.0,431994.0,454104.0,454681.0,454893.0,454914.0,479311.0,495862.0,511378.0,532257.0,549693.0,550496.0,550534.0,566859.0,584000.0,601007.0,618499.0
