Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6200.0,8199.0,8707.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,8769.0,12772.0,17624.0,22450.0,22458.0,22458.0,30306.0,39189.0,49269.0,58821.0,67655.0,68136.0,68136.0,79328.0,88170.0,96220.0,103138.0,109618.0,109662.0,109667.0,115879.0,121138.0,125794.0,130609.0,134569.0,134705.0,134705.0,142162.0,150175.0,157747.0,164110.0,169668.0,169720.0,169720.0,175718.0,181966.0,187663.0,194173.0,199855.0,200061.0,200061.0,206442.0,213107.0,218876.0,224494.0,229762.0,229864.0,229864.0,235701.0,241492.0,247593.0,253906.0,260622.0,261055.0,261055.0,266892.0,272415.0,277454.0,283044.0,283053.0,283053.0,283055.0,286967.0,291558.0,295899.0,299753.0,303275.0,303364.0,303364.0,307132.0,310571.0,313912.0,316777.0,319696.0,319776.0,319776.0,322377.0,324486.0,326415.0,329110.0,331292.0,331387.0,331388.0,333715.0,335990.0,338314.0,340472.0,342405.0,342420.0,342420.0,346006.0,349693.0,353396.0,356823.0,360212.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6434.0,8046.0,8549.0,8561.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8595.0,8597.0,8601.0,8614.0,8643.0,8646.0,8646.0,8646.0,8650.0,8714.0,12392.0,16983.0,21496.0,21515.0,21516.0,28952.0,37516.0,47548.0,56807.0,65381.0,65738.0,65740.0,77795.0,87986.0,97576.0,106599.0,114012.0,114060.0,114063.0,121289.0,125503.0,128628.0,131096.0,133507.0,133585.0,133586.0,139215.0,146273.0,153383.0,159945.0,160047.0,160049.0,160052.0,169748.0,176546.0,182377.0,189201.0,194496.0,194668.0,194669.0,201014.0,207255.0,212857.0,218216.0,223333.0,223428.0,223431.0,229569.0,234992.0,240744.0,246428.0,252244.0,252505.0,252507.0,257969.0,262647.0,268438.0,273762.0,275318.0,275320.0,275325.0,278869.0,282902.0,287152.0,290794.0,293959.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13334.0,22444.0,30498.0,31627.0,31629.0,42801.0,57199.0,72074.0,86304.0,100182.0,102257.0,102258.0,118660.0,132757.0,143379.0,152448.0,160744.0,161126.0,161126.0,168604.0,175418.0,181185.0,186048.0,191167.0,191780.0,191781.0,199301.0,209490.0,217963.0,225486.0,232526.0,232937.0,232937.0,240896.0,248726.0,256731.0,266728.0,275909.0,276608.0,276608.0,285616.0,294980.0,303319.0,311104.0,318685.0,319109.0,319109.0,326193.0,333169.0,340450.0,347507.0,354626.0,354915.0,354915.0,362003.0,368057.0,373448.0,379418.0,379435.0,379453.0,379453.0,383246.0,387845.0,392509.0,396216.0,399787.0,399950.0,399950.0,403281.0,407446.0,411140.0,414109.0,416922.0,417044.0,417044.0,419670.0,422439.0,424529.0,427539.0,429999.0,430413.0,430434.0,432885.0,435371.0,437914.0,439834.0,442474.0,442498.0,442498.0,446384.0,450694.0,454767.0,458721.0,462680.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1026.0,12145.0,20927.0,28657.0,29856.0,29860.0,40694.0,54196.0,68605.0,82409.0,96203.0,98123.0,98131.0,114875.0,130193.0,142010.0,152101.0,161646.0,161944.0,161945.0,169526.0,175273.0,180289.0,184114.0,187705.0,187782.0,187782.0,194610.0,203834.0,211796.0,219946.0,220310.0,220326.0,220326.0,232664.0,240908.0,248912.0,258576.0,267091.0,267414.0,267417.0,276548.0,285722.0,294018.0,301596.0,309154.0,309462.0,309464.0,316845.0,323819.0,330723.0,337344.0,344009.0,344338.0,344342.0,351411.0,357830.0,363465.0,368937.0,370422.0,370429.0,370430.0,373817.0,377993.0,382476.0,386081.0,389380.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44056.0,57028.0,70059.0,82188.0,93494.0,96637.0,96761.0,110864.0,121562.0,129260.0,135959.0,142293.0,142679.0,142686.0,148294.0,153543.0,158604.0,163559.0,169032.0,169370.0,169370.0,175420.0,182080.0,188544.0,194271.0,199513.0,200293.0,200404.0,206362.0,212819.0,218932.0,225998.0,232708.0,234187.0,234202.0,241327.0,249476.0,256271.0,262934.0,268186.0,269113.0,269121.0,274918.0,281734.0,289234.0,296641.0,303397.0,303943.0,303943.0,309721.0,315660.0,321907.0,328404.0,328409.0,328417.0,328417.0,332353.0,337008.0,341438.0,344479.0,347338.0,347479.0,347479.0,350484.0,354378.0,358379.0,361745.0,364329.0,364509.0,364509.0,365083.0,365728.0,366283.0,367532.0,369149.0,369323.0,369323.0,372067.0,375007.0,376877.0,378555.0,379805.0,379805.0,379805.0,383192.0,386852.0,390124.0,393362.0,396412.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9653.0,17670.0,25548.0,28439.0,28756.0,40941.0,53206.0,65725.0,77832.0,88717.0,91680.0,91745.0,106001.0,119012.0,128667.0,137345.0,144060.0,144455.0,144466.0,151932.0,157542.0,161539.0,164532.0,166922.0,166960.0,166960.0,171537.0,177092.0,183478.0,189961.0,189973.0,189978.0,189979.0,198819.0,205154.0,211272.0,216723.0,222679.0,222949.0,222952.0,231424.0,239800.0,246963.0,253512.0,258364.0,258560.0,258562.0,264906.0,271908.0,279475.0,285960.0,291816.0,292047.0,292050.0,298122.0,304085.0,309252.0,315424.0,316952.0,316952.0,316953.0,321098.0,325514.0,329892.0,333281.0,335953.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5510.0,10190.0,14574.0,15140.0,15657.0,21112.0,28011.0,35137.0,42230.0,47633.0,48441.0,48884.0,54481.0,58341.0,61679.0,64669.0,67464.0,67537.0,67591.0,70585.0,73047.0,75183.0,77104.0,78660.0,78679.0,78680.0,80680.0,84524.0,88718.0,92183.0,95033.0,95189.0,95224.0,98704.0,102460.0,105746.0,109962.0,113064.0,113214.0,113345.0,116958.0,120836.0,123949.0,126405.0,129066.0,129199.0,129400.0,132630.0,135702.0,138910.0,142811.0,146832.0,146992.0,146996.0,150204.0,152652.0,155025.0,157579.0,157705.0,157831.0,157899.0,159405.0,161075.0,162595.0,164361.0,166343.0,166504.0,166551.0,167976.0,169561.0,171473.0,173133.0,174798.0,175156.0,175157.0,175983.0,177007.0,177803.0,178738.0,179307.0,179382.0,179388.0,179949.0,180398.0,180773.0,181283.0,182239.0,182373.0,182382.0,183447.0,184639.0,185922.0,187370.0,188908.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,617.0,4868.0,9319.0,13712.0,14220.0,14601.0,19758.0,26501.0,33443.0,40396.0,45608.0,46408.0,46880.0,52755.0,57804.0,62024.0,65672.0,68812.0,68955.0,69009.0,72179.0,74168.0,75521.0,76796.0,77785.0,77819.0,77821.0,79192.0,82447.0,86184.0,90332.0,90601.0,90709.0,90742.0,95334.0,99146.0,102365.0,106145.0,109517.0,109662.0,109757.0,113170.0,116733.0,119913.0,122460.0,124994.0,125207.0,125405.0,128433.0,131492.0,134575.0,137822.0,140553.0,140757.0,140761.0,144005.0,146736.0,148530.0,151700.0,152742.0,152840.0,152857.0,154139.0,155847.0,157640.0,159407.0,160815.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3606.0,6713.0,8985.0,9021.0,9021.0,12183.0,15500.0,20134.0,23652.0,26705.0,26711.0,26717.0,30327.0,32707.0,35302.0,37062.0,38782.0,38984.0,38994.0,39842.0,40562.0,41475.0,42472.0,43310.0,43398.0,43398.0,45566.0,47957.0,50150.0,51910.0,53441.0,53450.0,53454.0,54715.0,56014.0,57232.0,58907.0,60160.0,60164.0,60205.0,61663.0,63463.0,64741.0,66160.0,67548.0,67561.0,67572.0,69196.0,70584.0,72134.0,73486.0,75412.0,75423.0,75425.0,76788.0,78030.0,79290.0,80653.0,80654.0,80654.0,80654.0,81525.0,82815.0,84113.0,85122.0,85888.0,85891.0,85893.0,86863.0,87703.0,88697.0,89621.0,90443.0,90446.0,90446.0,91096.0,91831.0,92351.0,93113.0,93454.0,93457.0,93457.0,93557.0,94181.0,94786.0,95015.0,95244.0,95244.0,95244.0,95761.0,96368.0,96944.0,97388.0,97928.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11646.0,14756.0,19191.0,22724.0,25751.0,25763.0,25770.0,29361.0,32052.0,35157.0,37433.0,39297.0,39309.0,39311.0,40200.0,41049.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46840.0,48977.0,50827.0,50828.0,50832.0,50834.0,52776.0,54301.0,55541.0,57062.0,58261.0,58268.0,58270.0,59464.0,60976.0,62372.0,63780.0,65321.0,65335.0,65337.0,66718.0,68314.0,69842.0,70950.0,71949.0,71958.0,71958.0,72893.0,74349.0,75635.0,76675.0,77251.0,77255.0,77255.0,78194.0,79801.0,80647.0,82000.0,82860.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7466.0,7466.0,10859.0,14861.0,19673.0,23989.0,28206.0,28377.0,28377.0,33610.0,38445.0,41926.0,44125.0,46270.0,46379.0,46379.0,47955.0,49668.0,52042.0,54190.0,55703.0,55776.0,55776.0,57678.0,59589.0,61288.0,63071.0,65067.0,65177.0,65177.0,67056.0,68782.0,70352.0,72476.0,74631.0,74833.0,74833.0,77118.0,79644.0,81994.0,84361.0,86865.0,87104.0,87104.0,89409.0,91806.0,94458.0,96671.0,99379.0,99483.0,99483.0,101933.0,104064.0,106043.0,107963.0,107991.0,108019.0,108059.0,109864.0,111983.0,114124.0,115796.0,117430.0,117577.0,117605.0,119659.0,121357.0,123167.0,124797.0,126791.0,126986.0,127043.0,129004.0,131057.0,132831.0,134264.0,135640.0,135881.0,135894.0,137327.0,138819.0,140639.0,141712.0,142816.0,142906.0,143011.0,144709.0,146115.0,147508.0,148723.0,149914.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10148.0,14042.0,18577.0,22657.0,26778.0,26981.0,26981.0,32038.0,37442.0,42311.0,45964.0,48652.0,48814.0,48814.0,50678.0,51761.0,52723.0,53502.0,54374.0,54427.0,54427.0,56015.0,57714.0,59356.0,61484.0,61485.0,61485.0,61487.0,64438.0,66396.0,68189.0,70141.0,71758.0,71892.0,71894.0,74313.0,76823.0,79157.0,81323.0,83594.0,83765.0,83765.0,86285.0,88766.0,91199.0,92990.0,94831.0,94967.0,94968.0,97898.0,99935.0,101974.0,103861.0,104567.0,104591.0,104620.0,106270.0,108061.0,109526.0,111481.0,112941.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3093.0,19466.0,37523.0,56943.0,58229.0,58267.0,86138.0,116531.0,149895.0,181237.0,209159.0,210487.0,210487.0,244375.0,274227.0,298714.0,319418.0,338012.0,338691.0,338804.0,350197.0,359366.0,367209.0,375869.0,385478.0,389119.0,389135.0,402525.0,420860.0,441444.0,460401.0,478307.0,478609.0,478609.0,494738.0,510212.0,525893.0,547385.0,565191.0,566416.0,566416.0,582879.0,601326.0,618428.0,636762.0,653260.0,654367.0,654450.0,669561.0,683721.0,699280.0,715026.0,731549.0,731919.0,731947.0,748750.0,762799.0,775575.0,789429.0,789590.0,789781.0,789821.0,797685.0,807405.0,817123.0,824831.0,832417.0,833004.0,833122.0,842002.0,849108.0,857541.0,864123.0,871198.0,871597.0,871638.0,877464.0,882276.0,886224.0,893329.0,898310.0,898661.0,898691.0,904353.0,908303.0,913199.0,917197.0,921810.0,921867.0,921888.0,930070.0,938339.0,947066.0,955681.0,964104.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2918.0,18171.0,35452.0,54071.0,55194.0,55201.0,82067.0,111665.0,144048.0,174582.0,201929.0,202944.0,202956.0,236024.0,268535.0,295858.0,321128.0,340266.0,340944.0,341020.0,355799.0,367592.0,374436.0,380070.0,384559.0,384645.0,384669.0,397124.0,412980.0,433233.0,455405.0,455982.0,456194.0,456215.0,480719.0,497308.0,512849.0,533769.0,551255.0,552058.0,552097.0,568479.0,585645.0,602669.0,620528.0,636524.0,637320.0,637411.0,653253.0,666915.0,681647.0,695574.0,710529.0,710988.0,711020.0,728059.0,741525.0,754580.0,767736.0,771226.0,771327.0,771384.0,778813.0,787925.0,797018.0,804971.0,811911.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26377.0,26613.0,26729.0,33941.0,41783.0,50892.0,61264.0,70097.0,70392.0,70643.0,78139.0,84498.0,90413.0,95568.0,99905.0,100104.0,100104.0,104171.0,107983.0,111269.0,114555.0,117212.0,117266.0,117324.0,120843.0,124854.0,128403.0,131275.0,133652.0,133731.0,133767.0,138402.0,143448.0,148442.0,154462.0,159593.0,159799.0,160013.0,165886.0,171656.0,176411.0,180673.0,184671.0,184897.0,185103.0,188861.0,192896.0,196981.0,201019.0,205016.0,205060.0,205119.0,208930.0,212257.0,215357.0,219984.0,219985.0,219985.0,219985.0,223016.0,226243.0,229369.0,232300.0,235227.0,235449.0,235476.0,237412.0,238967.0,240216.0,241209.0,242433.0,242511.0,242525.0,243516.0,244496.0,245226.0,246535.0,247413.0,247449.0,247450.0,248688.0,249621.0,250730.0,251568.0,252399.0,252400.0,252400.0,254285.0,256270.0,258366.0,260198.0,261899.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13195.0,19574.0,25408.0,25543.0,25670.0,32894.0,40461.0,49382.0,59232.0,67668.0,68030.0,68273.0,76226.0,83291.0,89954.0,95970.0,100614.0,100653.0,100662.0,105278.0,108821.0,111557.0,113854.0,115677.0,115760.0,115774.0,118843.0,122399.0,125761.0,129207.0,129209.0,129209.0,129209.0,134739.0,139911.0,144835.0,150614.0,155605.0,155686.0,155740.0,161411.0,167089.0,171848.0,176007.0,180146.0,180337.0,180422.0,184368.0,188378.0,192195.0,196187.0,199988.0,200066.0,200093.0,204141.0,207701.0,210760.0,214811.0,215725.0,215726.0,215727.0,218411.0,221412.0,224534.0,227419.0,229678.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6316.0,28222.0,46733.0,63168.0,67332.0,69960.0,93392.0,120862.0,152394.0,181078.0,203028.0,206268.0,207547.0,228810.0,245695.0,260119.0,271044.0,280981.0,282120.0,282512.0,291021.0,298759.0,306523.0,315744.0,322526.0,322874.0,323032.0,334458.0,347754.0,361042.0,373161.0,383875.0,384512.0,384728.0,396574.0,409693.0,422300.0,439641.0,454758.0,457971.0,458844.0,473921.0,490000.0,504634.0,518171.0,530836.0,533505.0,534664.0,546476.0,558708.0,571419.0,583439.0,597705.0,598308.0,598333.0,611117.0,621799.0,632822.0,644113.0,644309.0,644382.0,644384.0,650540.0,658071.0,666098.0,672875.0,678431.0,679665.0,679885.0,686182.0,692173.0,697925.0,701849.0,705548.0,705929.0,705969.0,709445.0,711967.0,714197.0,718500.0,721535.0,722050.0,722170.0,725417.0,728209.0,731561.0,733907.0,738473.0,738588.0,739034.0,745445.0,752324.0,758896.0,765712.0,771783.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25095.0,42888.0,58512.0,62397.0,64711.0,87084.0,114547.0,144909.0,173097.0,194962.0,198094.0,199250.0,222208.0,242136.0,259731.0,274762.0,284952.0,286105.0,286536.0,297374.0,305976.0,311359.0,315933.0,320119.0,320317.0,320429.0,328495.0,339335.0,351311.0,363914.0,364599.0,364689.0,364701.0,383182.0,396882.0,409995.0,426160.0,439521.0,441253.0,441656.0,457617.0,473590.0,487913.0,501123.0,513073.0,514795.0,515420.0,528830.0,540966.0,553411.0,565192.0,577400.0,578148.0,578284.0,591337.0,602736.0,613784.0,624359.0,627622.0,627705.0,627884.0,633964.0,640901.0,648651.0,655285.0,660016.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7946.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28343.0,37231.0,38349.0,38408.0,48276.0,57730.0,70915.0,82131.0,93260.0,94475.0,94495.0,109703.0,122759.0,134110.0,143168.0,150891.0,151322.0,151334.0,157664.0,163147.0,168061.0,172952.0,176710.0,177034.0,177034.0,186517.0,196486.0,205776.0,213813.0,221746.0,222104.0,222106.0,230249.0,238278.0,246003.0,255892.0,264881.0,265406.0,265410.0,275019.0,284372.0,292611.0,299920.0,307041.0,307354.0,307357.0,314925.0,322520.0,330415.0,337984.0,346626.0,346778.0,346840.0,355724.0,364322.0,372546.0,380330.0,380337.0,380353.0,380379.0,384606.0,389229.0,394467.0,397390.0,398915.0,398968.0,398968.0,402174.0,406438.0,411208.0,414817.0,418103.0,418329.0,418348.0,420251.0,422150.0,423901.0,426742.0,428993.0,429034.0,429034.0,431046.0,433161.0,435501.0,437290.0,440041.0,440041.0,440042.0,445072.0,450221.0,455382.0,460357.0,465582.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18598.0,27656.0,36464.0,37311.0,37338.0,47210.0,56455.0,69362.0,80331.0,91125.0,92217.0,92239.0,107824.0,121523.0,133753.0,143820.0,152269.0,152621.0,152634.0,159882.0,164965.0,169149.0,172673.0,175157.0,175321.0,175340.0,183953.0,193502.0,203129.0,215670.0,215735.0,215740.0,215758.0,225444.0,233607.0,241204.0,250771.0,259477.0,259797.0,259799.0,269003.0,277743.0,286264.0,293446.0,300447.0,300688.0,300691.0,308027.0,315268.0,322987.0,330595.0,338389.0,338521.0,338525.0,346516.0,355140.0,362782.0,369726.0,371531.0,371539.0,371540.0,375955.0,380672.0,386029.0,389372.0,391175.0
