Atacama,Primera,24.0,30.0,42.0,53.0,54.0,69.0,1612.0,1932.0,2948.0,3420.0,3428.0,3509.0,3321.0,3574.0,3729.0,3674.0,3898.0,3856.0,4176.0,4425.0,4480.0,4672.0,4889.0,4841.0,4959.0,5115.0,4868.0,4737.0,4346.0,4342.0,4223.0,4018.0,4117.0,4345.0,4064.0,3782.0,3789.0,3815.0,3628.0,3678.0,3917.0,3715.0,3748.0,3725.0,3724.0,3600.0,3702.0,3851.0,3730.0,3670.0,3759.0,3796.0,3705.0,3464.0,3718.0,3259.0,3204.0,3029.0,2860.0,2688.0,2519.0,2387.0,2262.0,2027.0,1814.0,1781.0,1593.0,1554.0,1348.0,1390.0,1273.0,1135.0,1078.0,1047.0,6839.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,423.0,478.0,1532.0,2468.0,2781.0,3009.0,2945.0,3233.0,3342.0,3279.0,3483.0,3426.0,3785.0,4020.0,4109.0,4313.0,4513.0,4453.0,4598.0,4780.0,4563.0,4448.0,4064.0,4106.0,4005.0,3785.0,3891.0,4121.0,3854.0,3629.0,3641.0,3667.0,3471.0,3528.0,3760.0,3570.0,3603.0,3578.0,3596.0,3474.0,3588.0,3741.0,3639.0,3576.0,3658.0,3716.0,3600.0,3385.0,3653.0,3200.0,3123.0,2982.0,2820.0,2648.0,2479.0,2356.0,2224.0,1997.0,1792.0,1754.0,1571.0,1525.0,1333.0,1367.0,1248.0,1119.0,1062.0,1025.0,6662.0
Atacama,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,423.0,288.0,302.0,269.0,290.0,267.0,259.0,245.0,210.0,228.0,240.0,221.0,220.0,198.0,173.0,161.0,182.0,164.0,141.0,137.0,127.0,124.0,114.0,102.0,99.0,114.0,90.0,116.0,96.0,81.0,75.0,68.0,81.0,68.0,71.0,63.0,59.0,61.0,63.0,52.0,52.0,15.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Aysén,Primera,15.0,17.0,19.0,21.0,21.0,26.0,870.0,1044.0,1336.0,1342.0,1419.0,1273.0,1097.0,1043.0,799.0,859.0,913.0,1039.0,1087.0,1235.0,1337.0,1365.0,1417.0,1538.0,1643.0,1690.0,1655.0,1563.0,1484.0,1525.0,1453.0,1448.0,1439.0,1439.0,1507.0,1427.0,1417.0,1367.0,1317.0,1388.0,1301.0,1337.0,1276.0,1298.0,1273.0,1269.0,1215.0,1247.0,1291.0,1279.0,1235.0,1197.0,1152.0,1191.0,1161.0,1158.0,1050.0,1078.0,1042.0,978.0,895.0,817.0,794.0,708.0,653.0,578.0,532.0,509.0,491.0,444.0,403.0,370.0,375.0,328.0,2231.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,605.0,716.0,1098.0,1188.0,1279.0,1178.0,1053.0,1009.0,772.0,819.0,883.0,1001.0,1049.0,1190.0,1301.0,1334.0,1388.0,1493.0,1600.0,1638.0,1634.0,1522.0,1456.0,1489.0,1429.0,1432.0,1415.0,1418.0,1486.0,1409.0,1400.0,1348.0,1298.0,1374.0,1287.0,1318.0,1265.0,1282.0,1259.0,1254.0,1196.0,1238.0,1279.0,1269.0,1225.0,1181.0,1137.0,1175.0,1151.0,1146.0,1038.0,1062.0,1031.0,968.0,886.0,809.0,790.0,702.0,643.0,572.0,524.0,504.0,484.0,438.0,401.0,368.0,369.0,324.0,2183.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,566.0,497.0,475.0,407.0,357.0,315.0,285.0,289.0,263.0,271.0,257.0,279.0,237.0,256.0,263.0,223.0,174.0,194.0,190.0,183.0,165.0,174.0,148.0,144.0,143.0,149.0,145.0,136.0,138.0,148.0,106.0,102.0,101.0,107.0,93.0,74.0,89.0,96.0,76.0,61.0,62.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Biobío,Primera,287.0,368.0,450.0,516.0,623.0,683.0,8569.0,11710.0,17675.0,18160.0,18822.0,18960.0,16133.0,16848.0,18836.0,18757.0,19718.0,20758.0,21338.0,21243.0,22287.0,22380.0,23055.0,23954.0,24092.0,24210.0,22996.0,21759.0,21193.0,20231.0,19533.0,19537.0,20396.0,21004.0,19992.0,19469.0,18597.0,18264.0,18149.0,19290.0,20085.0,20527.0,20953.0,20790.0,20250.0,19912.0,20536.0,21352.0,21236.0,21312.0,20921.0,20276.0,20260.0,19901.0,19474.0,18209.0,17461.0,16972.0,16209.0,15673.0,14615.0,14791.0,13529.0,12313.0,11517.0,11030.0,10467.0,9907.0,9466.0,9013.0,8094.0,7534.0,7045.0,6611.0,44887.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,2513.0,3052.0,11769.0,14921.0,16608.0,17141.0,15037.0,15913.0,17822.0,17717.0,18579.0,19614.0,20188.0,20126.0,21124.0,21247.0,22014.0,22891.0,23047.0,23187.0,22085.0,20898.0,20395.0,19557.0,18849.0,18912.0,19747.0,20359.0,19414.0,18951.0,18121.0,17842.0,17719.0,18868.0,19662.0,20108.0,20539.0,20374.0,19906.0,19561.0,20190.0,21008.0,20902.0,21004.0,20624.0,19991.0,19979.0,19669.0,19223.0,17986.0,17260.0,16769.0,16023.0,15486.0,14478.0,14641.0,13401.0,12190.0,11427.0,10892.0,10359.0,9807.0,9354.0,8905.0,8001.0,7438.0,6961.0,6527.0,44070.0
Biobío,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5521.0,3701.0,2399.0,2117.0,2364.0,1857.0,1604.0,1449.0,1127.0,1120.0,1112.0,1134.0,1109.0,991.0,931.0,938.0,869.0,808.0,759.0,719.0,754.0,827.0,727.0,678.0,631.0,551.0,512.0,502.0,560.0,520.0,526.0,497.0,491.0,415.0,418.0,397.0,350.0,346.0,330.0,285.0,293.0,273.0,117.0,9.0,0.0,5.0,5.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
Coquimbo,Primera,92.0,103.0,140.0,159.0,182.0,232.0,4526.0,5702.0,9065.0,9603.0,9810.0,9714.0,7103.0,8864.0,10484.0,10113.0,10380.0,9321.0,10062.0,10596.0,11252.0,11647.0,11785.0,11865.0,12333.0,12388.0,12199.0,11617.0,11198.0,11008.0,10704.0,10518.0,10520.0,10904.0,10321.0,9952.0,9987.0,9626.0,9786.0,10091.0,10530.0,10266.0,10203.0,10123.0,9648.0,9725.0,10064.0,10390.0,10061.0,10062.0,9873.0,9629.0,9872.0,9239.0,9618.0,8760.0,8605.0,8191.0,7894.0,8113.0,7548.0,7282.0,6634.0,6128.0,5844.0,5399.0,5281.0,4856.0,4343.0,4531.0,4148.0,3944.0,3767.0,3353.0,23391.0
