Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70213.0,240555.0,414598.0,583275.0,611126.0,619761.0,841190.0,1083651.0,1356131.0,1607351.0,1836575.0,1866082.0,1870547.0,2136387.0,2356384.0,2544390.0,2699629.0,2841736.0,2851375.0,2852539.0,2960651.0,3054866.0,3140889.0,3226813.0,3304920.0,3314959.0,3315314.0,3452441.0,3611382.0,3769194.0,3913909.0,4050117.0,4059757.0,4060824.0,4197371.0,4336387.0,4472174.0,4643596.0,4794769.0,4819037.0,4821778.0,4979462.0,5145794.0,5296826.0,5445414.0,5585091.0,5608255.0,5611232.0,5757555.0,5907626.0,6061387.0,6218663.0,6384469.0,6397359.0,6398326.0,6549365.0,6683072.0,6809761.0,6944002.0,6945849.0,6947717.0,6948417.0,7027945.0,7120781.0,7214989.0,7290934.0,7360556.0,7371475.0,7372575.0,7444769.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52665.0,55548.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56705.0,69113.0,223058.0,388727.0,550184.0,574302.0,581151.0,794989.0,1032258.0,1297575.0,1542802.0,1765700.0,1791816.0,1795645.0,2067827.0,2311098.0,2526816.0,2712728.0,2867399.0,2878409.0,2879583.0,3001478.0,3091861.0,3156437.0,3211474.0,3262283.0,3265021.0,3265440.0,3380787.0,3525241.0,3678082.0,3846133.0,3851280.0,3852618.0,3853089.0,4057455.0,4203796.0,4341686.0,4503509.0,4650296.0,4665095.0,4666473.0,4815079.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29123.0,29707.0,29722.0,29722.0,30471.0,31338.0,32128.0,32916.0,33491.0,33511.0,33511.0,34100.0,34803.0,35347.0,35915.0,36461.0,36461.0,36461.0,37069.0,37705.0,38250.0,38844.0,38844.0,38910.0,38912.0,39327.0,39715.0,40072.0,40371.0,40657.0,40659.0,40659.0,40991.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25540.0,25540.0,25540.0,26294.0,26937.0,27473.0,27998.0,28516.0,28522.0,28522.0,29298.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106606.0,106613.0,106613.0,110902.0,116092.0,120712.0,126432.0,131633.0,131753.0,131753.0,136820.0,142320.0,148321.0,153531.0,158801.0,159164.0,159207.0,165213.0,171330.0,176989.0,182258.0,187484.0,187869.0,188054.0,193604.0,198698.0,203644.0,208346.0,208638.0,209093.0,209288.0,212464.0,215953.0,219770.0,222860.0,225437.0,225951.0,226095.0,229254.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35193.0,41259.0,41818.0,41818.0,49753.0,56560.0,62583.0,67402.0,72035.0,72187.0,72192.0,75761.0,78293.0,80356.0,82110.0,83697.0,83700.0,83720.0,87293.0,91698.0,96089.0,101087.0,101119.0,101125.0,101131.0,107355.0,112538.0,117249.0,121247.0,127039.0,127246.0,127263.0,132606.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36842.0,38753.0,40075.0,41212.0,43262.0,43457.0,43457.0,44940.0,46147.0,47161.0,47989.0,48996.0,49061.0,49063.0,50197.0,51215.0,52444.0,54083.0,55415.0,55512.0,55512.0,56778.0,58439.0,59972.0,62139.0,63237.0,63301.0,63301.0,64478.0,65815.0,67260.0,68758.0,70273.0,70369.0,70369.0,71725.0,73112.0,74322.0,75484.0,75570.0,75712.0,75713.0,76682.0,78077.0,79004.0,79946.0,80203.0,80204.0,80204.0,81102.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25711.0,28540.0,31223.0,33699.0,35835.0,35880.0,35880.0,37989.0,40090.0,41302.0,42107.0,42870.0,42876.0,42876.0,43758.0,44792.0,45618.0,46490.0,46496.0,46498.0,46499.0,48059.0,49343.0,50572.0,52038.0,53125.0,53177.0,53177.0,53935.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39542.0,41481.0,42562.0,42615.0,42617.0,44532.0,46963.0,49301.0,51585.0,53115.0,53192.0,53192.0,54572.0,55758.0,56724.0,57876.0,59893.0,60192.0,60192.0,62168.0,64108.0,65952.0,68005.0,70026.0,70130.0,70130.0,72466.0,74787.0,77021.0,79190.0,80930.0,80931.0,80943.0,83439.0,86014.0,88507.0,90785.0,93210.0,93210.0,93210.0,95394.0,97459.0,99198.0,100849.0,100850.0,100850.0,100850.0,102333.0,103721.0,105135.0,106255.0,107666.0,107785.0,107785.0,108012.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2661.0,3655.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3739.0,3766.0,3766.0,3766.0,3775.0,4446.0,9435.0,14617.0,19081.0,19504.0,19505.0,22968.0,25375.0,27595.0,29670.0,32104.0,32472.0,32472.0,34907.0,37631.0,40331.0,42158.0,43391.0,43415.0,43420.0,45091.0,46776.0,48144.0,50039.0,51363.0,51364.0,51364.0,52429.0,53688.0,55128.0,56623.0,56624.0,56624.0,56624.0,59233.0,61269.0,62994.0,64773.0,66203.0,66209.0,66209.0,67534.0
