Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24847.0,44202.0,53511.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57024.0,57024.0,57024.0,70206.0,240576.0,414600.0,583275.0,611125.0,619761.0,841221.0,1083675.0,1356183.0,1607409.0,1836636.0,1866142.0,1870608.0,2136442.0,2356415.0,2544457.0,2699702.0,2841814.0,2851453.0,2852617.0,2960722.0,3054933.0,3141022.0,3226948.0,3305059.0,3315098.0,3315453.0,3452589.0,3611534.0,3769364.0,3914080.0,4050293.0,4059936.0,4061001.0,4197576.0,4336622.0,4472431.0,4643879.0,4795099.0,4819397.0,4822144.0,4979889.0,5146439.0,5297689.0,5446496.0,5586361.0,5609545.0,5612400.0,5759080.0,5909312.0,6063558.0,6220987.0,6387395.0,6400292.0,6401260.0,6552327.0,6686151.0,6812981.0,6947446.0,6949293.0,6951162.0,6951816.0,7031544.0,7124525.0,7219199.0,7295735.0,7366285.0,7377354.0,7378445.0,7456338.0,7531200.0,7610342.0,7672357.0,7730555.0,7738445.0,7739319.0,7783029.0,7821875.0,7852866.0,7908517.0,7947912.0,7953605.0,7953916.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24970.0,44335.0,52671.0,55554.0,55764.0,55798.0,55798.0,55798.0,55808.0,55808.0,55808.0,55808.0,55808.0,55808.0,55829.0,55869.0,56042.0,56186.0,56304.0,56308.0,56308.0,56714.0,69125.0,223116.0,388856.0,550343.0,574466.0,581358.0,795256.0,1032623.0,1297982.0,1543344.0,1766311.0,1792432.0,1796266.0,2068532.0,2311857.0,2527755.0,2713743.0,2868449.0,2879460.0,2880635.0,3002586.0,3093032.0,3157760.0,3212903.0,3263782.0,3266523.0,3266944.0,3382340.0,3526879.0,3679938.0,3848267.0,3853428.0,3854766.0,3855224.0,4059784.0,4206225.0,4344375.0,4506959.0,4654716.0,4669528.0,4670887.0,4829434.0,4989232.0,5138913.0,5283422.0,5418817.0,5433231.0,5434988.0,5585741.0,5735254.0,5881014.0,6024530.0,6167059.0,6178651.0,6179285.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14384.0,15643.0,16891.0,18240.0,19490.0,19571.0,19571.0,20364.0,21145.0,21848.0,22529.0,22902.0,22913.0,22913.0,23553.0,24369.0,25294.0,26023.0,26767.0,26772.0,26772.0,27309.0,27903.0,28434.0,29127.0,29710.0,29725.0,29725.0,30474.0,31341.0,32133.0,32922.0,33497.0,33517.0,33517.0,34107.0,34810.0,35354.0,35923.0,36470.0,36470.0,36470.0,37078.0,37715.0,38260.0,38854.0,38854.0,38920.0,38922.0,39337.0,39725.0,40089.0,40396.0,40683.0,40685.0,40685.0,41068.0,41419.0,41772.0,42092.0,42390.0,42393.0,42393.0,42656.0,43003.0,43252.0,43587.0,43888.0,43904.0,43904.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22809.0,22809.0,22809.0,23356.0,23945.0,24761.0,25536.0,25542.0,25542.0,25542.0,26296.0,26939.0,27479.0,28006.0,28530.0,28536.0,28536.0,29367.0,30281.0,31110.0,31758.0,32354.0,32358.0,32358.0,32924.0,33622.0,34168.0,34697.0,35233.0,35246.0,35246.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88981.0,93743.0,98490.0,102857.0,106603.0,106610.0,106610.0,110898.0,116088.0,120708.0,126431.0,131633.0,131753.0,131753.0,136820.0,142324.0,148331.0,153544.0,158819.0,159182.0,159226.0,165234.0,171353.0,177012.0,182284.0,187514.0,187899.0,188084.0,193634.0,198728.0,203674.0,208379.0,208671.0,209126.0,209321.0,212498.0,215988.0,219815.0,222906.0,225487.0,226003.0,226147.0,229451.0,232582.0,235674.0,238298.0,240843.0,241829.0,241963.0,243418.0,244429.0,245299.0,246872.0,247984.0,248545.0,248566.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28863.0,35197.0,41263.0,41822.0,41822.0,49760.0,56568.0,62589.0,67418.0,72052.0,72204.0,72209.0,75778.0,78309.0,80372.0,82127.0,83714.0,83717.0,83737.0,87312.0,91718.0,96109.0,101109.0,101141.0,101147.0,101153.0,107379.0,112572.0,117288.0,121292.0,127093.0,127300.0,127314.0,132775.0,137912.0,143302.0,148376.0,153052.0,153788.0,153842.0,160043.0,165523.0,170704.0,175776.0,180574.0,181069.0,181200.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2822.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2979.0,4421.0,7254.0,9648.0,9952.0,9986.0,12415.0,14964.0,17979.0,20736.0,23617.0,23733.0,23733.0,26381.0,28454.0,30613.0,32743.0,34802.0,34857.0,34857.0,36849.0,38760.0,40082.0,41219.0,43270.0,43465.0,43465.0,44948.0,46156.0,47170.0,47998.0,49007.0,49072.0,49074.0,50209.0,51228.0,52458.0,54100.0,55436.0,55536.0,55536.0,56808.0,58475.0,60013.0,62184.0,63287.0,63351.0,63351.0,64533.0,65876.0,67326.0,68826.0,70342.0,70438.0,70438.0,71795.0,73182.0,74394.0,75556.0,75642.0,75784.0,75785.0,76755.0,78147.0,79080.0,80023.0,80282.0,80283.0,80283.0,81206.0,82136.0,83151.0,83873.0,84554.0,84585.0,84585.0,85328.0,86082.0,86767.0,87394.0,87785.0,87823.0,87823.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,2097.0,2741.0,2809.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2813.0,2828.0,2839.0,2851.0,2859.0,2860.0,2860.0,2862.0,2923.0,4176.0,7009.0,9237.0,9495.0,9521.0,11816.0,14326.0,17146.0,19889.0,22724.0,22818.0,22818.0,25742.0,28572.0,31256.0,33733.0,35869.0,35914.0,35914.0,38024.0,40125.0,41337.0,42143.0,42906.0,42912.0,42912.0,43795.0,44829.0,45657.0,46531.0,46537.0,46539.0,46540.0,48101.0,49387.0,50618.0,52133.0,53221.0,53273.0,53273.0,54047.0,55780.0,57483.0,59314.0,60223.0,60275.0,60277.0,60926.0,62916.0,64448.0,65169.0,66585.0,66600.0,66601.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39561.0,41500.0,42581.0,42634.0,42636.0,44551.0,46982.0,49320.0,51604.0,53134.0,53211.0,53211.0,54592.0,55778.0,56745.0,57897.0,59916.0,60215.0,60215.0,62191.0,64143.0,65987.0,68041.0,70065.0,70169.0,70169.0,72512.0,74844.0,77079.0,79251.0,80995.0,80996.0,81008.0,83511.0,86091.0,88584.0,90865.0,93289.0,93289.0,93289.0,95474.0,97539.0,99280.0,100944.0,100944.0,100944.0,100944.0,102548.0,104066.0,105823.0,107009.0,108543.0,108671.0,108671.0,109090.0,110620.0,112017.0,113142.0,114171.0,114171.0,114171.0,115288.0,116658.0,117570.0,118618.0,119529.0,119529.0,119529.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4450.0,9441.0,14626.0,19091.0,19514.0,19515.0,22978.0,25403.0,27623.0,29698.0,32133.0,32501.0,32501.0,34939.0,37663.0,40525.0,42355.0,43588.0,43612.0,43617.0,45289.0,46974.0,48342.0,50237.0,51563.0,51564.0,51564.0,52630.0,53889.0,55330.0,56829.0,56830.0,56830.0,56830.0,59444.0,61489.0,63263.0,65159.0,66729.0,66735.0,66735.0,68669.0,71275.0,73497.0,75619.0,77435.0,77441.0,77441.0,79512.0,82004.0,84291.0,86498.0,88255.0,88259.0,88259.0
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,6199.0,8198.0,8706.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,8768.0,12771.0,17623.0,22449.0,22457.0,22457.0,30306.0,39188.0,49269.0,58821.0,67656.0,68137.0,68137.0,79329.0,88171.0,96221.0,103139.0,109619.0,109663.0,109668.0,115880.0,121140.0,125796.0,130612.0,134573.0,134709.0,134709.0,142169.0,150182.0,157757.0,164120.0,169678.0,169729.0,169729.0,175729.0,181981.0,187684.0,194200.0,199884.0,200090.0,200090.0,206488.0,213169.0,218953.0,224600.0,230068.0,230170.0,230170.0,236176.0,242036.0,248171.0,254520.0,261265.0,261698.0,261698.0,267567.0,273112.0,278160.0,283760.0,283769.0,283769.0,283771.0,287699.0,292304.0,296663.0,300519.0,304039.0,304130.0,304130.0,307919.0,311380.0,314730.0,317602.0,320526.0,320606.0,320606.0,323225.0,325353.0,327305.0,329987.0,332154.0,332249.0,332250.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.0,6433.0,8045.0,8548.0,8560.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8594.0,8596.0,8600.0,8613.0,8642.0,8645.0,8645.0,8645.0,8649.0,8713.0,12389.0,16979.0,21491.0,21510.0,21511.0,28945.0,37509.0,47541.0,56790.0,65361.0,65717.0,65719.0,77774.0,87965.0,97554.0,106577.0,113989.0,114037.0,114040.0,121269.0,125482.0,128606.0,131074.0,133485.0,133563.0,133564.0,139192.0,146249.0,153362.0,159907.0,160009.0,160011.0,160014.0,169709.0,176511.0,182344.0,189174.0,194467.0,194637.0,194638.0,200997.0,207243.0,212840.0,218208.0,223421.0,223516.0,223519.0,229870.0,235366.0,241146.0,246814.0,252467.0,252557.0,252559.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13337.0,22447.0,30501.0,31630.0,31632.0,42805.0,57202.0,72077.0,86308.0,100187.0,102262.0,102263.0,118666.0,132763.0,143384.0,152453.0,160749.0,161131.0,161131.0,168609.0,175424.0,181191.0,186056.0,191177.0,191791.0,191792.0,199315.0,209509.0,217982.0,225509.0,232550.0,232961.0,232961.0,240923.0,248756.0,256765.0,266765.0,275949.0,276648.0,276648.0,285664.0,295052.0,303422.0,311225.0,318846.0,319270.0,319270.0,326540.0,333659.0,341022.0,348134.0,355287.0,355576.0,355576.0,362690.0,368769.0,374172.0,380153.0,380170.0,380188.0,380188.0,383997.0,388606.0,393283.0,397007.0,400585.0,400748.0,400748.0,404095.0,408282.0,412002.0,415005.0,417848.0,417970.0,417970.0,420604.0,423378.0,425476.0,428497.0,430961.0,431381.0,431389.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1025.0,12145.0,20927.0,28658.0,29857.0,29861.0,40696.0,54196.0,68605.0,82409.0,96204.0,98124.0,98132.0,114877.0,130195.0,142012.0,152103.0,161649.0,161947.0,161948.0,169532.0,175278.0,180293.0,184117.0,187709.0,187786.0,187786.0,194614.0,203842.0,211802.0,219951.0,220315.0,220331.0,220331.0,232664.0,240906.0,248914.0,258579.0,267079.0,267402.0,267405.0,276538.0,285733.0,294050.0,301643.0,309232.0,309541.0,309543.0,317062.0,324176.0,331162.0,337824.0,344503.0,344831.0,344835.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26911.0,30495.0,31181.0,44057.0,57029.0,70060.0,82192.0,93500.0,96642.0,96766.0,110869.0,121567.0,129266.0,135968.0,142302.0,142688.0,142695.0,148303.0,153552.0,158615.0,163570.0,169042.0,169380.0,169380.0,175436.0,182100.0,188565.0,194298.0,199544.0,200324.0,200435.0,206395.0,212852.0,218965.0,226036.0,232747.0,234226.0,234241.0,241382.0,249563.0,256384.0,263115.0,268425.0,269353.0,269361.0,275333.0,282286.0,289889.0,297354.0,304135.0,304686.0,304686.0,310492.0,316474.0,322737.0,329301.0,329306.0,329313.0,329313.0,333247.0,337933.0,342377.0,345443.0,348301.0,348442.0,348442.0,351466.0,355403.0,359460.0,362876.0,365534.0,365720.0,365720.0,366303.0,366943.0,367498.0,368760.0,370367.0,370541.0,370541.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,839.0,1569.0,9652.0,17669.0,25547.0,28438.0,28755.0,40937.0,53189.0,65708.0,77816.0,88695.0,91657.0,91722.0,105979.0,118985.0,128640.0,137319.0,144035.0,144430.0,144441.0,151911.0,157519.0,161516.0,164502.0,166891.0,166929.0,166929.0,171506.0,177059.0,183442.0,189927.0,189939.0,189944.0,189945.0,198759.0,205087.0,211201.0,216651.0,222606.0,222876.0,222879.0,231358.0,239664.0,246850.0,253447.0,258287.0,258483.0,258485.0,264936.0,272061.0,279703.0,286196.0,291944.0,292173.0,292173.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5511.0,10191.0,14573.0,15139.0,15656.0,21111.0,28009.0,35139.0,42233.0,47637.0,48445.0,48888.0,54485.0,58345.0,61683.0,64673.0,67468.0,67541.0,67595.0,70589.0,73051.0,75188.0,77109.0,78665.0,78684.0,78685.0,80688.0,84537.0,88732.0,92197.0,95047.0,95203.0,95238.0,98718.0,102475.0,105761.0,109980.0,113083.0,113232.0,113363.0,116982.0,120868.0,123995.0,126468.0,129228.0,129361.0,129562.0,132852.0,135967.0,139202.0,143135.0,147165.0,147325.0,147329.0,150543.0,153002.0,155386.0,157949.0,158076.0,158202.0,158269.0,159783.0,161459.0,162983.0,164765.0,166764.0,166931.0,166978.0,168407.0,170003.0,172035.0,173772.0,175501.0,175881.0,175882.0,176709.0,177741.0,178542.0,179479.0,180047.0,180121.0,180123.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4868.0,9319.0,13711.0,14219.0,14600.0,19757.0,26500.0,33441.0,40394.0,45606.0,46406.0,46878.0,52748.0,57796.0,62017.0,65665.0,68804.0,68947.0,69001.0,72174.0,74162.0,75515.0,76791.0,77780.0,77814.0,77816.0,79187.0,82441.0,86179.0,90330.0,90599.0,90707.0,90740.0,95332.0,99145.0,102366.0,106146.0,109518.0,109662.0,109757.0,113167.0,116739.0,119931.0,122488.0,125096.0,125310.0,125508.0,128575.0,131693.0,134799.0,138072.0,140803.0,140977.0,140978.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3607.0,6714.0,8986.0,9022.0,9022.0,12184.0,15501.0,20136.0,23654.0,26707.0,26713.0,26719.0,30330.0,32711.0,35307.0,37067.0,38787.0,38989.0,38999.0,39847.0,40567.0,41480.0,42478.0,43316.0,43404.0,43404.0,45572.0,47964.0,50158.0,51918.0,53450.0,53459.0,53463.0,54724.0,56023.0,57240.0,58917.0,60170.0,60174.0,60215.0,61673.0,63475.0,64758.0,66189.0,67590.0,67603.0,67614.0,69196.0,70622.0,72186.0,73550.0,75482.0,75493.0,75495.0,76858.0,78112.0,79379.0,80745.0,80746.0,80746.0,80746.0,81611.0,82903.0,84200.0,85208.0,85972.0,85975.0,85977.0,86948.0,87793.0,88789.0,89728.0,90550.0,90553.0,90553.0,91202.0,91940.0,92462.0,93223.0,93553.0,93554.0,93554.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3312.0,6246.0,8474.0,8520.0,8522.0,11645.0,14755.0,19190.0,22723.0,25750.0,25762.0,25769.0,29360.0,32052.0,35158.0,37432.0,39296.0,39308.0,39310.0,40199.0,41048.0,41489.0,42113.0,42656.0,42665.0,42665.0,44257.0,46841.0,48979.0,50829.0,50830.0,50834.0,50836.0,52777.0,54303.0,55543.0,57065.0,58264.0,58271.0,58273.0,59467.0,60966.0,62368.0,63759.0,65307.0,65321.0,65323.0,66686.0,68316.0,69860.0,70974.0,71964.0,71967.0,71967.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6928.0,7468.0,7468.0,10863.0,14865.0,19678.0,23994.0,28211.0,28382.0,28382.0,33616.0,38451.0,41932.0,44131.0,46276.0,46385.0,46385.0,47961.0,49674.0,52048.0,54195.0,55708.0,55781.0,55781.0,57684.0,59595.0,61297.0,63080.0,65076.0,65186.0,65186.0,67066.0,68796.0,70367.0,72495.0,74652.0,74854.0,74854.0,77142.0,79677.0,82028.0,84417.0,86997.0,87236.0,87236.0,89630.0,92061.0,94738.0,96973.0,99696.0,99800.0,99800.0,102269.0,104422.0,106415.0,108345.0,108373.0,108401.0,108441.0,110263.0,112419.0,114604.0,116295.0,117942.0,118089.0,118117.0,120199.0,121943.0,123777.0,125431.0,127442.0,127637.0,127694.0,129694.0,131787.0,133584.0,135024.0,136401.0,136642.0,136644.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2218.0,4144.0,6412.0,6920.0,6920.0,10149.0,14043.0,18579.0,22659.0,26780.0,26983.0,26983.0,32041.0,37445.0,42314.0,45967.0,48654.0,48816.0,48816.0,50681.0,51764.0,52726.0,53506.0,54378.0,54431.0,54431.0,56019.0,57718.0,59363.0,61490.0,61491.0,61491.0,61493.0,64444.0,66406.0,68199.0,70155.0,71772.0,71906.0,71908.0,74332.0,76847.0,79187.0,81368.0,83701.0,83872.0,83872.0,86474.0,88996.0,91453.0,93260.0,95108.0,95244.0,95244.0
